AGL9 白银指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2012-05-10	6177	6186	6095	6149	349164	49448	0
2012-05-11	6112	6118	6008	6010	254466	73500	0
2012-05-14	6048	6052	5967	5981	244936	78956	0
2012-05-15	5897	5915	5724	5847	510046	108738	0
2012-05-16	5753	5788	5649	5651	681142	140998	0
2012-05-17	5707	5792	5697	5771	637242	118380	0
2012-05-18	5819	5887	5775	5871	805656	123288	0
2012-05-21	5961	5965	5908	5945	472618	125680	0
2012-05-22	5927	5934	5889	5897	414434	119858	0
2012-05-23	5808	5821	5765	5796	340446	117468	0
2012-05-24	5790	5844	5774	5839	344164	111858	0
2012-05-25	5865	5917	5810	5909	470166	116748	0
2012-05-28	5946	5998	5922	5993	426836	119778	0
2012-05-29	5939	5989	5928	5970	391290	118876	0
2012-05-30	5824	5861	5807	5809	394820	119650	0
2012-05-31	5843	5885	5836	5858	409850	110828	0
2012-06-01	5807	5847	5778	5840	338002	112028	0
2012-06-04	5930	6004	5909	5956	457002	109496	0
2012-06-05	5960	5992	5929	5939	369524	110266	0
2012-06-06	6009	6101	6000	6099	398348	116080	0
2012-06-07	6155	6158	6117	6142	318286	115630	0
2012-06-08	6012	6030	5916	5946	372462	104304	0
2012-06-11	6065	6110	6043	6074	241894	100728	0
2012-06-12	6003	6049	5989	6000	272816	112340	0
2012-06-13	6061	6094	6051	6094	208328	104980	0
2012-06-14	6080	6134	6073	6091	212998	106974	0
2012-06-15	6061	6095	6046	6081	240244	102594	0
2012-06-18	6098	6104	6013	6019	345212	123626	0
2012-06-19	6068	6089	6055	6071	193262	100490	0
2012-06-20	6006	6037	6002	6021	203188	108252	0
2012-06-21	5911	5935	5905	5921	168908	100144	0
2012-06-25	5711	5754	5708	5725	197828	118168	0
2012-06-26	5841	5841	5793	5801	166214	111318	0
2012-06-27	5777	5781	5735	5755	159864	120022	0
2012-06-28	5788	5789	5744	5749	141058	119760	0
2012-06-29	5662	5776	5647	5767	290594	116400	0
2012-07-02	5846	5848	5799	5811	191288	104278	0
2012-07-03	5834	5929	5826	5925	229036	97102	0
2012-07-04	5968	5993	5948	5964	168672	90592	0
2012-07-05	5975	6010	5960	6009	146714	93950	0
2012-07-06	5945	5947	5881	5888	186232	96996	0
2012-07-09	5807	5847	5798	5821	182584	105598	0
2012-07-10	5828	5848	5809	5811	128460	105988	0
2012-07-11	5769	5793	5767	5792	122512	106942	0
2012-07-12	5790	5794	5743	5757	143322	117420	0
2012-07-13	5785	5845	5779	5843	135012	107098	0
2012-07-16	5827	5849	5806	5847	124516	101240	0
2012-07-17	5863	5894	5829	5847	157226	98276	0
2012-07-18	5853	5856	5794	5827	123756	100652	0
2012-07-19	5830	5844	5813	5841	99884	97122	0
2012-07-20	5826	5827	5800	5814	99852	99630	0
2012-07-23	5821	5824	5767	5777	137842	106322	0
2012-07-24	5783	5807	5777	5784	102954	101184	0
2012-07-25	5779	5804	5739	5739	116952	111906	0
2012-07-26	5831	5871	5815	5860	144038	92428	0
2012-07-27	5852	5919	5852	5914	114670	91236	0
2012-07-30	5914	5914	5878	5884	84086	83412	0
2012-07-31	5967	6030	5962	6011	155120	90054	0
2012-08-01	5954	5979	5940	5977	91118	86806	0
2012-08-02	5872	5899	5872	5885	80372	86732	0
2012-08-03	5855	5857	5833	5853	61752	87298	0
2012-08-06	5959	5960	5930	5941	56488	83626	0
2012-08-07	5951	5961	5944	5955	45472	81566	0
2012-08-08	5988	5988	5943	5946	65280	82012	0
2012-08-09	5978	6010	5970	6008	77986	91456	0
