AL9 豆一指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2000-01-04	2185	2205	2184	2197	28598	251426	0
2000-01-05	2205	2207	2196	2199	42274	253684	0
2000-01-06	2207	2210	2198	2201	47344	257318	0
2000-01-07	2200	2212	2194	2211	68440	257574	0
2000-01-11	2219	2248	2215	2245	128626	265146	0
2000-01-12	2249	2253	2231	2232	119406	262356	0
2000-01-13	2241	2250	2236	2241	93724	267598	0
2000-01-14	2257	2265	2253	2260	124104	262260	0
2000-01-17	2270	2274	2259	2260	75418	267948	0
2000-01-18	2258	2273	2250	2259	114552	266844	0
2000-01-19	2276	2289	2272	2284	144912	257888	0
2000-01-20	2282	2290	2273	2278	90314	255134	0
2000-01-21	2286	2305	2285	2303	153080	266698	0
2000-01-24	2313	2357	2306	2351	213650	267694	0
2000-01-25	2359	2360	2338	2339	106282	262766	0
2000-01-26	2354	2372	2338	2346	171468	268502	0
2000-01-27	2342	2350	2339	2343	63798	260170	0
2000-01-28	2377	2407	2377	2407	162782	254392	0
2000-01-31	2397	2401	2359	2377	122900	235314	0
2000-02-01	2360	2370	2346	2367	68176	219090	0
2000-02-02	2376	2412	2374	2406	119862	235774	0
2000-02-14	2407	2444	2402	2441	136438	258204	0
2000-02-15	2432	2436	2411	2420	125736	262902	0
2000-02-16	2433	2437	2398	2404	152166	267940	0
2000-02-17	2398	2423	2397	2423	100054	276818	0
2000-02-18	2423	2428	2399	2401	114982	274964	0
2000-02-21	2411	2448	2408	2437	195158	289198	0
2000-02-22	2436	2455	2433	2441	133846	287024	0
2000-02-23	2432	2434	2412	2420	142146	300166	0
2000-02-24	2375	2386	2360	2361	178368	286476	0
2000-02-25	2380	2387	2347	2349	154858	289658	0
2000-02-28	2330	2347	2322	2343	144254	301800	0
2000-02-29	2341	2344	2314	2328	145784	300318	0
2000-03-01	2344	2345	2334	2336	80968	309512	0
2000-03-02	2319	2348	2317	2340	101348	314258	0
