ALL9 沪铝指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2000-01-04	16504	16525	16470	16489	1192	21868	0
2000-01-05	16433	16478	16384	16411	3098	21894	0
2000-01-06	16445	16469	16440	16453	1148	21918	0
2000-01-07	16456	16498	16445	16485	1208	21856	0
2000-01-11	16412	16439	16402	16421	1852	21418	0
2000-01-12	16405	16419	16391	16409	1282	20970	0
2000-01-13	16446	16451	16377	16378	1564	20742	0
2000-01-14	16351	16389	16343	16371	3168	20150	0
2000-01-17	16392	16445	16361	16412	2066	19944	0
2000-01-18	16554	16631	16516	16583	3334	16780	0
2000-01-19	16703	16768	16658	16706	6328	17502	0
2000-01-20	16729	16752	16656	16702	2584	18350	0
2000-01-21	16634	16722	16625	16700	2558	18734	0
2000-01-24	16656	16723	16654	16696	1718	18076	0
2000-01-25	16651	16700	16636	16681	1942	18586	0
2000-01-26	16734	16765	16709	16746	1194	18828	0
2000-01-27	16729	16882	16718	16860	3512	18852	0
2000-01-28	16864	16963	16833	16901	3248	19774	0
2000-01-31	16883	16917	16809	16847	1666	19690	0
2000-02-01	16916	16993	16891	16988	2854	20744	0
2000-02-02	17070	17146	17061	17125	4674	22180	0
2000-02-14	17087	17131	17032	17045	4274	23806	0
2000-02-15	17151	17186	17082	17085	4532	21932	0
2000-02-16	16924	16970	16803	16817	4358	22072	0
2000-02-17	16821	16898	16797	16803	3688	22310	0
2000-02-18	16877	16937	16871	16931	1976	23186	0
2000-02-21	16974	17061	16968	17028	3702	23938	0
2000-02-22	16975	16994	16932	16935	722	24124	0
2000-02-23	17096	17096	17010	17017	1164	24522	0
2000-02-24	17086	17110	17061	17070	1816	25042	0
2000-02-25	17076	17085	17042	17068	3104	25220	0
2000-02-28	17061	17065	16993	17029	1950	25336	0
2000-02-29	16742	16874	16737	16868	2526	22616	0
2000-03-01	16951	16954	16863	16875	2476	24110	0
2000-03-02	16892	16924	16882	16906	546	24260	0
2000-03-03	16861	16867	16847	16855	490	22230	0
2000-03-06	16877	16877	16835	16847	502	22010	0
2000-03-07	16882	16889	16867	16878	760	23986	0
2000-03-08	16812	16828	16673	16677	3464	22346	0
2000-03-09	16652	16667	16593	16596	2684	21500	0
2000-03-10	16802	16918	16625	16702	1740	21336	0
2000-03-13	16645	16711	16631	16662	2086	21138	0
2000-03-14	16631	16656	16604	16636	1986	19546	0
2000-03-15	16742	16773	16707	16730	1632	21324	0
2000-03-16	16833	16844	16810	16822	386	14700	0
2000-03-17	16861	16870	16774	16774	738	18338	0
2000-03-20	16760	16760	16704	16707	872	16268	0
2000-03-21	16727	16732	16672	16675	480	18092	0
2000-03-22	16692	16719	16658	16672	1280	17722	0
2000-03-23	16567	16573	16447	16506	4394	16332	0
2000-03-24	16524	16554	16512	16545	1400	16240	0
2000-03-27	16507	16545	16488	16524	366	16120	0
2000-03-28	16472	16613	16358	16482	1370	15810	0
2000-03-29	16528	16546	16528	16538	974	16166	0
2000-03-30	16526	16526	16502	16502	320	16052	0
2000-03-31	16363	16444	16343	16421	1140	15840	0
2000-04-03	16377	16400	16233	16289	2796	15818	0
2000-04-04	16199	16222	16119	16119	2960	16100	0
2000-04-05	15927	15978	15783	15922	6590	14476	0
2000-04-06	15998	16070	15975	15995	1948	14776	0
2000-04-07	15890	15951	15813	15869	2626	15480	0
2000-04-10	15926	16077	15913	16077	1754	16202	0
2000-04-11	16084	16100	16055	16073	1654	16818	0
2000-04-12	16124	16164	16003	16044	1318	17128	0
2000-04-13	16058	16069	16048	16062	858	17268	0
