BCL9 国际铜指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2020-11-20	47170	47850	46980	47810	4893	2267	0
2020-11-23	48020	48650	47940	48250	8581	3054	0
2020-11-24	48190	48940	47920	48940	5830	3276	0
2020-11-25	48880	49130	48650	48750	4699	3139	0
2020-11-26	48680	49400	48650	49320	12108	6434	0
2020-11-27	49170	50040	49170	50000	15965	9762	0
2020-11-30	50090	51430	49940	51390	19250	11928	0
2020-12-01	51350	51550	50510	50830	22610	13513	0
2020-12-02	51080	51530	50780	51000	19380	14461	0
2020-12-03	50800	51180	50380	50750	18856	15364	0
2020-12-04	50890	51360	50600	51290	27968	17045	0
2020-12-07	51110	51570	50890	50950	25383	17017	0
2020-12-08	50860	51130	50700	50830	14449	17157	0
2020-12-09	50710	51300	50580	51130	17976	17323	0
2020-12-10	51060	51280	50710	51270	16810	17309	0
2020-12-11	51310	52750	50990	51620	33228	17359	0
2020-12-14	51690	51830	51040	51630	25183	17082	0
2020-12-15	51600	51650	51170	51390	18888	16998	0
2020-12-16	51470	51900	51290	51670	23448	17008	0
2020-12-17	51910	52340	51630	52310	24779	17031	0
2020-12-18	52470	53100	52250	52890	32656	17524	0
2020-12-21	52940	53110	52400	52900	30862	17131	0
2020-12-22	52210	52520	51570	51630	25525	16970	0
2020-12-23	51590	51720	50940	51570	27180	16863	0
2020-12-24	51580	52090	51570	51800	14542	16980	0
2020-12-25	51800	52270	51520	52190	9391	17438	0
2020-12-28	52070	52750	51980	52340	9874	18351	0
2020-12-29	52440	52580	51780	51910	12796	19369	0
2020-12-30	52010	52270	51790	52060	11214	20121	0
2020-12-31	51900	52020	51390	51480	13336	20809	0
2021-01-04	51460	51940	51420	51830	11105	21069	0
2021-01-05	51850	52140	51370	51730	17838	22005	0
2021-01-06	51820	52820	51740	52630	17713	22016	0
2021-01-07	52840	53060	52350	52950	18544	21767	0
2021-01-08	52790	54070	52650	53750	20983	21880	0
2021-01-11	53520	53690	52210	52220	23630	21686	0
2021-01-12	52250	52380	51580	52270	19346	21755	0
2021-01-13	52330	52590	52120	52320	14616	21863	0
2021-01-14	52290	52500	52060	52290	13783	21978	0
2021-01-15	52480	53170	52220	52250	18735	22593	0
2021-01-18	52390	52910	51910	52770	19592	22608	0
2021-01-19	52630	53300	52250	52400	12746	22582	0
2021-01-20	52560	52920	52260	52620	16111	23424	0
2021-01-21	52500	52930	52290	52790	16847	23861	0
2021-01-22	52860	53030	52210	52320	18299	23505	0
2021-01-25	51950	52710	51790	52630	21382	21928	0
2021-01-26	52510	52630	52020	52090	16645	20700	0
2021-01-27	52370	52660	52170	52310	10751	20684	0
2021-01-28	52000	52170	51280	51400	20322	23220	0
2021-01-29	51380	52090	51160	51310	18773	22893	0
2021-02-01	51540	51970	51030	51590	17036	25162	0
2021-02-02	51390	51540	50990	51040	15420	25816	0
2021-02-03	50970	51130	50630	50770	20861	25799	0
2021-02-04	51070	51590	50990	51470	22540	25909	0
2021-02-05	51390	51880	51240	51840	20034	25153	0
2021-02-08	51980	52570	51770	52360	22060	24803	0
2021-02-09	52380	53160	52360	53040	23242	23178	0
2021-02-10	53070	54250	52960	54170	36767	21192	0
2021-02-18	54420	56460	54420	56390	16804	22934	0
2021-02-19	56430	57340	56090	57290	38358	24604	0
2021-02-22	57330	59930	57320	59930	31086	28714	0
2021-02-23	60010	61250	59360	60580	35573	26931	0
2021-02-24	60240	61430	59380	60530	41664	22870	0
2021-02-25	60930	63140	60600	62710	25280	21895	0
2021-02-26	62700	62910	60710	60720	30235	21977	0
2021-03-01	60290	60860	58670	60240	33116	21288	0
2021-03-02	60290	60290	58630	59460	21547	20560	0
2021-03-03	60340	60900	59990	60450	19241	21115	0
2021-03-04	60180	60180	59260	59270	17440	21242	0
2021-03-05	58320	59160	56970	58490	25292	20768	0
2021-03-08	58930	59710	58470	58500	25479	20518	0
2021-03-09	58800	59870	58490	58860	20687	20448	0
2021-03-10	58820	58860	57870	58120	18138	20624	0
2021-03-11	58600	59920	58140	59670	18290	20866	0
2021-03-12	59560	59830	59170	59460	17880	20466	0
2021-03-15	59470	60510	59410	59960	15921	20260	0
2021-03-16	59920	60150	59410	59420	11659	18639	0
2021-03-17	59240	59580	58910	59480	9293	18069	0
2021-03-18	59360	60100	59240	59530	10486	16807	0
2021-03-19	59620	59820	58380	58670	14908	16444	0
2021-03-22	59090	59940	58870	59460	12055	15862	0
2021-03-23	59650	60210	59050	59540	19303	15669	0
2021-03-24	59300	59420	58570	59020	15182	15716	0
2021-03-25	59180	59430	58130	58190	17670	15522	0
2021-03-26	57830	58830	57540	58700	24123	14074	0
2021-03-29	58520	59290	58510	58950	16787	14735	0
2021-03-30	59080	59120	58510	58520	14905	15242	0
2021-03-31	58400	58450	57870	58220	14278	15995	0
2021-04-01	58320	58440	57800	57830	12290	16748	0
2021-04-02	58160	59600	58060	59450	16938	17614	0
2021-04-06	59150	59940	59070	59470	11950	18196	0
2021-04-07	59480	59760	59250	59340	16095	18632	0
2021-04-08	59030	59570	58870	59320	20204	18478	0
2021-04-09	59430	59680	59110	59230	14755	18735	0
2021-04-12	59330	59410	58340	58390	19266	19001	0
2021-04-13	58570	58760	58340	58560	15847	19456	0
2021-04-14	58930	59010	58650	58870	12133	19464	0
2021-04-15	59410	60470	59210	60370	25217	19952	0
2021-04-16	60380	61850	60360	61060	29517	18095	0
2021-04-19	61410	62150	60420	62040	25788	18401	0
2021-04-20	61930	62090	61450	61790	20398	18160	0
2021-04-21	61670	61910	60950	61150	15724	17796	0
2021-04-22	61330	61960	61210	61540	19442	17680	0
2021-04-23	61780	62130	61380	61860	21828	17533	0
2021-04-26	62070	64040	61980	63280	26362	17011	0
2021-04-27	63400	64960	63360	64650	22652	19529	0
2021-04-28	64290	64480	63410	63700	22839	20472	0
2021-04-29	64060	65070	63840	64780	21113	21400	0
2021-04-30	64960	65210	63690	64440	20502	21574	0
2021-05-06	64330	65660	64330	65590	11651	21807	0
2021-05-07	65850	66730	65590	66610	20795	23492	0
2021-05-10	67300	69440	67020	69000	32467	23679	0
2021-05-11	68630	68630	66700	67640	30847	23430	0
2021-05-12	67690	68530	67380	68500	27551	23904	0
2021-05-13	67390	68230	67200	67780	35818	24148	0
2021-05-14	67540	67550	65830	66580	30399	23872	0
2021-05-17	66470	67060	63880	66770	25154	23696	0
2021-05-18	66630	67970	66580	67930	19331	20799	0
2021-05-19	67550	67720	66130	66200	18998	20873	0
2021-05-20	65400	65740	64550	65610	34078	20673	0
2021-05-21	65490	65490	63980	64130	26533	20141	0
2021-05-24	64730	64860	63230	63650	26207	20274	0
2021-05-25	64030	64870	63920	64310	16086	19067	0
2021-05-26	64090	64340	63780	63920	13363	18921	0
2021-05-27	63980	64350	63370	64130	14445	19868	0
2021-05-28	64070	65810	64040	65230	16578	21009	0
2021-05-31	65050	66230	64960	65520	13512	21300	0
2021-06-01	65820	66170	65690	65980	13846	21884	0
2021-06-02	65770	66370	65570	65640	17472	22553	0
2021-06-03	65490	65520	64900	65190	20213	22407	0
2021-06-04	64170	64320	63450	63710	25870	22559	0
2021-06-07	64200	64360	63780	63890	14446	22223	0
2021-06-08	63900	64190	63720	63930	18942	21932	0
2021-06-09	63610	64620	63550	64080	23581	21237	0
2021-06-10	64030	64300	63380	63530	13900	20881	0
2021-06-11	63400	63760	63100	63720	21331	20851	0
2021-06-15	63510	63520	62240	62690	17796	21698	0
2021-06-16	61970	62140	60980	60990	19854	16880	0
2021-06-17	61450	62180	60950	61300	21820	16619	0
2021-06-18	61240	61260	59580	59880	25954	16938	0
2021-06-21	59680	59910	59110	59130	26148	16556	0
2021-06-22	59050	59990	59050	59880	19630	16195	0
2021-06-23	59850	61010	59850	60930	18940	15585	0
2021-06-24	61010	61860	60730	60830	18553	15726	0
2021-06-25	61170	61530	61030	61290	17021	15588	0
2021-06-28	61250	61320	60620	61160	19876	16049	0
2021-06-29	60990	61170	60380	60680	12382	16411	0
2021-06-30	60610	61370	60350	60760	12936	16926	0
2021-07-01	61030	61680	60750	60790	15369	17159	0
2021-07-02	61140	61250	60630	60860	14745	17534	0
2021-07-05	61080	62060	60790	61970	22846	17601	0
2021-07-06	61650	62490	61610	62410	19431	17473	0
2021-07-07	62170	62180	60600	61270	28885	17581	0
2021-07-08	61440	61610	61040	61140	24331	17731	0
2021-07-09	60910	61340	60750	61220	18927	17635	0
2021-07-12	61550	61940	61220	61290	22760	17964	0
2021-07-13	61230	61550	61150	61410	11465	17964	0
2021-07-14	60920	61260	60840	61170	14315	18233	0
2021-07-15	61070	61170	60550	60990	16542	18492	0
2021-07-16	60980	61910	60910	61830	13855	13460	0
2021-07-19	61780	61860	61140	61210	14511	13201	0
2021-07-20	60140	60770	60140	60630	21221	13311	0
2021-07-21	60500	61100	60320	60510	16149	13489	0
2021-07-22	60790	61480	60680	61410	14408	13367	0
2021-07-23	61330	62320	61330	62080	18829	13126	0
2021-07-26	62270	63300	62050	63140	20308	13123	0
2021-07-27	63270	64990	63230	64250	25895	13041	0
2021-07-28	64470	64790	64140	64250	27704	14130	0
2021-07-29	64260	64330	63600	63850	20389	13382	0
2021-07-30	63950	64190	63300	63770	21161	12417	0
2021-08-02	63790	64200	63180	63760	27466	12598	0
2021-08-03	63730	63760	62820	62820	15787	12587	0
2021-08-04	62380	62810	62330	62650	19728	12380	0
2021-08-05	62320	62480	62050	62050	16356	12277	0
2021-08-06	62110	62340	61580	62080	12524	12342	0
2021-08-09	61890	62150	61320	61440	18110	11995	0
2021-08-10	61110	61620	61010	61490	14619	12016	0
2021-08-11	61470	62020	61360	61650	17707	11851	0
2021-08-12	61790	62220	61700	62080	13459	11838	0
2021-08-13	61860	62230	61510	62170	13022	12063	0
2021-08-16	62280	62760	61920	61940	17786	12702	0
2021-08-17	62060	62240	61790	61910	13598	9587	0
2021-08-18	61260	61430	60740	60930	19219	9295	0
2021-08-19	60460	60480	57980	58990	30694	9479	0
2021-08-20	58470	59650	58260	59300	28925	10080	0
2021-08-23	59230	60330	59140	59860	19321	9889	0
2021-08-24	60530	60980	60440	60720	21487	9628	0
2021-08-25	61250	61750	61090	61290	14167	9494	0
2021-08-26	61600	61760	60920	61020	17496	7319	0
2021-08-27	61210	61440	60940	61250	15372	7906	0
2021-08-30	61400	62390	61400	62310	20753	8775	0
2021-08-31	62410	62740	62060	62280	16909	9420	0
2021-09-01	62400	62400	61350	61400	19572	10037	0
2021-09-02	61390	61560	61010	61410	15573	10332	0
2021-09-03	61210	61820	61160	61500	15117	10262	0
2021-09-06	61740	61990	61420	61760	15291	10387	0
2021-09-07	61770	61940	61290	61450	9512	10333	0
2021-09-08	61470	61580	61090	61090	11988	10272	0
2021-09-09	61180	61730	60660	61510	19060	10972	0
2021-09-10	61430	62210	61370	62120	17772	10456	0
2021-09-13	62370	63830	62370	63480	29155	10954	0
2021-09-14	63340	63380	62020	62100	21203	10517	0
2021-09-15	62130	62360	61620	61890	20292	10411	0
2021-09-16	62130	62820	61850	61930	19718	9401	0
2021-09-17	61930	62040	61300	61450	17331	9309	0
2021-09-22	60240	61130	59920	60740	14496	8857	0
2021-09-23	61080	61230	60500	60630	18278	8475	0
2021-09-24	60820	61340	60550	61120	20283	8481	0
2021-09-27	60990	61760	60900	61360	18408	8039	0
2021-09-28	61350	61640	61190	61340	13705	9044	0
2021-09-29	61300	61360	60580	60680	24772	8869	0
2021-09-30	60790	60920	60050	60080	18986	8835	0
2021-10-08	61310	61580	60990	61020	11601	9389	0
2021-10-11	61170	62120	61090	62080	26266	10571	0
2021-10-12	62130	62870	61490	61750	27720	10075	0
2021-10-13	62330	62730	61710	62210	30464	10083	0
2021-10-14	62920	65460	62620	64580	44910	13173	0
2021-10-15	64890	66290	64890	65990	41511	14083	0
2021-10-18	67290	68520	66710	68090	49779	14044	0
2021-10-19	67350	67990	66480	67660	39321	14403	0
2021-10-20	66870	67100	64720	65550	43154	15510	0
2021-10-21	65660	66970	64850	65120	37252	16020	0
2021-10-22	65060	65350	63990	64720	36346	16069	0
2021-10-25	64440	64640	63300	64300	33382	15073	0
2021-10-26	64090	64530	63770	64080	22468	13006	0
2021-10-27	64030	64200	62510	62510	22419	12753	0
2021-10-28	62300	63410	61890	63130	27824	13009	0
2021-10-29	62740	63180	62170	62420	19650	13398	0
2021-11-01	62290	62700	61790	62110	21058	12997	0
2021-11-02	62160	62820	61480	61600	20538	12744	0
2021-11-03	62180	63170	61770	63060	22859	12784	0
2021-11-04	62820	62820	61560	62030	20766	13021	0
2021-11-05	62280	62310	60880	61550	20809	13011	0
2021-11-08	61350	62330	61240	61960	17822	12773	0
2021-11-09	62090	62660	61830	62450	17420	12834	0
2021-11-10	62730	62730	61750	62170	21207	13133	0
2021-11-11	62110	62660	61760	62290	19897	12841	0
2021-11-12	62500	63010	62400	62460	21115	12798	0
2021-11-15	62400	63260	62390	62690	16263	12789	0
2021-11-16	62840	63100	62190	62290	12311	13142	0
2021-11-17	62640	62640	61770	62020	16132	12731	0
