BUL9 沥青指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2013-10-09	4598	4650	4478	4482	348084	70826	0
2013-10-10	4472	4526	4458	4508	211202	59318	0
2013-10-11	4514	4526	4460	4470	184686	65140	0
2013-10-14	4480	4494	4438	4448	152084	71040	0
2013-10-15	4452	4498	4440	4446	205172	67194	0
2013-10-16	4434	4488	4432	4436	208108	70434	0
2013-10-17	4452	4464	4412	4414	143604	76362	0
2013-10-18	4416	4432	4404	4406	90502	78640	0
2013-10-21	4414	4468	4410	4456	156472	62104	0
2013-10-22	4448	4456	4432	4444	58382	59474	0
2013-10-23	4436	4448	4412	4440	85922	57502	0
2013-10-24	4438	4482	4430	4460	162240	56806	0
2013-10-25	4464	4464	4410	4410	116512	43412	0
2013-10-28	4414	4416	4252	4270	357956	97430	0
2013-10-29	4270	4288	4250	4272	232692	96152	0
2013-10-30	4272	4330	4230	4318	393468	63580	0
2013-10-31	4308	4326	4290	4294	129564	56496	0
2013-11-01	4290	4342	4258	4312	192536	46292	0
2013-11-04	4284	4338	4282	4316	94986	45510	0
2013-11-05	4312	4332	4268	4312	127518	43728	0
2013-11-06	4304	4320	4294	4312	71676	45792	0
2013-11-07	4316	4324	4272	4278	114216	65332	0
2013-11-08	4276	4286	4256	4264	104266	72412	0
2013-11-11	4266	4288	4258	4282	61848	67726	0
2013-11-12	4276	4310	4272	4306	88762	55092	0
2013-11-13	4284	4294	4266	4290	65736	57160	0
2013-11-14	4300	4306	4268	4270	52176	61116	0
2013-11-15	4270	4288	4250	4274	106202	60764	0
2013-11-18	4282	4318	4276	4296	49984	55752	0
2013-11-19	4286	4308	4270	4300	72776	57862	0
2013-11-20	4300	4330	4300	4314	76396	56864	0
2013-11-21	4310	4314	4294	4302	33602	54952	0
2013-11-22	4316	4354	4314	4342	75690	54746	0
2013-11-25	4340	4372	4322	4360	85036	56340	0
2013-11-26	4362	4446	4356	4374	228092	50498	0
2013-11-27	4372	4386	4336	4340	77680	46426	0
2013-11-28	4336	4362	4324	4350	48134	42292	0
2013-11-29	4356	4370	4336	4356	42366	40144	0
2013-12-02	4366	4376	4346	4358	46410	41828	0
2013-12-03	4364	4404	4356	4386	83056	45078	0
2013-12-04	4410	4414	4382	4392	94150	50120	0
2013-12-05	4400	4408	4376	4380	57612	43332	0
2013-12-06	4386	4432	4364	4426	137768	63982	0
2013-12-09	4426	4442	4380	4400	120384	51104	0
2013-12-10	4402	4410	4384	4392	51038	50586	0
2013-12-11	4394	4406	4384	4394	33482	48892	0
2013-12-12	4400	4422	4376	4392	80196	53832	0
2013-12-13	4392	4392	4308	4374	89038	50000	0
2013-12-16	4380	4386	4340	4366	35422	46722	0
2013-12-17	4366	4368	4334	4336	35744	45990	0
2013-12-18	4336	4346	4322	4340	23716	45324	0
2013-12-19	4340	4356	4334	4334	14312	44202	0
2013-12-20	4334	4356	4322	4322	31336	46666	0
2013-12-23	4322	4338	4314	4336	22966	45178	0
2013-12-24	4334	4340	4322	4332	15920	45402	0
2013-12-25	4332	4362	4332	4344	16876	46752	0
2013-12-26	4348	4350	4276	4288	67832	54982	0
2013-12-27	4284	4334	4270	4324	58462	47448	0
2013-12-30	4326	4348	4320	4342	22334	42216	0
2013-12-31	4328	4332	4300	4312	24220	44162	0
2014-01-02	4310	4322	4292	4300	24404	45482	0
2014-01-03	4292	4302	4266	4290	25152	45662	0
2014-01-06	4282	4316	4276	4298	17490	45934	0
2014-01-07	4286	4300	4262	4262	25656	49250	0
2014-01-08	4262	4290	4222	4288	38568	46616	0
2014-01-09	4280	4324	4278	4296	24794	44092	0
2014-01-10	4296	4318	4274	4296	11184	43332	0
2014-01-13	4294	4330	4292	4320	12766	42070	0
2014-01-14	4322	4354	4314	4352	21946	42446	0
2014-01-15	4334	4382	4334	4378	24686	45478	0
2014-01-16	4384	4440	4366	4372	17796	42026	0
