CFL9 郑棉指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2004-06-01	16489	16591	14526	14777	3244	1458	0
2004-06-02	14743	14744	14395	14395	1396	1798	0
2004-06-03	13756	14065	13621	13727	3044	1986	0
2004-06-04	13588	13914	13578	13793	2660	2230	0
2004-06-07	13895	14004	13741	13885	3098	2876	0
2004-06-08	13804	13907	13600	13696	3914	3494	0
2004-06-09	13741	13805	13616	13654	2866	3598	0
2004-06-10	13684	13740	13642	13684	1574	3644	0
2004-06-11	13704	13763	13654	13683	2098	3644	0
2004-06-14	13686	13701	13612	13649	2612	4938	0
2004-06-15	13610	13633	13169	13295	6054	5736	0
2004-06-16	13122	13169	13056	13133	3980	6272	0
2004-06-17	13008	13340	12935	13203	4408	6388	0
2004-06-18	13179	13206	13072	13112	3984	6578	0
2004-06-21	13149	13149	12966	12975	4958	7158	0
2004-06-22	12864	12915	12651	12677	6000	7726	0
2004-06-23	12527	12963	12510	12870	9620	8452	0
2004-06-24	12947	13220	12907	13191	9604	8758	0
2004-06-25	13256	13357	13055	13148	11770	8554	0
2004-06-28	13197	13203	12975	13015	7898	8796	0
2004-06-29	12939	13343	12888	13306	21512	10720	0
2004-06-30	13285	13419	13203	13323	23404	11498	0
2004-07-01	13281	13371	13187	13315	20148	12566	0
2004-07-02	13289	13353	13218	13235	18112	13038	0
2004-07-05	13168	13210	12753	12753	26642	13046	0
2004-07-06	12654	12891	12633	12821	28824	13506	0
2004-07-07	12840	12963	12759	12829	23960	12606	0
2004-07-08	12885	12895	12666	12803	21694	13468	0
2004-07-09	12780	12970	12773	12945	20996	12762	0
2004-07-12	12984	13427	12971	13425	35948	15890	0
2004-07-13	13385	13432	13091	13185	44820	16146	0
2004-07-14	13178	13190	13013	13118	34882	19320	0
2004-07-15	13167	13294	13146	13254	31318	21114	0
2004-07-16	13350	13353	13184	13207	32204	21512	0
2004-07-19	13236	13359	13200	13334	36696	22916	0
2004-07-20	13350	13412	13314	13364	30814	24434	0
2004-07-21	13429	13752	13281	13344	43928	24568	0
2004-07-22	13250	13427	13245	13342	37004	24836	0
2004-07-23	13301	13343	13130	13175	40322	23658	0
2004-07-26	13137	13151	13019	13066	31250	23530	0
2004-07-27	12974	13060	12936	12990	31076	25644	0
2004-07-28	12969	13047	12948	13003	26316	25228	0
2004-07-29	13044	13158	13004	13149	43316	26154	0
