CJL9 红枣指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2019-05-06	8845	8845	8605	8650	384814	72372	0
2019-05-07	8665	8710	8525	8595	336582	91120	0
2019-05-08	8590	8685	8580	8610	248064	92130	0
2019-05-09	8640	8665	8565	8595	214900	91068	0
2019-05-10	8625	8710	8595	8640	198688	86178	0
2019-05-13	8660	9090	8640	9090	654230	125606	0
2019-05-14	9270	9565	9240	9495	1343846	110496	0
2019-05-15	9555	9855	9385	9655	1295892	139696	0
2019-05-16	9690	9880	9625	9715	1402688	163908	0
2019-05-17	9735	9790	9630	9750	889516	154596	0
2019-05-20	9780	9910	9655	9745	905660	152556	0
2019-05-21	9770	9895	9690	9830	813912	153906	0
2019-05-22	9810	10300	9805	10295	1880914	188800	0
2019-05-23	10345	10405	10260	10350	1259344	199232	0
2019-05-24	10295	10735	10270	10730	1354560	226640	0
2019-05-27	10655	10935	10495	10565	1909990	204234	0
2019-05-28	10630	10685	10300	10405	2169338	187696	0
2019-05-29	10430	10650	10400	10555	1150476	215936	0
2019-05-30	10625	10755	10375	10530	1319124	203016	0
2019-05-31	10525	10575	10350	10480	945046	192242	0
2019-06-03	10505	10555	10000	10090	1111326	176948	0
2019-06-04	10095	10170	9955	10140	814370	173248	0
2019-06-05	10140	10195	10010	10090	590470	171504	0
2019-06-06	9955	9970	9615	9745	920918	152582	0
2019-06-10	9630	9880	9630	9815	592744	161532	0
2019-06-11	9835	9990	9810	9955	556484	157670	0
2019-06-12	9895	9900	9740	9815	485248	152996	0
2019-06-13	9940	10305	9920	10300	1014460	193364	0
2019-06-14	10360	10540	10140	10225	997380	154134	0
2019-06-17	10210	10435	10130	10430	565418	176768	0
2019-06-18	10375	10440	10075	10120	881282	160696	0
2019-06-19	10205	10295	10120	10220	618734	152762	0
2019-06-20	10300	10360	10180	10265	399230	143416	0
2019-06-21	10335	10505	10280	10470	576690	168528	0
2019-06-24	10485	10565	10360	10440	357926	161548	0
2019-06-25	10425	10470	10315	10390	275928	152316	0
2019-06-26	10355	10440	10335	10410	205578	149878	0
2019-06-27	10420	10670	10370	10500	512834	162876	0
2019-06-28	10520	10605	10300	10330	326324	138514	0
2019-07-01	10245	10350	10185	10280	228892	138654	0
2019-07-02	10315	10355	10155	10335	251848	133328	0
2019-07-03	10280	10415	10230	10320	244268	129692	0
2019-07-04	10350	10420	10305	10370	226738	131138	0
2019-07-05	10385	10395	10220	10310	195066	123312	0
2019-07-08	10355	10560	10350	10550	279530	141590	0
2019-07-09	10620	10625	10420	10485	235470	128616	0
2019-07-10	10470	10490	10255	10395	265472	124448	0
2019-07-11	10405	10445	10280	10405	180572	121558	0
2019-07-12	10390	10525	10330	10475	232350	126358	0
2019-07-15	10455	10605	10400	10460	222072	122406	0
2019-07-16	10425	10535	10415	10530	137784	125050	0
2019-07-17	10520	10675	10425	10465	240802	126970	0
2019-07-18	10450	10470	10330	10355	164446	120110	0
2019-07-19	10320	10375	10220	10335	173424	115392	0
2019-07-22	10340	10340	10185	10305	140914	115142	0
2019-07-23	10285	10305	10175	10205	166130	123564	0
2019-07-24	10165	10210	10000	10130	229298	125324	0
2019-07-25	10120	10140	10055	10090	92364	120296	0
2019-07-26	10060	10215	10020	10215	157012	113402	0
2019-07-29	10205	10245	10140	10190	85196	108924	0
2019-07-30	10205	10300	10165	10265	111034	107164	0
2019-07-31	10265	10320	10225	10260	69718	101598	0
2019-08-01	10230	10265	10110	10120	110188	105966	0
2019-08-02	10105	10190	10060	10170	101536	100476	0
2019-08-05	10215	10230	10020	10115	130904	102948	0
2019-08-06	10185	10650	10160	10645	412832	155954	0
2019-08-07	10715	10795	10530	10670	413056	140148	0
2019-08-08	10680	10915	10620	10760	385264	152130	0
2019-08-09	10780	10850	10575	10770	300632	146528	0
2019-08-12	10820	10965	10695	10720	316632	154722	0
2019-08-13	10680	10710	10595	10635	202974	143344	0
2019-08-14	10605	10625	10500	10560	180684	134004	0
2019-08-15	10535	10640	10515	10630	107878	126912	0
2019-08-16	10735	10830	10675	10725	248204	138968	0
2019-08-19	10775	10815	10720	10730	123424	143180	0
2019-08-20	10740	10785	10590	10610	162012	131276	0
2019-08-21	10560	10720	10555	10720	120520	127704	0
2019-08-22	10745	10745	10635	10690	98732	129930	0
2019-08-23	10675	10720	10615	10680	108398	128280	0
2019-08-26	10655	10800	10550	10575	150058	121918	0
2019-08-27	10565	10670	10545	10670	103554	117076	0
2019-08-28	10655	10700	10575	10605	84392	113002	0
2019-08-29	10630	10775	10620	10730	158912	126994	0
2019-08-30	10760	10840	10680	10700	130166	121804	0
2019-09-02	10710	10710	10600	10665	88762	112802	0
2019-09-03	10700	11195	10660	11195	295452	171740	0
2019-09-04	11315	11525	11300	11455	445396	174990	0
2019-09-05	11470	11485	11095	11200	343396	155608	0
2019-09-06	11180	11230	10795	10795	338000	123848	0
2019-09-09	10800	10830	10650	10700	238290	120146	0
2019-09-10	10705	10785	10670	10705	132534	117672	0
2019-09-11	10665	10755	10320	10410	361062	122432	0
2019-09-12	10410	10455	10290	10350	251202	115456	0
2019-09-16	10410	10500	10215	10400	224606	111670	0
2019-09-17	10385	10485	10355	10470	118948	106630	0
2019-09-18	10450	10555	10390	10485	174444	104486	0
2019-09-19	10495	10505	10245	10490	298302	110422	0
2019-09-20	10455	10470	10345	10400	140528	103942	0
2019-09-23	10365	10395	10060	10240	370900	122200	0
2019-09-24	10245	10310	10185	10270	162470	116012	0
2019-09-25	10265	10275	10165	10270	139248	113292	0
2019-09-26	10270	10425	10240	10315	153378	108940	0
2019-09-27	10275	10310	10135	10300	178820	96658	0
2019-09-30	10310	10330	10145	10235	151274	92316	0
2019-10-08	10210	10510	10175	10355	181060	91760	0
2019-10-09	10355	10380	10300	10355	86994	92236	0
2019-10-10	10375	10415	10320	10360	88016	94352	0
2019-10-11	10380	10395	10245	10370	135766	92874	0
2019-10-14	10380	10500	10325	10470	158462	102758	0
2019-10-15	10455	10540	10385	10480	122050	99994	0
2019-10-16	10480	10480	10400	10440	87106	98110	0
2019-10-17	10445	10445	9935	9950	445098	154790	0
2019-10-18	9945	10090	9800	10040	461150	150766	0
2019-10-21	9990	10110	9925	10030	254912	144986	0
2019-10-22	9990	10055	9970	10030	127318	143866	0
2019-10-23	10050	10515	9990	10515	355526	172720	0
2019-10-24	10615	10690	10535	10625	393924	139728	0
2019-10-25	10610	10650	10540	10640	226840	135176	0
2019-10-28	10665	10670	10475	10665	207876	133626	0
2019-10-29	10615	10750	10595	10655	205978	131886	0
2019-10-30	10630	10685	10585	10675	112804	124532	0
2019-10-31	10670	10725	10600	10680	138296	116394	0
2019-11-01	10680	10755	10620	10735	114158	111126	0
2019-11-04	10785	11200	10780	10980	384234	125164	0
2019-11-05	11000	11040	10865	10950	137524	114336	0
2019-11-06	10945	10960	10745	10755	148660	105398	0
2019-11-07	10760	10895	10755	10860	117922	109922	0
2019-11-08	10870	11055	10845	11020	209658	129620	0
2019-11-11	10975	11025	10860	10975	166590	127586	0
2019-11-12	10940	11010	10895	10960	112408	125978	0
2019-11-13	10925	11090	10885	11030	127486	126236	0
2019-11-14	11030	11230	11015	11120	341030	151272	0
2019-11-15	11070	11175	11035	11175	146472	147758	0
2019-11-18	11125	11170	11020	11110	153614	144870	0
2019-11-19	11075	11080	10785	10915	245108	130564	0
2019-11-20	10875	11055	10865	11040	140510	132182	0
2019-11-21	10980	10995	10905	10945	117074	123454	0
2019-11-22	10815	10920	10750	10865	152022	122266	0
2019-11-25	10845	10895	10755	10895	118918	112778	0
2019-11-26	10840	10910	10825	10865	95084	112212	0
2019-11-27	10865	10950	10760	10805	144042	107904	0
2019-11-28	10825	10880	10805	10875	88962	100034	0
2019-11-29	10865	11110	10840	11075	194302	102058	0
2019-12-02	11055	11085	10890	10915	120526	86832	0
2019-12-03	10920	10955	10900	10920	54656	86274	0
2019-12-04	10925	10955	10805	10895	101908	84540	0
2019-12-05	10870	10885	10800	10810	62632	84186	0
2019-12-06	10690	10875	10620	10850	152900	85380	0
2019-12-09	10870	11060	10790	10870	133974	83274	0
2019-12-10	10865	10920	10830	10830	67326	79890	0
2019-12-11	10860	10930	10815	10840	90050	80366	0
2019-12-12	10865	10910	10840	10895	64578	77698	0
2019-12-13	10895	10915	10805	10890	86766	75304	0
2019-12-16	10975	10980	10855	10905	82546	75896	0
2019-12-17	10900	10945	10875	10875	54836	72656	0
2019-12-18	10850	10890	10760	10850	102766	78454	0
2019-12-19	10860	10880	10810	10870	57592	76742	0
2019-12-20	10860	10920	10850	10910	76782	75368	0
2019-12-23	10895	10950	10820	10820	77584	74848	0
2019-12-24	10825	10830	10730	10785	79784	76962	0
2019-12-25	10785	10830	10720	10810	47702	74964	0
2019-12-26	10835	10865	10785	10845	50434	72350	0
2019-12-27	10825	10895	10810	10880	46546	70624	0
2019-12-30	10880	11000	10820	10905	110786	68768	0
2019-12-31	10880	10965	10850	10915	90622	69538	0
2020-01-02	10920	10960	10890	10930	25604	36389	0
2020-01-03	10935	10970	10870	10910	33329	36004	0
2020-01-06	10895	10935	10755	10810	63958	37786	0
2020-01-07	10810	10840	10440	10495	133767	52117	0
2020-01-08	10515	10540	10355	10460	73964	53601	0
2020-01-09	10420	10510	10400	10430	44868	52928	0
2020-01-10	10275	10505	10140	10500	140493	53475	0
2020-01-13	10500	10515	10395	10460	49648	50805	0
2020-01-14	10480	10575	10395	10515	50197	48658	0
2020-01-15	10525	10575	10445	10545	46088	48074	0
2020-01-16	10540	10615	10475	10545	42708	46553	0
2020-01-17	10555	10610	10515	10610	31271	45608	0
2020-01-20	10655	10690	10515	10515	38610	44562	0
2020-01-21	10535	10580	10500	10555	31693	43448	0
2020-01-22	10525	10670	10470	10640	44288	40949	0
2020-01-23	10610	10660	10570	10650	21161	38292	0
2020-02-03	10325	10390	9985	10155	93064	39182	0
2020-02-04	10140	10305	10060	10285	40196	37292	0
2020-02-05	10275	10360	10245	10290	30917	36400	0
2020-02-06	10285	10330	10255	10325	22520	36415	0
2020-02-07	10320	10380	10315	10375	27182	37075	0
2020-02-10	10315	10405	10315	10380	26676	37871	0
2020-02-11	10385	10450	10370	10440	25705	37266	0
2020-02-12	10445	10535	10440	10495	27713	37740	0
2020-02-13	10480	10515	10455	10510	16566	36798	0
2020-02-14	10500	10510	10410	10475	27160	37938	0
2020-02-17	10485	10605	10460	10595	31145	39916	0
2020-02-18	10565	10615	10550	10570	15380	39150	0
2020-02-19	10560	10605	10555	10560	12278	38861	0
2020-02-20	10560	10700	10545	10635	36282	38923	0
2020-02-21	10610	10650	10590	10615	15532	37699	0
2020-02-24	10595	10620	10500	10515	25883	35990	0
2020-02-25	10505	10660	10495	10600	33072	35575	0
2020-02-26	10590	10610	10520	10555	17750	35085	0
2020-02-27	10555	10570	10330	10430	61483	38515	0
2020-02-28	10415	10515	10365	10470	57776	37538	0
2020-03-02	10465	10710	10395	10620	54490	35042	0
2020-03-03	10590	10635	10510	10555	29607	33454	0
2020-03-04	10540	10595	10510	10555	20350	31647	0
2020-03-05	10525	10570	10510	10520	19588	29769	0
2020-03-06	10455	10500	10400	10445	36123	30303	0
2020-03-09	10345	10555	10325	10465	36169	28972	0
2020-03-10	10475	10515	10445	10460	18058	27389	0
2020-03-11	10465	10485	10340	10380	42122	30756	0
2020-03-12	10390	10440	10275	10435	34156	30015	0
2020-03-13	10370	10450	10320	10420	27097	28537	0
2020-03-16	10390	10465	10355	10365	22496	27841	0
2020-03-17	10355	10420	10295	10400	21570	25939	0
2020-03-18	10385	10405	10335	10365	18063	26246	0
2020-03-19	10360	10360	10120	10285	42697	28119	0
2020-03-20	10335	10635	10285	10360	34749	22373	0
2020-03-23	10285	10295	10205	10225	23730	23521	0
2020-03-24	10235	10295	9955	10110	60528	29006	0
2020-03-25	10130	10140	9890	9950	56359	33926	0
2020-03-26	9940	10175	9870	10170	53805	27699	0
2020-03-27	10165	10335	10150	10320	40546	24795	0
2020-03-30	10355	10360	10230	10270	25520	23767	0
2020-03-31	10265	10350	10260	10345	20384	21941	0
2020-04-01	10330	10400	10240	10295	19658	19829	0
2020-04-02	10290	10350	10270	10350	12699	18652	0
2020-04-03	10335	10370	10175	10240	22835	19985	0
2020-04-07	10255	10305	10195	10205	15906	21496	0
2020-04-08	10150	10290	10060	10255	21871	21642	0
2020-04-09	10240	10250	10165	10235	19941	22195	0
2020-04-10	10205	10230	10050	10090	36016	27323	0
2020-04-13	10110	10175	10020	10155	31028	26106	0
2020-04-14	10155	10200	10125	10180	16569	24193	0
2020-04-15	10160	10195	10075	10095	23980	25427	0
2020-04-16	10100	10145	10020	10140	20957	23917	0
2020-04-17	10135	10225	10135	10215	16000	22996	0
2020-04-20	10230	10245	10130	10145	15145	22784	0
2020-04-21	10140	10160	10065	10095	19815	22939	0
2020-04-22	10100	10220	10055	10205	26851	22966	0
2020-04-23	10195	10210	10160	10180	14232	23389	0
2020-04-24	10185	10425	10180	10195	90271	25284	0
2020-04-27	10210	10490	10200	10245	84231	27372	0
2020-04-28	10270	10280	10205	10255	22020	25001	0
2020-04-29	10260	10260	10120	10130	23415	22800	0
2020-04-30	10155	10195	10135	10150	15382	23227	0
2020-05-06	10180	10250	10165	10220	18796	18773	0
2020-05-07	10230	10260	10225	10255	13109	19428	0
2020-05-08	10285	10305	10190	10225	18025	18637	0
2020-05-11	10235	10285	10235	10260	15138	20400	0
2020-05-12	10270	10295	10230	10240	15657	19762	0
2020-05-13	10260	10325	10210	10320	30859	21457	0
2020-05-14	10325	10340	10275	10290	15737	20579	0
2020-05-15	10300	10335	10280	10300	14525	20043	0
2020-05-18	10330	10360	10275	10310	17834	19303	0
2020-05-19	10315	10340	10270	10280	13972	18754	0
2020-05-20	10290	10300	10245	10275	10665	17730	0
2020-05-21	10280	10340	10275	10305	16749	19331	0
2020-05-22	10290	10300	10145	10155	22804	18734	0
2020-05-25	10170	10210	10165	10170	10745	18749	0
2020-05-26	10175	10220	10170	10220	10235	18130	0
2020-05-27	10210	10230	10185	10220	8028	17534	0
2020-05-28	10210	10240	10115	10145	18900	19343	0
2020-05-29	10155	10170	10005	10010	20319	23021	0
2020-06-01	9995	10085	9975	10070	24004	23059	0
2020-06-02	10050	10100	10005	10045	15935	22669	0
2020-06-03	10070	10090	10055	10080	9992	22250	0
2020-06-04	10065	10095	10000	10095	18380	22341	0
2020-06-05	10135	10135	10080	10115	13979	21610	0
2020-06-08	10150	10155	10115	10140	11582	21018	0
2020-06-09	10145	10145	10050	10070	11568	20859	0
2020-06-10	10075	10165	10035	10165	17902	21628	0
2020-06-11	10190	10260	10145	10190	30313	21379	0
2020-06-12	10160	10185	10145	10185	10267	20277	0
2020-06-15	10190	10195	10145	10155	15724	19706	0
2020-06-16	10170	10195	10100	10150	18238	19448	0
2020-06-17	10135	10165	10110	10150	10295	18728	0
2020-06-18	10145	10180	10110	10150	15147	19292	0
2020-06-19	10150	10190	10135	10150	13189	18769	0
2020-06-22	10130	10185	10020	10025	23884	20224	0
2020-06-23	10005	10075	10005	10025	15906	21101	0
2020-06-24	10020	10035	9715	9790	59571	31186	0
2020-06-29	9780	9810	9695	9805	29152	30850	0
2020-06-30	9835	9845	9770	9800	18515	29652	0
2020-07-01	9810	9865	9785	9825	10952	28406	0
2020-07-02	9830	9935	9790	9920	22981	24109	0
2020-07-03	9925	9995	9915	9970	13510	22025	0
2020-07-06	9975	9995	9950	9975	8681	21656	0
2020-07-07	9980	10005	9940	9980	10742	21089	0
2020-07-08	9985	9990	9895	9960	11995	20809	0
2020-07-09	9960	9985	9945	9950	11048	20646	0
2020-07-10	9925	9930	9750	9800	24754	22407	0
2020-07-13	9810	9855	9800	9830	16813	21413	0
2020-07-14	9800	9875	9790	9840	15179	21022	0
2020-07-15	9840	9985	9840	9945	22537	20683	0
2020-07-16	9940	9960	9905	9920	9361	20013	0
2020-07-17	9910	9940	9510	9540	37636	23404	0
2020-07-20	9550	9560	9345	9440	39521	25469	0
2020-07-21	9445	9505	9430	9470	18680	24634	0
2020-07-22	9475	9520	9335	9360	23430	25342	0
2020-07-23	9390	9425	9230	9345	32140	25896	0
2020-07-24	9330	9470	9200	9395	36184	23585	0
2020-07-27	9405	9505	9360	9390	24788	23184	0
2020-07-28	9410	9455	9355	9375	14508	22643	0
2020-07-29	9375	9425	9275	9360	21802	22290	0
2020-07-30	9370	9455	9340	9420	20932	20767	0
2020-07-31	9450	9535	9435	9480	26435	18821	0
2020-08-03	9485	9485	9395	9455	14477	18248	0
2020-08-04	9445	9480	9410	9445	9214	18391	0
2020-08-05	9450	9585	9420	9495	18349	17538	0
2020-08-06	9495	9555	9215	9220	36367	19817	0
2020-08-07	9205	9310	9155	9290	24369	18596	0
2020-08-10	9260	9580	9255	9565	36518	18405	0
2020-08-11	9605	9725	9545	9585	48922	17537	0
2020-08-12	9585	9605	9490	9515	26270	16370	0
2020-08-13	9575	9640	9545	9620	19032	15112	0
2020-08-14	9620	9625	9500	9540	19918	14573	0
2020-08-17	9570	9585	9495	9555	12749	14288	0
2020-08-18	9555	9645	9555	9580	11278	14098	0
2020-08-19	9595	9635	9530	9635	9209	14150	0
2020-08-20	9630	9645	9490	9530	10635	14658	0
2020-08-21	9570	9570	9440	9485	23648	17970	0
2020-08-24	9470	9620	9465	9600	24531	16848	0
2020-08-25	9610	9665	9575	9620	23979	15544	0
2020-08-26	9610	9630	9555	9585	18123	15928	0
2020-08-27	9600	9625	9560	9580	12948	16145	0
2020-08-28	9585	9615	9515	9580	20267	15524	0
2020-08-31	9600	9755	9590	9740	23016	16065	0
2020-09-01	9760	9850	9740	9765	21887	17920	0
2020-09-02	9790	9805	9715	9790	15616	17974	0
2020-09-03	9835	10115	9815	10000	64889	20537	0
2020-09-04	10010	10170	9990	10055	38585	20319	0
2020-09-07	10095	10250	10095	10225	36244	22942	0
2020-09-08	10210	10225	10120	10190	29859	22569	0
2020-09-09	10205	10305	9935	9995	49350	19969	0
2020-09-10	10020	10035	9915	9920	20024	20071	0
2020-09-11	9930	10040	9925	9965	21284	20008	0
2020-09-14	9950	10080	9930	10010	18399	20151	0
2020-09-15	10025	10095	9935	9990	22255	19707	0
2020-09-16	10005	10050	9955	9985	12204	19111	0
2020-09-17	9995	10170	9995	10105	31241	21019	0
2020-09-18	10135	10185	10045	10135	21860	21499	0
2020-09-21	10185	10215	10115	10125	17997	21522	0
2020-09-22	10085	10120	9975	10030	23659	19800	0
2020-09-23	10045	10075	9945	9985	16177	19184	0
2020-09-24	9985	10035	9780	9815	34020	18643	0
2020-09-25	9830	9935	9775	9885	27636	16967	0
2020-09-28	9890	9930	9805	9830	20183	16260	0
2020-09-29	9835	9845	9705	9710	16900	16943	0
2020-09-30	9725	9815	9700	9730	16787	15051	0
2020-10-09	9770	10030	9755	9945	39707	15587	0
2020-10-12	9950	10025	9870	9900	30471	16524	0
2020-10-13	9915	9990	9850	9955	23622	16988	0
2020-10-14	9955	10235	9900	10090	77497	21530	0
2020-10-15	10085	10230	10050	10075	45825	22061	0
2020-10-16	10090	10165	10000	10065	27592	22689	0
2020-10-19	10090	10175	10075	10125	35826	23588	0
2020-10-20	10135	10150	10050	10085	21287	24047	0
2020-10-21	10085	10145	10035	10050	20844	22915	0
2020-10-22	10035	10095	10005	10040	15640	22407	0
2020-10-23	10050	10095	10010	10040	17798	22043	0
2020-10-26	9980	10185	9980	10035	36022	22236	0
2020-10-27	10080	10105	10015	10030	15002	21889	0
2020-10-28	10040	10065	9790	9800	34433	22528	0
2020-10-29	9790	9830	9720	9780	25386	22522	0
2020-10-30	9825	10005	9785	9865	35055	20422	0
2020-11-02	9915	9985	9880	9900	17644	19260	0
2020-11-03	9930	9955	9860	9910	13429	19337	0
2020-11-04	9920	10000	9885	9895	16033	18559	0
2020-11-05	9920	9920	9780	9840	21205	19234	0
2020-11-06	9860	9905	9810	9825	12657	19296	0
2020-11-09	9850	9925	9735	9885	20301	18737	0
2020-11-10	9905	9980	9875	9925	24161	19684	0
2020-11-11	9960	10020	9915	9975	18709	19896	0
2020-11-12	10000	10015	9925	9950	15788	19937	0
2020-11-13	9960	10010	9905	9935	22068	20309	0
2020-11-16	9920	9920	9770	9775	25656	20437	0
2020-11-17	9765	9790	9610	9645	35222	22617	0
2020-11-18	9665	9735	9635	9735	15878	22079	0
2020-11-19	9745	9880	9735	9825	21514	19731	0
2020-11-20	9815	9970	9775	9960	28799	21961	0
2020-11-23	10010	10055	9940	9995	25213	23957	0
2020-11-24	9975	10005	9815	9850	26199	20794	0
2020-11-25	9870	9945	9870	9930	14199	18923	0
