CSL9 淀粉指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2014-12-22	2811	2816	2744	2757	29196	10660	0
2014-12-23	2752	2776	2735	2759	19436	11306	0
2014-12-24	2766	2777	2765	2771	8844	10454	0
2014-12-25	2765	2765	2723	2744	21022	11334	0
2014-12-26	2747	2755	2735	2739	9518	11632	0
2014-12-29	2742	2758	2740	2753	6240	11162	0
2014-12-30	2749	2755	2733	2746	9718	10906	0
2014-12-31	2745	2752	2738	2742	5700	10148	0
2015-01-05	2742	2742	2705	2713	14824	12268	0
2015-01-06	2725	2725	2651	2656	31376	17486	0
2015-01-07	2657	2680	2653	2675	17328	15496	0
2015-01-08	2670	2689	2668	2685	11584	15668	0
2015-01-09	2683	2694	2671	2681	13146	16404	0
2015-01-12	2683	2692	2679	2691	8982	16120	0
2015-01-13	2691	2691	2670	2689	11472	16782	0
2015-01-14	2681	2695	2678	2680	9316	15844	0
2015-01-15	2676	2694	2674	2693	7732	15866	0
2015-01-16	2691	2720	2685	2713	13004	15218	0
2015-01-19	2720	2741	2714	2734	9894	14024	0
2015-01-20	2736	2740	2726	2735	4398	14198	0
2015-01-21	2741	2755	2738	2747	8160	14082	0
2015-01-22	2750	2750	2712	2731	11558	15532	0
2015-01-23	2736	2740	2719	2724	5552	16202	0
2015-01-26	2718	2742	2716	2735	6062	16026	0
2015-01-27	2736	2782	2736	2778	14778	15872	0
2015-01-28	2769	2805	2765	2801	14812	17048	0
2015-01-29	2799	2854	2793	2818	24484	17964	0
2015-01-30	2814	2830	2805	2817	15810	18170	0
2015-02-02	2819	2847	2805	2835	12692	18290	0
2015-02-03	2832	2841	2824	2832	10792	18844	0
2015-02-04	2839	2855	2833	2844	12782	19702	0
2015-02-05	2842	2894	2842	2868	62786	25956	0
2015-02-06	2872	2893	2871	2893	16310	25430	0
2015-02-09	2899	2917	2889	2912	46556	32114	0
2015-02-10	2914	2935	2910	2934	43636	36340	0
2015-02-11	2927	2938	2917	2928	28432	36076	0
2015-02-12	2926	2930	2897	2909	38792	32900	0
2015-02-13	2914	2943	2904	2930	30182	33622	0
2015-02-16	2933	2939	2923	2939	12040	32378	0
2015-02-17	2935	2936	2905	2913	16920	30594	0
2015-02-25	2900	2924	2893	2895	14578	30668	0
2015-02-26	2896	2905	2880	2894	24866	30626	0
2015-02-27	2899	2926	2896	2919	21912	32236	0
2015-03-02	2923	2932	2918	2924	13716	33138	0
2015-03-03	2921	2921	2892	2909	18450	28890	0
2015-03-04	2908	2940	2907	2939	28214	34654	0
2015-03-05	2935	2942	2909	2915	27576	30918	0
2015-03-06	2913	2929	2905	2912	16852	29624	0
2015-03-09	2906	2929	2905	2925	25228	32270	0
2015-03-10	2928	2964	2925	2950	112392	55144	0
2015-03-11	2957	3000	2956	2977	144634	64022	0
2015-03-12	2973	2977	2951	2977	76974	62720	0
2015-03-13	2986	3009	2966	2993	98260	67430	0
2015-03-16	2991	3019	2983	3006	119990	73230	0
2015-03-17	3007	3017	2995	3013	47612	74370	0
2015-03-18	3008	3009	2971	2978	66954	61922	0
2015-03-19	2987	2989	2962	2968	59418	60244	0
2015-03-20	2967	2998	2965	2982	66268	61922	0
2015-03-23	2999	3006	2984	2997	31636	60096	0
2015-03-24	3012	3067	3004	3050	104356	68086	0
2015-03-25	3049	3067	3026	3042	67996	67574	0
2015-03-26	3043	3055	3029	3048	40552	71098	0
2015-03-27	3059	3083	3036	3074	128430	75434	0
