CUL9 沪铜指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2000-01-04	18807	18867	18796	18830	17896	118396	0
2000-01-05	18678	18728	18629	18632	28692	123322	0
2000-01-06	18747	18770	18727	18746	16502	122164	0
2000-01-07	18734	18791	18724	18783	8734	121112	0
2000-01-11	18698	18745	18681	18740	13482	121082	0
2000-01-12	18753	18770	18719	18727	9750	121354	0
2000-01-13	18898	18973	18868	18927	32608	120172	0
2000-01-14	18886	18970	18881	18962	13882	119994	0
2000-01-17	19006	19072	18985	19053	19896	120328	0
2000-01-18	19180	19264	19161	19256	26580	110370	0
2000-01-19	19319	19358	19229	19235	25134	111468	0
2000-01-20	19354	19361	19195	19256	34244	113182	0
2000-01-21	19232	19268	19210	19260	14850	112920	0
2000-01-24	19203	19308	19200	19303	9862	112998	0
2000-01-25	19185	19213	19140	19191	24446	110014	0
2000-01-26	19128	19171	19088	19166	19458	108598	0
2000-01-27	19153	19252	19150	19236	13128	110874	0
2000-01-28	19251	19282	19223	19252	11952	113488	0
2000-01-31	19174	19186	19080	19116	21898	114780	0
2000-02-01	19208	19227	19168	19202	12644	113494	0
2000-02-02	19177	19233	19176	19203	13774	113400	0
2000-02-14	19290	19384	19282	19373	26328	122510	0
2000-02-15	19351	19381	19315	19330	21024	130560	0
2000-02-16	19163	19220	19081	19089	31376	130998	0
2000-02-17	19133	19174	19090	19107	13878	132744	0
2000-02-18	19193	19206	19178	19190	7800	133934	0
2000-02-21	19133	19167	19118	19139	10506	137392	0
2000-02-22	19040	19044	18953	18967	22626	136686	0
2000-02-23	19091	19110	19061	19082	10660	137890	0
2000-02-24	19206	19228	19181	19197	14754	138406	0
2000-02-25	19143	19189	19134	19184	8644	138764	0
2000-02-28	18960	19019	18933	19013	25948	141890	0
2000-02-29	18466	18579	18427	18495	60880	136956	0
2000-03-01	18530	18586	18473	18505	29560	145706	0
2000-03-02	18559	18576	18523	18548	15248	147746	0
2000-03-03	18548	18575	18529	18555	12856	151532	0
2000-03-06	18583	18593	18548	18551	14814	149692	0
2000-03-07	18566	18578	18501	18530	15020	146642	0
2000-03-08	18404	18404	18087	18093	45564	142930	0
2000-03-09	18095	18169	18075	18131	16304	141322	0
2000-03-10	18247	18376	18245	18363	25128	140028	0
2000-03-13	18251	18264	18183	18213	16216	141636	0
2000-03-14	18227	18243	18131	18173	16946	139770	0
2000-03-15	18332	18396	18319	18341	24084	145538	0
2000-03-16	18487	18542	18486	18528	17662	137050	0
2000-03-17	18674	18696	18595	18604	21084	137056	0
2000-03-20	18567	18626	18566	18602	11666	136730	0
2000-03-21	18481	18502	18439	18493	16266	137202	0
2000-03-22	18663	18677	18631	18649	18084	139716	0
2000-03-23	18588	18591	18493	18507	18662	139144	0
2000-03-24	18553	18572	18519	18534	10158	139526	0
2000-03-27	18405	18479	18393	18473	12908	140834	0
2000-03-28	18367	18417	18349	18414	18950	141578	0
2000-03-29	18396	18480	18388	18474	11828	142974	0
2000-03-30	18485	18522	18441	18442	10636	143334	0
2000-03-31	18492	18500	18436	18460	11684	144384	0
2000-04-03	18394	18471	18359	18461	15280	145586	0
2000-04-04	18423	18435	18378	18386	17824	147736	0
2000-04-05	18267	18274	18046	18078	41254	144258	0
2000-04-06	18069	18136	17977	17981	17040	143846	0
2000-04-07	17761	17815	17562	17689	49892	140912	0
2000-04-10	17718	17789	17699	17786	21806	144692	0
2000-04-11	17832	17857	17801	17833	16944	145620	0
2000-04-12	17891	17905	17735	17751	19894	144940	0
2000-04-13	17781	17799	17699	17742	22986	144852	0
2000-04-14	17643	17666	17602	17633	22418	146234	0
2000-04-17	17437	17490	17378	17427	42976	152212	0
2000-04-18	17444	17679	17429	17642	60124	160050	0
2000-04-19	17784	17844	17749	17814	27786	158582	0
2000-04-20	17773	17788	17643	17692	33660	158084	0
2000-04-21	17731	17762	17711	17746	7524	157386	0
2000-04-24	17747	17777	17746	17771	5404	156696	0
2000-04-25	17781	17816	17727	17740	12486	156470	0
2000-04-26	18042	18108	18040	18096	46030	154888	0
2000-04-27	18014	18059	17965	18052	21008	152790	0
2000-04-28	18117	18147	18094	18116	31464	149580	0
2000-05-08	18666	18666	18481	18505	56626	141608	0
2000-05-09	18483	18483	18401	18405	17056	142124	0
2000-05-10	18454	18499	18445	18467	15322	143366	0
2000-05-11	18343	18348	18209	18221	37872	138598	0
2000-05-12	18332	18373	18314	18370	22112	136360	0
2000-05-15	18597	18611	18498	18521	44250	138228	0
2000-05-16	18477	18574	18460	18539	23170	136276	0
2000-05-17	18667	18671	18509	18512	33974	130924	0
2000-05-18	18447	18519	18409	18442	21744	130432	0
2000-05-19	18447	18491	18386	18485	28602	133518	0
2000-05-22	18454	18482	18423	18449	16738	135642	0
2000-05-23	18365	18388	18328	18358	22670	136528	0
2000-05-24	18363	18537	18327	18530	27242	137454	0
2000-05-25	18425	18456	18401	18411	17164	136948	0
2000-05-26	18346	18348	18285	18310	21624	133126	0
2000-05-29	18373	18377	18298	18305	13890	130632	0
2000-05-30	18297	18304	18229	18281	23878	132612	0
2000-05-31	18042	18124	17992	17994	57030	126888	0
2000-06-01	18141	18176	18121	18152	25642	128072	0
2000-06-02	18134	18188	18100	18182	16838	130674	0
2000-06-05	17999	18053	17965	18011	42058	131006	0
2000-06-06	18102	18127	18088	18117	15808	131620	0
2000-06-07	18115	18120	18054	18065	9100	131908	0
2000-06-08	17942	18010	17924	17995	44114	137392	0
2000-06-09	18068	18087	18047	18053	14582	138944	0
2000-06-12	18010	18064	18010	18033	10102	139666	0
2000-06-13	18025	18079	17995	18003	20200	143496	0
2000-06-14	18122	18175	18103	18174	20610	145086	0
2000-06-15	18272	18294	18244	18277	31140	146434	0
2000-06-16	18374	18398	18340	18395	38902	141836	0
2000-06-19	18457	18465	18343	18351	34590	142472	0
2000-06-20	18386	18408	18325	18341	21658	143500	0
2000-06-21	18269	18319	18236	18252	24774	143314	0
2000-06-22	18366	18368	18313	18335	19238	143090	0
2000-06-23	18247	18259	18190	18233	30154	144296	0
2000-06-26	18148	18176	18131	18158	17286	144826	0
2000-06-27	18290	18310	18271	18294	23964	143466	0
2000-06-28	18212	18218	18185	18200	19396	144852	0
2000-06-29	18259	18274	18234	18247	14120	144692	0
2000-06-30	18173	18226	18167	18216	16414	145688	0
2000-07-03	18228	18229	18157	18171	9658	145504	0
2000-07-04	18176	18238	18155	18232	10760	144670	0
2000-07-05	18207	18305	18195	18291	13796	145622	0
2000-07-06	18276	18339	18266	18310	18402	145978	0
2000-07-07	18191	18208	18168	18172	30080	147308	0
2000-07-10	18188	18211	18166	18168	7622	148292	0
2000-07-11	18254	18274	18232	18247	15406	147152	0
2000-07-12	18256	18266	18234	18246	10352	145998	0
2000-07-13	18313	18329	18285	18313	27228	147810	0
2000-07-14	18271	18293	18262	18285	10982	148688	0
2000-07-17	18282	18295	18264	18282	10260	148984	0
2000-07-18	18539	18689	18539	18673	58606	140916	0
2000-07-19	18626	18690	18613	18684	22690	141494	0
2000-07-20	18652	18658	18621	18630	18174	144230	0
2000-07-21	18703	18735	18698	18712	22642	145990	0
2000-07-24	18980	18987	18898	18921	66144	137586	0
2000-07-25	18923	18940	18883	18925	24666	135844	0
2000-07-26	18948	19035	18939	19023	26966	139480	0
2000-07-27	18931	18959	18896	18927	26442	142880	0
2000-07-28	19106	19128	19062	19065	42646	142738	0
2000-07-31	18996	19008	18960	18973	23410	143326	0
2000-08-01	19031	19035	18920	18956	18684	141744	0
2000-08-02	18985	19023	18977	19000	13980	143000	0
2000-08-03	18921	18940	18896	18904	18376	141674	0
2000-08-04	18911	18936	18876	18883	12594	141408	0
2000-08-07	18932	18950	18926	18945	9012	141848	0
2000-08-08	18935	18938	18887	18897	6552	140810	0
2000-08-09	18847	18879	18828	18860	16514	139678	0
2000-08-10	18950	18975	18921	18954	13802	139922	0
2000-08-11	18894	18963	18888	18943	12574	139348	0
2000-08-14	18927	19002	18923	18992	16866	142800	0
2000-08-15	19060	19072	19032	19070	19078	145074	0
2000-08-16	19082	19103	19062	19101	9836	137212	0
2000-08-17	19070	19078	19036	19061	11460	137166	0
2000-08-18	19099	19135	19094	19114	16446	138012	0
2000-08-21	19086	19105	19077	19087	9118	138148	0
2000-08-22	18984	19000	18958	18982	25470	136700	0
2000-08-23	19022	19028	18945	18947	14200	135794	0
2000-08-24	18940	18957	18892	18899	19050	134000	0
2000-08-25	18968	19001	18959	18992	13264	133040	0
2000-08-28	19011	19061	18997	19041	10200	134012	0
2000-08-29	19033	19064	19004	19059	5660	133564	0
2000-08-30	19340	19467	19340	19459	64122	141736	0
2000-08-31	19493	19507	19411	19414	33922	143790	0
2000-09-01	19445	19496	19442	19469	12456	146412	0
2000-09-04	19475	19503	19448	19498	11336	146982	0
2000-09-05	19612	19681	19586	19666	40386	148568	0
2000-09-06	19683	19685	19575	19585	33820	146498	0
2000-09-07	19575	19601	19535	19542	19514	147950	0
2000-09-08	19572	19581	19532	19534	11870	149368	0
2000-09-11	19654	19660	19583	19587	25908	146156	0
2000-09-12	19593	19650	19584	19636	14354	146216	0
2000-09-13	19883	19912	19843	19875	50764	148032	0
2000-09-14	19858	19891	19846	19890	14898	148602	0
2000-09-15	19865	19911	19846	19900	22282	148574	0
2000-09-18	19839	19848	19788	19799	21854	145760	0
2000-09-19	19794	19805	19683	19690	22044	142528	0
2000-09-20	19770	19816	19757	19770	22898	147594	0
2000-09-21	19625	19639	19586	19610	32512	146352	0
2000-09-22	19894	19905	19770	19779	44576	147620	0
2000-09-25	19823	19900	19821	19896	12294	146532	0
2000-09-26	19904	19929	19896	19908	11926	146222	0
2000-09-27	19814	19831	19796	19823	17988	146866	0
2000-09-28	19858	19896	19841	19867	10664	146654	0
2000-09-29	19865	19894	19850	19861	14094	147648	0
2000-10-09	19804	19840	19760	19768	23032	156728	0
2000-10-10	19708	19734	19683	19719	22828	157052	0
2000-10-11	19802	19812	19784	19798	10352	155838	0
2000-10-12	19829	19849	19806	19826	10814	157516	0
2000-10-13	19584	19613	19513	19546	55652	161214	0
2000-10-16	19669	19680	19637	19650	20676	160922	0
2000-10-17	19662	19668	19615	19634	9330	154510	0
2000-10-18	19534	19539	19424	19479	31856	157690	0
2000-10-19	19413	19519	19393	19510	28402	163448	0
2000-10-20	19520	19570	19501	19547	15926	162886	0
2000-10-23	19403	19413	19350	19367	34404	165784	0
2000-10-24	19436	19440	19367	19375	16938	167190	0
2000-10-25	19341	19365	19308	19349	15458	169468	0
2000-10-26	19187	19195	18903	18989	55892	162730	0
2000-10-27	18813	18883	18748	18774	41326	163938	0
2000-10-30	18884	18968	18874	18962	19504	162106	0
2000-10-31	18940	18967	18904	18904	9878	162598	0
2000-11-01	18962	19018	18960	18975	12368	162432	0
2000-11-02	18824	18911	18812	18911	16844	161300	0
2000-11-03	18910	18947	18892	18914	9316	161786	0
2000-11-06	18870	18907	18844	18894	11172	161406	0
2000-11-07	18767	18786	18606	18638	41898	154226	0
2000-11-08	18674	18726	18663	18700	20664	155332	0
2000-11-09	18798	18918	18798	18904	29790	159438	0
2000-11-10	18934	18947	18865	18876	12558	158508	0
2000-11-13	18830	18873	18748	18775	20504	161556	0
2000-11-14	18563	18563	18479	18544	44106	153772	0
2000-11-15	18673	18706	18597	18618	28158	157040	0
2000-11-16	18590	18596	18528	18564	20682	150142	0
2000-11-17	18474	18626	18449	18579	19826	149226	0
2000-11-20	18604	18630	18578	18596	10230	150244	0
2000-11-21	18610	18616	18561	18566	8520	151280	0
2000-11-22	18648	18738	18647	18697	24822	155384	0
2000-11-23	18532	18606	18526	18586	18352	155176	0
2000-11-24	18610	18669	18599	18669	17240	153174	0
2000-11-27	18759	18842	18741	18835	21158	154724	0
2000-11-28	18976	18995	18927	18965	34546	152186	0
2000-11-29	18990	19002	18872	18889	28882	154052	0
2000-11-30	18893	18950	18880	18944	14358	156070	0
2000-12-01	18849	18885	18801	18851	25624	160456	0
2000-12-04	18943	18973	18918	18958	6542	161492	0
2000-12-05	19033	19055	18971	18977	25024	157674	0
2000-12-06	19021	19071	19005	19050	25546	158730	0
2000-12-07	19171	19193	19111	19123	34136	156824	0
2000-12-08	19135	19150	19067	19078	21848	154950	0
2000-12-11	19212	19229	19172	19182	38702	151756	0
2000-12-12	19148	19178	19098	19116	26084	147950	0
