CYL9 棉纱指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2017-08-21	23050	23060	22900	22975	25654	9258	0
2017-08-22	22985	23085	22975	23070	14078	8276	0
2017-08-23	23100	23140	23035	23060	9306	7730	0
2017-08-24	23060	23105	23000	23035	4706	7160	0
2017-08-25	23040	23080	23020	23035	3322	6484	0
2017-08-28	23035	23085	22990	23065	3962	6334	0
2017-08-29	23065	23120	23025	23040	2712	5966	0
2017-08-30	23040	23070	22995	23010	1852	5924	0
2017-08-31	23020	23065	23010	23010	1880	5500	0
2017-09-01	23015	23080	23010	23020	2296	5364	0
2017-09-04	23025	23635	23025	23390	14746	6760	0
2017-09-05	23425	23490	23290	23480	6242	6516	0
2017-09-06	23495	23500	23325	23335	6454	6248	0
2017-09-07	23355	23395	23205	23290	4266	5742	0
2017-09-08	23305	23305	23030	23090	5666	4816	0
2017-09-11	23120	23430	23030	23220	16126	4430	0
2017-09-12	23230	23300	23205	23235	2210	4282	0
2017-09-13	23190	23295	23070	23160	3050	3964	0
2017-09-14	23170	23205	23085	23085	1524	3796	0
2017-09-15	23055	23120	23030	23055	1518	3684	0
2017-09-18	23060	23095	22900	23080	1958	3314	0
2017-09-19	23100	23180	23060	23095	1978	2940	0
2017-09-20	23085	23390	23085	23385	3404	2606	0
2017-09-21	23385	23385	23210	23210	1450	2320	0
2017-09-22	23220	23280	23140	23170	1900	2230	0
2017-09-25	23150	23245	23145	23235	1000	2160	0
2017-09-26	23250	23365	23210	23315	1514	2230	0
2017-09-27	23265	23290	23090	23105	1800	2178	0
2017-09-28	23090	23125	22865	22900	2004	2334	0
2017-09-29	22865	23010	22865	22915	1082	2100	0
2017-10-09	23050	23050	22860	22955	612	2056	0
2017-10-10	22930	22980	22910	22925	726	2008	0
2017-10-11	22955	22975	22895	22905	622	1942	0
2017-10-12	22895	22950	22860	22915	1110	1946	0
2017-10-13	22935	22990	22905	22930	826	1860	0
2017-10-16	22930	23090	22930	23045	998	1798	0
2017-10-17	22990	23050	22980	22985	404	1742	0
2017-10-18	22980	23055	22980	23000	342	1720	0
2017-10-19	23020	23020	22905	22935	558	1756	0
