EBL9 苯乙烯指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2019-09-27	8024	8051	7886	7919	58286	29142	0
2019-09-30	7910	7955	7903	7941	18770	26302	0
2019-10-08	7916	7960	7891	7933	7772	26674	0
2019-10-09	7929	7982	7915	7927	16124	27734	0
2019-10-10	7939	7940	7824	7830	51316	30822	0
2019-10-11	7830	7861	7786	7818	31956	32278	0
2019-10-14	7818	7837	7752	7763	31792	38712	0
2019-10-15	7739	7742	7591	7645	66052	50980	0
2019-10-16	7654	7659	7491	7526	74658	58652	0
2019-10-17	7510	7517	7426	7475	80984	66278	0
2019-10-18	7484	7566	7465	7541	85522	62878	0
2019-10-21	7550	7576	7464	7489	53188	60834	0
2019-10-22	7457	7498	7427	7463	46986	64780	0
2019-10-23	7487	7495	7439	7446	36740	68698	0
2019-10-24	7442	7536	7437	7505	70196	68918	0
2019-10-25	7514	7523	7454	7455	30628	68002	0
2019-10-28	7458	7497	7413	7431	45492	72746	0
2019-10-29	7440	7455	7374	7384	50602	78392	0
2019-10-30	7381	7398	7328	7338	79686	95608	0
2019-10-31	7326	7354	7319	7326	47276	101076	0
2019-11-01	7322	7350	7246	7250	92156	111146	0
2019-11-04	7263	7320	7256	7313	63472	115124	0
2019-11-05	7329	7372	7309	7332	74280	110190	0
2019-11-06	7349	7361	7325	7331	40890	114406	0
2019-11-07	7329	7338	7232	7258	70344	125810	0
2019-11-08	7290	7290	7074	7089	145992	152408	0
2019-11-11	7082	7098	6957	6966	160598	158194	0
2019-11-12	6973	6984	6909	6955	141412	165104	0
2019-11-13	6951	7069	6946	6967	217662	159648	0
2019-11-14	6972	6984	6877	6942	152372	162306	0
2019-11-15	6955	6993	6928	6952	127838	157452	0
2019-11-18	6945	7021	6940	7006	124656	155116	0
2019-11-19	6997	7021	6914	6955	122892	157972	0
2019-11-20	6950	6951	6892	6933	116278	168046	0
2019-11-21	6946	6993	6915	6976	120690	179206	0
2019-11-22	6999	7045	6965	6988	141654	185008	0
