EGL9 乙二醇指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2018-12-11	5628	5666	5492	5534	490798	92862	0
2018-12-12	5566	5590	5506	5537	307662	99736	0
2018-12-13	5521	5634	5470	5584	363740	101278	0
2018-12-14	5633	5659	5579	5601	192314	105616	0
2018-12-17	5590	5630	5573	5613	126264	111070	0
2018-12-18	5587	5622	5566	5620	124446	107592	0
2018-12-19	5582	5627	5546	5613	152004	100926	0
2018-12-20	5611	5614	5558	5569	101524	102734	0
2018-12-21	5561	5567	5315	5412	555924	125250	0
2018-12-24	5370	5374	5301	5326	255140	137042	0
2018-12-25	5180	5226	5122	5167	321952	133756	0
2018-12-26	5205	5221	5119	5138	287718	139102	0
2018-12-27	5307	5308	5124	5124	323980	161676	0
2018-12-28	5126	5154	5078	5122	337724	146000	0
2019-01-02	5108	5120	5039	5043	250318	165252	0
2019-01-03	5071	5143	5061	5118	276008	171618	0
2019-01-04	5137	5172	5087	5144	290922	171624	0
2019-01-07	5153	5191	5122	5128	226190	195132	0
2019-01-08	5139	5155	5063	5075	337636	219514	0
2019-01-09	5111	5184	5109	5121	366746	227998	0
2019-01-10	5153	5164	5087	5092	299556	250402	0
2019-01-11	5088	5129	5067	5111	315776	263010	0
2019-01-14	5114	5167	5093	5137	338442	266004	0
2019-01-15	5135	5231	5123	5217	501394	279194	0
2019-01-16	5220	5236	5191	5220	284492	282276	0
2019-01-17	5194	5219	5152	5155	256774	295518	0
2019-01-18	5152	5176	5117	5158	437546	339376	0
2019-01-21	5206	5322	5191	5278	734680	360606	0
2019-01-22	5287	5455	5264	5281	764948	355928	0
2019-01-23	5254	5283	5226	5258	364078	361096	0
2019-01-24	5249	5277	5213	5252	340224	362566	0
2019-01-25	5296	5331	5241	5242	431946	357018	0
2019-01-28	5258	5271	5182	5187	342806	354512	0
2019-01-29	5151	5206	5147	5165	257364	345282	0
2019-01-30	5187	5244	5178	5213	267784	318102	0
2019-01-31	5246	5293	5243	5284	223866	302690	0
2019-02-01	5289	5333	5271	5326	180788	292784	0
2019-02-11	5285	5303	5225	5232	177000	315418	0
2019-02-12	5248	5281	5237	5243	209842	339922	0
2019-02-13	5192	5231	5164	5174	275116	369234	0
2019-02-14	5189	5205	5148	5180	206018	386040	0
2019-02-15	5171	5178	5107	5141	269216	385040	0
2019-02-18	5181	5193	5043	5049	415406	433482	0
2019-02-19	5053	5082	5018	5075	286620	430516	0
2019-02-20	5070	5092	5056	5065	189750	431894	0
2019-02-21	5113	5156	5097	5135	317358	414948	0
2019-02-22	5134	5180	5128	5155	205622	410022	0
2019-02-25	5183	5200	5133	5146	184184	409316	0
2019-02-26	5114	5180	5114	5171	189168	403520	0
2019-02-27	5177	5194	5159	5166	127232	401662	0
2019-02-28	5177	5227	5167	5189	232690	403132	0
2019-03-01	5207	5307	5200	5301	269620	390032	0
2019-03-04	5298	5430	5279	5363	402788	390780	0
2019-03-05	5330	5360	5315	5343	187870	383554	0
2019-03-06	5333	5444	5330	5440	320886	399666	0
2019-03-07	5422	5432	5315	5346	315442	384096	0
2019-03-08	5282	5330	5264	5309	261186	380192	0
2019-03-11	5329	5333	5257	5280	192592	382758	0
2019-03-12	5287	5313	5268	5284	180994	382644	0
2019-03-13	5286	5300	5242	5257	176622	386984	0
2019-03-14	5277	5284	5234	5237	171518	397376	0
2019-03-15	5207	5216	5130	5154	307306	392912	0
2019-03-18	5153	5173	5132	5143	224454	404406	0
2019-03-19	5153	5161	5111	5124	190296	410672	0
2019-03-20	5109	5163	5108	5163	163858	411406	0
2019-03-21	5183	5192	5166	5175	151246	413920	0
2019-03-22	5170	5179	5130	5146	199590	421554	0
2019-03-25	5091	5142	5076	5130	221052	420374	0
2019-03-26	5139	5145	5081	5083	161192	438618	0
2019-03-27	5084	5094	4997	5002	358286	495416	0
2019-03-28	4984	4994	4835	4837	595872	519772	0
2019-03-29	4862	4927	4858	4863	458282	502576	0
2019-04-01	4878	4908	4836	4896	485612	513504	0
2019-04-02	4896	4924	4854	4868	471516	534822	0
2019-04-03	4870	4900	4854	4879	454276	529718	0
2019-04-04	4874	4935	4792	4923	1190310	527782	0
2019-04-08	4947	4997	4878	4892	750896	580306	0
2019-04-09	4900	4945	4889	4911	506112	592074	0
2019-04-10	4916	4940	4898	4910	408444	575472	0
2019-04-11	4915	4916	4851	4868	533762	618476	0
2019-04-12	4861	4874	4805	4869	587980	616236	0
2019-04-15	4880	4881	4792	4816	528316	649206	0
2019-04-16	4811	4820	4727	4755	642074	674818	0
2019-04-17	4759	4784	4745	4753	337258	674988	0
2019-04-18	4758	4781	4708	4753	674016	673384	0
2019-04-19	4765	4785	4756	4773	464342	676950	0
2019-04-22	4778	4840	4771	4785	686942	631290	0
2019-04-23	4794	4802	4769	4785	319332	653154	0
2019-04-24	4773	4778	4718	4733	500456	690380	0
2019-04-25	4741	4749	4680	4683	539818	714224	0
2019-04-26	4686	4696	4588	4608	718564	719266	0
2019-04-29	4612	4705	4612	4699	616670	657460	0
2019-04-30	4702	4712	4675	4681	358602	641238	0
2019-05-06	4617	4685	4606	4656	317764	628096	0
2019-05-07	4659	4678	4644	4665	400974	636354	0
2019-05-08	4660	4696	4658	4694	422924	634996	0
2019-05-09	4690	4694	4656	4664	378900	624152	0
2019-05-10	4668	4719	4667	4682	467032	603616	0
2019-05-13	4675	4675	4548	4549	711420	661472	0
2019-05-14	4554	4580	4385	4410	954782	627286	0
2019-05-15	4437	4466	4414	4430	510180	613900	0
2019-05-16	4430	4492	4409	4463	691358	628382	0
2019-05-17	4466	4478	4378	4386	639168	671444	0
2019-05-20	4386	4453	4378	4405	656302	679844	0
2019-05-21	4404	4450	4396	4434	447450	667002	0
2019-05-22	4438	4452	4349	4397	802738	662694	0
2019-05-23	4390	4417	4365	4396	476670	655208	0
2019-05-24	4408	4519	4400	4517	1011670	610266	0
2019-05-27	4528	4556	4486	4499	686276	586100	0
2019-05-28	4506	4518	4424	4455	782412	608246	0
2019-05-29	4465	4515	4460	4486	490832	590982	0
2019-05-30	4458	4500	4453	4484	465672	589724	0
2019-05-31	4480	4528	4466	4493	642004	583474	0
2019-06-03	4499	4501	4387	4422	744852	549390	0
2019-06-04	4444	4492	4412	4454	590032	547506	0
2019-06-05	4464	4469	4339	4353	846842	630584	0
