FBL9 纤板指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2019-12-03	1485.5	1485.5	1410.5	1411.0	16684	4320	0.0
2019-12-04	1401.5	1405.5	1351.0	1372.0	109946	15874	0.0
2019-12-05	1379.5	1435.5	1376.0	1435.5	166700	17512	0.0
2019-12-06	1449.5	1466.0	1431.5	1453.0	121086	14034	0.0
2019-12-09	1467.5	1508.5	1461.5	1498.0	95618	15794	0.0
2019-12-10	1511.5	1538.0	1474.0	1535.0	129118	17768	0.0
2019-12-11	1529.5	1544.5	1495.5	1499.0	97732	13998	0.0
2019-12-12	1502.0	1538.5	1497.5	1534.0	117572	17352	0.0
2019-12-13	1541.5	1547.5	1517.0	1520.5	78192	15688	0.0
2019-12-16	1507.5	1517.0	1472.0	1478.0	138366	17462	0.0
2019-12-17	1483.0	1503.0	1475.0	1480.0	54688	16412	0.0
2019-12-18	1477.0	1495.0	1462.5	1462.5	45102	16634	0.0
2019-12-19	1472.0	1478.5	1461.0	1471.5	44172	15034	0.0
2019-12-20	1476.0	1521.5	1475.5	1504.0	100942	14894	0.0
2019-12-23	1510.5	1519.5	1486.0	1493.5	55936	14400	0.0
2019-12-24	1494.5	1500.5	1477.0	1483.5	29184	13946	0.0
2019-12-25	1487.0	1511.5	1487.0	1501.5	44880	15260	0.0
2019-12-26	1509.0	1515.5	1490.5	1495.5	34588	16996	0.0
2019-12-27	1505.5	1507.0	1455.0	1455.5	52516	22360	0.0
2019-12-30	1459.5	1462.5	1424.5	1438.0	112952	23650	0.0
2019-12-31	1441.0	1452.0	1432.5	1439.5	38064	25666	0.0
2020-01-02	1443.0	1462.0	1431.0	1458.0	19728	11675	0.0
2020-01-03	1464.5	1468.0	1448.0	1453.5	16320	10391	0.0
2020-01-06	1456.5	1457.0	1435.0	1437.0	11320	10786	0.0
2020-01-07	1433.5	1454.5	1427.5	1451.0	18886	9925	0.0
2020-01-08	1450.5	1466.0	1449.5	1466.0	9674	9621	0.0
2020-01-09	1469.5	1472.5	1440.5	1440.5	8946	9410	0.0
2020-01-10	1443.0	1452.0	1433.0	1450.0	10763	8810	0.0
2020-01-13	1455.5	1465.5	1451.0	1457.5	7194	8811	0.0
2020-01-14	1448.0	1452.0	1438.0	1448.0	6191	8390	0.0
2020-01-15	1451.5	1482.5	1448.5	1474.5	20605	10003	0.0
2020-01-16	1475.5	1488.5	1469.0	1475.5	12582	10227	0.0
2020-01-17	1470.5	1470.5	1436.5	1438.0	16079	11659	0.0
2020-01-20	1441.0	1444.5	1430.0	1437.0	11190	11892	0.0
2020-01-21	1437.0	1444.0	1401.0	1405.0	27985	11877	0.0
2020-01-22	1403.5	1411.0	1394.5	1401.0	13438	11540	0.0
2020-01-23	1399.0	1418.5	1395.0	1407.5	12989	9351	0.0
2020-02-03	1352.5	1399.0	1352.0	1365.0	13047	9079	0.0
2020-02-04	1366.0	1389.0	1366.0	1377.0	8243	8348	0.0
2020-02-05	1384.0	1391.0	1378.0	1380.5	5278	8169	0.0
2020-02-06	1382.5	1388.5	1376.0	1388.5	5329	7962	0.0
2020-02-07	1393.5	1398.0	1383.0	1385.0	4553	7930	0.0
2020-02-10	1382.5	1387.0	1376.0	1385.0	3661	7678	0.0
2020-02-11	1388.0	1405.0	1386.5	1403.0	7034	7895	0.0
2020-02-12	1401.5	1402.0	1371.0	1376.0	11565	7691	0.0
2020-02-13	1375.5	1377.5	1360.5	1365.0	9980	7830	0.0
2020-02-14	1380.5	1386.0	1370.5	1377.0	6642	7177	0.0
2020-02-17	1378.0	1385.0	1373.0	1382.0	5152	6456	0.0
2020-02-18	1383.0	1387.0	1367.0	1378.0	4933	6742	0.0
2020-02-19	1372.5	1384.0	1371.0	1377.0	5842	6929	0.0
2020-02-20	1377.0	1403.5	1377.0	1396.0	7713	6682	0.0
2020-02-21	1404.5	1431.5	1393.0	1412.5	15264	6762	0.0
2020-02-24	1420.5	1429.0	1390.5	1401.0	8296	6643	0.0
2020-02-25	1392.0	1413.0	1387.0	1405.0	5828	6430	0.0
2020-02-26	1406.0	1406.5	1373.5	1376.0	4244	6169	0.0
2020-02-27	1369.5	1372.5	1358.5	1363.0	4643	6362	0.0
2020-02-28	1340.5	1347.0	1309.5	1323.0	10525	6539	0.0
2020-03-02	1333.5	1351.5	1330.0	1333.0	6947	7120	0.0
2020-03-03	1346.5	1351.0	1333.0	1337.5	4183	7469	0.0
2020-03-04	1337.5	1350.0	1334.0	1342.0	3769	7125	0.0
2020-03-05	1347.5	1347.5	1336.5	1340.0	3956	6935	0.0
2020-03-06	1336.0	1340.5	1328.5	1333.5	4970	7373	0.0
2020-03-09	1316.5	1332.5	1310.5	1325.5	7326	6519	0.0
2020-03-10	1329.0	1342.5	1327.5	1335.5	3654	6068	0.0
2020-03-11	1338.0	1370.0	1336.5	1362.5	8514	5218	0.0
2020-03-12	1353.5	1360.5	1323.0	1343.0	4953	5106	0.0
2020-03-13	1334.5	1358.0	1328.0	1345.0	5137	4695	0.0
2020-03-16	1355.0	1361.5	1336.0	1337.5	2557	4526	0.0
2020-03-17	1338.5	1353.0	1333.5	1353.0	2274	4126	0.0
2020-03-18	1350.5	1362.5	1338.0	1340.5	4776	4599	0.0
2020-03-19	1338.5	1350.0	1316.0	1339.5	6547	4683	0.0
2020-03-20	1344.0	1351.0	1334.0	1337.5	2851	3778	0.0
2020-03-23	1334.5	1338.0	1298.5	1320.0	4108	4056	0.0
2020-03-24	1329.5	1355.5	1325.0	1350.0	2863	3790	0.0
2020-03-25	1361.5	1364.0	1350.5	1361.0	3203	2980	0.0
2020-03-26	1358.0	1374.5	1353.0	1356.5	2695	2776	0.0
2020-03-27	1355.0	1375.5	1353.0	1367.5	2177	2725	0.0
2020-03-30	1368.0	1369.5	1353.5	1362.5	1876	2713	0.0
2020-03-31	1363.5	1375.0	1358.0	1361.0	1705	2498	0.0
2020-04-01	1359.0	1360.0	1330.0	1337.5	2409	2162	0.0
2020-04-02	1334.0	1352.0	1329.5	1349.0	2045	1889	0.0
2020-04-03	1356.5	1368.5	1341.0	1358.5	1979	1823	0.0
2020-04-07	1361.0	1366.5	1359.0	1365.5	939	1900	0.0
2020-04-08	1363.5	1365.0	1357.5	1359.0	793	1747	0.0
2020-04-09	1355.0	1355.0	1300.5	1344.0	1483	1686	0.0
2020-04-10	1343.5	1351.0	1328.0	1331.0	1385	1515	0.0
2020-04-14	1334.5	1341.5	1325.5	1338.0	914	1235	0.0
2020-04-15	1343.5	1343.5	1329.5	1336.0	925	1130	0.0
2020-04-16	1338.5	1342.5	1333.0	1334.0	618	973	0.0
2020-04-17	1335.0	1341.5	1333.0	1334.5	719	754	0.0
2020-04-20	1333.5	1402.5	1322.5	1390.0	10184	3275	0.0
2020-04-21	1392.5	1428.0	1344.5	1351.0	12374	1781	0.0
2020-04-22	1351.5	1355.0	1317.0	1330.5	3009	1119	0.0
2020-04-23	1333.5	1361.5	1330.0	1339.0	2095	1037	0.0
2020-04-24	1342.0	1352.0	1323.0	1323.5	1857	1031	0.0
2020-04-27	1321.0	1324.0	1273.0	1273.5	3654	1133	0.0
2020-04-28	1236.0	1268.0	1236.0	1244.0	3229	878	0.0
2020-04-29	1243.0	1274.5	1205.0	1238.5	4686	797	0.0
2020-04-30	1249.0	1264.5	1223.5	1239.5	4225	541	0.0
2020-05-06	1219.0	1276.5	1215.5	1270.0	712	648	0.0
2020-05-07	1267.0	1267.0	1267.0	1267.0	1326	732	0.0
2020-05-08	1344.5	1350.5	1331.5	1334.5	8547	1176	0.0
2020-05-11	1315.5	1315.5	1315.5	1315.5	2408	990	0.0
2020-05-13	1308.0	1308.0	1308.0	1308.0	1336	996	0.0
2020-06-04	1343.5	1346.5	1343.0	1346.5	445	562	0.0
2020-06-15	1338.0	1339.5	1330.0	1335.0	101	539	0.0
2020-06-18	1339.5	1354.5	1339.5	1342.5	938	597	0.0
2020-06-22	1337.5	1343.5	1333.5	1333.5	187	603	0.0
2020-07-20	1335.0	1335.0	1317.0	1319.0	156	619	0.0
2020-07-27	1319.5	1337.0	1319.5	1320.0	252	552	0.0
2020-08-03	1318.5	1325.0	1316.0	1317.0	99	520	0.0
2020-08-10	1319.0	1319.0	1302.0	1306.0	207	709	0.0
2020-08-17	1240.0	1240.0	1221.0	1230.0	688	945	0.0
2020-08-24	1233.5	1235.0	1224.0	1228.0	318	804	0.0
2020-08-31	1166.5	1222.0	1128.0	1132.5	3326	326	0.0
2020-09-01	1130.0	1168.0	1130.0	1168.0	244	194	0.0
2020-09-02	1310.5	1310.5	1310.5	1310.5	237	85	0.0
2020-09-14	1228.0	1236.5	1219.0	1224.5	1185	660	0.0
2020-10-09	1234.5	1234.5	1234.5	1234.5	687	433	0.0
2020-10-12	1237.0	1270.0	1232.5	1251.0	2449	813	0.0
2020-10-13	1232.5	1232.5	1232.5	1232.5	1098	769	0.0
2020-10-14	1225.5	1228.0	1203.5	1210.5	1315	791	0.0
2020-10-15	1210.0	1220.5	1209.5	1218.0	726	848	0.0
2020-10-16	1222.0	1270.0	1215.0	1269.5	3340	1567	0.0
2020-10-19	1283.5	1283.5	1283.5	1283.5	15704	3326	0.0
2020-10-20	1264.5	1269.0	1251.0	1252.0	12265	3108	0.0
2020-10-21	1287.5	1287.5	1287.5	1287.5	10285	3009	0.0
2020-10-22	1278.0	1278.0	1278.0	1278.0	16831	3065	0.0
