FGL9 玻璃指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2012-12-03	1370	1381	1319	1319	720004	85842	0
2012-12-04	1310	1326	1297	1311	1387998	172216	0
2012-12-05	1313	1345	1311	1331	1535650	151202	0
2012-12-06	1333	1338	1320	1325	1011006	169850	0
2012-12-07	1322	1340	1319	1331	907576	139706	0
2012-12-10	1331	1344	1331	1336	634416	151664	0
2012-12-11	1335	1337	1286	1293	1631676	310228	0
2012-12-12	1289	1306	1284	1299	1762814	229036	0
2012-12-13	1297	1312	1282	1289	1995332	312682	0
2012-12-14	1287	1314	1283	1304	1936492	245642	0
2012-12-17	1307	1335	1307	1328	2017428	237926	0
2012-12-18	1329	1340	1317	1327	1917146	249684	0
2012-12-19	1325	1354	1321	1352	2809494	430948	0
2012-12-20	1349	1357	1343	1351	2639018	407168	0
2012-12-21	1346	1355	1332	1338	2001480	293660	0
2012-12-24	1338	1355	1336	1351	1367226	317538	0
2012-12-25	1351	1368	1345	1358	1743508	316996	0
2012-12-26	1357	1361	1351	1360	1093094	294178	0
2012-12-27	1366	1375	1358	1361	1075758	268242	0
2012-12-28	1362	1372	1352	1361	1413360	244002	0
2012-12-31	1361	1384	1360	1381	673364	193996	0
2013-01-04	1388	1440	1385	1439	1214082	314674	0
2013-01-07	1454	1477	1447	1457	1748082	281668	0
2013-01-08	1450	1479	1444	1470	3072822	389206	0
2013-01-09	1472	1484	1463	1484	2272778	530510	0
2013-01-10	1488	1491	1464	1472	2557342	456842	0
2013-01-11	1471	1474	1436	1447	2075990	375998	0
2013-01-14	1447	1510	1446	1510	2060908	593754	0
2013-01-15	1528	1534	1497	1506	3255344	469436	0
2013-01-16	1507	1528	1466	1517	4794266	629166	0
2013-01-17	1519	1527	1503	1518	4553306	687094	0
2013-01-18	1533	1538	1505	1517	4627438	625318	0
2013-01-21	1516	1536	1506	1523	3831664	689838	0
2013-01-22	1527	1541	1502	1519	4160748	634704	0
2013-01-23	1523	1524	1498	1506	3057414	608800	0
2013-01-24	1505	1516	1479	1493	3812422	566178	0
2013-01-25	1495	1500	1483	1498	2781444	513964	0
2013-01-28	1500	1538	1497	1532	3038498	668072	0
2013-01-29	1530	1541	1529	1539	1656962	661366	0
2013-01-30	1543	1552	1539	1539	1682268	642496	0
2013-01-31	1540	1564	1537	1549	3106974	686122	0
2013-02-01	1548	1560	1548	1557	1780930	619670	0
2013-02-04	1562	1615	1560	1597	2801186	670092	0
2013-02-05	1592	1613	1588	1598	2116616	666604	0
2013-02-06	1602	1615	1588	1593	2092732	659878	0
2013-02-07	1594	1596	1572	1589	1418732	565844	0
2013-02-08	1586	1600	1586	1598	761466	507594	0
2013-02-18	1596	1608	1580	1580	1449148	610642	0
2013-02-19	1580	1592	1575	1590	1695204	674642	0
2013-02-20	1595	1598	1580	1588	1402354	715474	0
2013-02-21	1570	1573	1532	1541	2481808	641228	0
2013-02-22	1542	1552	1526	1539	2436196	650856	0
2013-02-25	1538	1560	1521	1546	2393756	668704	0
2013-02-26	1536	1552	1522	1526	2437342	713558	0
2013-02-27	1537	1550	1533	1547	2181528	690944	0
2013-02-28	1556	1575	1554	1570	1634658	674268	0
2013-03-01	1568	1568	1540	1557	1895660	644866	0
2013-03-04	1547	1553	1495	1511	3057128	711810	0
2013-03-05	1517	1523	1496	1518	2935978	722932	0
2013-03-06	1521	1531	1507	1514	2278850	713790	0
2013-03-07	1510	1512	1498	1509	1850028	690796	0
2013-03-08	1515	1519	1478	1496	2936206	679234	0
2013-03-11	1496	1500	1476	1488	2319440	692862	0
2013-03-12	1493	1498	1474	1478	2467374	617230	0
2013-03-13	1485	1485	1433	1443	3065950	613166	0
2013-03-14	1432	1439	1406	1432	3046210	636428	0
2013-03-15	1438	1473	1424	1447	2665398	552482	0
2013-03-18	1430	1449	1417	1431	2144318	573622	0
2013-03-19	1438	1452	1429	1444	2067612	568552	0
2013-03-20	1439	1473	1439	1471	2419352	644154	0
2013-03-21	1476	1487	1470	1478	2602918	641030	0
2013-03-22	1472	1483	1467	1471	1356930	597696	0
2013-03-25	1476	1484	1473	1477	960818	580592	0
2013-03-26	1473	1477	1447	1452	1591090	610762	0
2013-03-27	1457	1459	1448	1449	991250	595812	0
2013-03-28	1449	1454	1433	1436	1241868	586068	0
2013-03-29	1425	1439	1411	1433	1175620	541776	0
2013-04-01	1428	1433	1398	1402	1800280	577846	0
2013-04-02	1401	1423	1395	1422	1387448	537510	0
2013-04-03	1421	1437	1418	1424	1350742	522664	0
2013-04-08	1408	1441	1408	1439	1038804	566406	0
2013-04-09	1444	1453	1438	1447	1268114	594052	0
2013-04-10	1450	1451	1423	1428	1328356	570776	0
2013-04-11	1427	1442	1413	1414	1486408	590846	0
2013-04-12	1412	1426	1412	1418	1398644	557508	0
2013-04-15	1405	1424	1375	1391	2901828	644066	0
2013-04-16	1379	1403	1364	1398	2082402	609184	0
2013-04-17	1401	1408	1330	1341	4095222	752984	0
2013-04-18	1327	1362	1320	1352	3218098	712160	0
2013-04-19	1362	1380	1350	1374	2753982	681374	0
2013-04-22	1371	1386	1360	1363	2312306	692642	0
2013-04-23	1365	1371	1331	1343	2435466	658950	0
2013-04-24	1345	1359	1318	1344	2950702	731308	0
2013-04-25	1347	1359	1335	1353	2049938	700932	0
2013-04-26	1364	1372	1337	1345	2033354	625918	0
2013-05-02	1321	1335	1314	1330	1081842	693760	0
2013-05-03	1336	1365	1330	1358	2194098	743700	0
2013-05-06	1374	1378	1360	1365	1294666	739728	0
2013-05-07	1362	1415	1357	1394	3229784	749772	0
2013-05-08	1397	1411	1394	1409	2262898	758570	0
2013-05-09	1409	1416	1397	1408	2085636	716764	0
