FUL9 燃油指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2004-08-25	2152	2209	2130	2170	91528	14378	0
2004-08-26	2173	2176	2145	2157	70624	20300	0
2004-08-27	2148	2155	2131	2139	63262	21280	0
2004-08-30	2143	2149	2134	2137	25116	21018	0
2004-08-31	2127	2130	2110	2116	40220	23030	0
2004-09-01	2119	2135	2107	2129	47676	27446	0
2004-09-02	2147	2151	2137	2139	49796	25778	0
2004-09-03	2144	2146	2127	2128	20246	23092	0
2004-09-06	2126	2130	2115	2118	17774	22158	0
2004-09-07	2109	2116	2093	2094	30662	24306	0
2004-09-08	2096	2107	2084	2102	34542	26100	0
2004-09-09	2097	2099	2074	2083	34130	24338	0
2004-09-10	2109	2117	2100	2105	27730	22870	0
2004-09-13	2086	2094	2077	2090	18634	23268	0
2004-09-14	2094	2095	2086	2091	13944	22962	0
2004-09-15	2100	2101	2085	2086	16894	22370	0
2004-09-16	2082	2087	2076	2084	17002	21108	0
2004-09-17	2085	2089	2082	2083	7058	20328	0
2004-09-20	2096	2106	2087	2095	8138	20266	0
2004-09-21	2097	2101	2085	2086	7222	19338	0
2004-09-22	2096	2132	2095	2114	27274	22790	0
2004-09-23	2124	2127	2107	2111	9760	21272	0
2004-09-24	2119	2124	2106	2108	9164	21366	0
2004-09-27	2117	2129	2112	2120	12116	22218	0
2004-09-28	2129	2143	2124	2133	22444	24386	0
2004-09-29	2133	2136	2126	2130	11094	23644	0
2004-09-30	2117	2122	2108	2113	11068	19508	0
2004-10-08	2145	2222	2145	2222	77242	35234	0
2004-10-11	2253	2341	2248	2318	121184	45554	0
2004-10-12	2340	2346	2202	2267	307940	47528	0
2004-10-13	2250	2270	2222	2234	166830	42036	0
2004-10-14	2255	2279	2188	2233	307868	51920	0
2004-10-15	2272	2282	2239	2248	221978	55654	0
2004-10-18	2254	2285	2244	2266	169152	58142	0
2004-10-19	2218	2223	2166	2174	234508	56978	0
2004-10-20	2183	2191	2158	2176	151156	54064	0
2004-10-21	2240	2247	2217	2225	181464	55074	0
2004-10-22	2231	2233	2210	2217	99190	56950	0
2004-10-25	2235	2275	2228	2271	183654	66682	0
2004-10-26	2234	2238	2205	2208	156364	71922	0
2004-10-27	2243	2251	2227	2227	136972	72728	0
2004-10-28	2124	2155	2124	2152	211428	72494	0
2004-10-29	2122	2160	2121	2158	167246	73582	0
