HCL9 热卷指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2014-03-24	3314	3330	3272	3330	89546	52472	0
2014-03-25	3326	3402	3322	3380	122038	65590	0
2014-03-26	3370	3382	3356	3376	38298	64788	0
2014-03-27	3370	3388	3352	3364	41104	65646	0
2014-03-28	3376	3388	3362	3384	34574	67322	0
2014-03-31	3396	3424	3384	3412	61588	70046	0
2014-04-01	3414	3420	3398	3416	18060	68546	0
2014-04-02	3412	3428	3390	3392	29666	73502	0
2014-04-03	3388	3416	3386	3412	21934	72998	0
2014-04-04	3414	3442	3404	3442	22082	75086	0
2014-04-08	3450	3490	3442	3482	42346	87156	0
2014-04-09	3488	3488	3446	3454	33518	88156	0
2014-04-10	3452	3472	3444	3448	19900	87482	0
2014-04-11	3434	3454	3432	3436	13292	83066	0
2014-04-14	3434	3466	3434	3440	12996	83394	0
2014-04-15	3444	3450	3420	3450	21016	81956	0
2014-04-16	3446	3446	3412	3420	18956	74442	0
2014-04-18	3414	3414	3348	3356	52676	72444	0
2014-04-21	3344	3366	3342	3342	8542	70740	0
2014-04-22	3344	3364	3326	3356	24642	66632	0
2014-04-23	3358	3388	3338	3382	20384	64426	0
2014-04-24	3376	3396	3368	3392	12884	63564	0
2014-04-25	3398	3400	3374	3380	8704	64014	0
2014-04-28	3374	3374	3334	3338	17910	61812	0
2014-04-29	3336	3374	3336	3360	8882	60858	0
2014-04-30	3370	3370	3338	3344	10700	59738	0
2014-05-06	3342	3362	3336	3344	4774	57486	0
2014-05-07	3338	3356	3330	3332	10198	56930	0
2014-05-08	3330	3336	3310	3312	13612	53600	0
2014-05-09	3312	3330	3304	3318	9712	53272	0
2014-05-12	3330	3334	3300	3334	11650	52190	0
2014-05-13	3334	3344	3320	3326	6734	51758	0
2014-05-14	3326	3330	3314	3324	7768	48934	0
2014-05-15	3324	3326	3300	3302	4730	48690	0
2014-05-16	3296	3302	3242	3272	12518	48402	0
2014-05-19	3264	3284	3252	3266	7524	48062	0
2014-05-20	3262	3276	3256	3262	3324	47976	0
2014-05-21	3266	3284	3256	3274	5234	48198	0
2014-05-22	3272	3316	3272	3280	5804	48184	0
2014-05-23	3294	3294	3276	3282	2548	48014	0
2014-05-26	3288	3332	3288	3328	6632	48120	0
2014-05-27	3332	3368	3322	3340	17294	51956	0
2014-05-28	3304	3342	3304	3312	6768	51538	0
2014-05-29	3310	3324	3302	3308	5862	51136	0
2014-05-30	3302	3302	3254	3266	12056	50552	0
2014-06-03	3258	3290	3250	3270	11562	50138	0
2014-06-04	3270	3278	3262	3264	8020	50236	0
2014-06-05	3274	3284	3254	3272	13406	48248	0
2014-06-06	3278	3284	3262	3284	5374	47454	0
2014-06-09	3280	3284	3258	3264	11126	43948	0
2014-06-10	3264	3274	3234	3270	8970	43458	0
2014-06-11	3272	3278	3256	3262	5458	43430	0
2014-06-12	3256	3260	3234	3248	12880	43702	0
2014-06-13	3242	3260	3234	3250	13728	44724	0
2014-06-16	3252	3252	3220	3228	18920	49542	0
2014-06-17	3220	3248	3212	3240	8002	48266	0
2014-06-18	3242	3276	3234	3266	19186	49320	0
2014-06-19	3268	3280	3262	3266	17292	51578	0
2014-06-20	3270	3288	3256	3280	19290	54956	0
2014-06-23	3282	3304	3280	3300	8974	53616	0
2014-06-24	3300	3300	3278	3282	7028	52744	0
2014-06-25	3290	3292	3274	3288	6976	53120	0
2014-06-26	3296	3320	3288	3320	12112	49580	0
2014-06-27	3322	3326	3302	3304	5364	49830	0
2014-06-30	3298	3310	3288	3288	5130	48470	0
2014-07-01	3290	3296	3278	3296	3994	48180	0
2014-07-02	3294	3312	3280	3310	7584	46942	0
2014-07-03	3312	3328	3308	3312	6502	47602	0
2014-07-04	3310	3316	3298	3308	5926	46616	0
2014-07-07	3314	3314	3286	3296	5304	45366	0
2014-07-08	3296	3314	3288	3312	6858	46946	0
2014-07-09	3310	3318	3294	3300	5492	46844	0
2014-07-10	3304	3340	3298	3328	9846	46760	0
2014-07-11	3338	3344	3322	3342	7964	48246	0
2014-07-14	3348	3366	3344	3364	12414	48264	0
2014-07-15	3362	3386	3356	3360	7920	49180	0
2014-07-16	3358	3362	3344	3344	5204	47390	0
2014-07-17	3304	3346	3304	3328	6366	45058	0
2014-07-18	3328	3328	3272	3276	13482	41996	0
2014-07-21	3270	3294	3266	3284	4714	41738	0
2014-07-22	3272	3302	3272	3288	4356	40896	0
2014-07-23	3284	3290	3276	3278	3922	41214	0
2014-07-24	3280	3294	3278	3288	2882	41284	0
2014-07-25	3284	3306	3284	3294	5140	40320	0
2014-07-28	3288	3308	3282	3300	7656	38278	0
2014-08-19	3270	3286	3268	3276	2430	21240	0
2014-08-20	3260	3270	3254	3254	3954	19738	0
2014-08-21	3256	3260	3242	3254	2436	18698	0
2014-08-22	3256	3256	3214	3214	3804	19084	0
2014-08-25	3220	3228	3180	3188	4944	18762	0
2014-08-26	3190	3208	3158	3166	7718	20656	0
2014-08-27	3170	3180	3140	3146	9052	20110	0
2014-08-28	3146	3148	3108	3114	7014	20512	0
2014-08-29	3110	3154	3108	3150	10534	23392	0
2014-09-01	3150	3152	3116	3124	9884	23560	0
2014-09-02	3126	3128	3106	3112	11554	24594	0
