ICL9 中证加权 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2015-04-17	7696.0	7893.8	7623.4	7737.6	122985	11159	0.0
2015-04-20	7762.2	7832.6	7559.8	7595.0	105224	13009	0.0
2015-04-21	7655.6	8132.0	7616.6	8125.8	140593	19524	0.0
2015-04-22	8149.2	8217.6	8090.2	8168.8	129489	17734	0.0
2015-04-23	8173.8	8357.2	8140.6	8245.2	139024	17830	0.0
2015-04-24	8181.0	8321.6	8100.0	8297.8	134276	18115	0.0
2015-04-27	8341.4	8524.6	8267.2	8317.6	134865	19300	0.0
2015-04-28	8290.8	8390.0	7990.8	8118.0	174787	20189	0.0
2015-04-29	8115.0	8276.6	8053.8	8272.2	140764	22235	0.0
2015-04-30	8299.0	8378.0	8263.8	8303.6	126205	21100	0.0
2015-05-04	8367.8	8367.8	8173.8	8306.4	106888	21349	0.0
2015-05-05	8286.4	8297.6	8049.4	8100.0	117523	21619	0.0
2015-05-06	8176.0	8236.4	7929.2	7996.6	120648	21325	0.0
2015-05-07	7991.6	8018.8	7869.6	7875.6	118502	20938	0.0
2015-05-08	7926.2	8132.6	7892.0	8132.6	134941	22499	0.0
2015-05-11	8152.6	8452.0	8108.6	8436.6	142623	24113	0.0
2015-05-12	8458.4	8583.2	8357.6	8579.8	184097	28293	0.0
2015-05-13	8529.0	8691.2	8430.8	8598.8	247619	34383	0.0
2015-05-14	8607.0	8703.2	8520.4	8609.4	249116	35910	0.0
2015-05-15	8598.4	8690.2	8469.4	8548.8	222562	31474	0.0
2015-05-18	8602.6	8791.2	8550.2	8765.8	208861	36304	0.0
2015-05-19	8802.4	9129.6	8706.4	9096.4	237776	38240	0.0
2015-05-20	9097.2	9443.6	9095.6	9265.4	248884	40155	0.0
2015-05-21	9332.6	9729.8	9301.6	9712.0	266721	43962	0.0
2015-05-22	9840.0	9844.6	9505.6	9719.4	296583	43185	0.0
2015-05-25	9543.0	9994.0	9447.6	9943.0	272085	45298	0.0
2015-05-26	10057.6	10510.6	10027.2	10508.2	269500	46854	0.0
2015-05-27	10586.2	10708.6	10352.2	10549.4	323735	50601	0.0
2015-05-28	10586.4	10757.8	9847.8	9982.2	386699	51431	0.0
2015-05-29	10180.2	10372.4	9904.2	10132.0	378947	53134	0.0
2015-06-01	10233.4	11083.6	10189.0	11029.0	274621	60069	0.0
2015-06-02	11072.4	11420.8	10872.2	11282.0	301202	59491	0.0
