IFL9 沪深加权 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2010-04-16	3513.8	3517.2	3432.9	3435.3	58457	3590	0.0
2010-04-19	3415.0	3415.8	3184.5	3210.4	123612	5120	0.0
2010-04-20	3222.2	3248.4	3181.8	3229.5	153419	5750	0.0
2010-04-21	3230.3	3292.8	3221.5	3281.2	121023	6319	0.0
2010-04-22	3275.4	3284.7	3223.5	3251.2	140307	6716	0.0
2010-04-23	3255.1	3277.1	3235.4	3236.7	121963	7222	0.0
2010-04-26	3257.0	3266.1	3225.0	3234.2	116259	8687	0.0
2010-04-27	3216.4	3219.5	3123.0	3157.3	146123	9307	0.0
2010-04-28	3122.2	3158.0	3114.8	3148.4	133791	9067	0.0
2010-04-29	3159.6	3173.4	3101.2	3102.4	121254	11020	0.0
2010-04-30	3121.2	3135.8	3062.9	3127.5	193380	10918	0.0
2010-05-04	3101.4	3109.6	3079.8	3097.3	157571	11017	0.0
2010-05-05	3069.6	3102.9	3048.5	3095.7	153710	12786	0.0
2010-05-06	3097.7	3101.3	2979.1	2992.6	181699	14101	0.0
2010-05-07	2954.9	2975.6	2887.3	2923.1	256676	12114	0.0
2010-05-10	2934.0	2947.7	2890.9	2939.5	218207	14141	0.0
2010-05-11	2971.7	2978.3	2820.1	2822.7	246312	14211	0.0
2010-05-12	2827.3	2870.8	2803.0	2856.5	315025	14352	0.0
2010-05-13	2869.6	2926.7	2845.3	2915.2	255153	15072	0.0
2010-05-14	2901.8	2911.1	2868.8	2881.5	228636	13862	0.0
2010-05-17	2851.9	2851.9	2714.8	2724.6	221841	15146	0.0
2010-05-18	2717.9	2845.0	2716.4	2812.6	306063	15378	0.0
2010-05-19	2779.7	2859.2	2741.1	2789.9	362039	16036	0.0
2010-05-20	2805.8	2846.7	2750.4	2771.5	305072	17869	0.0
2010-05-21	2709.3	2812.4	2684.8	2811.0	317595	15932	0.0
2010-05-24	2825.1	2942.3	2823.5	2915.3	312590	18754	0.0
2010-05-25	2892.4	2900.3	2824.0	2825.6	300900	18799	0.0
2010-05-26	2858.6	2887.9	2828.4	2850.9	339998	18659	0.0
2010-05-27	2836.9	2918.1	2799.2	2911.7	339829	19982	0.0
2010-05-28	2940.1	2951.5	2863.8	2874.8	318732	20589	0.0
2010-05-31	2860.8	2905.7	2795.8	2801.2	350260	22592	0.0
2010-06-01	2789.4	2828.0	2741.6	2771.9	436171	21800	0.0
2010-06-02	2768.3	2789.7	2727.1	2785.6	358266	23300	0.0
2010-06-03	2810.0	2814.9	2751.3	2758.4	358036	23699	0.0
2010-06-04	2749.7	2776.7	2732.5	2772.2	337663	21672	0.0
2010-06-07	2710.6	2724.9	2688.8	2716.1	307258	21667	0.0
2010-06-08	2719.7	2734.6	2692.5	2733.8	241972	23308	0.0
2010-06-09	2730.9	2815.3	2709.9	2800.2	345288	24818	0.0
2010-06-10	2786.2	2800.4	2774.4	2783.0	261058	23289	0.0
2010-06-11	2801.6	2810.6	2785.2	2787.9	215378	22298	0.0
2010-06-17	2798.4	2810.9	2766.6	2768.3	190270	24352	0.0
2010-06-18	2767.5	2783.2	2716.4	2728.7	269428	24780	0.0
2010-06-21	2758.1	2825.4	2728.6	2815.1	291232	26294	0.0
2010-06-22	2806.3	2824.4	2803.8	2808.9	229511	24623	0.0
2010-06-23	2796.9	2810.7	2753.4	2776.9	248831	24244	0.0
2010-06-24	2782.9	2818.9	2761.3	2782.6	308163	24280	0.0
2010-06-25	2771.3	2782.7	2747.0	2765.8	258764	24467	0.0
2010-06-28	2764.6	2773.4	2741.1	2752.6	217347	26927	0.0
2010-06-29	2752.6	2757.1	2609.5	2610.9	311941	30903	0.0
2010-06-30	2590.3	2602.2	2573.4	2589.9	257968	28785	0.0
2010-07-01	2588.9	2593.1	2546.3	2555.6	253058	30819	0.0
2010-07-02	2560.7	2573.7	2488.5	2557.7	384533	31782	0.0
2010-07-05	2546.6	2556.9	2491.4	2542.0	375716	30953	0.0
2010-07-06	2533.2	2594.0	2523.4	2576.3	382806	31308	0.0
2010-07-07	2570.2	2591.2	2557.8	2580.6	331217	30081	0.0
2010-07-08	2603.7	2610.2	2573.6	2580.5	268482	30175	0.0
2010-07-09	2585.2	2675.5	2574.1	2661.5	350454	30526	0.0
