IHL9 上证加权 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2015-04-17	3305.8	3342.6	3241.0	3257.2	292961	44834	0.0
2015-04-20	3285.6	3317.0	3146.2	3149.2	291652	45659	0.0
2015-04-21	3189.2	3243.8	3156.2	3235.8	254832	45448	0.0
2015-04-22	3258.6	3334.6	3233.0	3310.6	253323	51012	0.0
2015-04-23	3326.6	3350.4	3256.2	3270.0	262467	48314	0.0
2015-04-24	3240.0	3269.4	3172.2	3234.8	236160	44628	0.0
2015-04-27	3262.4	3358.6	3262.2	3358.4	274546	53863	0.0
2015-04-28	3340.8	3377.6	3267.4	3289.2	350726	44987	0.0
2015-04-29	3296.8	3325.4	3263.8	3297.4	256394	48875	0.0
2015-04-30	3315.6	3332.6	3250.0	3271.4	215799	50764	0.0
2015-05-04	3297.8	3304.0	3228.8	3275.4	201984	50067	0.0
2015-05-05	3267.2	3277.4	3146.2	3166.0	235345	48367	0.0
2015-05-06	3189.6	3259.2	3120.2	3155.6	285485	46297	0.0
2015-05-07	3168.0	3168.4	3107.8	3114.6	254499	51780	0.0
2015-05-08	3140.2	3152.4	3055.4	3104.2	238530	49685	0.0
2015-05-11	3111.2	3176.0	3082.8	3167.8	232601	45245	0.0
2015-05-12	3170.8	3200.6	3143.4	3176.8	232973	42366	0.0
2015-05-13	3189.0	3200.2	3105.6	3119.6	224533	41710	0.0
2015-05-14	3134.2	3163.8	3102.4	3120.0	241834	40051	0.0
2015-05-15	3122.2	3131.8	3027.8	3043.2	252307	34572	0.0
2015-05-18	3028.2	3050.4	2963.0	2969.4	186027	36533	0.0
2015-05-19	2980.2	3146.2	2972.0	3143.8	309935	39866	0.0
2015-05-20	3160.0	3218.0	3106.2	3145.6	304254	49598	0.0
2015-05-21	3160.6	3201.0	3141.0	3193.0	269086	52636	0.0
2015-05-22	3200.2	3311.2	3197.6	3304.8	342163	59055	0.0
2015-05-25	3311.6	3437.8	3309.8	3416.4	314400	70518	0.0
2015-05-26	3435.4	3461.4	3381.8	3423.2	371434	73131	0.0
2015-05-27	3464.2	3512.2	3357.4	3401.4	363807	71922	0.0
2015-05-28	3409.2	3425.2	3123.0	3167.0	419225	60729	0.0
2015-05-29	3184.8	3199.6	3065.6	3122.8	399778	50373	0.0
2015-06-01	3123.4	3345.8	3091.8	3342.0	370752	55503	0.0
2015-06-02	3335.8	3357.2	3228.4	3304.4	386670	54893	0.0
2015-06-03	3315.4	3343.8	3221.2	3255.4	443330	51076	0.0
2015-06-04	3248.4	3400.6	3033.6	3379.0	597187	61106	0.0
2015-06-05	3406.2	3433.4	3213.6	3309.6	527977	65825	0.0
2015-06-08	3298.4	3547.0	3298.4	3539.8	527887	94992	0.0
2015-06-09	3562.4	3573.2	3391.6	3423.0	634556	94847	0.0
2015-06-10	3395.4	3453.4	3360.2	3371.8	477639	92083	0.0
2015-06-11	3389.8	3422.2	3335.6	3369.6	444866	95707	0.0
2015-06-12	3390.0	3416.0	3340.4	3415.0	410769	100729	0.0
2015-06-15	3410.4	3427.2	3259.0	3273.0	478931	100053	0.0
2015-06-16	3278.4	3303.2	3164.0	3203.4	490900	95711	0.0
2015-06-17	3226.6	3244.6	3168.4	3219.6	497250	94258	0.0
2015-06-18	3209.0	3210.6	3084.4	3104.4	505885	92419	0.0
2015-06-19	3096.2	3107.0	2818.0	2864.6	591688	88253	0.0
2015-06-23	2895.6	3044.2	2831.8	2990.0	585011	89537	0.0
2015-06-24	3004.2	3064.4	2972.0	3052.0	444115	82541	0.0
2015-06-25	3085.2	3103.8	2913.4	2925.4	510265	80408	0.0
2015-06-26	2915.8	2975.8	2671.0	2695.6	721459	84091	0.0
2015-06-29	2816.4	2841.8	2479.2	2661.6	946107	78803	0.0
2015-06-30	2726.2	2891.4	2639.2	2855.4	696700	78051	0.0
2015-07-01	2854.8	2886.2	2649.2	2702.6	592210	72108	0.0
2015-07-02	2760.8	2820.4	2612.0	2745.0	680410	70484	0.0
2015-07-03	2731.4	2766.8	2529.8	2603.8	624871	65280	0.0
2015-07-06	2822.8	2837.2	2640.8	2763.8	508641	63211	0.0
2015-07-07	2744.6	2825.2	2680.6	2740.8	434561	56933	0.0
2015-07-08	2568.0	2917.2	2497.4	2497.4	185480	47079	0.0
2015-07-09	2443.8	2747.2	2320.0	2732.4	324817	38984	0.0
2015-07-10	2699.2	3001.2	2696.2	2825.2	656089	36906	0.0
2015-07-13	2823.6	2867.2	2770.2	2781.6	423616	33407	0.0
2015-07-14	2781.4	2793.8	2624.4	2674.2	386037	31008	0.0
2015-07-15	2674.4	2696.8	2580.4	2642.0	409648	31473	0.0
2015-07-16	2623.4	2722.2	2593.0	2690.8	412322	25918	0.0
2015-07-17	2707.2	2793.6	2674.8	2724.8	382548	24364	0.0
2015-07-20	2732.0	2748.0	2631.2	2676.0	327898	26910	0.0
2015-07-21	2667.2	2690.0	2609.8	2645.6	339781	26218	0.0
2015-07-22	2637.2	2642.4	2574.6	2612.2	249548	27749	0.0
2015-07-23	2610.8	2744.0	2610.8	2729.4	306594	26310	0.0
2015-07-24	2724.0	2738.0	2629.4	2651.2	286237	27434	0.0
2015-07-27	2631.4	2635.2	2391.0	2420.2	279530	31479	0.0
2015-07-28	2391.2	2468.2	2367.8	2406.2	378437	29422	0.0
2015-07-29	2434.4	2469.0	2388.8	2461.6	294249	27887	0.0
2015-07-30	2459.2	2461.8	2347.0	2392.6	304112	30525	0.0
2015-07-31	2388.4	2441.0	2348.4	2390.2	283318	30628	0.0
2015-08-03	2362.2	2377.2	2325.8	2370.2	191395	30514	0.0
2015-08-04	2382.0	2473.8	2379.4	2449.2	212757	27907	0.0
2015-08-05	2446.4	2454.6	2398.8	2417.4	190194	28546	0.0
2015-08-06	2388.6	2456.8	2375.0	2410.4	230879	27832	0.0
2015-08-07	2418.8	2499.2	2417.2	2447.8	261191	27776	0.0
2015-08-10	2465.4	2589.2	2463.4	2558.0	234492	28749	0.0
2015-08-11	2565.2	2577.2	2534.4	2545.0	227146	28953	0.0
2015-08-12	2530.0	2571.2	2517.0	2529.8	248886	28427	0.0
2015-08-13	2555.4	2563.2	2495.4	2533.0	229269	28414	0.0
2015-08-14	2547.4	2554.4	2503.6	2519.6	215208	28246	0.0
2015-08-17	2489.2	2503.6	2443.2	2472.6	229528	31619	0.0
2015-08-18	2485.0	2501.0	2268.6	2354.2	317998	31298	0.0
2015-08-19	2345.6	2381.2	2277.6	2347.6	306984	29265	0.0
2015-08-20	2333.0	2338.8	2270.8	2285.4	300449	28973	0.0
2015-08-21	2272.0	2294.2	2185.6	2213.0	334907	25900	0.0
2015-08-24	2144.8	2145.2	1994.8	1994.8	236920	27542	0.0
2015-08-25	1917.8	1991.4	1800.6	1801.2	413934	33944	0.0
2015-08-26	1848.2	1945.4	1772.6	1817.6	384302	31060	0.0
2015-08-27	1884.6	2030.6	1865.0	2023.2	373455	33029	0.0
2015-08-28	2050.2	2089.8	2000.0	2060.2	280142	30858	0.0
2015-08-31	2051.2	2055.8	1971.8	2037.4	170696	29084	0.0
2015-09-01	2047.0	2071.0	1959.0	2009.0	198676	28208	0.0
2015-09-02	1990.0	2112.8	1971.4	1975.4	215256	29209	0.0
2015-09-07	2038.6	2171.2	2018.2	2019.2	18761	25356	0.0
2015-09-08	2047.4	2157.6	2026.6	2148.4	13904	23482	0.0
2015-09-09	2157.8	2186.6	2143.8	2161.2	11209	22049	0.0
