IMCI 上期有色 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2013-02-01	3323.62	3331.88	3312.90	3331.29	0	0	0.00
2013-02-04	3346.58	3360.40	3331.29	3344.69	0	0	0.00
2013-02-05	3334.12	3346.15	3330.39	3333.92	0	0	0.00
2013-02-06	3337.76	3352.53	3330.25	3335.66	0	0	0.00
2013-02-07	3333.78	3338.58	3318.68	3329.83	0	0	0.00
2013-02-08	3326.34	3344.12	3321.68	3334.12	0	0	0.00
2013-02-18	3336.68	3338.40	3294.82	3295.96	0	0	0.00
2013-02-19	3295.07	3307.79	3288.22	3291.87	0	0	0.00
2013-02-20	3294.98	3298.85	3283.29	3290.22	0	0	0.00
2013-02-21	3257.99	3290.22	3210.99	3232.93	0	0	0.00
2013-02-22	3227.05	3242.09	3220.33	3233.77	0	0	0.00
2013-02-25	3215.06	3233.77	3202.36	3213.80	0	0	0.00
2013-02-26	3201.87	3224.53	3200.39	3204.67	0	0	0.00
2013-02-27	3226.58	3236.38	3204.67	3225.61	0	0	0.00
2013-02-28	3230.71	3239.87	3224.63	3231.72	0	0	0.00
2013-03-01	3208.06	3231.72	3176.75	3182.87	0	0	0.00
2013-03-04	3180.01	3182.87	3148.82	3161.21	0	0	0.00
2013-03-05	3179.44	3195.62	3161.21	3193.41	0	0	0.00
2013-03-06	3192.56	3202.20	3178.06	3181.76	0	0	0.00
2013-03-07	3173.71	3181.76	3156.17	3171.70	0	0	0.00
2013-03-08	3182.92	3189.05	3171.70	3180.60	0	0	0.00
2013-03-11	3168.74	3185.87	3166.91	3167.63	0	0	0.00
2013-03-12	3183.79	3185.17	3160.34	3160.73	0	0	0.00
2013-03-13	3192.13	3202.09	3160.84	3186.55	0	0	0.00
2013-03-14	3181.77	3187.24	3161.90	3184.38	0	0	0.00
2013-03-15	3190.40	3208.42	3184.47	3201.92	0	0	0.00
2013-03-18	3160.02	3202.06	3080.46	3104.48	0	0	0.00
2013-03-19	3114.77	3114.77	3080.26	3089.14	0	0	0.00
2013-03-20	3072.81	3114.71	3069.45	3111.10	0	0	0.00
2013-03-21	3116.26	3171.52	3111.10	3131.37	0	0	0.00
2013-03-22	3121.01	3137.51	3115.41	3122.82	0	0	0.00
2013-03-25	3144.30	3155.08	3122.82	3136.25	0	0	0.00
2013-03-26	3126.77	3138.94	3118.21	3128.76	0	0	0.00
2013-03-27	3134.02	3135.59	3111.52	3118.27	0	0	0.00
2013-03-28	3130.22	3133.69	3099.75	3104.78	0	0	0.00
2013-03-29	3079.11	3118.39	3076.09	3080.97	0	0	0.00
2013-04-01	3065.25	3080.97	3021.47	3026.05	0	0	0.00
2013-04-02	3048.40	3066.90	3026.05	3061.42	0	0	0.00
2013-04-03	3063.51	3071.75	3032.78	3037.38	0	0	0.00
2013-04-08	3041.05	3069.78	3037.38	3069.02	0	0	0.00
2013-04-09	3081.09	3096.29	3069.02	3096.18	0	0	0.00
2013-04-10	3110.31	3113.72	3094.83	3099.06	0	0	0.00
2013-04-11	3089.59	3106.63	3085.53	3086.49	0	0	0.00
2013-04-12	3098.16	3103.27	3086.51	3098.42	0	0	0.00
2013-04-15	3040.22	3098.36	2988.34	3008.45	0	0	0.00
2013-04-16	2957.14	3008.59	2936.32	2986.02	0	0	0.00
2013-04-17	2997.63	3003.44	2953.43	2956.45	0	0	0.00
2013-04-18	2863.61	2956.45	2858.35	2864.77	0	0	0.00
2013-04-19	2878.93	2899.91	2834.39	2880.29	0	0	0.00
2013-04-22	2869.46	2882.59	2794.34	2797.79	0	0	0.00
2013-04-23	2819.26	2832.14	2772.96	2801.92	0	0	0.00
2013-04-24	2810.07	2904.15	2799.48	2876.26	0	0	0.00
2013-04-25	2886.16	2914.22	2869.87	2911.69	0	0	0.00
2013-04-26	2947.65	2968.64	2911.69	2934.34	0	0	0.00
2013-05-02	2804.09	2934.34	2803.67	2825.55	0	0	0.00
2013-05-03	2825.43	2901.16	2825.43	2899.14	0	0	0.00
2013-05-06	3000.73	3001.87	2899.14	2983.01	0	0	0.00
2013-05-07	2981.08	3004.57	2953.62	2953.62	0	0	0.00
2013-05-08	2963.50	2997.19	2953.62	2993.40	0	0	0.00
2013-05-09	3010.53	3017.16	2979.24	2995.07	0	0	0.00
2013-05-10	2973.05	3016.34	2972.06	3014.18	0	0	0.00
2013-05-13	3012.16	3028.77	2994.46	3013.25	0	0	0.00
2013-05-14	3014.80	3026.80	2975.81	2976.22	0	0	0.00
2013-05-15	2974.71	2979.25	2939.70	2942.77	0	0	0.00
2013-05-16	2941.51	2963.24	2924.22	2946.31	0	0	0.00
2013-05-17	2954.36	2998.22	2944.68	2987.23	0	0	0.00
2013-05-20	2984.11	2987.89	2959.34	2966.22	0	0	0.00
2013-05-21	2997.40	3012.64	2966.22	3010.23	0	0	0.00
2013-05-22	3000.98	3028.95	2996.33	3020.44	0	0	0.00
2013-05-23	3006.41	3020.44	2948.20	2955.43	0	0	0.00
2013-05-24	2974.68	2990.29	2955.43	2984.00	0	0	0.00
2013-05-27	2968.47	2984.00	2952.43	2967.70	0	0	0.00
2013-05-28	2979.31	2983.14	2940.17	2978.44	0	0	0.00
2013-05-29	2978.44	2989.32	2955.31	2956.21	0	0	0.00
2013-05-30	2956.61	2969.48	2935.88	2966.64	0	0	0.00
2013-05-31	2983.48	2998.72	2966.64	2983.07	0	0	0.00
2013-06-03	2984.45	3008.60	2983.07	2999.71	0	0	0.00
2013-06-04	2998.19	3007.76	2992.54	3000.48	0	0	0.00
2013-06-05	3015.92	3029.35	3000.48	3028.87	0	0	0.00
2013-06-06	3012.57	3028.87	2992.05	2999.67	0	0	0.00
2013-06-07	2998.07	3010.33	2990.77	3007.40	0	0	0.00
2013-06-13	2920.88	3005.61	2918.55	2932.28	0	0	0.00
2013-06-14	2926.95	2936.44	2913.99	2923.59	0	0	0.00
2013-06-17	2925.42	2945.14	2921.87	2934.46	0	0	0.00
2013-06-18	2928.01	2932.50	2894.70	2897.17	0	0	0.00
2013-06-19	2889.69	2897.65	2874.05	2892.70	0	0	0.00
2013-06-20	2855.03	2892.70	2823.54	2825.79	0	0	0.00
2013-06-21	2787.58	2826.99	2762.24	2824.31	0	0	0.00
2013-06-24	2813.35	2824.31	2740.76	2744.44	0	0	0.00
2013-06-25	2753.95	2787.80	2721.72	2769.84	0	0	0.00
2013-06-26	2801.80	2803.99	2742.19	2743.24	0	0	0.00
2013-06-27	2757.49	2787.66	2743.24	2781.73	0	0	0.00
2013-06-28	2756.37	2781.73	2739.06	2773.13	0	0	0.00
2013-07-01	2766.41	2822.30	2760.11	2817.74	0	0	0.00
2013-07-02	2836.79	2854.75	2817.74	2853.99	0	0	0.00
2013-07-03	2853.87	2872.84	2842.13	2871.32	0	0	0.00
2013-07-04	2867.59	2871.60	2846.30	2847.40	0	0	0.00
2013-07-05	2847.40	2851.73	2733.91	2812.60	0	0	0.00
2013-07-08	2792.83	2812.60	2778.50	2781.85	0	0	0.00
2013-07-09	2794.06	2814.54	2781.85	2797.49	0	0	0.00
2013-07-10	2797.08	2797.49	2756.89	2787.38	0	0	0.00
2013-07-11	2830.95	2895.97	2785.36	2883.61	0	0	0.00
2013-07-12	2882.75	2882.75	2833.44	2834.32	0	0	0.00
2013-07-15	2833.58	2858.76	2829.12	2841.78	0	0	0.00
2013-07-16	2839.22	2856.10	2831.84	2856.10	0	0	0.00
2013-07-17	2858.56	2877.23	2835.66	2836.17	0	0	0.00
2013-07-18	2828.77	2836.17	2812.00	2826.13	0	0	0.00
2013-07-19	2836.19	2852.53	2817.12	2818.88	0	0	0.00
2013-07-22	2845.52	2859.63	2818.88	2857.81	0	0	0.00
2013-07-23	2859.79	2876.72	2854.22	2856.70	0	0	0.00
2013-07-24	2870.94	2876.25	2851.35	2870.41	0	0	0.00
2013-07-25	2860.74	2871.18	2853.92	2867.67	0	0	0.00
2013-07-26	2869.18	2874.80	2837.84	2845.95	0	0	0.00
2013-07-29	2802.87	2845.95	2791.57	2798.78	0	0	0.00
2013-07-30	2804.71	2808.42	2789.45	2790.09	0	0	0.00
2013-07-31	2770.72	2803.98	2770.72	2802.63	0	0	0.00
2013-08-01	2818.16	2850.59	2802.63	2842.65	0	0	0.00
2013-08-02	2854.31	2855.69	2831.35	2843.96	0	0	0.00
2013-08-05	2845.71	2856.83	2838.52	2850.48	0	0	0.00
2013-08-06	2842.22	2852.41	2837.59	2850.39	0	0	0.00
2013-08-07	2842.45	2850.39	2834.96	2846.71	0	0	0.00
2013-08-08	2862.41	2918.75	2846.71	2915.31	0	0	0.00
2013-08-09	2916.73	2934.34	2907.07	2919.31	0	0	0.00
2013-08-12	2945.27	2974.72	2919.31	2964.28	0	0	0.00
2013-08-13	2962.42	2963.76	2942.56	2954.03	0	0	0.00
2013-08-14	2950.65	2971.82	2941.83	2951.64	0	0	0.00
2013-08-15	2957.83	2970.20	2946.57	2950.84	0	0	0.00
2013-08-16	2967.87	3009.91	2949.63	3005.78	0	0	0.00
2013-08-19	3000.34	3005.11	2984.78	2987.60	0	0	0.00
2013-08-20	2979.52	2987.60	2949.13	2955.43	0	0	0.00
2013-08-21	2963.88	2974.01	2955.43	2971.59	0	0	0.00
2013-08-22	2952.37	2989.35	2950.28	2984.77	0	0	0.00
2013-08-23	2979.53	2986.38	2967.06	2983.11	0	0	0.00
2013-08-26	3028.49	3028.49	2983.11	3015.58	0	0	0.00
2013-08-27	2998.72	3015.58	2983.42	2988.97	0	0	0.00
2013-08-28	2985.51	2996.24	2961.77	2964.28	0	0	0.00
2013-08-29	2966.29	2973.41	2944.15	2963.69	0	0	0.00
2013-08-30	2937.32	2963.69	2932.59	2940.83	0	0	0.00
2013-09-02	2946.88	2980.10	2940.83	2966.89	0	0	0.00
2013-09-03	2966.89	2977.97	2952.66	2959.08	0	0	0.00
2013-09-04	2959.08	2963.04	2938.97	2942.75	0	0	0.00
2013-09-05	2929.44	2942.75	2914.91	2922.74	0	0	0.00
2013-09-06	2927.63	2934.30	2920.41	2933.42	0	0	0.00
2013-09-09	2947.41	2960.31	2933.42	2956.21	0	0	0.00
2013-09-10	2955.28	2956.21	2928.48	2940.17	0	0	0.00
2013-09-11	2939.35	2997.39	2932.37	2942.16	0	0	0.00
2013-09-12	2939.28	2941.09	2909.50	2910.66	0	0	0.00
2013-09-13	2902.17	2908.87	2890.53	2904.83	0	0	0.00
2013-09-16	2910.46	2920.22	2890.94	2894.23	0	0	0.00
2013-09-17	2892.46	2908.02	2875.72	2906.38	0	0	0.00
2013-09-18	2899.97	2916.87	2887.88	2915.80	0	0	0.00
2013-09-23	2927.44	2939.59	2915.80	2935.52	0	0	0.00
2013-09-24	2935.46	2941.87	2919.97	2920.63	0	0	0.00
2013-09-25	2921.66	2929.48	2912.79	2921.42	0	0	0.00
2013-09-26	2922.30	2951.81	2916.77	2947.91	0	0	0.00
2013-09-27	2948.66	2962.28	2941.61	2951.32	0	0	0.00
2013-09-30	2952.34	2978.35	2947.89	2975.16	0	0	0.00
2013-10-08	2962.32	2975.16	2948.92	2960.24	0	0	0.00
