JDL9 鸡蛋指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2013-11-08	4010	4196	3994	4077	350712	65726	0
2013-11-11	4107	4107	4023	4044	166804	70542	0
2013-11-12	4045	4092	4037	4084	114240	67840	0
2013-11-13	4079	4110	4070	4105	78388	66142	0
2013-11-14	4104	4113	4090	4110	48194	60106	0
2013-11-15	4109	4142	4108	4140	148218	71550	0
2013-11-18	4138	4146	4124	4136	120366	78240	0
2013-11-19	4136	4148	4124	4145	68166	69896	0
2013-11-20	4142	4158	4140	4152	64854	70160	0
2013-11-21	4154	4155	4133	4140	43978	61068	0
2013-11-22	4144	4163	4135	4147	42632	59996	0
2013-11-25	4149	4260	4149	4246	299388	97914	0
2013-11-26	4244	4259	4230	4249	158180	91302	0
2013-11-27	4253	4259	4210	4230	125030	86808	0
2013-11-28	4233	4266	4230	4256	195074	97032	0
2013-11-29	4258	4264	4237	4255	91980	95182	0
2013-12-02	4256	4270	4236	4248	61338	94818	0
2013-12-03	4247	4268	4224	4245	169046	98352	0
2013-12-04	4248	4258	4233	4236	68392	97502	0
2013-12-05	4239	4259	4234	4241	88080	95552	0
2013-12-06	4245	4258	4194	4220	96776	90056	0
2013-12-09	4227	4238	4217	4221	44980	89560	0
2013-12-10	4229	4258	4222	4237	144898	92690	0
2013-12-11	4243	4250	4229	4235	70366	91862	0
2013-12-12	4239	4251	4229	4237	59686	90282	0
2013-12-13	4234	4240	4177	4186	82832	86912	0
2013-12-16	4199	4202	4165	4172	56250	88026	0
2013-12-17	4177	4204	4174	4193	59400	85752	0
2013-12-18	4187	4205	4179	4182	41770	86090	0
2013-12-19	4180	4180	4030	4069	237242	91536	0
2013-12-20	4079	4086	4051	4074	87104	81624	0
2013-12-23	4057	4062	4030	4058	73194	81572	0
2013-12-24	4053	4080	4047	4072	58882	80452	0
2013-12-25	4074	4108	4071	4086	64640	80840	0
2013-12-26	4092	4106	4045	4062	69608	80062	0
2013-12-27	4062	4083	4058	4060	38818	79004	0
2013-12-30	4065	4095	4062	4079	49470	76696	0
2013-12-31	4077	4093	4030	4042	63670	79890	0
2014-01-02	4044	4069	4032	4065	33338	78484	0
2014-01-03	4079	4117	4072	4102	106728	80104	0
2014-01-06	4094	4108	4030	4032	80118	80322	0
2014-01-07	3963	4007	3929	3969	112632	75730	0
2014-01-08	3972	3981	3945	3961	49382	74146	0
2014-01-09	3955	3983	3909	3926	70054	77814	0
2014-01-10	3929	3944	3915	3931	41338	77254	0
2014-01-13	3929	3957	3915	3930	43610	76422	0
2014-01-14	3935	3983	3930	3975	43692	74176	0
2014-01-15	3971	3976	3931	3940	55706	79030	0
2014-01-16	3946	3946	3871	3880	93854	90534	0
2014-01-17	3880	3903	3863	3902	61918	89396	0
2014-01-20	3894	3932	3894	3913	54624	88034	0
2014-01-21	3908	3908	3869	3886	60106	90254	0
2014-01-22	3884	3884	3813	3858	124494	95074	0
2014-01-23	3849	3878	3848	3867	44148	94652	0
2014-01-24	3863	3877	3840	3863	50006	97112	0
2014-01-27	3852	3906	3845	3905	79274	95552	0
2014-01-28	3883	3971	3883	3946	120682	94862	0
2014-01-29	3946	3975	3933	3967	51292	94304	0
2014-01-30	3963	4014	3960	4012	38372	93908	0
2014-02-07	4001	4040	3951	3956	60948	101346	0
2014-02-10	3948	3995	3932	3986	83058	109838	0
2014-02-11	3985	3987	3945	3947	94404	118396	0
2014-02-12	3953	3959	3929	3957	46492	119052	0
2014-02-13	3960	3984	3957	3966	40744	119264	0
2014-02-14	3970	4069	3950	4068	208378	134612	0
