JL9 焦炭指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2011-04-15	2300.0	2300.0	2229.0	2250.0	58080	6694	0.0
2011-04-18	2235.0	2388.0	2235.0	2382.0	133636	19940	0.0
2011-04-19	2377.0	2385.0	2322.0	2337.0	205268	23738	0.0
2011-04-20	2351.0	2394.0	2330.0	2344.0	176032	23970	0.0
2011-04-21	2354.0	2364.0	2324.0	2337.0	97806	22728	0.0
2011-04-22	2337.0	2351.0	2298.0	2332.0	128548	19446	0.0
2011-04-25	2342.0	2359.0	2319.0	2331.0	65102	18596	0.0
2011-04-26	2317.0	2330.0	2305.0	2324.0	44636	18420	0.0
2011-04-27	2334.0	2340.0	2317.0	2322.0	32090	16914	0.0
2011-04-28	2332.0	2349.0	2328.0	2339.0	26344	14746	0.0
2011-04-29	2339.0	2345.0	2325.0	2331.0	17764	12312	0.0
2011-05-03	2332.0	2355.0	2328.0	2346.0	26696	13430	0.0
2011-05-04	2343.0	2348.0	2322.0	2331.0	14634	11348	0.0
2011-05-05	2311.0	2321.0	2296.0	2311.0	14072	11296	0.0
2011-05-06	2257.0	2291.0	2257.0	2274.0	14920	10726	0.0
2011-05-09	2282.0	2286.0	2275.0	2282.0	7270	9796	0.0
2011-05-10	2287.0	2290.0	2278.0	2289.0	7988	8766	0.0
2011-05-11	2295.0	2339.0	2288.0	2316.0	30238	9928	0.0
2011-05-12	2292.0	2353.0	2290.0	2345.0	62144	18268	0.0
2011-05-13	2361.0	2443.0	2354.0	2419.0	135262	27080	0.0
2011-05-16	2416.0	2424.0	2397.0	2408.0	57382	26530	0.0
2011-05-17	2415.0	2417.0	2372.0	2392.0	57900	22530	0.0
2011-05-18	2401.0	2424.0	2371.0	2373.0	70694	22634	0.0
2011-05-19	2395.0	2395.0	2364.0	2369.0	47798	19122	0.0
2011-05-20	2365.0	2393.0	2363.0	2377.0	37118	19014	0.0
2011-05-23	2389.0	2389.0	2353.0	2358.0	19074	18518	0.0
2011-05-24	2357.0	2381.0	2346.0	2381.0	30624	21746	0.0
2011-05-25	2383.0	2385.0	2367.0	2376.0	18240	19572	0.0
2011-05-26	2386.0	2398.0	2378.0	2379.0	19624	20152	0.0
2011-05-27	2380.0	2381.0	2352.0	2372.0	21780	19314	0.0
2011-05-30	2371.0	2383.0	2361.0	2366.0	16498	18550	0.0
2011-05-31	2371.0	2379.0	2362.0	2366.0	15260	16634	0.0
2011-06-01	2371.0	2376.0	2358.0	2360.0	13748	16446	0.0
2011-06-02	2352.0	2364.0	2339.0	2341.0	18830	16112	0.0
2011-06-03	2342.0	2346.0	2322.0	2328.0	17242	16158	0.0
2011-06-07	2323.0	2342.0	2312.0	2333.0	15690	15502	0.0
2011-06-08	2340.0	2340.0	2321.0	2327.0	8244	14852	0.0
2011-06-09	2331.0	2334.0	2320.0	2320.0	8168	14924	0.0
2011-06-10	2325.0	2325.0	2308.0	2313.0	13080	16598	0.0
2011-06-13	2308.0	2322.0	2298.0	2321.0	9462	18142	0.0
2011-06-14	2314.0	2354.0	2314.0	2335.0	42480	16068	0.0
2011-06-15	2340.0	2344.0	2322.0	2324.0	9826	15552	0.0
2011-06-16	2316.0	2322.0	2302.0	2308.0	9586	15014	0.0
2011-06-17	2311.0	2321.0	2305.0	2308.0	6542	15006	0.0
2011-06-20	2307.0	2311.0	2282.0	2283.0	8558	15530	0.0
2011-06-21	2290.0	2302.0	2272.0	2297.0	10418	15464	0.0
2011-06-22	2292.0	2298.0	2285.0	2290.0	6224	14862	0.0
2011-06-23	2289.0	2323.0	2282.0	2319.0	23352	16368	0.0
2011-06-24	2319.0	2324.0	2302.0	2304.0	13418	14860	0.0
2011-06-27	2297.0	2319.0	2292.0	2309.0	12506	14842	0.0
2011-06-28	2317.0	2339.0	2303.0	2304.0	18848	15668	0.0
2011-06-29	2311.0	2314.0	2289.0	2297.0	10994	15488	0.0
2011-06-30	2300.0	2313.0	2297.0	2310.0	11120	14940	0.0
2011-07-01	2309.0	2318.0	2297.0	2298.0	7444	14924	0.0
2011-07-04	2300.0	2326.0	2294.0	2317.0	15674	15724	0.0
2011-07-05	2318.0	2323.0	2307.0	2316.0	9460	16292	0.0
2011-07-06	2322.0	2346.0	2317.0	2344.0	22880	19394	0.0
2011-07-07	2342.0	2351.0	2312.0	2316.0	20036	16348	0.0
2011-07-08	2320.0	2328.0	2310.0	2316.0	12924	15932	0.0
2011-07-11	2311.0	2325.0	2305.0	2307.0	7732	14582	0.0
2011-07-12	2309.0	2318.0	2293.0	2300.0	7646	14138	0.0
2011-07-13	2307.0	2316.0	2304.0	2313.0	5892	13268	0.0
2011-07-14	2319.0	2319.0	2300.0	2308.0	6774	13102	0.0
2011-07-15	2306.0	2312.0	2301.0	2306.0	3420	12386	0.0
2011-07-18	2310.0	2317.0	2306.0	2308.0	6056	12434	0.0
2011-07-19	2309.0	2313.0	2305.0	2308.0	2942	11726	0.0
2011-07-20	2311.0	2317.0	2295.0	2301.0	7082	12634	0.0
2011-07-21	2301.0	2303.0	2286.0	2290.0	6326	12910	0.0
2011-07-22	2283.0	2296.0	2280.0	2290.0	3120	12450	0.0
2011-07-25	2289.0	2302.0	2286.0	2290.0	4640	11838	0.0
2011-07-26	2294.0	2297.0	2284.0	2294.0	2504	11156	0.0
2011-07-27	2298.0	2298.0	2288.0	2289.0	2424	10848	0.0
2011-07-28	2288.0	2299.0	2285.0	2290.0	4236	9930	0.0
