JML9 焦煤指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2013-03-22	1304.0	1304.0	1258.0	1267.0	848922	97386	0.0
2013-03-25	1276.0	1286.0	1252.0	1259.0	725382	142872	0.0
2013-03-26	1256.0	1277.0	1251.0	1273.0	836840	144930	0.0
2013-03-27	1280.0	1280.0	1261.0	1262.0	499836	129630	0.0
2013-03-28	1265.0	1274.0	1251.0	1261.0	647728	102950	0.0
2013-03-29	1259.0	1270.0	1234.0	1242.0	740158	99138	0.0
2013-04-01	1237.0	1244.0	1203.0	1203.0	712904	158596	0.0
2013-04-02	1198.0	1232.0	1194.0	1229.0	1051156	133458	0.0
2013-04-03	1226.0	1234.0	1215.0	1218.0	607758	106552	0.0
2013-04-08	1201.0	1224.0	1199.0	1221.0	556890	124482	0.0
2013-04-09	1223.0	1233.0	1215.0	1224.0	552676	147284	0.0
2013-04-10	1226.0	1228.0	1212.0	1216.0	378614	137118	0.0
2013-04-11	1210.0	1226.0	1203.0	1207.0	403936	140808	0.0
2013-04-12	1207.0	1221.0	1204.0	1210.0	462552	141030	0.0
2013-04-15	1192.0	1196.0	1165.0	1175.0	443474	132316	0.0
2013-04-16	1161.0	1181.0	1153.0	1180.0	326720	122134	0.0
2013-04-17	1183.0	1190.0	1149.0	1166.0	704204	124944	0.0
2013-04-18	1150.0	1163.0	1129.0	1159.0	572508	127480	0.0
2013-04-19	1162.0	1168.0	1150.0	1165.0	429072	126858	0.0
2013-04-22	1163.0	1166.0	1148.0	1148.0	274358	116072	0.0
2013-04-23	1153.0	1155.0	1131.0	1136.0	240028	108198	0.0
2013-04-24	1136.0	1160.0	1131.0	1147.0	411370	102342	0.0
2013-04-25	1146.0	1150.0	1139.0	1144.0	158940	91108	0.0
2013-04-26	1149.0	1156.0	1138.0	1141.0	166056	79598	0.0
2013-05-02	1126.0	1126.0	1105.0	1121.0	111716	86020	0.0
2013-05-03	1131.0	1140.0	1126.0	1131.0	182778	95792	0.0
2013-05-06	1149.0	1150.0	1138.0	1142.0	119894	90746	0.0
2013-05-07	1137.0	1150.0	1133.0	1137.0	109040	86040	0.0
2013-05-08	1136.0	1152.0	1136.0	1151.0	89534	89886	0.0
2013-05-09	1149.0	1152.0	1141.0	1145.0	90134	87162	0.0
2013-05-10	1145.0	1156.0	1140.0	1153.0	87704	85350	0.0
2013-05-13	1153.0	1189.0	1149.0	1181.0	342354	94784	0.0
2013-05-14	1181.0	1187.0	1164.0	1182.0	299918	93410	0.0
2013-05-15	1179.0	1182.0	1146.0	1148.0	315236	87012	0.0
2013-05-16	1149.0	1160.0	1128.0	1149.0	322900	88732	0.0
2013-05-17	1153.0	1168.0	1145.0	1166.0	348294	85354	0.0
2013-05-20	1164.0	1177.0	1164.0	1167.0	214104	91824	0.0
2013-05-21	1171.0	1176.0	1157.0	1169.0	209232	96754	0.0
2013-05-22	1165.0	1181.0	1164.0	1177.0	175390	98138	0.0
2013-05-23	1166.0	1171.0	1152.0	1152.0	179606	91834	0.0
2013-05-24	1156.0	1163.0	1151.0	1152.0	138520	92692	0.0
2013-05-27	1148.0	1148.0	1134.0	1135.0	135946	89920	0.0
2013-05-28	1136.0	1139.0	1126.0	1132.0	126932	94938	0.0
2013-05-29	1133.0	1137.0	1115.0	1117.0	159434	103714	0.0
2013-05-30	1110.0	1120.0	1107.0	1115.0	188226	104668	0.0
2013-05-31	1121.0	1122.0	1099.0	1100.0	168264	112612	0.0
2013-06-03	1100.0	1111.0	1091.0	1105.0	217358	109550	0.0
2013-06-04	1108.0	1109.0	1097.0	1109.0	158250	110888	0.0
2013-06-05	1112.0	1112.0	1100.0	1108.0	148352	112706	0.0
2013-06-06	1104.0	1104.0	1063.0	1063.0	314368	146154	0.0
