JRL9 粳稻指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2013-11-18	3051	3083	3030	3043	30688	6472	0
2013-11-19	3046	3072	3040	3068	10800	7578	0
2013-11-20	3070	3070	3052	3059	3444	6022	0
2013-11-21	3061	3066	3057	3063	1158	5872	0
2013-11-22	3066	3097	3063	3092	4124	6546	0
2013-11-25	3095	3105	3085	3095	4108	5708	0
2013-11-26	3093	3108	3084	3108	2196	5818	0
2013-11-27	3104	3125	3098	3100	4050	5442	0
2013-11-28	3100	3100	3090	3092	796	5214	0
2013-11-29	3091	3101	3085	3098	734	5168	0
2013-12-02	3094	3100	3092	3095	356	5058	0
2013-12-03	3097	3097	3090	3092	448	4914	0
2013-12-04	3097	3097	3088	3089	558	4524	0
2013-12-05	3088	3092	3077	3082	1452	4354	0
2013-12-06	3080	3085	3075	3076	1584	4376	0
2013-12-09	3076	3080	3076	3077	404	4298	0
2013-12-10	3073	3077	3017	3064	978	3874	0
2013-12-11	3062	3070	3038	3054	2368	3458	0
2013-12-12	3053	3090	3052	3090	1348	3464	0
2013-12-13	3080	3113	3077	3097	4246	3654	0
2013-12-16	3098	3109	3087	3088	1026	3504	0
2013-12-17	3089	3089	3078	3083	772	3312	0
2013-12-18	3083	3083	3070	3075	476	3266	0
2013-12-19	3075	3093	3073	3076	330	3228	0
2013-12-20	3074	3088	3072	3088	416	3184	0
2013-12-23	3090	3090	3081	3088	276	3250	0
2013-12-24	3084	3087	3076	3079	332	3228	0
2013-12-25	3073	3086	3063	3080	688	3208	0
2013-12-26	3081	3087	3077	3079	514	3162	0
2013-12-27	3068	3086	3064	3082	62	3164	0
2013-12-30	3080	3084	3079	3080	62	3142	0
2013-12-31	3083	3083	3070	3073	166	3136	0
2014-01-02	3080	3081	3072	3077	224	3134	0
2014-01-03	3072	3082	3069	3077	464	3128	0
2014-01-06	3076	3079	3074	3079	234	3024	0
2014-01-07	3077	3092	3077	3092	226	3008	0
2014-01-08	3093	3118	3093	3099	254	2990	0
2014-01-09	3098	3110	3091	3100	190	2988	0
2014-01-10	3099	3108	3099	3107	90	3002	0
2014-01-13	3108	3109	3104	3109	136	3012	0
2014-01-14	3114	3114	3107	3107	212	3006	0
2014-01-15	3104	3110	3097	3107	222	2978	0
2014-01-16	3104	3113	3104	3113	170	3018	0
2014-01-17	3112	3119	3110	3114	206	3002	0
2014-01-20	3111	3118	3109	3112	122	2978	0
2014-01-21	3110	3114	3104	3107	196	2978	0
2014-01-22	3108	3154	3102	3128	310	2980	0
2014-01-23	3138	3146	3127	3130	402	3078	0
2014-01-24	3132	3133	3096	3096	682	3076	0
2014-01-27	3105	3108	3091	3096	280	3038	0
2014-01-28	3093	3102	3064	3082	618	3028	0
2014-01-29	3080	3081	3062	3062	130	2974	0
2014-01-30	3043	3092	3043	3083	132	2940	0
2014-02-07	3066	3096	3066	3083	80	2932	0
2014-02-10	3091	3100	3079	3093	50	2930	0
2014-02-11	3090	3092	3080	3089	106	2922	0
2014-02-12	3085	3104	3085	3097	106	2924	0
2014-02-13	3102	3104	3062	3070	748	2948	0
2014-02-14	3072	3088	3068	3088	134	2946	0
2014-02-17	3061	3095	3061	3079	120	2982	0
2014-02-18	3079	3098	3079	3093	108	2938	0
2014-02-19	3097	3116	3093	3099	1240	3772	0
2014-02-20	3100	3120	3095	3111	242	3882	0
2014-02-21	3105	3121	3105	3105	76	3884	0
2014-02-24	3091	3115	3091	3111	284	3984	0
2014-02-25	3109	3123	3105	3115	436	4208	0
2014-02-26	3117	3123	3106	3117	752	4742	0
2014-02-27	3116	3116	3102	3109	248	4858	0
2014-02-28	3106	3120	3105	3114	98	4910	0
2014-03-03	3115	3119	3106	3113	382	5184	0
2014-03-04	3112	3113	3106	3106	338	5282	0
2014-03-05	3105	3113	3096	3106	102	5302	0
2014-03-06	3106	3108	3098	3098	56	5308	0
2014-03-07	3102	3103	3096	3098	28	5298	0
2014-03-10	3097	3122	3095	3105	610	5374	0
2014-03-11	3118	3118	3103	3114	370	5088	0
2014-03-12	3110	3118	3103	3118	140	5108	0
2014-03-13	3117	3117	3116	3116	38	5110	0
2014-03-14	3116	3126	3116	3117	96	5062	0
2014-03-17	3112	3113	3109	3111	200	4916	0
2014-03-18	3112	3121	3112	3115	116	4916	0
2014-03-19	3115	3119	3112	3115	32	4914	0
2014-03-20	3115	3115	3115	3115	44	4870	0
2014-03-21	3112	3143	3106	3132	124	4814	0
2014-03-24	3120	3153	3120	3150	252	4726	0
2014-03-25	3156	3179	3145	3154	412	4486	0
2014-03-26	3153	3153	3134	3144	284	4274	0
2014-03-27	3149	3149	3140	3141	70	4222	0
2014-03-28	3133	3157	3130	3135	88	4152	0
2014-03-31	3135	3137	3133	3136	18	4148	0
2014-04-01	3149	3158	3139	3146	84	4086	0
2014-04-02	3157	3159	3150	3150	64	4050	0
2014-04-03	3154	3154	3138	3145	14	4054	0
2014-04-04	3130	3139	3127	3138	82	4046	0
2014-04-08	3132	3132	3130	3130	10	4040	0
2014-04-09	3132	3135	3131	3135	100	4048	0
2014-04-10	3201	3201	3135	3142	46	4032	0
2014-04-11	3157	3165	3145	3146	344	3814	0
2014-04-14	3163	3163	3147	3163	56	3760	0
2014-04-15	3166	3166	3142	3142	96	3674	0
2014-04-16	3147	3149	3146	3149	188	3574	0
2014-04-17	3146	3148	3141	3142	258	3360	0
2014-04-18	3147	3150	3146	3148	40	3352	0
2014-04-21	3142	3145	3141	3145	268	3086	0
2014-04-22	3138	3154	3136	3151	288	712	0
2014-04-23	3204	3204	3167	3172	222	514	0
2014-04-24	3162	3196	3161	3196	12	514	0
2014-04-25	3197	3201	3179	3190	50	474	0
2014-04-28	3202	3202	3142	3146	30	254	0
2014-04-29	3160	3189	3138	3138	50	230	0
2014-04-30	3143	3187	3077	3167	44	216	0
2014-05-06	3283	3304	3262	3304	44	196	0
2014-05-07	3294	3296	3294	3296	6	194	0
2014-05-08	3439	3439	3295	3295	4	198	0
2014-05-09	3471	3496	3471	3490	38	224	0
2014-05-12	3479	3504	3355	3355	12	224	0
2014-05-14	3282	3287	3173	3174	86	284	0
2014-05-20	3141	3141	3141	3141	2	86	0
2014-05-21	3152	3152	3127	3134	10	84	0
2014-05-22	3142	3147	3132	3147	10	82	0
2014-05-23	3139	3139	3139	3139	6	84	0
2014-05-27	3156	3179	3130	3178	14	82	0
2014-05-28	3174	3221	3174	3221	14	78	0
2014-05-29	3255	3277	3147	3215	78	78	0
2014-06-04	3176	3176	3176	3176	4	78	0
2014-06-11	3201	3219	3192	3192	10	74	0
2014-06-12	3173	3305	3146	3237	70	66	0
2014-06-16	3226	3226	3209	3209	4	68	0
2014-06-17	3212	3212	3212	3212	2	66	0
2014-06-18	3231	3292	3231	3292	6	72	0
2014-06-20	3309	3309	3243	3243	24	62	0
2014-06-23	3259	3281	3259	3280	24	56	0
2014-06-24	3274	3274	3274	3274	2	56	0
2014-06-25	3304	3305	3254	3294	18	56	0
2014-06-26	3251	3254	3233	3247	18	56	0
2014-06-27	3237	3237	3237	3237	2	54	0
2014-07-03	3238	3281	3238	3265	6	54	0
2014-07-04	3288	3342	3185	3263	100	62	0
2014-07-07	3280	3281	3280	3281	4	62	0
2014-07-08	3265	3281	3261	3267	10	62	0
