LHL9 生猪指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2021-01-11	25880	26290	25545	25605	27778	21072	0
2021-01-12	25305	25845	24905	25230	43508	20569	0
2021-01-13	25870	25960	25370	25505	17953	20609	0
2021-01-14	25590	25755	24450	24485	27387	22999	0
2021-01-15	24610	24720	24080	24325	22871	23045	0
2021-01-18	24535	25355	24500	24765	21896	22713	0
2021-01-19	24910	24990	24525	24645	9595	22069	0
2021-01-20	24480	24700	24350	24545	8542	21802	0
2021-01-21	24680	24795	24440	24505	7182	21492	0
2021-01-22	24450	24645	24195	24225	8615	21617	0
2021-01-25	24430	24895	24285	24610	12299	20809	0
2021-01-26	24760	25425	24625	25265	19418	21617	0
2021-01-27	25235	25330	24945	25010	8909	21553	0
2021-01-28	24775	25260	24775	24925	9292	21075	0
2021-01-29	25065	25325	25025	25255	9424	21214	0
2021-02-01	25295	25375	25115	25365	6871	22172	0
2021-02-02	25420	25685	25000	25070	13011	22823	0
2021-02-03	25110	25230	24900	25005	7800	22620	0
2021-02-04	25115	25170	24950	25120	4560	22682	0
2021-02-05	25300	25815	25225	25810	9799	23655	0
2021-02-08	26475	27060	26375	26585	16323	24606	0
2021-02-09	26725	26765	26145	26540	7714	24081	0
2021-02-10	26515	26520	26225	26415	4901	24158	0
2021-02-18	26460	26795	26365	26745	7028	25364	0
2021-02-19	26890	28035	26875	27970	18942	27175	0
2021-02-22	27910	29015	27825	28950	19253	24885	0
2021-02-23	28770	28790	27685	28530	18735	22556	0
2021-02-24	28755	28845	28175	28470	11260	21339	0
2021-02-25	28425	28625	28220	28455	8192	20507	0
2021-02-26	28110	28825	28060	28575	10272	20287	0
2021-03-01	28755	28960	28445	28870	7232	19769	0
2021-03-02	28920	28930	28260	28490	8382	19290	0
2021-03-03	28605	28740	28250	28510	4652	18862	0
2021-03-04	28460	28770	28420	28560	4224	18477	0
2021-03-05	28395	28530	27245	28110	9598	18175	0
2021-03-08	28255	28480	28065	28215	4398	17906	0
2021-03-09	28080	28220	27540	27605	5656	18178	0
2021-03-10	27550	28015	26935	27800	11197	18023	0
2021-03-11	27860	28405	27570	28245	6674	17601	0
2021-03-12	28475	28505	28150	28355	3906	17254	0
2021-03-15	28515	28530	27925	28060	5281	16712	0
2021-03-16	27985	28345	27865	28140	2967	16242	0
2021-03-17	28060	28435	28035	28310	3161	16707	0
2021-03-18	28235	28310	28050	28155	2831	15953	0
2021-03-19	27995	28250	27905	28160	3103	15845	0
2021-03-22	28070	28135	27630	27925	4180	15616	0
2021-03-23	27945	27975	27665	27830	1869	15138	0
2021-03-24	27785	27885	27640	27700	2283	15021	0
2021-03-25	27625	27710	27260	27260	3414	15255	0
2021-03-26	27110	27255	26985	27000	3721	15354	0
2021-03-29	26815	26815	26220	26330	6443	15758	0
2021-03-30	26190	26960	26190	26745	5261	15753	0
2021-03-31	26490	26800	26390	26655	3864	15230	0
2021-04-01	26790	27615	26595	27575	7196	15862	0
2021-04-02	27445	27450	27210	27340	3511	15051	0
2021-04-06	26915	27130	26765	26825	2717	15049	0
2021-04-07	26675	26710	26350	26520	3939	15162	0
2021-04-08	26400	26990	26380	26625	2845	15126	0
2021-04-09	26695	26730	26200	26355	3837	15118	0
2021-04-12	26890	27035	26530	26790	4562	15066	0
2021-04-13	26945	27275	26820	27255	3715	15151	0
2021-04-14	27100	27345	27030	27065	2585	14963	0
2021-04-15	27090	27115	26830	26870	2474	15019	0
2021-04-16	26755	26800	26495	26635	3856	15144	0
2021-04-19	26565	26905	26565	26850	2839	15165	0
2021-04-20	26995	27035	26805	26810	1904	15175	0
2021-04-21	26675	26885	26615	26880	1910	15297	0
2021-04-22	26855	26995	26785	26870	1945	15325	0
2021-04-23	26940	27610	26885	27365	6968	16607	0
2021-04-26	27070	27190	26940	26980	3881	15829	0
2021-04-27	26785	26825	26660	26695	2908	15502	0
2021-04-28	26620	26940	26595	26845	2237	15335	0
2021-04-29	26740	26965	26680	26900	1930	15586	0
2021-04-30	26980	27055	26785	26865	2194	15389	0
2021-05-06	26555	26770	26100	26330	6085	16344	0
2021-05-07	26320	26570	26280	26515	3116	16103	0
2021-05-10	26030	26115	24685	24695	12519	17617	0
2021-05-11	24495	24795	24460	24580	7599	17832	0
2021-05-12	24745	25015	24690	24835	6190	17507	0
2021-05-13	24715	24760	24365	24620	5492	17039	0
2021-05-14	24480	24610	24060	24495	8316	17511	0
2021-05-17	24470	24510	24310	24425	3129	17506	0
2021-05-18	24500	24500	24020	24100	6602	18925	0
2021-05-19	23855	24055	23245	23245	10945	21769	0
2021-05-20	23095	23425	22740	23095	9968	21865	0
2021-05-21	23050	23620	22950	23360	8833	21601	0
2021-05-24	23170	23485	23055	23350	6423	22053	0
2021-05-25	23360	23645	22985	23200	6986	22296	0
2021-05-26	22930	23010	22495	22510	9099	24356	0
2021-05-27	22135	22225	21775	21805	11865	25967	0
2021-05-28	22175	22485	21675	21695	8773	26536	0
2021-05-31	21580	21805	21305	21365	11407	27771	0
2021-06-01	21430	21515	21140	21170	10201	29425	0
2021-06-02	21125	21290	20770	20840	13370	31996	0
2021-06-03	20690	20705	19775	20195	25840	36144	0
2021-06-04	19740	20010	19550	19555	24580	40198	0
2021-06-07	19335	20005	19110	19770	35754	42110	0
2021-06-08	19810	20080	19525	19535	22302	43777	0
2021-06-09	19450	20235	19400	19860	39516	45540	0
2021-06-10	19785	20025	19660	19660	19620	48313	0
2021-06-11	19725	19815	19530	19555	14974	47705	0
2021-06-15	19120	19310	18720	18810	30221	51747	0
2021-06-16	18905	19175	18815	18890	23390	52970	0
2021-06-17	18760	19025	18425	18470	27286	57732	0
2021-06-18	18315	18415	17710	17720	36787	62750	0
2021-06-21	17430	17465	16910	16925	47076	69150	0
2021-06-22	17070	17540	17020	17295	55961	68883	0
2021-06-23	17450	18325	17450	18315	62573	63404	0
2021-06-24	18390	18395	17855	17975	50022	63851	0
2021-06-25	18320	18955	18265	18940	54888	59651	0
2021-06-28	19190	19270	18655	18900	66324	62016	0
2021-06-29	19015	19140	18880	19105	32518	60880	0
2021-06-30	19135	19230	18970	19125	29124	60375	0
2021-07-01	19175	19310	18580	18685	41583	61900	0
2021-07-02	18555	18640	18350	18440	34054	61132	0
2021-07-05	18565	18880	18565	18665	29280	61171	0
2021-07-06	18780	18895	18685	18860	19392	59021	0
2021-07-07	18725	18930	18430	18600	27830	60769	0
2021-07-08	18670	18815	18535	18760	19450	57754	0
2021-07-09	18895	18975	18780	18975	16154	57350	0
2021-07-12	18820	18870	18690	18690	19926	57293	0
2021-07-13	18670	18680	18255	18285	25481	62044	0
2021-07-14	18280	18375	17975	18225	29344	62767	0
2021-07-15	18130	18310	18120	18200	15948	62558	0
2021-07-16	18190	18445	18175	18440	16293	60356	0
2021-07-19	18675	18715	18380	18655	22128	61159	0
2021-07-20	18745	18895	18695	18770	24039	59787	0
2021-07-21	18845	18915	18630	18705	17106	59272	0
2021-07-22	18640	18680	18485	18490	14227	59312	0
2021-07-23	18405	18510	18250	18395	18003	61525	0
2021-07-26	18475	18605	18380	18530	17619	59157	0
2021-07-27	18545	18550	18410	18475	10878	58618	0
2021-07-28	18495	18530	18390	18440	8399	57839	0
2021-07-29	18485	18620	18460	18555	15399	59481	0
2021-07-30	18600	18670	18530	18575	16322	58536	0
2021-08-02	18320	18405	18150	18170	21452	59751	0
2021-08-03	17960	18275	17955	18080	24361	63736	0
2021-08-04	18050	18075	17870	17880	23701	66961	0
2021-08-05	17770	17865	17715	17755	20127	69228	0
2021-08-06	17750	17925	17730	17895	18196	70007	0
2021-08-09	17990	18040	17800	17815	16775	70106	0
2021-08-10	17770	17825	17490	17495	21517	72288	0
2021-08-11	17480	17675	17375	17620	21448	73355	0
2021-08-12	17590	17650	17520	17620	18432	71822	0
2021-08-13	17605	17615	17385	17430	18964	73618	0
2021-08-16	17515	17530	17225	17240	24767	74981	0
2021-08-17	17220	17290	17125	17220	22476	73787	0
2021-08-18	17215	17290	16980	16990	22902	75364	0
2021-08-19	16905	16920	16570	16675	32623	74347	0
2021-08-20	16725	17100	16725	16980	31730	72955	0
2021-08-23	16695	16785	16430	16455	31963	76282	0
2021-08-24	16415	16490	16270	16370	27822	77765	0
2021-08-25	16410	16470	16240	16390	27437	78949	0
2021-08-26	16395	16615	16385	16525	23673	76557	0
2021-08-27	16545	16595	16420	16545	16677	75615	0
2021-08-30	16355	16360	16035	16050	32063	80274	0
2021-08-31	16375	16380	16225	16300	29356	77783	0
2021-09-01	16390	16410	15875	16075	32464	81337	0
2021-09-02	16065	16095	15605	15645	30882	85108	0
2021-09-03	15605	15855	15475	15670	36410	87357	0
2021-09-06	15455	15715	15415	15565	23778	87962	0
2021-09-07	15630	15695	15490	15530	19679	87945	0
2021-09-08	15460	15560	15230	15240	22955	89777	0
2021-09-09	15040	15070	14725	14755	37992	93572	0
2021-09-10	14585	15055	14585	14870	44556	94492	0
2021-09-13	14835	14940	14555	14595	44480	95749	0
2021-09-14	14605	14750	14460	14485	44440	100086	0
2021-09-15	14435	14490	14125	14130	41280	101594	0
2021-09-16	14145	14745	13795	14490	97655	100351	0
2021-09-17	14595	14625	14155	14180	55393	101959	0
2021-09-22	13810	14075	13770	13780	44522	103846	0
2021-09-23	13795	13865	13515	13625	53686	107713	0
2021-09-24	13545	13845	13480	13755	55432	110968	0
2021-09-27	13785	14435	13700	14410	78032	106763	0
2021-09-28	14370	14590	14050	14065	61942	109255	0
2021-09-29	13990	14175	13815	14000	50491	109241	0
2021-09-30	14030	14260	13925	14050	44035	109088	0
2021-10-08	14265	14435	14085	14375	51021	110183	0
2021-10-11	14645	15510	14550	15505	83824	105851	0
2021-10-12	15835	15905	15260	15470	90006	104043	0
2021-10-13	15675	16100	15100	15520	94859	103249	0
2021-10-14	15335	15435	14880	14890	63200	107679	0
