LL9 乙烯指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2007-07-31	12859	12906	12472	12576	36330	3708	0
2007-08-01	12673	12673	12402	12454	7062	3266	0
2007-08-02	12420	12461	12283	12442	6610	3644	0
2007-08-03	12425	12534	12396	12480	6022	3906	0
2007-08-06	12402	12647	12402	12537	7774	4552	0
2007-08-07	12439	12553	12424	12502	4210	3770	0
2007-08-08	12529	12616	12529	12565	3232	3814	0
2007-08-09	12562	12772	12547	12751	5896	5212	0
2007-08-10	12692	12832	12620	12681	9354	5470	0
2007-08-13	12728	12762	12643	12662	3916	4878	0
2007-08-14	12646	12661	12510	12515	4362	4636	0
2007-08-15	12513	12582	12502	12543	3790	4734	0
2007-08-16	12578	12599	12495	12499	3898	4428	0
2007-08-17	12460	12509	12303	12476	5534	4406	0
2007-08-20	12497	12556	12482	12530	4456	3880	0
2007-08-21	12505	12525	12480	12504	3076	3786	0
2007-08-22	12469	12519	12460	12513	2904	3772	0
2007-08-23	12577	12577	12516	12528	2768	3946	0
2007-08-24	12501	12539	12487	12498	2144	3750	0
2007-08-27	12505	12505	12432	12435	3626	4376	0
2007-08-28	12438	12457	12400	12428	2832	4306	0
2007-08-29	12424	12424	12356	12374	3482	4728	0
2007-08-30	12461	12461	12337	12350	4212	4908	0
2007-08-31	12377	12381	12251	12300	4836	4868	0
2007-09-03	12314	12381	12294	12367	3448	5258	0
2007-09-04	12359	12394	12312	12320	4458	5300	0
2007-09-05	12310	12333	12275	12316	3540	5372	0
2007-09-06	12313	12423	12313	12387	4792	5264	0
2007-09-07	12403	12507	12377	12444	6346	6208	0
2007-09-10	12468	12476	12342	12387	5670	5592	0
2007-09-11	12392	12442	12376	12386	4864	5380	0
2007-09-12	12397	12422	12370	12403	5610	5448	0
2007-09-13	12434	12469	12408	12417	5354	5840	0
2007-09-14	12395	12413	12382	12396	5616	5394	0
2007-09-17	12337	12406	12334	12406	4974	5304	0
2007-09-18	12425	12476	12416	12456	7872	5746	0
2007-09-19	12470	12501	12467	12496	6874	6194	0
2007-09-20	12489	12502	12430	12495	10440	6286	0
2007-09-21	12524	12524	12474	12499	7286	5838	0
2007-09-24	12517	12518	12433	12455	5486	5588	0
2007-09-25	12420	12442	12384	12426	4756	5424	0
2007-09-26	12420	12436	12374	12419	5538	5200	0
2007-09-27	12434	12445	12394	12402	5620	5074	0
2007-09-28	12420	12479	12399	12477	4218	4930	0
2007-10-08	12476	12544	12457	12516	5698	4884	0
2007-10-09	12461	12505	12435	12486	4548	4726	0
2007-10-10	12502	12550	12479	12523	4628	5048	0
2007-10-11	12567	12567	12528	12552	6646	5318	0
2007-10-12	12567	12711	12563	12601	12790	7420	0
2007-10-15	12620	12655	12589	12641	8900	7632	0
2007-10-16	12673	12734	12656	12694	10814	8470	0
2007-10-17	12697	12752	12644	12648	8768	7764	0
2007-10-18	12601	12646	12590	12613	6300	7602	0
2007-10-19	12653	12664	12632	12652	6708	7434	0
2007-10-22	12611	12726	12611	12722	7774	8216	0
2007-10-23	12721	12842	12721	12795	9850	8500	0
2007-10-24	12768	12803	12739	12788	6690	8588	0
2007-10-25	12815	12820	12735	12810	6514	8146	0
2007-10-26	12841	12911	12819	12901	8134	9002	0
2007-10-29	12951	13094	12892	13079	7940	9838	0
2007-10-30	13080	13081	12920	13003	8868	9210	0
2007-10-31	12920	13144	12920	13084	7932	9372	0
2007-11-01	13172	13217	13031	13137	7150	9456	0
2007-11-02	13077	13352	13077	13342	8944	9410	0
2007-11-05	13371	13455	13326	13435	9644	8024	0
2007-11-06	13465	13623	13395	13614	8686	7842	0
