LRL9 晚稻指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2014-07-09	2818	2822	2797	2802	9358	11368	0
2014-07-10	2804	2808	2794	2802	2282	11110	0
2014-07-11	2803	2841	2802	2825	4144	10832	0
2014-07-14	2826	2836	2816	2828	1802	10550	0
2014-07-15	2831	2835	2824	2829	1368	10238	0
2014-07-16	2830	2831	2814	2826	1062	10088	0
2014-07-17	2826	2826	2805	2813	1096	10214	0
2014-07-18	2810	2822	2805	2814	1350	9772	0
2014-07-21	2807	2820	2807	2818	486	9726	0
2014-07-22	2816	2827	2814	2821	740	9900	0
2014-07-23	2821	2823	2814	2819	530	10038	0
2014-07-24	2820	2844	2819	2838	3104	11180	0
2014-07-25	2836	2872	2835	2870	3334	12760	0
2014-07-28	2863	2876	2857	2876	2728	13332	0
2014-07-29	2864	2901	2864	2883	5394	13910	0
2014-07-30	2883	2886	2872	2878	2598	13802	0
2014-07-31	2878	2882	2865	2869	2504	13724	0
2014-08-01	2872	2872	2858	2861	1228	13902	0
2014-08-04	2865	2874	2849	2852	1538	14122	0
2014-08-05	2854	2856	2843	2844	1030	14216	0
2014-08-06	2846	2852	2841	2848	1388	14010	0
2014-08-07	2851	2857	2835	2839	1456	13700	0
2014-08-08	2841	2849	2837	2844	1202	13050	0
2014-08-11	2848	2873	2842	2853	1100	12938	0
2014-08-12	2854	2864	2850	2855	1482	12518	0
2014-08-13	2856	2871	2855	2860	1176	12578	0
2014-08-14	2856	2856	2840	2848	1246	12052	0
2014-08-15	2849	2858	2841	2855	1102	11402	0
2014-08-18	2874	2874	2846	2846	536	11430	0
2014-08-19	2840	2847	2826	2834	616	11290	0
2014-08-20	2838	2857	2835	2842	668	11174	0
2014-08-21	2846	2848	2838	2839	332	11118	0
2014-08-22	2838	2839	2829	2831	740	10924	0
2014-08-25	2830	2845	2830	2840	694	10604	0
2014-08-26	2843	2845	2839	2840	626	10046	0
2014-08-27	2856	2856	2841	2847	152	9986	0
2014-08-28	2848	2854	2836	2840	422	9726	0
2014-08-29	2838	2839	2831	2831	144	9726	0
2014-09-01	2822	2838	2822	2830	366	9610	0
2014-09-02	2839	2840	2827	2828	538	9226	0
2014-09-03	2827	2834	2824	2828	750	8624	0
2014-09-04	2833	2837	2820	2820	336	8460	0
2014-09-05	2821	2829	2820	2823	168	8422	0
2014-09-09	2836	2836	2804	2806	950	7970	0
2014-09-10	2817	2818	2800	2817	514	7706	0
2014-09-11	2817	2828	2817	2822	442	7666	0
2014-09-12	2824	2832	2812	2827	338	7516	0
2014-09-15	2825	2836	2824	2835	252	7486	0
2014-09-16	2830	2831	2828	2830	78	7458	0
2014-09-17	2835	2836	2830	2834	112	7416	0
2014-09-18	2832	2832	2828	2832	76	7350	0
2014-09-19	2829	2834	2823	2831	254	7270	0
2014-09-22	2830	2834	2827	2828	172	7236	0
2014-09-23	2833	2836	2828	2832	182	7126	0
2014-09-24	2823	2837	2815	2831	118	7122	0
2014-09-25	2832	2832	2825	2830	80	7096	0
2014-09-26	2826	2835	2820	2831	122	7074	0
2014-09-29	2833	2833	2793	2830	170	6994	0
2014-09-30	2812	2830	2812	2830	78	6962	0
2014-10-08	2828	2836	2828	2834	154	6850	0
2014-10-09	2834	2835	2829	2835	152	6764	0
2014-10-10	2810	2836	2810	2833	250	6578	0
2014-10-13	2829	2831	2820	2825	142	6586	0
2014-10-14	2828	2835	2822	2832	356	6334	0
2014-10-15	2834	2835	2830	2834	138	6212	0
2014-10-16	2831	2839	2831	2839	128	6212	0
2014-10-17	2841	2845	2836	2839	144	6160	0
2014-10-20	2834	2844	2833	2842	68	6132	0
2014-10-21	2836	2840	2833	2833	130	6074	0
2014-10-22	2838	2847	2838	2840	42	6068	0
2014-10-23	2835	2837	2830	2837	138	5974	0
2014-10-24	2835	2837	2831	2834	80	5908	0
2014-10-27	2823	2837	2822	2837	32	5914	0
2014-10-28	2833	2842	2832	2837	230	5758	0
2014-10-29	2838	2840	2834	2836	114	5676	0
2014-10-30	2837	2840	2835	2836	116	5602	0
2014-10-31	2839	2842	2838	2838	92	5576	0
2014-11-03	2825	2840	2825	2835	102	5550	0
2014-11-04	2835	2838	2834	2838	42	5536	0
2014-11-05	2831	2845	2814	2825	88	5524	0
2014-11-06	2829	2833	2824	2833	16	5524	0
2014-11-07	2829	2838	2825	2832	56	5504	0
2014-11-10	2831	2833	2831	2831	8	5506	0
2014-11-11	2828	2831	2819	2822	22	5514	0
2014-11-12	2827	2831	2827	2831	10	5518	0
2014-11-13	2837	2839	2830	2830	44	5514	0
2014-11-14	2834	2837	2832	2833	26	5520	0
2014-11-17	2834	2835	2834	2835	14	5498	0
2014-11-18	2840	2840	2833	2837	32	5474	0
2014-11-19	2838	2839	2829	2839	54	5438	0
2014-11-20	2831	2840	2829	2834	712	4818	0
2014-11-21	2846	2846	2829	2835	818	4136	0
2014-11-24	2837	2837	2832	2835	714	3432	0
2014-11-25	2833	2837	2832	2836	182	3444	0
2014-11-26	2835	2837	2832	2833	174	3544	0
2014-11-27	2832	2835	2827	2831	206	3590	0
2014-11-28	2830	2833	2827	2828	54	3626	0
2014-12-01	2826	2841	2824	2837	360	3594	0
2014-12-02	2842	2842	2842	2842	12	3586	0
2014-12-03	2839	2839	2824	2832	58	3556	0
2014-12-04	2836	2836	2828	2832	26	3546	0
2014-12-05	2836	2837	2836	2837	4	3544	0
2014-12-08	2918	2918	2836	2836	32	3534	0
2014-12-09	2839	2840	2832	2840	44	3510	0
2014-12-10	2839	2855	2839	2855	94	3428	0
2014-12-11	2841	2845	2834	2835	42	3394	0
2014-12-12	2846	2849	2838	2849	1342	2146	0
2014-12-15	2849	2854	2849	2854	36	2136	0
2014-12-16	2854	2854	2847	2852	20	2130	0
2014-12-17	2826	2847	2826	2847	26	2122	0
2014-12-18	2850	2875	2850	2875	426	1722	0
2014-12-19	2844	2917	2829	2895	76	1718	0
2014-12-22	2889	2889	2841	2843	150	1698	0
2014-12-23	2839	2880	2839	2851	12	1694	0
2014-12-24	2856	2877	2856	2867	18	1690	0
2014-12-25	2908	2908	2884	2887	66	1634	0
2014-12-26	2886	2887	2874	2887	6	1632	0
2014-12-29	2886	2889	2886	2889	26	1620	0
2014-12-30	2889	2889	2886	2886	12	1618	0
2014-12-31	2889	2889	2889	2889	18	1600	0
2015-01-06	2873	2873	2873	2873	2	1600	0
2015-01-07	2872	2886	2824	2826	708	900	0
2015-01-12	2826	2826	2826	2826	2	900	0
2015-01-13	2822	2841	2822	2831	12	902	0
2015-01-14	2835	2835	2829	2829	8	900	0
2015-01-15	2831	2832	2814	2816	122	788	0
2015-01-16	2810	2812	2787	2787	92	824	0
2015-01-19	2807	2808	2780	2782	58	504	0
2015-01-20	2783	2783	2779	2779	20	508	0
2015-01-21	2782	2782	2782	2782	2	508	0
2015-01-22	2772	2788	2772	2779	22	514	0
2015-01-23	2797	2797	2775	2780	50	512	0
2015-01-26	2789	2790	2789	2790	6	508	0
2015-01-27	2778	2792	2778	2789	34	508	0
2015-01-28	2789	2789	2789	2789	2	506	0
2015-01-29	2794	2794	2788	2788	4	504	0
2015-01-30	2787	2787	2784	2784	12	514	0
2015-02-02	2787	2787	2780	2780	14	514	0
2015-02-04	2782	2782	2782	2782	2	516	0
2015-02-05	2789	2792	2781	2782	14	518	0
2015-02-06	2784	2785	2784	2785	4	516	0
2015-02-09	2787	2787	2787	2787	2	514	0
2015-02-12	2781	2793	2755	2784	20	520	0
2015-02-13	2787	2789	2766	2766	12	518	0
2015-02-16	2783	2785	2769	2769	20	506	0
2015-02-17	2784	2785	2780	2780	6	506	0
2015-02-26	2784	2784	2784	2784	2	504	0
2015-03-04	2776	2776	2768	2771	6	504	0
2015-03-05	2873	2873	2768	2779	6	502	0
2015-03-11	2783	2783	2771	2771	4	504	0
2015-03-12	2773	2775	2766	2775	32	484	0
2015-03-13	2779	2779	2766	2766	4	482	0
2015-03-16	2755	2781	2755	2781	12	484	0
2015-03-17	2768	2768	2767	2767	4	488	0
2015-03-18	2749	2760	2749	2750	24	470	0
2015-03-19	2734	2734	2734	2734	10	460	0
2015-03-20	2748	2748	2747	2748	8	458	0
2015-03-23	2740	2766	2740	2759	22	454	0
2015-03-24	2779	2779	2748	2748	20	458	0
2015-03-25	2732	2732	2727	2727	6	462	0
2015-03-26	2748	2748	2748	2748	2	462	0
2015-03-27	2716	2716	2715	2715	4	466	0
2015-03-30	2727	2727	2727	2727	2	466	0
