LUL9 低硫油指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2020-06-23	2630	2682	2629	2653	145750	34325	0
2020-06-24	2667	2676	2593	2607	79691	35160	0
2020-06-29	2582	2582	2489	2517	64165	43471	0
2020-06-30	2539	2570	2525	2537	42795	41259	0
2020-07-01	2533	2571	2519	2556	29043	40221	0
2020-07-02	2546	2574	2532	2556	39175	42570	0
2020-07-03	2567	2615	2566	2592	43383	40472	0
2020-07-06	2599	2614	2568	2604	30949	38346	0
2020-07-07	2607	2608	2558	2577	27002	37940	0
2020-07-08	2577	2594	2567	2573	13930	37879	0
2020-07-09	2584	2584	2548	2566	14644	37564	0
2020-07-10	2564	2577	2487	2496	21721	38316	0
2020-07-13	2513	2559	2510	2545	15349	37167	0
2020-07-14	2545	2562	2496	2521	18265	39045	0
2020-07-15	2515	2541	2510	2522	13862	39369	0
2020-07-16	2537	2541	2506	2513	16512	38802	0
2020-07-17	2510	2537	2488	2494	19184	39752	0
2020-07-20	2484	2520	2439	2455	29116	40783	0
2020-07-21	2455	2489	2439	2489	18547	38375	0
2020-07-22	2539	2600	2519	2530	37713	37519	0
2020-07-23	2521	2590	2519	2590	16309	37577	0
2020-07-24	2564	2572	2490	2508	30438	39667	0
2020-07-27	2516	2523	2487	2489	22870	45534	0
2020-07-28	2498	2512	2468	2495	29567	52381	0
2020-07-29	2487	2517	2480	2513	22718	59792	0
2020-07-30	2513	2527	2493	2503	19940	63944	0
2020-07-31	2486	2486	2397	2438	64109	78805	0
2020-08-03	2437	2439	2408	2414	29239	82514	0
2020-08-04	2424	2458	2424	2439	25640	86454	0
2020-08-05	2429	2478	2422	2474	38076	90815	0
2020-08-06	2504	2534	2462	2482	57519	91489	0
2020-08-07	2491	2501	2463	2463	26720	92791	0
2020-08-10	2472	2489	2460	2485	24637	94517	0
2020-08-11	2486	2502	2442	2447	35064	98444	0
2020-08-12	2456	2511	2431	2511	54234	99088	0
2020-08-13	2518	2522	2482	2483	33380	101362	0
2020-08-14	2495	2497	2456	2466	37886	105718	0
2020-08-17	2464	2476	2460	2465	23995	106977	0
2020-08-18	2464	2498	2456	2470	34985	108934	0
2020-08-19	2478	2491	2467	2482	38251	113832	0
2020-08-20	2484	2521	2472	2511	55285	116883	0
2020-08-21	2506	2558	2478	2511	74521	121612	0
2020-08-24	2504	2517	2475	2483	68421	125529	0
2020-08-25	2490	2515	2488	2514	49400	120135	0
2020-08-26	2518	2579	2516	2552	55936	124108	0
2020-08-27	2557	2559	2521	2534	34910	130982	0
2020-08-28	2532	2532	2494	2498	47239	138501	0
2020-08-31	2506	2530	2500	2518	44067	140182	0
2020-09-01	2519	2522	2486	2505	41746	148229	0
2020-09-02	2510	2536	2500	2516	56881	151307	0
2020-09-03	2515	2516	2407	2419	91168	170563	0
2020-09-04	2417	2417	2350	2382	98728	179859	0
2020-09-07	2381	2397	2315	2323	104757	192810	0
2020-09-08	2340	2351	2316	2325	51222	194134	0
2020-09-09	2264	2272	2205	2216	112718	191119	0
