MAL9 甲醇指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2014-06-18	2858	2902	2833	2896	2118	2176	0
2014-06-19	2901	2929	2890	2901	3532	2956	0
2014-06-20	2905	2919	2896	2908	1504	2978	0
2014-06-23	2910	2950	2896	2910	2480	2896	0
2014-06-24	2906	2948	2903	2939	1690	2962	0
2014-06-25	2941	2991	2933	2987	4348	4192	0
2014-06-26	2990	3020	2970	3004	5220	3986	0
2014-06-27	3004	3008	2978	2987	2840	3986	0
2014-06-30	2983	3005	2966	2991	3020	4008	0
2014-07-01	2994	3002	2963	2977	3648	4204	0
2014-07-02	2982	2992	2911	2965	3150	4358	0
2014-07-03	2958	2975	2946	2962	1926	4800	0
2014-07-04	2961	2972	2951	2960	1454	4750	0
2014-07-07	2956	3013	2954	3012	4722	5804	0
2014-07-08	3013	3038	2996	3001	6078	6912	0
2014-07-09	3000	3003	2958	2958	3916	6010	0
2014-07-10	2956	2964	2931	2937	3352	5446	0
2014-07-11	2940	2958	2915	2919	2332	5516	0
2014-07-14	2919	2922	2877	2904	2114	5302	0
2014-07-15	2908	2920	2882	2900	1286	5498	0
2014-07-16	2905	2905	2873	2880	1120	5310	0
2014-07-17	2880	2932	2875	2912	2552	5490	0
2014-07-18	2915	2925	2842	2866	2722	5158	0
2014-07-21	2866	2879	2851	2863	1042	5116	0
2014-07-22	2866	2889	2852	2880	1494	4978	0
2014-07-23	2880	2897	2835	2873	1486	4890	0
2014-07-24	2875	2895	2850	2876	1074	4908	0
2014-07-25	2875	2896	2872	2892	940	5020	0
2014-07-28	2897	2943	2862	2940	2210	5126	0
2014-07-29	2934	2948	2925	2929	1100	4958	0
2014-07-30	2921	2940	2903	2932	1670	4904	0
2014-07-31	2921	2943	2915	2917	1026	4856	0
2014-08-01	2900	2912	2881	2882	2092	4186	0
2014-08-04	2880	2906	2875	2901	774	4154	0
2014-08-05	2901	2919	2900	2905	1404	4126	0
2014-08-06	2901	2901	2831	2889	886	4036	0
2014-08-07	2884	2930	2883	2883	1760	3772	0
2014-08-08	2883	2937	2883	2935	1812	3970	0
2014-08-11	2939	2956	2916	2925	1654	3702	0
2014-08-12	2910	2937	2901	2917	1504	3516	0
2014-08-13	2936	3010	2933	2989	3748	4086	0
2014-08-14	2989	2999	2970	2995	2274	4298	0
2014-08-15	2988	2998	2958	2976	1890	4152	0
2014-08-18	2975	2986	2961	2978	1752	4248	0
2014-08-19	2974	2997	2970	2987	3184	5162	0
2014-08-20	2986	2987	2963	2968	1618	4812	0
2014-08-21	2979	2984	2960	2964	1466	4598	0
2014-08-22	2962	2970	2940	2943	1548	4224	0
2014-08-25	2939	2945	2890	2891	3482	4808	0
2014-08-26	2887	2888	2832	2840	6594	7080	0
2014-08-27	2846	2874	2843	2858	3490	8188	0
2014-08-28	2855	2873	2836	2841	3270	8952	0
2014-08-29	2836	2840	2793	2826	6506	10822	0
2014-09-01	2829	2866	2829	2848	3408	10830	0
2014-09-02	2853	2961	2849	2851	5460	10180	0
2014-09-03	2844	2869	2836	2850	3438	10350	0
2014-09-04	2867	2880	2855	2857	2506	10782	0
2014-09-05	2862	2866	2845	2859	2278	10910	0
2014-09-09	2862	2866	2842	2852	2120	10748	0
2014-09-10	2847	2878	2822	2856	3918	10776	0
2014-09-11	2849	2866	2845	2857	2256	10792	0
2014-09-12	2853	2861	2815	2823	7394	14336	0
2014-09-15	2820	2868	2815	2868	7216	15646	0
2014-09-16	2881	2907	2872	2892	9838	16836	0
2014-09-17	2903	2920	2891	2913	6526	18108	0
2014-09-18	2908	2918	2895	2905	4624	18546	0
2014-09-19	2902	2929	2902	2927	5442	18934	0
2014-09-22	2925	2942	2899	2922	9976	18522	0
2014-09-23	2930	2931	2858	2861	13002	17068	0
2014-09-24	2853	2892	2849	2878	5150	17134	0
2014-09-25	2886	2888	2864	2875	3476	16802	0
2014-09-26	2876	2880	2861	2875	4908	16516	0
2014-09-29	2864	2864	2849	2852	3884	17018	0
2014-09-30	2864	2899	2860	2879	3474	15782	0
2014-10-08	2864	2868	2837	2837	3038	16214	0
2014-10-09	2816	2852	2813	2846	3328	16368	0
2014-10-10	2829	2829	2738	2755	9630	18722	0
2014-10-13	2755	2784	2754	2757	7116	18902	0
2014-10-14	2767	2791	2741	2786	5674	19330	0
2014-10-15	2760	2807	2756	2783	4518	18796	0
2014-10-16	2772	2789	2761	2770	6326	16932	0
2014-10-17	2798	2805	2749	2749	6394	15598	0
2014-10-20	2751	2757	2699	2712	29318	24600	0
2014-10-21	2708	2746	2708	2737	11706	25400	0
2014-10-22	2743	2759	2730	2742	9244	23930	0
2014-10-23	2730	2777	2729	2776	9736	25336	0
2014-10-24	2775	2794	2759	2793	19856	25008	0
2014-10-27	2777	2799	2755	2774	18648	21804	0
2014-10-28	2768	2779	2761	2773	8132	22136	0
2014-10-29	2781	2786	2770	2785	6970	22246	0
2014-10-30	2805	2819	2784	2785	8616	22304	0
2014-10-31	2760	2781	2755	2773	13190	23344	0
2014-11-03	2768	2773	2711	2720	18200	27722	0
2014-11-04	2701	2723	2687	2711	14886	29594	0
2014-11-05	2712	2712	2663	2669	21578	35450	0
2014-11-06	2676	2678	2599	2633	37360	37634	0
2014-11-07	2618	2618	2592	2607	28790	41646	0
2014-11-10	2611	2644	2604	2633	22934	41810	0
2014-11-11	2623	2659	2619	2644	20398	43126	0
2014-11-12	2662	2688	2649	2684	23886	44234	0
2014-11-13	2700	2703	2665	2683	21984	45088	0
2014-11-14	2667	2679	2662	2666	15234	46516	0
2014-11-17	2685	2704	2640	2647	25746	48150	0
2014-11-18	2646	2659	2633	2653	22834	49218	0
2014-11-19	2652	2692	2639	2661	41924	60186	0
2014-11-20	2663	2725	2657	2696	124482	81716	0
2014-11-21	2701	2714	2669	2692	64382	81758	0
2014-11-24	2692	2695	2645	2652	47976	84260	0
2014-11-25	2656	2666	2628	2663	52190	84510	0
2014-11-26	2658	2670	2602	2615	80298	82670	0
2014-11-27	2613	2617	2560	2584	84988	80468	0
2014-11-28	2541	2569	2540	2541	62528	83868	0
2014-12-01	2497	2506	2463	2482	70084	91436	0
2014-12-02	2529	2532	2486	2486	75416	92850	0
2014-12-03	2496	2513	2484	2501	68670	92068	0
2014-12-04	2502	2528	2435	2465	175614	102904	0
2014-12-05	2464	2470	2438	2446	94098	115282	0
2014-12-08	2427	2429	2354	2358	184324	123800	0
2014-12-09	2339	2352	2291	2327	241716	125452	0
2014-12-10	2327	2367	2327	2338	204656	127364	0
2014-12-11	2309	2347	2302	2317	196376	136336	0
2014-12-12	2321	2338	2280	2334	374828	156676	0
2014-12-15	2339	2349	2268	2293	621218	180362	0
2014-12-16	2268	2269	2209	2216	743598	274284	0
2014-12-17	2193	2201	2152	2152	1062072	417278	0
2014-12-18	2085	2085	2021	2021	1202286	464838	0
2014-12-19	2021	2125	2018	2074	3479816	406482	0
2014-12-22	2089	2113	2039	2044	2145898	536996	0
2014-12-23	2026	2060	1992	1999	2609082	564320	0
2014-12-24	2017	2107	2014	2098	4128112	541960	0
2014-12-25	2081	2101	2072	2085	2141976	475824	0
2014-12-26	2094	2123	2088	2097	1665338	495408	0
2014-12-29	2101	2103	2046	2063	1833688	476680	0
2014-12-30	2062	2102	2041	2055	2110820	476578	0
2014-12-31	2053	2085	2051	2068	1409082	387162	0
2015-01-05	2050	2072	2016	2023	901514	405960	0
2015-01-06	2015	2054	2007	2036	1517448	440070	0
2015-01-07	2031	2065	2014	2036	1998246	452592	0
2015-01-08	2050	2060	2037	2045	1280850	444456	0
2015-01-09	2048	2049	2021	2031	1166480	438568	0
2015-01-12	2028	2035	1956	1957	1999064	587724	0
2015-01-13	1954	1959	1908	1920	1814700	622330	0
2015-01-14	1918	1967	1917	1933	2211982	581428	0
2015-01-15	1941	1977	1927	1975	1848096	553472	0
2015-01-16	1985	2024	1951	1995	3326432	543896	0
2015-01-19	1994	2027	1992	2021	2335836	526386	0
2015-01-20	2016	2026	1995	2018	1583682	543332	0
2015-01-21	2023	2087	2005	2062	2282742	510868	0
2015-01-22	2059	2102	2051	2068	2214938	482052	0
2015-01-23	2082	2090	2048	2071	1740272	479284	0
2015-01-26	2059	2072	2017	2032	1787272	502776	0
2015-01-27	2040	2058	2033	2045	1377924	495712	0
2015-01-28	2046	2098	2044	2088	2380338	636898	0
2015-01-29	2089	2092	2064	2079	1468728	583134	0
2015-01-30	2078	2078	2041	2050	1354146	557632	0
2015-02-02	2056	2119	2032	2089	2091740	572804	0
2015-02-03	2097	2150	2090	2137	3377210	596326	0
2015-02-04	2143	2192	2131	2145	2635440	541330	0
2015-02-05	2142	2155	2122	2141	1905008	527554	0
2015-02-06	2152	2184	2150	2178	2585688	565430	0
2015-02-09	2173	2176	2147	2157	1529348	540012	0
2015-02-10	2158	2172	2138	2144	1380002	523552	0
2015-02-11	2146	2152	2129	2149	1331562	499142	0
2015-02-12	2148	2172	2138	2172	1692680	551132	0
2015-02-13	2174	2236	2170	2236	2637716	542600	0
2015-02-16	2247	2279	2234	2265	2005700	423592	0
2015-02-17	2264	2280	2235	2257	1135138	365204	0
2015-02-25	2223	2298	2212	2286	1356318	440582	0
2015-02-26	2286	2356	2279	2354	2771018	664662	0
2015-02-27	2344	2369	2326	2361	3202044	725372	0
2015-03-02	2365	2441	2360	2439	3638570	851386	0
2015-03-03	2446	2528	2403	2409	6637902	735532	0
2015-03-04	2413	2424	2374	2400	6709802	724118	0
2015-03-05	2411	2448	2351	2442	9034570	887084	0
2015-03-06	2444	2471	2412	2435	9153336	986646	0
2015-03-09	2434	2477	2366	2463	9782704	1215782	0
2015-03-10	2464	2476	2408	2418	8788470	1212804	0
2015-03-11	2404	2441	2383	2398	8373948	1213692	0
2015-03-12	2401	2475	2386	2475	7487120	1335368	0
2015-03-13	2476	2478	2431	2439	5910458	1188758	0
2015-03-16	2425	2442	2399	2421	6094430	1196856	0
2015-03-17	2416	2438	2359	2379	8088800	1205580	0
2015-03-18	2370	2390	2314	2319	6321010	1176190	0
2015-03-19	2318	2369	2303	2320	5997342	1130052	0
2015-03-20	2309	2357	2308	2327	5267694	1106070	0
2015-03-23	2335	2364	2312	2339	6172772	1024638	0
2015-03-24	2344	2434	2340	2434	7437488	952354	0
2015-03-25	2463	2464	2394	2406	4138732	794530	0
2015-03-26	2420	2445	2401	2437	4959992	829056	0
2015-03-27	2423	2440	2361	2399	5087356	778396	0
