ML9 豆粕指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2000-07-17	2049	2049	1924	1954	1164	720	0
2000-07-18	1981	2064	1974	1992	1302	1166	0
2000-07-19	2042	2042	2014	2015	156	782	0
2000-07-20	1965	1968	1955	1961	76	1144	0
2000-07-21	1953	1960	1917	1917	718	1190	0
2000-07-24	1914	1918	1889	1918	136	1192	0
2000-07-25	1873	1934	1868	1920	300	1184	0
2000-07-26	1923	1934	1889	1901	146	1160	0
2000-07-27	1913	1917	1878	1891	176	1112	0
2000-07-28	1869	1902	1854	1866	522	1246	0
2000-07-31	1871	1883	1863	1874	5876	1286	0
2000-08-01	1757	1759	1757	1757	50	530	0
2000-08-02	1845	1848	1793	1795	1656	1768	0
2000-08-03	1848	1854	1803	1835	1570	2468	0
2000-08-04	1769	1798	1730	1785	12826	13782	0
2000-08-07	1778	1786	1737	1763	15646	20194	0
2000-08-08	1765	1800	1736	1760	15390	21998	0
2000-08-09	1784	1801	1729	1781	24236	24226	0
2000-08-10	1761	1780	1738	1749	13908	29114	0
2000-08-11	1749	1777	1739	1756	11922	26712	0
2000-08-14	1755	1765	1748	1754	12598	27432	0
2000-08-15	1766	1783	1741	1768	5466	25078	0
2000-08-16	1735	1743	1728	1731	8442	23252	0
2000-08-17	1706	1747	1696	1731	13854	29036	0
2000-08-18	1728	1753	1711	1732	12566	31892	0
2000-08-21	1736	1745	1714	1738	11732	30730	0
2000-08-22	1713	1755	1709	1740	11710	30274	0
2000-08-23	1742	1752	1721	1744	14276	33300	0
2000-08-24	1743	1751	1733	1739	11998	35246	0
2000-08-25	1733	1747	1723	1735	11624	34654	0
2000-08-28	1748	1806	1748	1804	27884	37378	0
2000-08-29	1798	1804	1784	1799	22258	32580	0
2000-08-30	1801	1823	1788	1818	26630	25316	0
2000-08-31	1712	1762	1712	1743	6846	10896	0
2000-09-01	1812	1835	1812	1835	6826	29528	0
2000-09-04	1871	1894	1832	1866	16454	14678	0
2000-09-05	1864	1869	1833	1846	14106	24710	0
2000-09-06	1880	1885	1820	1839	25802	38272	0
2000-09-07	1858	1870	1819	1834	18080	35522	0
2000-09-08	1843	1849	1818	1837	17462	40066	0
2000-09-11	1841	1873	1828	1840	20230	37114	0
2000-09-12	1843	1857	1836	1838	19100	45406	0
2000-09-13	1830	1851	1829	1845	21696	50746	0
2000-09-14	1857	1868	1814	1830	16102	55094	0
2000-09-15	1827	1838	1792	1814	31304	59286	0
2000-09-18	1818	1825	1794	1810	30674	43686	0
2000-09-19	1785	1798	1773	1790	39564	65784	0
2000-09-20	1785	1803	1779	1800	24114	59782	0
2000-09-21	1806	1833	1787	1815	28386	47366	0
2000-09-22	1786	1800	1775	1788	24524	50646	0
2000-09-25	1773	1790	1740	1751	26506	37346	0
2000-09-26	1762	1817	1758	1806	17070	42116	0
2000-09-27	1763	1784	1746	1764	31278	54098	0
2000-09-28	1742	1756	1700	1726	28726	42596	0
2000-09-29	1806	1812	1785	1803	32648	11140	0
2000-10-09	1891	1893	1873	1873	486	4962	0
2000-10-10	1789	1802	1788	1793	36	9696	0
2000-10-11	1803	1808	1800	1806	1966	7282	0
2000-10-12	1851	1860	1851	1860	3808	11616	0
2000-10-13	1867	1878	1866	1870	2014	13020	0
2000-10-16	1832	1844	1824	1829	876	17700	0
2000-10-17	1845	1853	1839	1846	2732	16490	0
2000-10-18	1832	1835	1808	1811	4424	20050	0
2000-10-19	1834	1848	1823	1834	4924	22928	0
2000-10-20	1844	1863	1842	1850	5010	23170	0
2000-10-23	1848	1850	1838	1843	2450	24914	0
2000-10-24	1841	1847	1837	1840	1824	25560	0
