NIL9 沪镍指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2015-03-30	99250	99970	96850	98440	68496	35902	0
2015-03-31	97550	98160	93890	95050	109610	58466	0
2015-04-01	93900	94140	91340	92520	161604	75244	0
2015-04-02	93060	96570	92570	96150	206604	85002	0
2015-04-03	95920	97770	95680	97280	151182	85388	0
2015-04-07	97440	97950	95940	96400	78354	89290	0
2015-04-08	94820	95580	93290	93930	188478	102518	0
2015-04-09	94470	95200	93860	94270	163716	106938	0
2015-04-10	94480	94930	93170	94520	139462	113782	0
2015-04-13	94650	95620	93680	95190	185092	121946	0
2015-04-14	94790	95020	92810	93070	209168	140574	0
2015-04-15	92970	94900	92870	94640	226994	147038	0
2015-04-16	94440	95780	94190	95290	202896	147560	0
2015-04-17	96060	96510	94890	95670	176094	144894	0
2015-04-20	95580	96340	95040	95210	156762	134524	0
2015-04-21	95310	96560	94750	95680	147020	127918	0
2015-04-22	95870	96510	95590	96150	127834	128110	0
2015-04-23	96040	96320	95470	95700	105618	129402	0
2015-04-24	95800	97630	95570	97590	128258	135734	0
2015-04-27	98090	101300	97950	101270	268016	143730	0
2015-04-28	102720	104210	101100	102300	309144	143102	0
2015-04-29	102020	104070	100240	100740	340526	145518	0
2015-04-30	101000	106580	100890	105640	584532	166686	0
2015-05-04	105220	108050	105210	107250	297234	171370	0
2015-05-05	107470	108840	105890	107450	555832	181624	0
2015-05-06	109560	112780	109480	112120	700656	201138	0
2015-05-07	112660	113530	109250	110040	1061950	200342	0
2015-05-08	111000	111390	108860	111070	994264	193134	0
2015-05-11	110820	113250	109890	112710	836130	213434	0
2015-05-12	112180	113210	109580	109940	996584	214664	0
2015-05-13	110520	112140	109480	110410	879034	211638	0
2015-05-14	110290	110420	106210	108100	861336	213386	0
2015-05-15	107640	109490	107350	108750	689138	228940	0
2015-05-18	107970	108370	107160	107290	605842	225496	0
2015-05-19	107130	107530	105030	105160	544140	225450	0
2015-05-20	104270	104310	100900	100900	405162	218934	0
2015-05-21	99890	101450	99430	100360	581126	215526	0
2015-05-22	100310	102320	97970	99260	867482	219386	0
2015-05-25	97480	99600	97470	98680	701234	233590	0
2015-05-26	99240	100610	99000	99000	652532	240820	0
2015-05-27	98640	99710	98540	99290	496454	257008	0
2015-05-28	99180	100950	99080	100150	761342	276440	0
2015-05-29	100260	100410	96960	98260	663420	277304	0
2015-06-01	98150	98400	96960	97280	422240	282466	0
2015-06-02	97590	100490	97590	100310	710150	281842	0
2015-06-03	100650	100950	99100	99110	523370	281446	0
2015-06-04	99360	99910	97780	98560	450318	280718	0
2015-06-05	98880	99420	98070	98410	407232	287976	0
2015-06-08	98520	100560	98360	100540	563936	296998	0
2015-06-09	101140	102130	100720	100930	671746	288510	0
2015-06-10	101550	101740	100620	101330	429830	283328	0
2015-06-11	101990	102130	101310	101490	348080	272784	0
2015-06-12	101450	101630	97940	98150	521960	269720	0
2015-06-15	98400	98890	97440	97570	339816	274490	0
2015-06-16	97400	98030	95390	95710	418696	280656	0
2015-06-17	96030	96310	94730	95270	432468	273744	0
2015-06-18	96250	96770	95820	96270	353638	258734	0
2015-06-19	96100	96100	94420	94630	339954	265376	0
2015-06-23	94400	95260	94100	94990	170050	268364	0
2015-06-24	95610	96620	95320	96330	352426	263026	0
2015-06-25	96090	96150	94800	94850	348296	268904	0
2015-06-26	94800	95160	93050	93850	527640	268080	0
2015-06-29	93520	93700	89550	90390	647896	278316	0
2015-06-30	88850	89430	87320	87320	511346	283856	0
2015-07-01	87460	89890	86700	88420	739814	263474	0
2015-07-02	88250	89910	87660	89510	677186	252304	0
2015-07-03	90280	90730	88240	89300	556678	237622	0
2015-07-06	89330	89360	85350	85670	527020	237550	0
2015-07-07	85990	87410	84180	84320	592094	238580	0
2015-07-08	81780	81790	81700	81700	28370	233848	0
2015-07-09	76130	85950	75340	83680	1101532	208486	0
2015-07-10	84310	85120	82950	84620	570774	220016	0
2015-07-13	84200	84260	80750	82270	823064	232870	0
2015-07-14	84390	85830	83700	84600	869872	229606	0
