NRL9 20号胶指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2019-08-13	9835	9960	9820	9875	20318	21170	0
2019-08-14	9815	10235	9815	10015	39110	26596	0
2019-08-15	9975	9995	9875	9890	13162	26844	0
2019-08-16	9890	9960	9865	9900	10904	26548	0
2019-08-19	9930	10105	9910	10055	14138	29534	0
2019-08-20	10030	10060	9970	10000	5774	29202	0
2019-08-21	10000	10000	9865	9915	9750	28026	0
2019-08-22	9920	9950	9845	9935	3988	27398	0
2019-08-23	9915	9925	9805	9845	7088	25708	0
2019-08-26	9820	9960	9730	9940	11032	25556	0
2019-08-27	9930	10000	9895	9930	5182	25994	0
2019-08-28	9970	10115	9895	9995	15026	28642	0
2019-08-29	10005	10055	9935	9970	4486	29050	0
2019-08-30	10005	10105	9975	10090	7906	28814	0
2019-09-02	10075	10220	10025	10075	13612	28712	0
2019-09-03	10070	10170	10040	10165	5860	29106	0
2019-09-04	10105	10500	10095	10425	21602	30620	0
2019-09-05	10395	10480	10255	10335	8102	31118	0
2019-09-06	10360	10425	10195	10220	10868	31256	0
2019-09-09	10260	10330	10150	10295	5126	31608	0
2019-09-10	10305	10340	10190	10300	4766	31468	0
2019-09-11	10285	10295	10190	10255	4936	31678	0
2019-09-12	10235	10280	10155	10175	4566	31856	0
2019-09-16	10250	10390	10235	10290	5230	31568	0
2019-09-17	10280	10445	10245	10290	6386	31782	0
2019-09-18	10265	10280	10100	10180	7788	30212	0
2019-09-19	10170	10225	10115	10140	2944	29834	0
2019-09-20	10155	10155	10060	10130	4926	29032	0
2019-09-23	10125	10300	10115	10245	5722	29466	0
2019-09-24	10245	10270	10140	10140	2182	28980	0
2019-09-25	10155	10155	10040	10060	6924	27222	0
2019-09-26	10055	10095	9950	9950	6508	27358	0
2019-09-27	9965	9975	9740	9820	16908	29172	0
2019-09-30	9820	9915	9780	9785	5632	29804	0
2019-10-08	9785	9815	9685	9730	7862	32624	0
2019-10-09	9740	9830	9740	9810	6314	34138	0
2019-10-10	9810	9915	9755	9905	6840	35212	0
2019-10-11	9865	9895	9825	9895	9746	35576	0
2019-10-14	9875	9995	9835	9995	6888	36180	0
2019-10-15	9965	9980	9850	9855	4766	36832	0
2019-10-16	9885	9940	9830	9850	5464	38016	0
2019-10-17	9870	9975	9845	9880	6514	39090	0
2019-10-18	9910	10095	9905	10020	8362	40762	0
2019-10-21	10020	10025	9945	9995	5152	41306	0
2019-10-22	10000	10160	9985	10060	15366	44272	0
2019-10-23	10065	10180	10040	10050	10518	44936	0
2019-10-24	9975	10075	9960	10020	7346	44226	0
2019-10-25	10015	10070	9970	10015	10098	42364	0
2019-10-28	10015	10120	9900	9965	23372	56122	0
2019-10-29	9970	10030	9945	10000	9154	58386	0
2019-10-30	9980	10150	9975	10145	19866	64428	0
2019-10-31	10140	10235	10080	10150	20596	68224	0
2019-11-01	10130	10145	10010	10110	17830	69160	0
2019-11-04	10075	10130	10035	10065	12888	67574	0
2019-11-05	10070	10295	10070	10280	23590	67064	0
2019-11-06	10230	10335	10210	10235	11592	67136	0
2019-11-07	10235	10315	10170	10210	17886	69644	0
2019-11-08	10245	10300	10140	10250	28758	76344	0
2019-11-11	10230	10325	10210	10215	14908	78440	0
2019-11-12	10225	10400	10145	10390	24396	83586	0
2019-11-13	10350	10415	10275	10315	17958	82756	0
2019-11-14	10315	10470	10285	10460	23024	92520	0
2019-11-15	10460	10465	10205	10205	21068	93266	0
2019-11-18	10240	10410	10200	10395	15184	94202	0
2019-11-19	10365	10410	10290	10365	19744	91298	0
2019-11-20	10370	10840	10345	10770	37934	91766	0
2019-11-21	10750	10840	10685	10795	39898	94138	0
2019-11-22	10795	11090	10775	10840	50616	90172	0
2019-11-25	10850	11090	10635	10960	51142	86640	0
2019-11-26	10980	11035	10700	10830	46248	98096	0
2019-11-27	10860	10925	10745	10785	37242	101472	0
2019-11-28	10795	10855	10745	10800	26234	103946	0
2019-11-29	10790	10795	10645	10655	28886	104826	0
2019-12-02	10635	10830	10620	10700	24334	106564	0
2019-12-03	10705	10870	10630	10825	24712	108726	0
2019-12-04	10810	10930	10710	10925	27314	109168	0
2019-12-05	10885	11270	10865	11225	56254	110430	0
2019-12-06	11165	11360	11155	11350	44328	113120	0
2019-12-09	11375	11475	11195	11245	38640	110714	0
2019-12-10	11240	11400	11200	11255	42242	110370	0
2019-12-11	11235	11325	11105	11325	30166	110254	0
2019-12-12	11305	11360	11205	11305	26886	109524	0
2019-12-13	11275	11455	11065	11090	61108	105218	0
2019-12-16	11115	11220	10990	11035	46070	103974	0
2019-12-17	11030	11225	11025	11190	30830	103792	0
2019-12-18	11225	11225	10985	11000	21564	102930	0
2019-12-19	11010	11030	10690	10775	35716	100138	0
2019-12-20	10780	10915	10775	10835	25142	96318	0
2019-12-23	10835	10880	10690	10735	34084	91906	0
2019-12-24	10715	10845	10715	10810	14186	90158	0
2019-12-25	10815	10880	10775	10805	23588	89238	0
2019-12-26	10805	10805	10615	10770	28418	85958	0
2019-12-27	10785	10860	10765	10815	27870	84546	0
2019-12-30	10775	11010	10760	10855	36702	85604	0
2019-12-31	10865	10920	10795	10840	19582	84990	0
2020-01-02	10840	10975	10610	10640	17095	42802	0
2020-01-03	10655	10760	10630	10655	11004	42616	0
2020-01-06	10650	10945	10650	10910	20501	42666	0
2020-01-07	10875	11000	10835	10985	19935	42089	0
2020-01-08	10990	11060	10890	11040	20071	40863	0
2020-01-09	11020	11050	10800	10815	19874	39585	0
2020-01-10	10840	10925	10815	10910	10025	39986	0
2020-01-13	10905	11150	10895	11135	19144	39915	0
2020-01-14	11125	11170	10915	11005	19884	39897	0
2020-01-15	11035	11095	10885	11020	20986	39108	0
2020-01-16	11005	11045	10895	10975	16107	37988	0
2020-01-17	10990	11160	10925	10950	22504	38098	0
2020-01-20	10965	11010	10780	10790	19751	36781	0
2020-01-21	10790	10845	10500	10540	22625	34672	0
2020-01-22	10570	10610	10060	10345	26249	31795	0
2020-01-23	10405	10430	10110	10130	14327	31401	0
2020-02-03	9565	9685	9335	9340	5495	29955	0
2020-02-04	8565	9295	8390	9275	16328	29209	0
2020-02-05	9125	9535	9125	9440	23560	30931	0
2020-02-06	9490	9630	9440	9620	17245	32574	0
2020-02-07	9555	9650	9505	9545	15889	33031	0
2020-02-10	9550	9600	9485	9545	16882	32566	0
2020-02-11	9580	9685	9565	9645	20899	32119	0
2020-02-12	9675	9690	9540	9665	19245	31878	0
2020-02-13	9655	9715	9600	9635	14044	31876	0
2020-02-14	9670	9675	9555	9660	13389	31093	0
