OIL9 菜油指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2007-06-08	10367	10367	8939	8946	127046	21672	0
2007-06-11	8929	8988	8786	8786	52040	27856	0
2007-06-12	8724	8752	8589	8671	88142	33264	0
2007-06-13	8703	8772	8456	8504	132980	41202	0
2007-06-14	8583	8622	8520	8571	109252	36168	0
2007-06-15	8604	8651	8565	8616	71252	33334	0
2007-06-18	8751	8770	8674	8750	51554	32832	0
2007-06-19	8703	8708	8625	8658	37648	29868	0
2007-06-20	8521	8612	8521	8600	20060	29160	0
2007-06-21	8601	8636	8582	8597	9808	28928	0
2007-06-22	8548	8578	8530	8572	11000	29282	0
2007-06-25	8537	8596	8532	8587	11414	28624	0
2007-06-26	8590	8608	8515	8536	14832	28048	0
2007-06-27	8542	8559	8357	8425	45886	32656	0
2007-06-28	8417	8476	8417	8470	17780	28278	0
2007-06-29	8521	8601	8473	8589	22516	24308	0
2007-07-02	8710	8884	8588	8779	50888	18196	0
2007-07-03	8781	8782	8734	8745	14224	15928	0
2007-07-04	8688	8784	8671	8777	15926	16972	0
2007-07-05	8783	8832	8753	8766	19758	16504	0
2007-07-06	8754	8848	8748	8845	19500	17520	0
2007-07-09	8842	8880	8806	8820	16586	15588	0
2007-07-10	8846	8851	8759	8770	10280	13970	0
2007-07-11	8819	8870	8796	8858	12220	13868	0
2007-07-12	8852	8929	8844	8918	16976	15186	0
2007-07-13	8932	8963	8883	8902	9684	14214	0
2007-07-16	8814	8845	8790	8842	6082	13018	0
2007-07-17	8729	8856	8729	8847	5768	12588	0
2007-07-18	8825	8895	8825	8895	4036	12550	0
2007-07-19	8893	8920	8860	8868	3430	12116	0
2007-07-20	8874	8930	8866	8902	4838	12128	0
2007-07-23	8855	8924	8855	8897	2620	11244	0
2007-07-24	8888	8906	8871	8884	1690	11252	0
2007-07-25	8900	8920	8893	8915	1578	11086	0
2007-07-26	8930	8930	8906	8920	2170	11104	0
2007-07-27	8898	9070	8897	9028	11296	15024	0
2007-07-30	9063	9248	9054	9211	16780	14482	0
2007-07-31	9257	9273	9182	9194	11188	13856	0
2007-08-01	9263	9263	9138	9158	4226	13130	0
2007-08-02	9160	9221	9145	9181	3046	13110	0
2007-08-03	9173	9199	9146	9158	4034	13558	0
2007-08-06	9106	9192	9105	9145	4798	14124	0
2007-08-07	9112	9160	9112	9129	2498	14064	0
2007-08-08	9146	9220	9146	9216	7486	15980	0
2007-08-09	9335	9336	9221	9245	10992	18292	0
2007-08-10	9181	9254	9142	9240	5078	19092	0
2007-08-13	9220	9292	9220	9292	4098	19488	0
2007-08-14	9266	9284	9238	9257	4782	19386	0
2007-08-15	9216	9239	9183	9217	2514	19426	0
2007-08-16	9186	9207	9135	9149	5192	19694	0
2007-08-17	8871	9074	8871	8964	7466	19868	0
2007-08-20	9052	9216	9041	9152	9118	20422	0
2007-08-21	9277	9277	9132	9172	4640	19892	0
2007-08-22	9135	9158	9073	9140	3658	20138	0
2007-08-23	9187	9191	9149	9161	1690	20090	0
2007-08-24	9144	9180	9144	9172	1558	19652	0
2007-08-27	9132	9199	9132	9136	1964	19204	0
2007-08-28	9155	9155	9113	9145	2480	18662	0
2007-08-29	9098	9099	9021	9051	5760	19504	0
2007-08-30	9065	9142	9065	9109	3974	19548	0
2007-08-31	9126	9222	9083	9172	3312	18944	0
2007-09-03	9158	9173	9129	9135	1388	17020	0
2007-09-04	9220	9220	9105	9113	1634	16286	0
2007-09-05	9173	9185	9121	9177	938	14574	0
2007-09-06	9147	9197	9120	9195	708	13102	0
2007-09-07	9120	9154	9120	9145	342	12524	0
2007-09-10	9146	9254	9089	9230	6626	11340	0
2007-09-11	9342	9343	9271	9274	3544	9134	0
2007-09-12	9297	9297	9229	9252	1024	8730	0
2007-09-13	9285	9325	9247	9269	2714	8606	0
2007-09-14	9274	9375	9246	9307	2068	8712	0
2007-09-17	9368	9423	9315	9423	3974	8932	0
2007-09-18	9418	9470	9390	9397	2718	8598	0
2007-09-19	9403	9426	9282	9386	13066	8744	0
2007-09-20	9380	9389	9322	9377	1584	9006	0
2007-09-21	9383	9446	9369	9434	4702	8956	0
2007-09-24	9371	9393	9324	9391	3030	8846	0
2007-09-25	9389	9432	9378	9401	1658	8770	0
2007-09-26	9376	9395	9344	9381	1004	8628	0
2007-09-27	9374	9381	9352	9352	668	8466	0
2007-09-28	9355	9396	9354	9387	640	8496	0
2007-10-08	9274	9342	9272	9322	222	8458	0
2007-10-09	9328	9387	9325	9380	658	8574	0
2007-10-10	9433	9454	9386	9424	1036	8838	0
2007-10-11	9464	9465	9414	9461	934	9236	0
2007-10-12	9463	9464	9424	9460	472	9376	0
2007-10-15	9464	9464	9392	9397	382	9422	0
2007-10-16	9407	9420	9401	9413	880	9688	0
2007-10-17	9419	9439	9387	9421	468	9730	0
2007-10-18	9434	9459	9398	9459	182	9692	0
2007-10-19	9482	9490	9468	9486	1246	10144	0
2007-10-22	9460	9473	9413	9470	298	10094	0
2007-10-23	9470	9502	9468	9502	538	10358	0
2007-10-24	9492	9595	9490	9559	3084	11674	0
2007-10-25	9569	9753	9565	9675	3374	12694	0
2007-10-26	9817	9817	9689	9748	1904	13094	0
2007-10-29	9806	9846	9757	9846	3366	14182	0
2007-10-30	9821	9864	9762	9862	2636	14084	0
2007-10-31	9787	9850	9775	9830	584	14120	0
2007-11-01	9851	9904	9835	9856	1396	12824	0
2007-11-02	9850	9878	9820	9876	568	12730	0
2007-11-05	9900	9985	9900	9957	1360	12754	0
2007-11-06	9952	10018	9948	10018	920	12658	0
2007-11-07	10077	10163	10019	10115	1144	12614	0
2007-11-08	10106	10470	10094	10357	1490	12932	0
2007-11-09	10360	10515	10295	10464	3156	14058	0
2007-11-12	10507	10507	10393	10420	1190	14222	0
2007-11-13	10293	10701	10293	10673	3862	15066	0
2007-11-14	10655	10751	10643	10644	3922	14700	0
2007-11-15	10781	10781	10412	10546	2672	14368	0
