PBL9 沪铅指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2011-03-24	19229	19570	18838	18937	74274	9880	0
2011-03-25	18939	19136	18863	18952	25110	8620	0
2011-03-28	18902	19037	18504	18607	17064	8368	0
2011-03-29	18532	18722	18487	18677	10658	8070	0
2011-03-30	18802	18831	18697	18763	8122	7424	0
2011-03-31	18702	18722	18584	18667	3082	6876	0
2011-04-01	18783	18783	18573	18646	2670	6922	0
2011-04-06	18680	19360	18680	19223	15464	9546	0
2011-04-07	19202	19297	19040	19079	10548	8842	0
2011-04-08	19094	19238	19011	19179	8482	9606	0
2011-04-11	19254	19442	19150	19214	14150	10506	0
2011-04-12	19004	19127	18796	18806	9348	9398	0
2011-04-13	18615	18747	18547	18718	5596	9000	0
2011-04-14	18558	18691	18543	18584	3864	8800	0
2011-04-15	18608	18781	18510	18585	10018	9050	0
2011-04-18	18578	18652	18528	18584	3350	9124	0
2011-04-19	18303	18353	17955	17984	8498	10444	0
2011-04-20	18067	18183	18067	18168	2956	9732	0
2011-04-21	18303	18303	18145	18183	2538	9492	0
2011-04-22	18208	18233	17886	17979	3464	9754	0
2011-04-25	17985	18055	17759	17759	2146	9764	0
2011-04-26	17699	17699	17425	17649	3536	9216	0
2011-04-27	17625	17795	17432	17555	2994	9018	0
2011-04-28	17559	17853	17559	17760	3300	8840	0
2011-04-29	17670	17730	17535	17556	1566	8766	0
2011-05-03	17555	17655	17465	17535	1902	8958	0
2011-05-04	17601	17601	17446	17485	1154	8804	0
2011-05-05	17316	17316	16472	16723	4090	8910	0
2011-05-06	16228	16445	16197	16263	6612	9234	0
2011-05-09	16339	16644	16339	16625	3270	8946	0
2011-05-10	16511	16712	16473	16648	2778	8884	0
2011-05-11	16695	17199	16600	16682	3682	8888	0
2011-05-12	16458	16505	16228	16228	4456	9086	0
2011-05-13	16481	16744	16346	16709	3894	8966	0
2011-05-16	16580	16659	16466	16561	2900	8988	0
2011-05-17	16511	16616	16236	16574	3936	9112	0
2011-05-18	16738	16854	16623	16717	5240	8864	0
2011-05-19	17184	17184	16932	16950	5560	8156	0
2011-05-20	17000	17000	16855	16940	2398	8204	0
2011-05-23	17006	17081	16579	16623	3610	8052	0
2011-05-24	16612	16806	16547	16766	2624	7774	0
2011-05-25	16877	17095	16797	17090	2762	7718	0
2011-05-26	17053	17231	17053	17206	3148	7746	0
2011-05-27	17104	17339	17047	17314	3596	7916	0
2011-05-30	17233	17373	17039	17048	3160	7796	0
2011-05-31	17119	17184	16899	17095	4300	8374	0
2011-06-01	17088	17088	16916	16958	2564	8610	0
2011-06-02	16843	16902	16783	16883	2002	8448	0
2011-06-03	16714	16983	16679	16894	3558	8858	0
2011-06-07	16895	17155	16849	17035	4538	8562	0
2011-06-08	17103	17183	16879	17024	4122	8500	0
2011-06-09	17108	17133	16989	16989	2196	8444	0
2011-06-10	17083	17146	16995	17072	2982	8724	0
2011-06-13	16967	17027	16864	16943	2734	8784	0
2011-06-14	16968	16978	16823	16942	2052	9320	0
2011-06-15	17033	17073	16959	16984	2342	9680	0
2011-06-16	16837	16872	16683	16698	2826	9666	0
2011-06-17	16722	16782	16616	16624	1916	9682	0
2011-06-20	16553	16633	16460	16475	2116	9906	0
2011-06-21	16539	16893	16534	16853	3500	9326	0
2011-06-22	16804	16853	16689	16723	2204	9164	0
2011-06-23	16908	16908	16723	16857	3384	9096	0
2011-06-24	16878	17047	16863	17033	4224	9104	0
2011-06-27	16913	16968	16756	16775	2802	8870	0
2011-06-28	16854	16959	16824	16870	1688	8948	0
2011-06-29	16943	16982	16883	16977	2054	8720	0
2011-06-30	17102	17210	17052	17200	2864	9212	0
2011-07-01	17201	17237	17127	17162	2114	9656	0
2011-07-04	17207	17412	17207	17352	2654	10146	0
2011-07-05	17338	17433	17220	17225	2010	10354	0
2011-07-06	17284	17359	17254	17319	1624	10304	0
2011-07-07	17289	17385	17229	17324	1568	10244	0
2011-07-08	17419	17465	17306	17311	1316	10276	0
2011-07-11	17222	17309	17072	17177	1880	10242	0
2011-07-12	17086	17191	17081	17191	1204	10056	0
2011-07-13	17362	17703	17317	17698	3414	10490	0
2011-07-14	17556	17598	17487	17560	1860	10316	0
2011-07-15	17470	17533	17420	17441	1348	10374	0
2011-07-18	17490	17585	17462	17527	1348	10372	0
2011-07-19	17591	17746	17571	17741	2272	10242	0
2011-07-20	17747	17822	17620	17692	2018	9728	0
