PFL9 短纤指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2020-10-13	5922	6042	5910	6042	550744	82293	0
2020-10-14	6046	6134	5992	6100	315861	93586	0
2020-10-15	6118	6268	6116	6264	562749	172154	0
2020-10-16	6230	6452	6228	6452	1306382	256321	0
2020-10-19	6442	6594	6432	6592	1472934	324332	0
2020-10-20	6588	6614	6480	6560	1396442	313003	0
2020-10-21	6528	6582	6488	6498	796951	294236	0
2020-10-22	6516	6542	6270	6270	1231137	232148	0
2020-10-23	6260	6310	6212	6236	653145	179617	0
2020-10-26	6248	6320	6226	6252	481381	176677	0
2020-10-27	6234	6284	6136	6142	454505	174618	0
2020-10-28	6156	6204	6124	6176	358186	167623	0
2020-10-29	6122	6174	6050	6056	317483	156489	0
2020-10-30	6010	6098	5994	6014	240747	142618	0
2020-11-02	6026	6170	6026	6092	382549	146750	0
2020-11-03	6108	6160	6074	6076	196053	149736	0
2020-11-04	6106	6112	6026	6064	158943	143993	0
2020-11-05	6088	6098	5966	5982	160613	152491	0
2020-11-06	5988	6004	5854	5888	265779	154123	0
2020-11-09	5872	5926	5858	5902	154026	150947	0
2020-11-10	5998	6122	5946	6004	337146	141878	0
2020-11-11	6014	6110	6006	6064	218193	144945	0
2020-11-12	6078	6134	6038	6046	195439	152666	0
2020-11-13	6054	6068	5934	5956	169617	150541	0
2020-11-16	5924	5990	5894	5964	176334	150731	0
2020-11-17	5986	6032	5940	5968	158663	152235	0
2020-11-18	5972	6024	5924	6000	150205	152646	0
2020-11-19	6020	6026	5976	5994	106661	151002	0
2020-11-20	5992	6050	5974	6006	149966	145885	0
2020-11-23	6008	6080	5990	6040	109405	148200	0
2020-11-24	6060	6106	6028	6100	163568	154133	0
2020-11-25	6096	6144	6066	6100	142572	149837	0
2020-11-26	6112	6130	6046	6064	101990	148960	0
2020-11-27	6062	6102	6042	6098	78324	145354	0
2020-11-30	6108	6130	6008	6018	122171	137085	0
2020-12-01	6040	6062	6014	6030	63277	138144	0
2020-12-02	6038	6050	5944	5948	104248	135390	0
2020-12-03	5914	6016	5910	5990	108942	137741	0
2020-12-04	5980	6100	5978	6094	169922	127486	0
2020-12-07	6122	6250	6074	6248	185551	131241	0
2020-12-08	6236	6286	6170	6182	168542	128411	0
2020-12-09	6194	6264	6150	6192	126576	124690	0
2020-12-10	6210	6240	6160	6166	101746	121351	0
2020-12-11	6182	6270	6160	6228	137777	120435	0
2020-12-14	6232	6362	6230	6344	168935	125187	0
2020-12-15	6342	6358	6208	6278	110145	115935	0
2020-12-16	6298	6310	6248	6272	60355	112495	0
2020-12-17	6284	6338	6274	6338	78009	116946	0
2020-12-18	6336	6392	6286	6318	95701	114158	0
2020-12-21	6316	6336	6210	6268	84580	106128	0
2020-12-22	6234	6304	6166	6218	113169	96034	0
2020-12-23	6244	6262	6136	6228	93698	93827	0
2020-12-24	6240	6292	6218	6290	54979	96215	0
2020-12-25	6302	6340	6264	6306	91170	98021	0
2020-12-28	6316	6322	6234	6258	84548	96770	0
2020-12-29	6270	6286	6164	6186	80488	99684	0
2020-12-30	6196	6284	6190	6284	85923	94123	0
2020-12-31	6300	6450	6254	6422	155052	114127	0
2021-01-04	6400	6560	6400	6538	81522	122492	0
2021-01-05	6534	6696	6520	6594	244309	133456	0
2021-01-06	6650	6746	6580	6714	200087	134737	0
2021-01-07	6692	6866	6674	6848	168231	147993	0
2021-01-08	6856	6910	6726	6806	179863	139205	0
2021-01-11	6806	6818	6552	6574	232768	120726	0
2021-01-12	6578	6664	6516	6648	117967	119107	0
2021-01-13	6680	6772	6628	6730	153835	120155	0
2021-01-14	6722	6740	6596	6600	141899	113507	0
2021-01-15	6612	6684	6552	6580	134060	118573	0
2021-01-18	6596	6654	6538	6628	108050	119398	0
2021-01-19	6646	6784	6606	6648	189747	123747	0
