PGL9 液化气指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2020-03-31	2434	2559	2420	2558	99069	23023	0
2020-04-01	2554	2650	2544	2634	209138	26373	0
2020-04-02	2647	2789	2619	2789	214292	31485	0
2020-04-03	2784	2885	2744	2880	336223	41431	0
2020-04-07	2912	3062	2912	3024	450957	54518	0
2020-04-08	2992	3017	2898	2945	506466	55310	0
2020-04-09	2983	3046	2969	3022	468428	52149	0
2020-04-10	2944	3025	2931	3025	318993	52637	0
2020-04-13	3079	3181	3079	3144	414240	64631	0
2020-04-14	3149	3169	3093	3164	335774	66574	0
2020-04-15	3122	3338	3115	3246	820270	90289	0
2020-04-16	3253	3313	3183	3266	752398	90555	0
2020-04-17	3294	3329	3133	3191	739590	81490	0
2020-04-20	3102	3227	3085	3224	511297	83136	0
2020-04-21	3199	3267	3135	3242	777821	98501	0
2020-04-22	3185	3220	3069	3132	1007610	88423	0
2020-04-23	3169	3353	3152	3352	755256	101048	0
2020-04-24	3347	3423	3320	3402	795820	104278	0
2020-04-27	3381	3593	3371	3576	904097	125997	0
2020-04-28	3551	3658	3302	3359	1297306	83374	0
2020-04-29	3366	3469	3272	3321	965208	77127	0
2020-04-30	3361	3399	3321	3396	611956	63661	0
2020-05-06	3485	3518	3382	3443	379699	73442	0
2020-05-07	3416	3466	3392	3416	421278	73829	0
2020-05-08	3437	3464	3364	3455	431420	81368	0
2020-05-11	3464	3507	3328	3350	594881	73766	0
2020-05-12	3353	3358	3275	3344	480876	76725	0
2020-05-13	3349	3351	3213	3227	575866	83113	0
2020-05-14	3225	3275	3209	3260	446571	84126	0
2020-05-15	3255	3297	3229	3279	344469	75834	0
2020-05-18	3268	3269	3173	3233	564020	84430	0
2020-05-19	3265	3377	3248	3363	526705	81922	0
2020-05-20	3359	3427	3345	3392	358211	77890	0
2020-05-21	3409	3416	3370	3388	256399	75508	0
2020-05-22	3392	3436	3297	3344	381981	72956	0
2020-05-25	3370	3479	3367	3435	410487	77381	0
2020-05-26	3428	3442	3377	3410	273290	75941	0
2020-05-27	3425	3436	3372	3400	236299	73064	0
2020-05-28	3404	3447	3378	3436	216251	81455	0
2020-05-29	3438	3446	3402	3440	164212	72999	0
2020-06-01	3425	3538	3423	3527	216693	84851	0
2020-06-02	3528	3619	3525	3608	288244	94086	0
2020-06-03	3598	3610	3564	3594	187095	85814	0
2020-06-04	3581	3581	3514	3520	190063	78016	0
2020-06-05	3527	3605	3527	3594	191603	92856	0
2020-06-08	3629	3645	3539	3552	246391	82693	0
2020-06-09	3549	3599	3544	3587	190387	87392	0
2020-06-10	3579	3581	3539	3552	143289	82496	0
