PKL9 花生指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2021-02-02	10552	10754	10356	10416	576862	47771	0
2021-02-03	10310	10392	10130	10304	371977	42451	0
2021-02-04	10402	10414	10234	10304	165160	37126	0
2021-02-05	10332	10390	10268	10288	103504	30463	0
2021-02-08	10312	10454	10286	10346	93421	28899	0
2021-02-09	10402	10442	10354	10376	68874	24360	0
2021-02-10	10386	10422	10290	10352	43807	21312	0
2021-02-18	10408	10494	10378	10396	30053	21069	0
2021-02-19	10344	10374	10282	10364	27620	21015	0
2021-02-22	10434	10722	10404	10648	57417	24422	0
2021-02-23	10714	10948	10598	10672	93477	25281	0
2021-02-24	10698	10766	10548	10670	43587	24618	0
2021-02-25	10746	10874	10730	10810	39039	26715	0
2021-02-26	10668	10800	10644	10752	28072	24427	0
2021-03-01	10934	11202	10912	11044	73012	26769	0
2021-03-02	11010	11122	10776	10864	49250	23796	0
2021-03-03	10948	10948	10740	10840	30802	22867	0
2021-03-04	10818	10948	10794	10866	30293	23130	0
2021-03-05	10844	10844	10624	10720	22033	20481	0
2021-03-08	11012	11082	10882	10982	37187	22862	0
2021-03-09	10954	10958	10728	10740	20557	20592	0
2021-03-10	10752	10902	10712	10824	21939	20725	0
2021-03-11	10772	10806	10662	10772	18130	20187	0
2021-03-12	10840	10850	10742	10776	10958	19729	0
2021-03-15	10764	10810	10734	10788	11192	19365	0
2021-03-16	10800	10856	10698	10704	15936	19086	0
2021-03-17	10638	10692	10636	10638	9443	18475	0
2021-03-18	10618	10628	10504	10542	14608	17858	0
2021-03-19	10492	10492	10386	10432	13076	15806	0
2021-03-22	10452	10540	10424	10446	8791	15737	0
2021-03-23	10518	10566	10470	10512	9795	15409	0
2021-03-24	10464	10502	10414	10480	5585	14715	0
2021-03-25	10478	10604	10478	10562	9577	14131	0
2021-03-26	10458	10508	10416	10450	9272	13343	0
2021-03-29	10434	10450	10306	10318	10190	13984	0
2021-03-30	10328	10378	10328	10370	6828	13600	0
2021-03-31	10340	10380	10276	10360	6733	12909	0
2021-04-01	10430	10520	10418	10464	11325	12476	0
2021-04-02	10452	10488	10424	10466	4479	12100	0
2021-04-06	10428	10480	10412	10462	3705	12128	0
