PL9 棕榈指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2007-10-29	8422	8424	8385	8424	4042	2992	0
2007-10-30	8659	8691	8559	8592	23860	6192	0
2007-10-31	8538	8571	8522	8537	6334	5608	0
2007-11-01	8721	8721	8584	8624	4002	5706	0
2007-11-02	8571	8590	8554	8572	3576	5478	0
2007-11-05	8579	8643	8579	8615	4670	5728	0
2007-11-06	8615	8674	8615	8674	3980	5458	0
2007-11-07	8744	8853	8738	8809	4584	4782	0
2007-11-08	8751	8906	8751	8851	5138	4618	0
2007-11-09	8877	8946	8866	8891	4974	4406	0
2007-11-12	8905	8925	8828	8837	2776	3806	0
2007-11-13	8776	8947	8747	8947	3864	3344	0
2007-11-14	8933	8940	8867	8896	5576	3902	0
2007-11-15	8932	8951	8881	8893	7100	3888	0
2007-11-16	8884	8890	8661	8661	8560	3584	0
2007-11-19	8746	8795	8643	8708	13308	3380	0
2007-11-20	8680	8680	8416	8479	13144	3100	0
2007-11-21	8521	8710	8511	8710	13796	2942	0
2007-11-22	8656	8774	8656	8745	14200	3014	0
2007-11-23	8764	8770	8655	8728	16236	2992	0
2007-11-26	8784	8849	8764	8824	19032	3184	0
2007-11-27	8759	8759	8688	8700	19046	3080	0
2007-11-28	8647	8685	8598	8598	24282	3572	0
2007-11-29	8621	8645	8485	8567	22326	3646	0
2007-11-30	8544	8585	8501	8513	12666	3494	0
2007-12-03	8539	8636	8523	8523	22952	3440	0
2007-12-04	8528	8602	8528	8573	22890	3512	0
2007-12-05	8594	8643	8550	8595	18920	3580	0
2007-12-06	8566	8566	8505	8508	19870	3512	0
2007-12-07	8542	8572	8475	8567	21650	4022	0
2007-12-10	8551	8577	8516	8543	22014	4038	0
2007-12-11	8522	8610	8522	8580	23356	4270	0
2007-12-12	8606	8606	8506	8530	22376	4312	0
2007-12-13	8600	8882	8569	8702	22578	3858	0
2007-12-14	8639	8711	8639	8679	20734	3928	0
2007-12-17	8735	8777	8710	8761	11670	4130	0
2007-12-18	8760	8760	8646	8646	24644	4046	0
2007-12-19	8626	8767	8626	8754	23400	4178	0
2007-12-20	8785	8787	8721	8728	22312	4838	0
2007-12-21	8730	8806	8688	8793	21086	4710	0
2007-12-24	8777	9003	8749	8978	19056	6480	0
2007-12-25	9027	9027	8939	8999	17084	6508	0
2007-12-26	9020	9244	9000	9242	23094	7682	0
2007-12-27	9254	9483	9254	9297	18836	8580	0
2007-12-28	9295	9406	9203	9295	18756	10446	0
2008-01-02	9297	9357	9241	9296	25132	12820	0
2008-01-03	9380	9534	9380	9423	27048	14502	0
2008-01-04	9448	9494	9408	9432	26892	15254	0
2008-01-07	9418	9513	9402	9448	27874	15562	0
2008-01-08	9469	9503	9407	9469	31112	15670	0
2008-01-09	9529	9579	9450	9575	24182	16014	0
2008-01-10	9509	9659	9509	9625	27962	16220	0
2008-01-11	9623	9873	9623	9835	28184	16726	0
2008-01-14	9980	10121	9943	10121	12642	17378	0
2008-01-15	10271	10279	10072	10242	25636	17500	0
2008-01-16	10233	10237	9959	10060	23204	18788	0
2008-01-17	10010	10233	9959	10231	23858	19948	0
2008-01-18	10169	10187	9872	9920	25094	18496	0
2008-01-21	9940	10026	9892	9960	25592	18890	0
2008-01-22	9691	9708	9574	9574	20090	22292	0
2008-01-23	9603	9647	9437	9484	31806	22652	0
2008-01-24	9138	9379	9138	9362	24654	27886	0
2008-01-25	9475	9628	9475	9586	17522	28726	0
2008-01-28	9580	9637	9526	9561	31668	28456	0
2008-01-29	9650	9718	9604	9706	32066	29572	0
2008-01-30	9748	9798	9716	9731	18082	29712	0
2008-01-31	9725	9835	9689	9757	33628	30234	0
2008-02-01	9847	9887	9789	9797	38802	31614	0
2008-02-04	9859	9960	9750	9917	34818	31502	0
2008-02-05	10049	10227	10001	10227	8486	31272	0
2008-02-13	10148	10346	10148	10267	46300	34494	0
2008-02-14	10299	10478	10299	10439	45916	35154	0
2008-02-15	10606	10815	10606	10714	49104	32320	0
2008-02-18	10745	11083	10715	10806	46598	40690	0
2008-02-19	10863	10915	10578	10817	51424	40658	0
2008-02-20	10855	10936	10752	10857	51186	38816	0
2008-02-21	10957	11116	10912	11074	64532	42224	0
2008-02-22	11028	11117	10928	11052	54370	42286	0
2008-02-25	11286	11504	11208	11504	17004	43798	0
2008-02-26	11559	11844	11147	11350	28538	43906	0
2008-02-27	11577	11911	11577	11756	30180	43510	0
2008-02-28	11795	11877	11593	11671	34822	43700	0
2008-02-29	11899	12150	11767	12150	65384	38892	0
