PML9 普麦指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2000-01-04	1201	1207	1151	1162	60120	44300	0
2000-01-05	1165	1174	1152	1166	50360	48376	0
2000-01-06	1169	1173	1154	1162	21288	49832	0
2000-01-07	1162	1162	1140	1144	53640	54520	0
2000-01-11	1139	1163	1123	1157	71788	60092	0
2000-01-12	1156	1159	1146	1149	44520	68152	0
2000-01-13	1148	1153	1134	1140	63532	73936	0
2000-01-14	1135	1147	1130	1143	20352	74348	0
2000-01-17	1143	1146	1137	1140	19204	71380	0
2000-01-18	1139	1141	1120	1121	43744	67608	0
2000-01-19	1116	1121	1100	1114	72216	65252	0
2000-01-20	1115	1136	1109	1134	66352	66816	0
2000-01-21	1138	1138	1120	1126	35224	70292	0
2000-01-24	1126	1151	1119	1146	66744	77096	0
2000-01-25	1147	1154	1134	1140	53460	78552	0
2000-01-26	1139	1155	1083	1083	112348	55044	0
2000-01-27	1078	1091	1069	1080	51668	50176	0
2000-01-28	1085	1093	1071	1079	46036	50892	0
2000-01-31	1076	1084	1063	1083	30008	48792	0
2000-02-01	1101	1107	1070	1075	46020	48896	0
2000-02-02	1077	1084	1072	1079	23288	46460	0
2000-02-14	1091	1093	1057	1066	35764	50544	0
2000-02-15	1074	1097	1073	1091	33108	54124	0
2000-02-16	1095	1099	1086	1096	19444	56708	0
2000-02-17	1095	1114	1095	1106	24144	57628	0
2000-02-18	1112	1117	1104	1110	26544	60012	0
2000-02-21	1118	1123	1108	1113	20420	61544	0
2000-02-22	1111	1121	1109	1118	17800	62352	0
2000-02-23	1118	1119	1111	1116	15104	61104	0
2000-02-24	1112	1118	1103	1114	13212	60044	0
2000-02-25	1114	1128	1113	1127	18068	59528	0
2000-02-28	1143	1164	1140	1154	59608	67692	0
2000-02-29	1158	1173	1141	1164	58452	69568	0
2000-03-01	1172	1176	1162	1164	25368	68588	0
2000-03-02	1170	1179	1169	1174	23328	72252	0
2000-03-03	1193	1209	1191	1205	64504	78024	0
2000-03-06	1192	1208	1184	1201	77056	85428	0
2000-03-07	1208	1237	1205	1221	103708	95840	0
2000-03-08	1224	1226	1214	1221	30504	97344	0
2000-03-09	1234	1237	1212	1226	75980	97016	0
2000-03-10	1223	1231	1215	1224	63436	101440	0
2000-03-13	1221	1226	1217	1219	25836	104908	0
2000-03-14	1225	1225	1208	1209	44048	105604	0
2000-03-15	1216	1221	1212	1216	39000	110092	0
2000-03-16	1223	1249	1222	1240	87748	115008	0
2000-03-17	1242	1245	1236	1240	26620	114452	0
2000-03-20	1249	1256	1230	1243	58052	115504	0
2000-03-21	1246	1249	1240	1243	32736	116948	0
2000-03-22	1246	1254	1243	1249	28240	119900	0
2000-03-23	1252	1255	1247	1248	22400	120052	0
2000-03-24	1248	1256	1240	1255	53824	122852	0
2000-03-27	1264	1266	1259	1263	32964	129168	0
2000-03-28	1267	1275	1266	1271	56244	133812	0
2000-03-29	1273	1274	1264	1265	36148	134448	0
2000-03-30	1266	1268	1259	1259	35852	132672	0
2000-03-31	1260	1271	1257	1258	35048	132568	0
2000-04-03	1262	1268	1261	1264	27788	133164	0
2000-04-04	1265	1265	1259	1260	24252	131740	0
2000-04-05	1259	1265	1258	1260	18820	130332	0
2000-04-06	1262	1265	1230	1249	74836	123608	0
2000-04-07	1246	1251	1240	1243	36480	118996	0
2000-04-10	1245	1248	1237	1244	24904	118112	0
2000-04-11	1246	1250	1242	1248	18528	118992	0
2000-04-12	1248	1256	1247	1252	14752	118876	0
2000-04-13	1251	1255	1247	1249	16280	118528	0
2000-04-14	1249	1272	1248	1270	64380	119716	0
2000-04-17	1271	1273	1265	1266	23860	118932	0
2000-04-18	1265	1270	1263	1269	16864	121136	0
2000-04-19	1268	1270	1264	1264	9360	120540	0
2000-04-20	1264	1268	1262	1265	10472	121132	0
2000-04-21	1268	1276	1268	1273	36188	123464	0
2000-04-24	1278	1287	1278	1284	41276	130452	0
2000-04-25	1284	1285	1280	1284	23488	130652	0
2000-04-26	1286	1288	1284	1285	19400	132052	0
2000-04-27	1287	1287	1283	1284	17136	133960	0
2000-04-28	1284	1287	1284	1286	12392	133444	0
2000-05-08	1289	1298	1288	1294	41588	129388	0
2000-05-09	1294	1299	1294	1297	19360	128680	0
2000-05-10	1300	1312	1300	1310	52468	132040	0
2000-05-11	1313	1314	1307	1311	19752	131228	0
2000-05-12	1311	1318	1309	1313	32192	131964	0
2000-05-15	1317	1327	1317	1322	58106	135354	0
2000-05-16	1320	1322	1315	1318	28658	133462	0
2000-05-17	1324	1326	1319	1320	26722	132758	0
2000-05-18	1315	1322	1312	1313	30450	132722	0
2000-05-19	1314	1315	1309	1311	31866	133472	0
2000-05-22	1312	1315	1311	1314	17484	135410	0
2000-05-23	1315	1315	1305	1306	38908	135182	0
2000-05-24	1305	1312	1303	1311	26124	135950	0
2000-05-25	1317	1333	1315	1332	70404	145780	0
2000-05-26	1333	1336	1328	1328	56354	148568	0
2000-05-29	1330	1340	1318	1320	74176	146828	0
2000-05-30	1321	1331	1320	1326	25930	143958	0
2000-05-31	1328	1330	1321	1326	26030	139320	0
2000-06-01	1328	1334	1325	1329	40650	146986	0
2000-06-02	1332	1340	1331	1339	39422	150180	0
2000-06-05	1341	1342	1330	1332	47068	152002	0
2000-06-06	1333	1336	1327	1332	43688	153996	0
2000-06-07	1334	1335	1330	1331	22354	156464	0
2000-06-08	1329	1333	1327	1329	27644	156342	0
2000-06-09	1329	1331	1328	1329	10950	156934	0
2000-06-12	1329	1333	1326	1330	20748	156412	0
2000-06-13	1332	1337	1324	1334	50476	160112	0
2000-06-14	1335	1345	1334	1342	48988	168278	0
2000-06-15	1342	1343	1338	1341	18674	168594	0
2000-06-16	1342	1351	1342	1348	45656	167528	0
2000-06-19	1350	1353	1346	1347	28666	170298	0
2000-06-20	1347	1350	1347	1349	11864	170088	0
2000-06-21	1349	1350	1343	1348	30822	171980	0
2000-06-22	1349	1351	1343	1344	20454	170928	0
2000-06-23	1344	1347	1343	1346	16308	169808	0
2000-06-26	1346	1346	1342	1343	8638	168364	0
2000-06-27	1344	1351	1342	1351	24302	172936	0
2000-06-28	1351	1356	1350	1354	46672	182658	0
2000-06-29	1352	1356	1351	1353	20674	183532	0
2000-06-30	1354	1356	1353	1354	7784	180000	0
2000-07-03	1353	1354	1349	1350	24290	175556	0
2000-07-04	1351	1353	1345	1353	38304	170644	0
2000-07-05	1351	1353	1347	1349	20556	173914	0
2000-07-06	1349	1360	1349	1356	32000	174788	0
2000-07-07	1357	1362	1357	1361	33646	175958	0
2000-07-10	1364	1388	1363	1387	62312	181046	0
2000-07-11	1388	1402	1388	1395	78874	180962	0
2000-07-12	1395	1397	1389	1394	27266	187542	0
2000-07-13	1395	1415	1389	1414	69284	193072	0
2000-07-14	1415	1419	1395	1396	84088	189198	0
2000-07-17	1394	1409	1390	1404	60726	194574	0
2000-07-18	1407	1422	1406	1417	73900	196942	0
2000-07-19	1421	1428	1416	1427	60124	201274	0
2000-07-20	1426	1428	1379	1386	137488	193114	0
2000-07-21	1388	1419	1384	1416	125120	209864	0
2000-07-24	1417	1417	1396	1402	85304	222254	0
2000-07-25	1407	1423	1404	1418	92204	217548	0
2000-07-26	1411	1416	1402	1410	62518	232172	0
2000-07-27	1409	1413	1404	1408	43926	235758	0
2000-07-28	1408	1409	1399	1407	70530	251078	0
2000-07-31	1406	1410	1402	1409	56282	267598	0
2000-08-01	1413	1443	1412	1440	182646	262590	0
2000-08-02	1448	1450	1420	1424	138162	274066	0
2000-08-03	1432	1440	1429	1433	72708	270794	0
2000-08-04	1431	1433	1423	1427	37888	274260	0
2000-08-07	1425	1428	1419	1425	21344	276410	0
2000-08-08	1423	1431	1421	1421	30656	276284	0
2000-08-09	1422	1430	1419	1424	21832	278544	0
2000-08-10	1426	1427	1423	1425	6008	278030	0
2000-08-11	1432	1439	1432	1438	30172	277758	0
2000-08-14	1435	1442	1433	1441	41398	280732	0
2000-08-15	1445	1446	1438	1442	59664	283790	0
2000-08-16	1449	1449	1438	1442	50662	283076	0
2000-08-17	1439	1439	1420	1423	69592	288686	0
2000-08-18	1421	1432	1419	1430	53798	292144	0
2000-08-21	1434	1437	1428	1430	21810	289420	0
2000-08-22	1426	1431	1425	1426	12654	294352	0
2000-08-23	1427	1430	1423	1430	28226	288750	0
2000-08-24	1443	1446	1427	1436	100422	284800	0
2000-08-25	1438	1440	1433	1433	38620	282902	0
2000-08-28	1436	1456	1435	1444	84026	274588	0
2000-08-29	1447	1459	1445	1458	55176	275366	0
2000-08-30	1463	1493	1461	1488	210756	251376	0
2000-08-31	1492	1493	1465	1475	107492	245686	0
2000-09-01	1482	1520	1481	1510	173412	250982	0
2000-09-04	1515	1539	1498	1516	152816	249514	0
2000-09-05	1513	1528	1508	1515	67932	249652	0
2000-09-06	1518	1534	1514	1524	80116	250606	0
2000-09-07	1515	1531	1510	1519	109688	263066	0
2000-09-08	1518	1529	1515	1518	80518	265954	0
2000-09-11	1526	1536	1519	1526	100690	304938	0
2000-09-12	1526	1531	1511	1514	68660	300972	0
2000-09-13	1511	1519	1505	1513	53518	305700	0
2000-09-14	1510	1521	1504	1508	64316	304114	0
2000-09-15	1509	1516	1507	1512	33692	300308	0
2000-09-18	1513	1522	1511	1516	57420	297746	0
2000-09-19	1514	1516	1505	1507	35966	296088	0
2000-09-20	1510	1516	1501	1503	60314	284712	0
2000-09-21	1499	1510	1492	1508	88188	290562	0
2000-09-22	1509	1514	1506	1510	42238	293000	0
2000-09-25	1516	1516	1504	1506	21334	293578	0
2000-09-26	1505	1508	1503	1506	23358	293976	0
2000-09-27	1506	1515	1505	1514	25186	295806	0
2000-09-28	1514	1521	1511	1513	32316	296934	0
2000-09-29	1514	1516	1510	1514	9852	294622	0
2000-10-09	1519	1546	1515	1539	69746	292074	0
2000-10-10	1538	1548	1532	1544	70604	295912	0
2000-10-11	1546	1550	1493	1494	166284	289750	0
2000-10-12	1493	1503	1472	1477	124326	286042	0
2000-10-13	1478	1489	1463	1474	136024	288076	0
2000-10-16	1470	1478	1466	1474	40262	290030	0
2000-10-17	1474	1483	1468	1481	62142	290786	0
