PPL9 丙烯指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2014-03-03	10555	10608	10428	10445	86752	40130	0
2014-03-04	10460	10495	10410	10482	64078	48000	0
2014-03-05	10477	10520	10469	10512	41474	52438	0
2014-03-06	10510	10510	10303	10374	109558	63544	0
2014-03-07	10364	10388	10323	10359	58268	69598	0
2014-03-10	10335	10335	10158	10228	105576	78834	0
2014-03-11	10221	10455	10195	10322	82962	69996	0
2014-03-12	10293	10351	10226	10351	56550	81570	0
2014-03-13	10312	10384	10312	10360	31240	80978	0
2014-03-14	10349	10367	10284	10326	59852	80264	0
2014-03-17	10316	10425	10276	10311	33668	78586	0
2014-03-18	10274	10425	10272	10423	67846	76776	0
2014-03-19	10398	10472	10353	10353	42368	73014	0
2014-03-20	10372	10404	10339	10390	28612	68204	0
2014-03-21	10365	10433	10357	10420	26596	68196	0
2014-03-24	10412	10448	10389	10433	27012	71252	0
2014-03-25	10433	10566	10417	10527	59586	67820	0
2014-03-26	10501	10640	10501	10605	127016	73914	0
2014-03-27	10598	10613	10561	10579	47956	72704	0
2014-03-28	10583	10682	10579	10678	79232	77842	0
2014-03-31	10665	10691	10628	10646	43252	76736	0
2014-04-01	10651	10750	10623	10729	106626	87132	0
2014-04-02	10651	10723	10651	10688	52674	91006	0
2014-04-03	10682	10730	10626	10706	73994	94524	0
2014-04-04	10704	10841	10704	10831	97030	101678	0
2014-04-08	10821	10848	10744	10767	73248	104162	0
2014-04-09	10799	10799	10677	10746	87124	106090	0
2014-04-10	10760	10813	10695	10695	76676	107586	0
2014-04-11	10690	10731	10642	10716	63636	108812	0
2014-04-14	10755	10783	10698	10769	74690	115004	0
2014-04-15	10773	10825	10740	10794	92340	119642	0
2014-04-16	10782	10802	10748	10773	55024	120432	0
2014-04-17	10770	10899	10764	10875	115848	124526	0
2014-04-18	10884	10885	10797	10874	82298	118840	0
2014-04-21	10874	10932	10833	10888	56768	120784	0
2014-04-22	10887	11034	10860	10970	148238	134206	0
2014-04-23	10980	10981	10864	10922	92772	134512	0
2014-04-24	10919	10944	10813	10887	128014	132912	0
2014-04-25	10893	10909	10686	10701	128374	134070	0
2014-04-28	10713	10724	10665	10704	69638	129432	0
2014-04-29	10698	10762	10654	10752	93386	130328	0
2014-04-30	10752	10768	10706	10738	81300	138830	0
2014-05-05	10740	10833	10670	10832	128048	138944	0
2014-05-06	10813	10874	10795	10834	134888	138130	0
2014-05-07	10834	10941	10809	10907	175206	126888	0
2014-05-08	10927	10927	10821	10847	93844	121286	0
2014-05-09	10857	10857	10727	10746	105880	124190	0
2014-05-12	10763	10801	10690	10722	127566	119884	0
2014-05-13	10743	10754	10699	10748	83646	116860	0
2014-05-14	10773	10780	10689	10720	93664	119536	0
2014-05-15	10709	10709	10637	10643	115064	127524	0
2014-05-16	10635	10655	10569	10638	116590	136600	0
2014-05-19	10631	10695	10591	10643	119174	145730	0
2014-05-20	10629	10649	10573	10639	99308	152770	0
2014-05-21	10623	10732	10602	10708	160408	155360	0
2014-05-22	10705	10862	10699	10859	170954	166674	0
2014-05-23	10844	10952	10815	10941	243122	168986	0
2014-05-26	10927	10971	10877	10946	177868	178126	0
2014-05-27	10927	10934	10711	10714	186206	157096	0
2014-05-28	10727	10746	10651	10745	96936	150394	0
2014-05-29	10713	10846	10713	10803	139892	151048	0
2014-05-30	10798	10856	10742	10850	130402	152552	0
2014-06-03	10852	10943	10837	10937	140004	161952	0
2014-06-04	10927	11017	10910	10935	183772	164090	0
2014-06-05	10935	11009	10893	10979	192824	172038	0
2014-06-06	10976	11007	10931	10958	155056	170816	0
2014-06-09	10939	10975	10887	10929	138218	176606	0
2014-06-10	10943	11189	10943	11184	339256	205172	0
2014-06-11	11154	11289	11132	11185	530670	199904	0
2014-06-12	11167	11230	11114	11188	271674	200136	0
2014-06-13	11224	11364	11207	11227	362106	194304	0
2014-06-16	11245	11278	11150	11256	267230	192652	0
2014-06-17	11227	11266	11057	11081	323870	176956	0
2014-06-18	11103	11117	10985	11009	333538	179650	0
2014-06-19	11042	11044	10949	10960	197558	177404	0
2014-06-20	10971	11023	10926	11010	174102	183170	0
2014-06-23	10980	11020	10698	10698	398014	209566	0
2014-06-24	10742	10742	10663	10670	254994	212524	0
2014-06-25	10662	10698	10598	10641	296258	209696	0
2014-06-26	10642	10704	10609	10642	244928	219176	0
2014-06-27	10634	10743	10625	10698	232048	220352	0
2014-06-30	10695	10772	10675	10734	214600	221446	0
2014-07-01	10749	10872	10698	10861	375224	233086	0
2014-07-02	10839	10906	10645	10816	358204	211130	0
2014-07-03	10823	10916	10798	10841	277106	211344	0
2014-07-04	10859	10967	10833	10926	286032	220534	0
2014-07-07	10922	10997	10872	10961	252700	222020	0
2014-07-08	10950	10969	10840	10922	258046	224200	0
2014-07-09	10918	10941	10715	10782	288490	225702	0
2014-07-10	10798	10807	10731	10765	157108	227134	0
2014-07-11	10796	10822	10733	10790	191038	226420	0
2014-07-14	10755	10807	10716	10780	160844	220190	0
2014-07-15	10776	10888	10776	10814	256094	220756	0
2014-07-16	10794	10865	10721	10862	259730	231506	0
2014-07-17	10838	10904	10756	10757	241754	228430	0
