RBL9 螺纹指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2009-03-27	3566	3661	3514	3562	360228	46944	0
2009-03-30	3551	3581	3530	3546	145888	49728	0
2009-03-31	3539	3567	3533	3551	71002	45918	0
2009-04-01	3562	3562	3545	3549	28388	43236	0
2009-04-02	3547	3550	3458	3475	236480	70388	0
2009-04-03	3483	3483	3439	3450	153874	77068	0
2009-04-07	3427	3519	3427	3493	243464	102722	0
2009-04-08	3482	3493	3458	3465	147714	94146	0
2009-04-09	3478	3488	3462	3470	88100	97168	0
2009-04-10	3485	3502	3472	3486	121774	102686	0
2009-04-13	3487	3495	3467	3471	110892	112270	0
2009-04-14	3477	3601	3471	3562	541858	153526	0
2009-04-15	3571	3592	3552	3564	256590	154898	0
2009-04-16	3584	3629	3573	3598	251234	172990	0
2009-04-17	3596	3650	3584	3622	340950	223986	0
2009-04-20	3622	3650	3617	3625	260904	242662	0
2009-04-21	3582	3592	3492	3526	333156	244330	0
2009-04-22	3552	3568	3510	3528	169038	237870	0
2009-04-23	3531	3533	3491	3515	131110	238052	0
2009-04-24	3515	3524	3499	3503	102004	251366	0
2009-04-27	3512	3522	3494	3501	102958	259882	0
2009-04-28	3498	3517	3498	3509	97352	268106	0
2009-04-29	3509	3522	3505	3522	102924	280628	0
2009-04-30	3538	3575	3525	3554	249142	304374	0
2009-05-04	3575	3661	3575	3637	575670	333112	0
2009-05-05	3637	3645	3573	3579	176798	317136	0
2009-05-06	3580	3600	3575	3596	104310	320716	0
2009-05-07	3630	3632	3593	3595	151292	326604	0
2009-05-08	3601	3618	3592	3616	104146	330660	0
2009-05-11	3617	3679	3608	3640	337180	346724	0
2009-05-12	3646	3661	3631	3646	194050	347022	0
2009-05-13	3656	3658	3635	3640	119000	348088	0
2009-05-14	3618	3622	3592	3596	140800	343940	0
2009-05-15	3602	3619	3598	3606	132894	345766	0
2009-05-18	3597	3613	3583	3609	105328	344404	0
2009-05-19	3632	3632	3613	3620	95996	343220	0
2009-05-20	3618	3645	3614	3620	119384	345506	0
2009-05-21	3622	3643	3620	3625	118058	349972	0
2009-05-22	3620	3628	3610	3620	60846	348174	0
2009-05-25	3631	3631	3602	3611	96118	361360	0
2009-05-26	3611	3622	3598	3603	114466	351202	0
2009-05-27	3630	3630	3608	3612	46624	344940	0
2009-06-01	3632	3659	3627	3649	194440	354262	0
2009-06-02	3662	3683	3654	3657	200640	352100	0
2009-06-03	3661	3674	3658	3672	105942	353088	0
2009-06-04	3652	3713	3650	3702	371940	372872	0
2009-06-05	3723	3779	3722	3758	269288	354748	0
2009-06-08	3757	3794	3749	3790	295768	358158	0
2009-06-09	3799	3808	3770	3781	216332	354894	0
2009-06-10	3794	3815	3776	3810	240044	359942	0
2009-06-11	3812	3940	3810	3880	638952	390384	0
2009-06-12	3890	3929	3839	3866	593530	368156	0
2009-06-15	3857	3879	3827	3851	370066	359880	0
2009-06-16	3831	3884	3831	3868	363330	358108	0
2009-06-17	3864	3880	3844	3855	219252	355684	0
2009-06-18	3855	3868	3833	3845	194002	346052	0
2009-06-19	3855	3921	3849	3909	567686	374264	0
2009-06-22	3911	3938	3903	3922	506902	384702	0
2009-06-23	3900	3902	3838	3884	503470	393540	0
2009-06-24	3892	3900	3861	3873	287118	403700	0
2009-06-25	3865	3890	3862	3869	287590	409052	0
