RIL9 早稻指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2009-04-20	2050	2071	2031	2039	68584	12020	0
2009-04-21	2029	2068	2013	2046	130306	18434	0
2009-04-22	2052	2059	2036	2044	42604	16172	0
2009-04-23	2046	2054	2040	2050	22364	13372	0
2009-04-24	2050	2050	2040	2044	11102	11644	0
2009-04-27	2042	2042	2022	2036	14638	11268	0
2009-04-28	2037	2038	2027	2035	6978	9580	0
2009-04-29	2036	2038	2032	2036	3428	8790	0
2009-04-30	2037	2040	2034	2040	7396	8932	0
2009-05-04	2047	2051	2042	2050	11394	12398	0
2009-05-05	2051	2052	2039	2039	9776	10824	0
2009-05-06	2040	2041	2034	2037	5226	10446	0
2009-05-07	2039	2046	2037	2042	6822	11598	0
2009-05-08	2042	2044	2034	2042	5020	10110	0
2009-05-11	2042	2042	2037	2040	2382	9642	0
2009-05-12	2040	2043	2036	2043	12548	10280	0
2009-05-13	2043	2044	2037	2039	7456	9790	0
2009-05-14	2037	2042	2037	2041	5008	9870	0
2009-05-15	2041	2043	2038	2040	6368	10130	0
2009-05-18	2037	2042	2036	2040	8366	8842	0
2009-05-19	2042	2042	2038	2041	1914	8818	0
2009-05-20	2040	2042	2038	2039	3778	9002	0
2009-05-21	2038	2040	2037	2038	2756	8024	0
2009-05-22	2037	2039	2036	2038	1298	8180	0
2009-05-25	2038	2040	2035	2038	4796	7138	0
2009-05-26	2037	2037	2032	2033	1836	6802	0
2009-05-27	2036	2036	2027	2029	1774	6546	0
2009-06-01	2030	2034	2029	2031	3688	6648	0
2009-06-02	2034	2035	2030	2033	6344	7176	0
2009-06-03	2031	2035	2029	2033	3334	6968	0
2009-06-04	2030	2032	2029	2031	1404	6964	0
2009-06-05	2033	2035	2031	2032	8204	7888	0
2009-06-08	2030	2034	2029	2032	3576	9214	0
2009-06-09	2034	2092	2032	2076	48902	16288	0
2009-06-10	2086	2098	2066	2072	17380	17046	0
2009-06-11	2072	2080	2055	2060	13650	16390	0
2009-06-12	2067	2067	2052	2055	7754	16114	0
2009-06-15	2049	2064	2049	2056	10938	17680	0
2009-06-16	2050	2056	2047	2049	5896	16018	0
2009-06-17	2047	2056	2047	2054	8256	16676	0
2009-06-18	2057	2066	2052	2056	9994	17498	0
2009-06-19	2053	2062	2053	2057	5178	17030	0
2009-06-22	2056	2057	2048	2050	6636	16326	0
2009-06-23	2050	2050	2043	2047	5520	15354	0
2009-06-24	2049	2066	2049	2065	12384	13680	0
2009-06-25	2064	2064	2057	2058	4686	13508	0
2009-06-26	2059	2071	2057	2070	11098	15254	0
2009-06-29	2070	2076	2062	2064	6298	14614	0
2009-06-30	2066	2074	2065	2068	5344	14748	0
2009-07-01	2067	2086	2066	2080	15252	17542	0
2009-07-02	2077	2086	2069	2069	6232	16436	0
2009-07-03	2070	2074	2064	2069	4512	15672	0
2009-07-06	2075	2087	2068	2071	5474	15922	0
2009-07-07	2074	2077	2070	2072	2324	15630	0
2009-07-08	2067	2069	2057	2058	6292	14736	0
2009-07-09	2058	2063	2054	2055	3912	15292	0
2009-07-10	2058	2059	2054	2056	3346	15980	0
2009-07-13	2062	2063	2050	2050	3296	16582	0
2009-07-14	2053	2057	2048	2055	2954	17086	0
2009-07-15	2054	2056	2050	2053	4326	17414	0
2009-07-16	2054	2056	2033	2041	5786	17414	0
2009-07-17	2037	2042	2033	2041	4228	18416	0
2009-07-20	2042	2046	2039	2046	4238	19652	0
2009-07-21	2045	2047	2040	2041	2902	19960	0
2009-07-22	2041	2041	2031	2035	5584	19578	0
2009-07-23	2035	2046	2033	2046	4502	19572	0
2009-07-24	2049	2051	2036	2041	3004	19654	0
2009-07-27	2043	2043	2033	2036	4208	19306	0
2009-07-28	2037	2040	2035	2037	2370	19760	0
2009-07-29	2037	2042	2033	2040	3930	19342	0
2009-07-30	2041	2045	2038	2043	2798	19256	0
2009-07-31	2043	2048	2042	2047	6854	20014	0
2009-08-03	2050	2071	2047	2068	13586	21216	0
2009-08-04	2065	2070	2056	2060	9890	22336	0
2009-08-05	2060	2075	2057	2059	22334	25270	0
2009-08-06	2051	2060	2043	2050	13860	25496	0
2009-08-07	2049	2049	2021	2025	14654	27190	0
2009-08-10	2025	2044	2024	2043	15814	29870	0
2009-08-11	2038	2047	2019	2041	16646	27948	0
2009-08-12	2037	2050	2030	2043	13820	29120	0
2009-08-13	2045	2087	2041	2082	41898	34106	0
2009-08-14	2081	2113	2075	2102	70340	41190	0
2009-08-17	2086	2132	2080	2113	104336	49912	0
2009-08-18	2119	2126	2102	2106	41478	49502	0
2009-08-19	2108	2111	2070	2079	52092	47220	0
2009-08-20	2080	2086	2058	2073	30604	45370	0
2009-08-21	2070	2080	2064	2074	32606	51414	0
2009-08-24	2084	2115	2081	2102	65244	60914	0
2009-08-25	2103	2111	2094	2102	39668	61042	0
2009-08-26	2099	2105	2095	2096	18622	60664	0
2009-08-27	2094	2101	2088	2096	25514	61910	0
2009-08-28	2100	2110	2096	2100	39358	64918	0
2009-08-31	2104	2134	2092	2129	164794	94258	0
2009-09-01	2126	2140	2109	2113	95536	89630	0
2009-09-02	2100	2108	2083	2086	57518	69018	0
2009-09-03	2088	2094	2085	2091	22726	68828	0
2009-09-04	2088	2091	2066	2080	44172	62386	0
2009-09-07	2078	2090	2075	2085	22744	60134	0
2009-09-08	2083	2084	2071	2079	17474	58398	0
2009-09-09	2082	2090	2071	2076	28776	63664	0
2009-09-10	2078	2080	2073	2077	15872	65840	0
2009-09-11	2078	2079	2069	2069	17406	63702	0
2009-09-14	2060	2073	2052	2070	21274	62186	0
2009-09-15	2070	2075	2067	2072	11152	63804	0
2009-09-16	2082	2083	2070	2070	13450	63856	0
2009-09-17	2066	2074	2063	2070	16850	64036	0
