RML9 菜粕指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2012-12-31	2336	2336	2270	2270	314552	94234	0
2013-01-04	2251	2301	2251	2291	242566	93124	0
2013-01-07	2288	2384	2286	2366	651470	138438	0
2013-01-08	2387	2414	2359	2386	1071836	158360	0
2013-01-09	2396	2426	2380	2380	810688	191892	0
2013-01-10	2371	2399	2371	2373	661990	192992	0
2013-01-11	2374	2452	2374	2431	1752828	266122	0
2013-01-14	2449	2465	2429	2450	1432042	263078	0
2013-01-15	2459	2536	2454	2464	1893458	295398	0
2013-01-16	2471	2504	2453	2494	1163958	304834	0
2013-01-17	2510	2516	2480	2481	1029492	294468	0
2013-01-18	2482	2526	2472	2481	1179770	286788	0
2013-01-21	2478	2506	2478	2487	705552	282894	0
2013-01-22	2485	2512	2485	2495	680764	296004	0
2013-01-23	2499	2509	2474	2477	502670	274472	0
2013-01-24	2466	2471	2394	2402	1016340	302804	0
2013-01-25	2405	2421	2399	2399	716430	280218	0
2013-01-28	2411	2415	2387	2409	692538	269982	0
2013-01-29	2413	2424	2403	2412	528518	260870	0
2013-01-30	2412	2434	2412	2425	428658	255252	0
2013-01-31	2435	2442	2428	2429	264460	247956	0
2013-02-01	2422	2425	2384	2414	843096	260330	0
2013-02-04	2417	2469	2416	2444	722000	247526	0
2013-02-05	2443	2516	2436	2472	1330960	260412	0
2013-02-06	2487	2498	2457	2458	498128	256350	0
2013-02-07	2458	2460	2438	2439	293388	234394	0
2013-02-08	2446	2480	2446	2451	383074	233716	0
2013-02-18	2412	2443	2408	2439	273230	260720	0
2013-02-19	2463	2526	2457	2515	1350988	453674	0
2013-02-20	2527	2536	2517	2520	828364	473308	0
2013-02-21	2512	2556	2493	2555	1780338	590636	0
2013-02-22	2556	2618	2541	2552	2879852	617816	0
2013-02-25	2528	2538	2470	2481	2004838	457022	0
2013-02-26	2472	2514	2461	2475	2208276	428592	0
2013-02-27	2494	2510	2470	2486	1841730	443130	0
2013-02-28	2499	2507	2461	2462	1667162	490172	0
2013-03-01	2469	2488	2454	2476	2008418	456132	0
2013-03-04	2472	2484	2455	2468	1146326	441782	0
2013-03-05	2486	2499	2479	2488	1013364	462484	0
2013-03-06	2488	2493	2454	2463	1468518	459590	0
2013-03-07	2463	2472	2453	2461	674006	446252	0
2013-03-08	2470	2475	2458	2459	612832	450656	0
2013-03-11	2461	2463	2408	2408	1420392	550852	0
2013-03-12	2414	2414	2375	2376	928356	520496	0
2013-03-13	2380	2402	2358	2398	1357394	491410	0
2013-03-14	2383	2428	2379	2420	1639122	504666	0
2013-03-15	2435	2442	2412	2421	1733468	517946	0
2013-03-18	2402	2426	2372	2415	1132660	515558	0
2013-03-19	2423	2442	2415	2416	1051808	530314	0
2013-03-20	2411	2425	2406	2422	722422	519702	0
2013-03-21	2427	2446	2427	2436	729248	468516	0
2013-03-22	2442	2443	2409	2409	646006	490156	0
2013-03-25	2409	2423	2402	2406	655586	507098	0
2013-03-26	2404	2419	2402	2415	416332	468604	0
2013-03-27	2421	2425	2408	2417	283836	458840	0
2013-03-28	2423	2423	2383	2385	543518	457874	0
2013-03-29	2348	2371	2341	2359	463406	411628	0
2013-04-01	2358	2360	2323	2327	439380	424742	0
2013-04-02	2334	2351	2320	2334	549820	420794	0
2013-04-03	2322	2325	2299	2310	537530	399958	0
2013-04-08	2303	2319	2286	2305	630774	427348	0
2013-04-09	2307	2323	2304	2307	432634	436446	0
