RRL9 粳米指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2019-08-19	3675	3687	3657	3665	53886	30450	0
2019-08-20	3669	3669	3647	3653	22224	29012	0
2019-08-21	3655	3664	3653	3657	15816	26460	0
2019-08-22	3660	3660	3608	3623	23912	26688	0
2019-08-23	3622	3629	3616	3624	7386	25722	0
2019-08-26	3629	3651	3616	3623	13784	26336	0
2019-08-27	3623	3637	3622	3629	7170	25974	0
2019-08-28	3628	3628	3615	3617	7130	28248	0
2019-08-29	3614	3625	3609	3614	7546	29050	0
2019-08-30	3614	3631	3604	3612	11460	30214	0
2019-09-02	3614	3625	3611	3614	8218	30652	0
2019-09-03	3611	3618	3604	3611	5516	30654	0
2019-09-04	3610	3626	3595	3617	14772	31924	0
2019-09-05	3621	3622	3609	3611	7764	31534	0
2019-09-06	3611	3697	3610	3648	62618	38872	0
2019-09-09	3623	3661	3620	3649	18070	39234	0
2019-09-10	3650	3657	3635	3641	6850	39208	0
2019-09-11	3649	3649	3621	3626	7172	38172	0
2019-09-12	3630	3631	3618	3620	4306	37378	0
2019-09-16	3625	3639	3620	3628	5158	37650	0
2019-09-17	3630	3670	3628	3658	12564	38510	0
2019-09-18	3646	3663	3643	3654	11874	37560	0
2019-09-19	3651	3660	3649	3655	4924	36316	0
2019-09-20	3658	3675	3632	3651	11800	34708	0
2019-09-23	3654	3661	3645	3652	5114	33930	0
2019-09-24	3646	3658	3639	3654	3170	33358	0
2019-09-25	3647	3651	3630	3638	4044	32594	0
2019-09-26	3653	3660	3637	3645	3660	32560	0
2019-09-27	3632	3640	3623	3626	4366	30636	0
2019-09-30	3631	3631	3618	3620	2238	29688	0
2019-10-08	3616	3626	3610	3621	1510	29322	0
2019-10-09	3630	3635	3623	3626	1906	28940	0
2019-10-10	3624	3630	3623	3628	976	28938	0
2019-10-11	3629	3629	3619	3621	1270	28980	0
2019-10-14	3623	3626	3612	3621	1992	28374	0
2019-10-15	3615	3626	3613	3613	1130	28498	0
2019-10-16	3621	3621	3611	3616	1376	28070	0
2019-10-17	3620	3620	3609	3616	922	28034	0
2019-10-18	3612	3617	3611	3615	1418	27812	0
2019-10-21	3613	3619	3606	3606	1188	27426	0
2019-10-22	3601	3611	3590	3596	6776	23826	0
2019-10-23	3593	3603	3588	3594	1462	23636	0
2019-10-24	3606	3606	3589	3598	932	23572	0
2019-10-25	3595	3601	3589	3593	914	23256	0
2019-10-28	3593	3600	3593	3594	812	23062	0
2019-10-29	3594	3598	3590	3596	1040	22910	0
2019-10-30	3597	3597	3592	3596	924	22804	0
2019-10-31	3595	3618	3594	3602	3104	22386	0
2019-11-01	3601	3603	3595	3597	890	22326	0
2019-11-04	3597	3602	3597	3597	1072	22248	0
2019-11-05	3599	3604	3577	3590	5484	20350	0
2019-11-06	3590	3594	3585	3593	1696	19130	0
2019-11-07	3591	3593	3586	3590	1006	18840	0
2019-11-08	3592	3595	3583	3584	1638	18378	0
2019-11-11	3585	3589	3577	3577	796	18350	0
2019-11-12	3580	3584	3577	3578	328	18302	0
2019-11-13	3580	3585	3579	3580	392	18196	0
2019-11-14	3578	3583	3577	3581	332	18180	0
2019-11-15	3581	3590	3577	3579	1356	18082	0
2019-11-18	3579	3588	3579	3584	1090	17700	0
2019-11-19	3575	3591	3575	3581	1538	17230	0
2019-11-20	3574	3582	3574	3581	692	17136	0
2019-11-21	3580	3580	3568	3573	1436	17274	0
2019-11-22	3575	3575	3568	3568	672	17322	0
2019-11-25	3571	3573	3566	3569	1010	17514	0
2019-11-26	3570	3577	3566	3568	1064	17456	0
2019-11-27	3567	3569	3558	3559	1082	17824	0
2019-11-28	3558	3561	3538	3538	2270	17732	0
2019-11-29	3547	3549	3536	3548	1286	17344	0
2019-12-02	3543	3549	3520	3525	2460	17298	0
2019-12-03	3521	3525	3498	3502	1980	17334	0
2019-12-04	3506	3506	3446	3450	6906	18234	0
