RSL9 菜籽指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2012-12-28	5303	5317	5160	5270	128230	9212	0
2012-12-31	5275	5386	5233	5273	145938	9018	0
2013-01-04	5273	5357	5256	5346	84128	13516	0
2013-01-07	5333	5529	5333	5439	206348	22702	0
2013-01-08	5459	5464	5379	5412	96888	19218	0
2013-01-09	5421	5496	5421	5437	100698	20450	0
2013-01-10	5457	5475	5424	5445	54344	20136	0
2013-01-11	5458	5517	5423	5429	92220	22904	0
2013-01-14	5443	5482	5402	5462	77126	23044	0
2013-01-15	5480	5546	5422	5427	143210	24256	0
2013-01-16	5425	5459	5407	5438	62902	21756	0
2013-01-17	5456	5458	5407	5413	42044	21138	0
2013-01-18	5419	5473	5415	5429	64704	20824	0
2013-01-21	5439	5460	5413	5425	41652	20502	0
2013-01-22	5418	5438	5401	5424	22540	19210	0
2013-01-23	5436	5507	5413	5466	182164	28378	0
2013-01-24	5467	5475	5317	5349	153088	27278	0
2013-01-25	5366	5384	5346	5377	66864	20846	0
2013-01-28	5382	5408	5363	5385	25858	18542	0
2013-01-29	5385	5393	5353	5378	18894	18196	0
2013-01-30	5381	5413	5366	5402	18582	17630	0
2013-01-31	5423	5423	5399	5422	10970	17138	0
2013-02-01	5422	5435	5386	5414	17890	15962	0
2013-02-04	5416	5465	5412	5431	18630	15364	0
2013-02-05	5429	5454	5406	5411	19504	15816	0
2013-02-06	5418	5424	5399	5399	9370	15848	0
2013-02-07	5401	5440	5380	5393	17576	14638	0
2013-02-08	5396	5416	5391	5399	5862	13762	0
2013-02-18	5357	5396	5357	5380	4682	13992	0
2013-02-19	5408	5468	5404	5421	27332	13292	0
2013-02-20	5444	5447	5414	5421	17860	13746	0
2013-02-21	5416	5459	5377	5418	48106	16142	0
2013-02-22	5427	5513	5384	5439	89148	20244	0
2013-02-25	5388	5414	5259	5376	46286	14956	0
2013-02-26	5367	5394	5353	5361	19142	14352	0
2013-02-27	5377	5383	5284	5327	55998	18776	0
2013-02-28	5348	5351	5293	5303	24220	21354	0
2013-03-01	5308	5314	5282	5300	17436	21414	0
2013-03-04	5298	5317	5286	5307	13924	19890	0
2013-03-05	5312	5345	5302	5306	10320	19768	0
2013-03-06	5303	5314	5283	5289	11408	20326	0
2013-03-07	5292	5297	5267	5271	11030	21842	0
2013-03-08	5277	5332	5273	5303	26458	23870	0
2013-03-11	5312	5312	5277	5277	8202	22990	0
2013-03-12	5269	5313	5269	5305	14866	23198	0
2013-03-13	5307	5322	5265	5290	20082	22830	0
2013-03-14	5287	5307	5272	5303	9486	22996	0
2013-03-15	5314	5317	5296	5298	9400	22676	0
2013-03-18	5288	5303	5274	5289	7988	22160	0
2013-03-19	5296	5296	5281	5283	2336	22192	0
2013-03-20	5279	5290	5279	5287	3558	21896	0
2013-03-21	5294	5313	5289	5302	7760	20788	0
2013-03-22	5304	5306	5279	5283	4914	21084	0
2013-03-25	5284	5305	5281	5284	4654	21340	0
2013-03-26	5281	5296	5281	5287	2466	20838	0
2013-03-27	5295	5297	5284	5288	1710	20624	0
2013-03-28	5291	5294	5276	5287	3090	20020	0
2013-03-29	5266	5277	5252	5260	6602	20964	0
2013-04-01	5258	5268	5246	5251	4820	20228	0
2013-04-02	5258	5272	5212	5262	4660	19818	0
2013-04-03	5261	5327	5240	5261	4740	19462	0
2013-04-08	5250	5278	5243	5247	3284	20062	0
2013-04-09	5256	5263	5224	5231	5960	21526	0
2013-04-10	5238	5258	5230	5256	3840	21482	0
2013-04-11	5255	5263	5248	5258	1906	21342	0
2013-04-12	5261	5278	5249	5275	5088	21176	0
2013-04-15	5273	5273	5248	5257	3710	20868	0
2013-04-16	5243	5262	5224	5258	2824	20434	0
2013-04-17	5264	5268	5254	5261	1522	19874	0
2013-04-18	5261	5267	5229	5265	2092	19942	0
2013-04-19	5267	5278	5251	5251	1734	19436	0
2013-04-22	5278	5279	5249	5254	1950	19510	0
2013-04-23	5263	5265	5255	5261	1242	19080	0
2013-04-24	5265	5278	5240	5247	4180	19668	0
2013-04-25	5241	5248	5212	5228	5090	20290	0
2013-04-26	5239	5240	5204	5226	6280	19822	0
2013-05-02	5218	5250	5213	5235	5068	19260	0
2013-05-03	5241	5261	5241	5243	1816	19056	0
2013-05-06	5245	5269	5239	5268	2548	18158	0
2013-05-07	5266	5273	5241	5245	1546	17902	0
2013-05-08	5251	5258	5245	5253	996	17710	0
2013-05-09	5253	5253	5245	5245	1298	17176	0
2013-05-10	5254	5257	5243	5254	1156	17106	0
2013-05-13	5248	5250	5230	5231	1564	17218	0
2013-05-14	5237	5250	5235	5239	1234	16614	0
2013-05-15	5240	5251	5238	5239	1148	16280	0
2013-05-16	5240	5241	5221	5233	2946	16776	0
2013-05-17	5237	5242	5229	5229	714	16564	0
2013-05-20	5234	5241	5222	5223	1346	16922	0
2013-05-21	5222	5239	5219	5227	3706	15134	0
2013-05-22	5227	5236	5215	5225	1406	15124	0
2013-05-23	5230	5230	5209	5218	2522	15122	0
2013-05-24	5219	5221	5207	5218	1970	15398	0
2013-05-27	5214	5218	5203	5205	2166	16404	0
2013-05-28	5199	5209	5189	5199	2952	16690	0
2013-05-29	5206	5221	5195	5197	1828	16016	0
2013-05-30	5203	5205	5169	5181	4350	14596	0
2013-05-31	5189	5190	5182	5184	946	14336	0
2013-06-03	5183	5191	5169	5185	1480	13956	0
2013-06-04	5185	5185	5100	5130	3970	13944	0
2013-06-05	5121	5161	5121	5154	3652	13794	0
2013-06-06	5155	5176	5130	5130	1814	13098	0
2013-06-07	5131	5142	5111	5121	2774	12630	0
2013-06-13	5121	5139	5120	5133	1418	12258	0
2013-06-14	5125	5138	5120	5135	2590	12026	0
2013-06-17	5135	5150	5131	5143	486	11786	0
2013-06-18	5145	5168	5139	5165	1194	11512	0
2013-06-19	5160	5180	5155	5180	898	11650	0
