RUL9 橡胶指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2000-01-04	9379	9412	9366	9386	1104	9834	0
2000-01-05	9402	9510	9393	9447	1306	9712	0
2000-01-06	9459	9488	9420	9476	896	9746	0
2000-01-07	9438	9575	9424	9517	1818	9852	0
2000-01-11	9511	9627	9480	9562	2482	10258	0
2000-01-12	9584	9609	9563	9568	1330	10780	0
2000-01-13	9550	9681	9495	9665	2546	11440	0
2000-01-14	9676	9792	9644	9761	3332	11886	0
2000-01-17	9800	9843	9678	9720	3484	12356	0
2000-01-18	9735	9794	9719	9750	1692	11102	0
2000-01-19	9716	9960	9716	9907	4362	11314	0
2000-01-20	9907	9949	9841	9897	3188	12030	0
2000-01-21	9913	9929	9855	9875	1700	12182	0
2000-01-24	9825	9857	9661	9733	5666	10944	0
2000-01-25	9708	9737	9585	9613	3102	11092	0
2000-01-26	9578	9629	9520	9575	2918	11182	0
2000-01-27	9559	9672	9536	9656	2526	11140	0
2000-01-28	9684	9739	9638	9672	1782	11276	0
2000-01-31	9675	9725	9563	9699	1176	11464	0
2000-02-01	9675	9788	9672	9768	1762	11512	0
2000-02-02	9730	9756	9659	9692	1718	11526	0
2000-02-14	9682	9931	9667	9909	2012	11846	0
2000-02-15	9866	9907	9819	9862	1634	12004	0
2000-02-16	9808	9849	9756	9769	2302	11170	0
2000-02-17	9707	9839	9663	9788	1400	11230	0
2000-02-18	9789	9842	9759	9773	900	11374	0
2000-02-21	9753	9779	9724	9765	670	11392	0
2000-02-22	9759	9795	9692	9711	802	11274	0
2000-02-23	9703	9767	9668	9729	1382	10984	0
2000-02-24	9739	9835	9721	9766	1258	10888	0
2000-02-25	9770	9770	9638	9678	3956	9274	0
2000-02-28	9673	9736	9664	9707	740	9140	0
2000-02-29	9686	9695	9449	9531	3300	8050	0
2000-03-01	9537	9608	9495	9543	1326	7652	0
2000-03-02	9588	9603	9550	9572	866	7072	0
2000-03-03	9550	9561	9506	9518	486	7176	0
2000-03-06	9458	9502	9431	9481	1058	6898	0
2000-03-07	9494	9523	9461	9519	644	6720	0
2000-03-08	9503	9567	9491	9522	836	6346	0
2000-03-09	9544	9551	9469	9499	346	6270	0
2000-03-10	9453	9494	9428	9457	638	6064	0
2000-03-13	9442	9487	9366	9478	940	5944	0
2000-03-14	9495	9505	9434	9462	536	5960	0
2000-03-15	9429	9450	9376	9398	742	6046	0
2000-03-16	9438	9504	9422	9484	556	5040	0
2000-03-17	9500	9515	9486	9505	370	4138	0
2000-03-20	9457	9466	9424	9450	266	5022	0
2000-03-21	9565	9576	9429	9462	192	4992	0
2000-03-22	9435	9450	9288	9297	984	4920	0
2000-03-23	9273	9300	9133	9154	1152	4924	0
2000-03-24	9113	9170	9043	9102	972	4728	0
2000-03-27	9062	9125	9050	9121	524	4758	0
