SAL9 纯碱指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2019-12-09	1566	1591	1560	1574	172434	37796	0
2019-12-10	1576	1636	1575	1636	228456	76514	0
2019-12-11	1659	1673	1639	1650	465694	72448	0
2019-12-12	1647	1655	1626	1631	249514	76042	0
2019-12-13	1633	1640	1626	1631	133778	74812	0
2019-12-16	1632	1659	1628	1634	282778	84816	0
2019-12-17	1632	1638	1614	1625	227848	78276	0
2019-12-18	1628	1652	1624	1630	198774	79606	0
2019-12-19	1632	1643	1626	1629	132970	82820	0
2019-12-20	1629	1631	1614	1614	136266	92234	0
2019-12-23	1612	1619	1600	1604	114766	91826	0
2019-12-24	1605	1617	1603	1608	63424	91582	0
2019-12-25	1608	1613	1603	1607	58832	96718	0
2019-12-26	1606	1620	1606	1614	59818	97438	0
2019-12-27	1614	1633	1612	1613	104444	97958	0
2019-12-30	1616	1642	1615	1639	80852	92434	0
2019-12-31	1639	1648	1636	1641	83172	85558	0
2020-01-02	1641	1649	1629	1634	27700	40967	0
2020-01-03	1634	1642	1629	1639	24010	40212	0
2020-01-06	1640	1654	1638	1645	43054	38613	0
2020-01-07	1647	1647	1631	1635	19805	37763	0
2020-01-08	1634	1645	1633	1638	20954	37574	0
2020-01-09	1639	1642	1628	1639	28655	34551	0
2020-01-10	1644	1679	1641	1663	175497	44825	0
2020-01-13	1663	1664	1651	1658	31015	42792	0
2020-01-14	1661	1665	1653	1658	24327	41388	0
2020-01-15	1659	1694	1659	1668	132712	44440	0
2020-01-16	1674	1682	1669	1671	34791	41782	0
2020-01-17	1676	1687	1671	1681	40778	42883	0
2020-01-20	1680	1681	1661	1671	32403	38081	0
2020-01-21	1672	1677	1659	1659	18038	37363	0
2020-01-22	1648	1652	1636	1647	35079	30690	0
2020-01-23	1650	1655	1599	1621	25460	26580	0
2020-02-03	1540	1553	1517	1527	31802	21822	0
2020-02-04	1535	1568	1534	1568	20640	22578	0
2020-02-05	1564	1575	1558	1567	19435	25425	0
2020-02-06	1568	1584	1567	1582	14486	23427	0
2020-02-07	1579	1600	1579	1582	11384	24166	0
2020-02-10	1580	1585	1570	1577	7282	24362	0
2020-02-11	1577	1589	1574	1588	10330	24075	0
2020-02-12	1585	1595	1580	1586	9803	25308	0
2020-02-13	1587	1594	1582	1589	8725	25800	0
2020-02-14	1588	1591	1581	1587	5951	25597	0
2020-02-17	1587	1597	1586	1596	7796	25966	0
2020-02-18	1596	1598	1592	1594	5369	25527	0
2020-02-19	1594	1601	1594	1598	4623	24984	0
2020-02-20	1600	1601	1582	1598	13678	26703	0
2020-02-21	1590	1599	1584	1591	16195	27730	0
2020-02-24	1587	1601	1580	1598	16837	28504	0
2020-02-25	1596	1639	1595	1616	57150	32136	0
2020-02-26	1615	1617	1592	1595	26167	29486	0
2020-02-27	1597	1598	1583	1590	15064	29119	0
2020-02-28	1580	1588	1562	1579	16675	29461	0
2020-03-02	1578	1604	1577	1599	15833	30083	0
2020-03-03	1600	1610	1583	1585	18411	32193	0
2020-03-04	1591	1593	1583	1587	6829	32040	0
2020-03-05	1587	1587	1563	1569	23537	36264	0
2020-03-06	1568	1570	1558	1565	15686	36316	0
2020-03-09	1526	1550	1517	1542	30337	34830	0
2020-03-10	1544	1562	1544	1555	13602	34329	0
2020-03-11	1554	1579	1550	1557	18569	35667	0
2020-03-12	1559	1559	1540	1541	11529	34829	0
2020-03-13	1538	1546	1531	1537	14470	34410	0
2020-03-16	1541	1545	1526	1526	14561	34374	0
2020-03-17	1521	1524	1504	1506	20134	34291	0
2020-03-18	1505	1516	1488	1489	21884	32706	0
2020-03-19	1494	1494	1445	1465	32861	25905	0
2020-03-20	1472	1483	1462	1474	12224	26481	0
2020-03-23	1458	1459	1438	1449	18734	25078	0
2020-03-24	1456	1457	1433	1447	12644	24373	0
2020-03-25	1452	1458	1441	1443	9360	25577	0
2020-03-26	1441	1441	1419	1424	18639	26157	0
2020-03-27	1426	1426	1405	1415	18064	24191	0
2020-03-30	1412	1412	1373	1376	17800	22796	0
2020-03-31	1381	1415	1378	1401	19459	21433	0
2020-04-01	1395	1408	1395	1403	11293	20515	0
2020-04-02	1406	1422	1401	1417	16810	20102	0
2020-04-03	1418	1421	1385	1398	13350	18058	0
2020-04-07	1408	1418	1395	1403	20291	20948	0
2020-04-08	1404	1420	1398	1410	18619	22565	0
2020-04-09	1415	1423	1410	1422	16202	24628	0
2020-04-10	1418	1421	1402	1406	19173	23417	0
2020-04-13	1405	1415	1373	1374	29180	24562	0
2020-04-14	1390	1392	1361	1392	28885	23689	0
2020-04-15	1382	1432	1382	1431	36979	28546	0
2020-04-16	1441	1476	1410	1414	166627	37893	0
2020-04-17	1438	1438	1408	1425	62815	33934	0
2020-04-20	1419	1459	1419	1449	83051	34590	0
2020-04-21	1443	1450	1422	1429	44901	27562	0
2020-04-22	1426	1432	1409	1426	27482	24529	0
2020-04-23	1431	1457	1427	1446	40058	26195	0
2020-04-24	1445	1451	1435	1443	22229	23944	0
2020-04-27	1440	1457	1440	1446	24605	24603	0
2020-04-28	1443	1444	1420	1420	21806	21918	0
2020-04-29	1429	1435	1406	1409	22462	22367	0
2020-04-30	1413	1422	1403	1417	24140	21917	0
2020-05-06	1412	1446	1412	1427	17430	23339	0
2020-05-07	1427	1437	1424	1431	23281	26936	0
2020-05-08	1434	1436	1417	1423	31765	30930	0
2020-05-11	1420	1423	1390	1405	70335	42538	0
2020-05-12	1405	1419	1399	1416	48410	43173	0
2020-05-13	1415	1435	1409	1421	115417	47608	0
2020-05-14	1423	1426	1409	1416	46049	49373	0
2020-05-15	1419	1434	1418	1429	51514	49575	0
2020-05-18	1428	1448	1428	1442	62911	51006	0
2020-05-19	1444	1455	1434	1436	49773	52304	0
2020-05-20	1438	1456	1434	1453	35330	52909	0
2020-05-21	1454	1460	1448	1453	32657	52780	0
2020-05-22	1455	1455	1422	1425	57056	50887	0
2020-05-25	1427	1444	1412	1443	90576	58700	0
2020-05-26	1443	1475	1443	1465	170890	69386	0
2020-05-27	1465	1479	1444	1461	145274	68524	0
2020-05-28	1462	1470	1455	1464	67987	69364	0
2020-05-29	1467	1488	1465	1478	114437	69327	0
2020-06-01	1477	1486	1472	1478	74207	72089	0
2020-06-02	1478	1479	1459	1472	57143	71579	0
2020-06-03	1474	1487	1469	1486	67894	77331	0
2020-06-04	1488	1491	1465	1468	63874	73746	0
2020-06-05	1470	1474	1467	1473	39468	75349	0
2020-06-08	1476	1480	1465	1469	47221	76179	0
2020-06-09	1469	1470	1437	1439	94461	85503	0
2020-06-10	1437	1448	1435	1436	52706	84480	0
2020-06-11	1433	1441	1430	1435	58883	86926	0
2020-06-12	1430	1448	1428	1440	83704	87344	0
2020-06-15	1444	1460	1437	1450	70847	84671	0
2020-06-16	1451	1456	1442	1453	48711	82174	0
2020-06-17	1456	1458	1441	1445	38995	80459	0
2020-06-18	1445	1447	1435	1437	40829	83539	0
2020-06-19	1438	1445	1433	1445	40863	83359	0
2020-06-22	1447	1448	1437	1441	33753	85350	0
2020-06-23	1441	1443	1430	1432	44657	90904	0
2020-06-24	1431	1434	1403	1407	87170	98478	0
2020-06-29	1400	1412	1388	1400	50186	98802	0
2020-06-30	1402	1410	1392	1398	65442	114728	0
2020-07-01	1396	1399	1363	1373	140250	143366	0
2020-07-02	1368	1378	1364	1377	99399	146873	0
2020-07-03	1376	1386	1375	1382	85067	150439	0
2020-07-06	1383	1389	1378	1388	76648	148649	0
2020-07-07	1388	1389	1374	1376	84697	148537	0
2020-07-08	1374	1399	1374	1398	112772	147633	0
2020-07-09	1401	1406	1394	1402	88143	147212	0
2020-07-10	1403	1405	1390	1398	65016	143380	0
2020-07-13	1400	1425	1396	1407	140566	146753	0
2020-07-14	1407	1413	1385	1398	77971	146355	0
2020-07-15	1398	1405	1388	1393	75485	155317	0
2020-07-16	1394	1396	1383	1385	82216	159636	0
