SCL9 原油指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2018-03-27	429.6	430.3	413.1	422.7	41140	4444	0.0
2018-03-28	426.5	426.6	405.8	409.2	68866	7250	0.0
2018-03-29	410.4	410.9	401.0	408.6	67068	8930	0.0
2018-03-30	406.2	419.9	404.3	419.0	58824	8198	0.0
2018-04-02	417.4	419.6	412.8	415.3	24888	7664	0.0
2018-04-03	410.9	410.9	400.0	401.6	53030	9702	0.0
2018-04-04	404.1	404.2	399.2	400.7	44350	10350	0.0
2018-04-09	397.9	402.6	397.5	401.6	15572	10682	0.0
2018-04-10	403.1	414.1	402.8	412.6	61832	10124	0.0
2018-04-11	413.3	420.9	413.2	417.1	66604	13502	0.0
2018-04-12	419.5	429.1	416.6	428.1	110310	15488	0.0
2018-04-13	425.1	427.9	422.9	426.4	63384	14376	0.0
2018-04-16	428.7	430.1	423.0	423.9	65620	14340	0.0
2018-04-17	424.9	426.7	421.1	426.7	55164	13818	0.0
2018-04-18	421.4	430.7	420.2	429.1	80416	15440	0.0
2018-04-19	434.6	440.9	432.7	440.1	84942	16670	0.0
2018-04-20	441.9	442.2	435.0	436.2	68548	16340	0.0
2018-04-23	434.9	440.4	432.1	439.2	70392	16712	0.0
2018-04-24	432.9	448.7	432.5	446.9	91824	19040	0.0
2018-04-25	446.2	448.4	436.3	437.6	99138	16852	0.0
2018-04-26	437.7	444.4	434.3	441.0	109334	16956	0.0
2018-04-27	443.1	445.0	440.5	443.8	80766	17024	0.0
2018-05-02	439.4	443.8	438.6	443.0	33700	18218	0.0
2018-05-03	441.1	447.6	438.9	446.6	111270	22362	0.0
2018-05-04	444.3	448.3	442.6	446.5	100736	21436	0.0
2018-05-07	449.1	461.0	448.2	458.0	135246	23882	0.0
2018-05-08	461.0	462.0	456.7	458.7	111088	24544	0.0
2018-05-09	459.0	466.1	445.2	464.8	244622	26954	0.0
2018-05-10	466.5	477.4	465.6	475.9	166004	32022	0.0
2018-05-11	473.0	473.0	466.8	470.8	166162	29544	0.0
2018-05-14	470.9	472.1	462.6	465.2	168392	25876	0.0
2018-05-15	469.0	474.2	467.6	472.4	150328	29152	0.0
2018-05-16	475.6	476.9	470.2	472.7	194000	27158	0.0
2018-05-17	472.1	484.7	470.2	481.4	220454	32324	0.0
2018-05-18	483.9	488.1	481.6	486.0	179524	31260	0.0
2018-05-21	484.2	485.2	476.9	482.1	175926	28202	0.0
2018-05-22	479.4	486.1	478.7	484.8	133112	30358	0.0
2018-05-23	485.2	493.2	482.4	484.3	218290	32244	0.0
2018-05-24	484.3	487.0	478.1	484.7	217432	31708	0.0
2018-05-25	480.0	483.4	476.4	477.2	180852	32294	0.0
2018-05-28	467.0	470.2	456.6	462.6	245910	31656	0.0
2018-05-29	462.1	465.7	459.2	463.7	145324	31508	0.0
2018-05-30	466.6	467.9	458.6	463.6	224278	32114	0.0
2018-05-31	465.0	476.4	465.0	472.2	234720	35188	0.0
2018-06-01	473.7	483.0	470.9	474.4	275182	35296	0.0
2018-06-04	472.6	472.7	467.4	470.5	202292	32512	0.0
2018-06-05	468.6	471.1	461.4	465.9	212510	31654	0.0
2018-06-06	461.8	466.4	455.7	464.8	238658	34480	0.0
2018-06-07	461.5	465.4	457.9	465.4	251928	34668	0.0
2018-06-08	467.0	473.9	466.4	468.1	228718	35632	0.0
2018-06-11	469.3	472.8	466.6	467.3	192936	34186	0.0
2018-06-12	465.0	472.6	463.8	471.8	235614	35212	0.0
2018-06-13	468.5	471.0	462.9	464.3	218010	33536	0.0
