SFL9 硅铁指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2014-08-11	5768	5882	5768	5832	107394	34066	0
2014-08-12	5810	5956	5808	5912	234376	47330	0
2014-08-13	5920	5946	5880	5926	119426	47400	0
2014-08-14	5918	5936	5710	5740	143398	36004	0
2014-08-15	5742	5780	5730	5774	64034	34098	0
2014-08-18	5776	5796	5730	5748	48504	34318	0
2014-08-19	5740	5780	5690	5776	39738	32920	0
2014-08-20	5766	5766	5696	5730	47612	34130	0
2014-08-21	5764	5778	5722	5742	15614	33624	0
2014-08-22	5726	5752	5706	5716	27884	34100	0
2014-08-25	5702	5742	5676	5738	40218	30192	0
2014-08-26	5744	5766	5726	5752	15466	25024	0
2014-08-27	5760	5788	5754	5766	16106	22134	0
2014-08-28	5760	5780	5736	5780	12030	20998	0
2014-08-29	5770	5810	5756	5800	16408	20344	0
2014-09-01	5806	5828	5778	5778	22756	21796	0
2014-09-02	5764	5798	5718	5762	34932	25286	0
2014-09-03	5772	5792	5752	5754	10796	25174	0
2014-09-04	5748	5788	5722	5766	13060	24934	0
2014-09-05	5778	5784	5738	5752	10662	25368	0
2014-09-09	5738	5752	5648	5662	35450	33182	0
2014-09-10	5652	5786	5638	5710	25318	27886	0
2014-09-11	5706	5714	5686	5698	8212	27634	0
2014-09-12	5690	5736	5690	5728	5194	26184	0
2014-09-15	5718	5786	5716	5776	8818	24670	0
2014-09-16	5790	5808	5758	5764	6632	23086	0
2014-09-17	5778	5786	5762	5778	2510	23068	0
2014-09-18	5782	5782	5754	5758	3986	22556	0
2014-09-19	5752	5756	5694	5700	11902	22146	0
2014-09-22	5676	5680	5510	5540	20988	22620	0
2014-09-23	5552	5592	5522	5562	11390	22696	0
2014-09-24	5570	5640	5556	5590	6294	21352	0
2014-09-25	5618	5634	5444	5468	31008	24120	0
2014-09-26	5452	5536	5450	5500	13182	23416	0
2014-09-29	5516	5540	5462	5538	6678	22258	0
2014-09-30	5558	5586	5534	5572	6990	19122	0
2014-10-08	5618	5624	5536	5556	3120	19266	0
2014-10-09	5538	5646	5532	5636	5928	18912	0
2014-10-10	5614	5640	5584	5594	4890	18230	0
2014-10-13	5630	5696	5616	5630	13556	16480	0
2014-10-14	5622	5630	5564	5580	6474	16066	0
2014-10-15	5582	5608	5532	5536	6656	16100	0
2014-10-16	5532	5580	5524	5570	6804	15106	0
2014-10-17	5618	5622	5566	5588	3240	14488	0
