SML9 锰硅指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2014-08-11	6454	6518	6416	6450	85460	28100	0
2014-08-12	6426	6500	6404	6414	94142	34310	0
2014-08-13	6414	6454	6390	6424	43114	30718	0
2014-08-14	6418	6464	6354	6396	84526	30484	0
2014-08-15	6402	6426	6390	6412	28878	25008	0
2014-08-18	6418	6474	6400	6406	38546	21580	0
2014-08-19	6400	6410	6366	6388	22580	20890	0
2014-08-20	6382	6408	6356	6386	15940	21186	0
2014-08-21	6392	6404	6364	6372	6266	19958	0
2014-08-22	6372	6398	6368	6392	12854	13778	0
2014-08-25	6390	6442	6382	6430	24550	13566	0
2014-08-26	6434	6438	6404	6430	7486	12344	0
2014-08-27	6438	6450	6390	6390	10268	10038	0
2014-08-28	6392	6400	6362	6372	9022	10206	0
2014-08-29	6378	6382	6360	6364	3994	9046	0
2014-09-01	6364	6380	6360	6370	5310	10480	0
2014-09-02	6350	6362	6326	6338	5962	11948	0
2014-09-03	6320	6344	6320	6332	4740	13754	0
2014-09-04	6330	6348	6310	6330	3942	13618	0
2014-09-05	6336	6342	6324	6324	2214	14462	0
2014-09-09	6320	6322	6274	6290	6732	16906	0
2014-09-10	6244	6300	6244	6294	4494	16660	0
2014-09-11	6292	6294	6260	6260	1696	16712	0
2014-09-12	6266	6282	6250	6282	1312	16876	0
2014-09-15	6266	6340	6264	6340	2730	16016	0
2014-09-16	6338	6346	6302	6302	1338	16060	0
2014-09-17	6322	6322	6286	6290	788	16128	0
2014-09-18	6274	6290	6244	6248	2030	16432	0
2014-09-19	6246	6246	6110	6120	2208	16820	0
2014-09-22	6072	6088	6002	6026	5446	16920	0
2014-09-23	6022	6120	6022	6036	1182	16880	0
2014-09-24	6040	6102	6030	6094	1262	16810	0
2014-09-25	6102	6126	5980	6010	4284	17974	0
2014-09-26	5994	6052	5944	6042	1988	17576	0
2014-09-29	6036	6076	6012	6066	1082	17278	0
2014-09-30	6090	6092	6050	6080	492	17050	0
2014-10-08	6162	6162	6070	6078	606	16976	0
2014-10-09	6072	6168	6072	6164	1738	16850	0
2014-10-10	6152	6166	6120	6142	934	16678	0
2014-10-13	6146	6312	6146	6234	2908	16488	0
2014-10-14	6242	6246	6166	6196	1126	16094	0
2014-10-15	6196	6206	6156	6172	968	16114	0
2014-10-16	6130	6180	6120	6156	938	16020	0
2014-10-17	6178	6292	6178	6206	1656	15928	0
2014-10-20	6164	6208	6164	6176	1040	15790	0
2014-10-21	6164	6196	6164	6186	580	15694	0
2014-10-22	6166	6202	6132	6134	1048	15628	0
2014-10-23	6134	6186	6118	6184	730	15572	0
2014-10-24	6220	6220	6182	6206	970	15322	0
2014-10-27	6204	6216	6178	6188	512	15218	0
2014-10-28	6198	6202	6180	6188	402	15108	0
2014-10-29	6172	6210	6172	6198	496	14872	0
2014-10-30	6204	6208	6172	6172	602	14786	0
2014-10-31	6186	6188	6122	6142	588	14820	0
2014-11-03	6118	6166	6116	6166	1412	14960	0
2014-11-04	6148	6232	6138	6186	1536	14934	0
2014-11-05	6192	6206	6166	6166	688	14886	0
2014-11-06	6160	6208	6154	6194	454	14904	0
2014-11-07	6214	6218	6182	6198	284	14824	0
