SNL9 沪锡指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2015-03-30	118680	119530	115660	118070	2518	852	0
2015-03-31	117210	119740	115990	118150	4522	1198	0
2015-04-01	117770	118860	117080	117910	4390	1300	0
2015-04-02	118240	119060	117980	118610	2728	1066	0
2015-04-03	118860	119430	118540	118830	1394	1030	0
2015-04-07	118870	119060	118270	118840	848	934	0
2015-04-08	118690	118880	117190	117880	860	782	0
2015-04-09	117660	117990	116550	116840	820	830	0
2015-04-10	116560	117020	115400	116050	2438	952	0
2015-04-13	116020	116330	115340	115990	1628	1044	0
2015-04-14	115620	115710	112360	112360	5594	1934	0
2015-04-15	113300	114170	112920	113890	4132	1732	0
2015-04-16	112610	113720	112150	112930	3874	2002	0
2015-04-17	112460	112870	109350	110030	11364	3650	0
2015-04-20	111510	112970	111150	111470	10568	2724	0
2015-04-21	111600	111890	111130	111580	3456	3036	0
2015-04-22	112990	113300	112430	112960	5892	2812	0
2015-04-23	113020	113760	112970	113320	3334	2538	0
2015-04-24	112940	113960	112940	113950	2100	2592	0
2015-04-27	114600	117930	114540	117930	17026	3160	0
2015-04-28	117730	118540	116550	117410	32078	4536	0
2015-04-29	117510	117730	115150	115410	10638	4718	0
2015-04-30	115770	119850	115100	117640	17800	5662	0
2015-05-04	117370	119510	117370	118800	8868	6152	0
2015-05-05	119040	119760	118010	118670	13080	6476	0
2015-05-06	119730	123670	119730	123390	32870	8744	0
2015-05-07	122940	125860	121490	121990	52038	7908	0
2015-05-08	122510	122890	120060	121380	22228	7688	0
2015-05-11	121200	122700	120760	122410	13936	7926	0
2015-05-12	120770	121920	119720	119990	17452	7798	0
2015-05-13	120830	121090	120020	120700	10468	7464	0
2015-05-14	120430	122430	117860	119490	31390	7544	0
2015-05-15	119260	119720	118640	119110	11010	7722	0
2015-05-18	118770	119950	118750	119280	11756	7618	0
2015-05-19	119530	119530	118100	118170	7610	7042	0
2015-05-20	117810	118020	114250	115880	27676	6446	0
2015-05-21	116590	120310	116330	119180	38406	7278	0
2015-05-22	119240	119700	116980	118040	24022	7004	0
2015-05-25	117360	119790	117080	117670	25838	7252	0
2015-05-26	117800	119620	117800	118400	18940	7136	0
2015-05-27	117210	117760	116410	116750	18150	7692	0
2015-05-28	116400	117610	116200	117070	15560	7278	0
2015-05-29	117010	117010	115830	116260	9282	6704	0
2015-06-01	115960	116450	115840	116230	4562	6302	0
2015-06-02	116340	117040	115990	116700	4260	6416	0
2015-06-03	116790	116990	115290	115870	3902	6200	0
2015-06-04	115910	115930	114830	115030	3784	6070	0
2015-06-05	115120	115210	114510	114540	1582	6190	0
2015-06-08	114320	115130	114160	114930	2292	6102	0
2015-06-09	114860	115680	114850	115250	2518	6090	0
2015-06-10	115530	115670	115090	115620	1492	6132	0
2015-06-11	115710	115840	115490	115640	1332	5992	0
2015-06-12	114850	115050	113800	113920	3776	5370	0
2015-06-15	113770	113870	113100	113340	1488	5144	0
2015-06-16	112200	112800	111990	112010	2098	5220	0
2015-06-17	112170	112340	111500	111890	1480	5140	0
2015-06-18	112300	112720	112050	112610	976	4988	0
2015-06-19	112910	114390	112590	113810	1790	4938	0
2015-06-23	113530	114410	113530	114350	1000	4826	0
2015-06-24	114060	114330	113080	113640	1326	4716	0
2015-06-25	113400	113860	110830	111990	2198	4638	0
2015-06-26	112240	112240	110880	111260	3032	5030	0
2015-06-29	110440	111620	109770	110510	2926	5598	0
2015-06-30	109680	110160	106650	106950	4796	6040	0
2015-07-01	107420	108320	105750	107660	3362	6486	0
2015-07-02	107940	109580	107320	109270	2892	6342	0
2015-07-03	109340	111100	109030	109440	2644	6444	0
2015-07-06	108600	109230	106960	107200	2338	6394	0
2015-07-07	108220	108600	106430	107570	2812	6314	0
2015-07-08	106050	106250	103040	103040	4264	6312	0
2015-07-09	104950	108670	103930	107740	3698	5806	0
2015-07-10	107200	108970	106680	107840	4052	6034	0
2015-07-13	107840	108180	106380	106900	2238	5954	0
2015-07-14	107350	109090	107110	108450	2874	5702	0
2015-07-15	108720	109360	108460	109070	2298	5624	0
2015-07-16	109540	109540	108200	109340	1954	2922	0
2015-07-17	109700	110440	109320	110260	2298	3026	0
2015-07-20	111520	112130	110880	111480	6420	2992	0
2015-07-21	111660	111760	110940	111090	3334	2782	0
2015-07-22	110970	111310	109070	109240	2264	2746	0
2015-07-23	108990	109310	108400	109080	1618	2790	0
2015-07-24	109400	109430	108360	108430	1486	2740	0
2015-07-27	108560	110850	107610	108530	3608	2754	0
2015-07-28	108700	109930	108340	109840	1918	2736	0
2015-07-29	111270	111980	110800	111730	3250	2646	0
2015-07-30	111570	111700	110170	110210	2920	2584	0
2015-07-31	110140	111130	109960	110030	1286	2584	0
2015-08-03	110630	111150	109260	109260	1764	2546	0
2015-08-04	109100	109260	108100	108780	1700	2396	0
2015-08-05	108820	109030	107270	107800	1136	2460	0
2015-08-06	107710	108330	106760	107470	1572	2432	0
2015-08-07	107700	108100	107120	107570	922	2400	0
2015-08-10	107010	108020	106990	107910	1018	2308	0
2015-08-11	107500	110380	107410	108560	1312	2190	0
2015-08-12	108490	108500	107570	108340	1192	2232	0
2015-08-13	108350	108930	107680	107910	1594	2184	0
2015-08-14	107900	108290	107500	107500	648	2184	0
2015-08-17	108380	108590	107430	107600	1016	2258	0
2015-08-18	107850	108000	107270	107550	610	2034	0
2015-08-19	107270	107680	107080	107580	876	1892	0
2015-08-20	107730	108090	107240	107470	666	1834	0
2015-08-21	107610	107850	105790	105800	868	1844	0
2015-08-24	104890	105870	102530	102620	1584	1848	0
2015-08-25	101510	102280	100890	101390	978	1824	0
2015-08-26	101580	102180	101090	101090	734	1780	0
2015-08-27	100820	101370	99480	100550	678	1750	0
2015-08-28	100370	102880	100350	101550	1558	1740	0
2015-08-31	101570	102310	99820	100520	1032	1750	0
2015-09-01	100940	101040	100310	100460	156	1728	0
2015-09-02	100800	101200	99090	100250	432	1804	0
2015-09-07	100140	100830	99390	100690	268	1720	0
2015-09-08	100520	101120	99630	101120	270	1730	0
2015-09-09	100400	103040	100390	101060	1180	1838	0
2015-09-10	101690	101870	100900	101640	1436	1896	0
2015-09-11	101490	102780	101490	102320	1334	2126	0
2015-09-14	102590	102760	101240	101340	688	2112	0
2015-09-15	101540	101670	100570	100690	594	2180	0
2015-09-16	101060	102030	100850	101690	472	1572	0
2015-09-17	101910	102180	101560	101570	326	1578	0
2015-09-18	101500	101720	101170	101170	406	1478	0
2015-09-21	100300	100790	99770	100260	804	1498	0
2015-09-22	100180	100180	99110	99110	536	1484	0
2015-09-23	98490	99120	98200	98730	652	1464	0
2015-09-24	98390	98770	97900	98570	350	1494	0
2015-09-25	98360	98970	98360	98660	452	1482	0
2015-09-28	98730	98730	96490	97140	802	1524	0
2015-09-29	96710	97220	96310	96820	804	1554	0
2015-09-30	96910	97740	96750	96870	592	1624	0
2015-10-08	97430	98750	97210	97740	384	1608	0
2015-10-09	97190	98800	97190	98630	1278	1806	0
2015-10-12	98950	99000	98120	98680	864	1970	0
2015-10-13	98760	99300	98390	98500	1454	2324	0
2015-10-14	98050	98550	97540	97710	1072	2532	0
2015-10-15	97760	100250	97600	99090	2830	3180	0
2015-10-16	99410	99560	97370	98530	2108	2556	0
2015-10-19	98470	99350	97400	98100	1976	2440	0
2015-10-20	97990	98560	97770	98240	790	2552	0
2015-10-21	98880	99200	98330	98430	2094	2910	0
2015-10-22	97880	98860	97880	98500	1120	2886	0
2015-10-23	98410	98670	97540	98480	1918	2834	0
2015-10-26	98540	98720	97310	97470	2420	2832	0
2015-10-27	96910	97790	96390	97220	2694	2978	0
2015-10-28	97070	97280	94770	95110	2164	3340	0
2015-10-29	94890	95870	94360	94580	4468	3738	0
2015-10-30	94280	94400	92800	93370	5634	4230	0
2015-11-02	93220	93900	93170	93610	2962	3912	0
2015-11-03	93610	94430	93230	93290	1226	3600	0
2015-11-04	93290	93570	92710	93030	1520	3616	0
2015-11-05	93020	93800	92820	93260	2108	3498	0
2015-11-06	92850	92920	91280	91900	3478	3670	0
2015-11-09	91840	92120	91350	91610	2482	3566	0
2015-11-10	91540	91600	89950	90830	2584	3572	0
2015-11-11	90580	90650	89920	90130	2654	3808	0
2015-11-12	90180	91210	90120	90910	2260	3968	0
2015-11-13	90200	90880	89650	89920	2782	3886	0
