SPL9 纸浆指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2018-11-28	5282	5308	5144	5182	1052692	110136	0
2018-11-29	5172	5286	5118	5180	1011342	123652	0
2018-11-30	5194	5210	5116	5142	912050	148070	0
2018-12-03	5148	5254	4968	4976	1449330	225246	0
2018-12-04	5002	5106	4984	5054	1152400	205746	0
2018-12-05	5050	5148	5036	5128	1529330	185554	0
2018-12-06	5142	5252	5120	5120	1656822	190878	0
2018-12-07	5092	5194	5076	5126	1319878	194840	0
2018-12-10	5142	5206	5126	5152	1114422	194276	0
2018-12-11	5156	5180	5064	5082	1042492	199062	0
2018-12-12	5098	5138	5092	5122	607484	180756	0
2018-12-13	5126	5142	5084	5112	698196	168468	0
2018-12-14	5112	5148	5090	5116	583294	161044	0
2018-12-17	5108	5132	5096	5116	334206	162624	0
2018-12-18	5114	5144	5098	5110	299568	164956	0
2018-12-19	5108	5128	5022	5046	473256	176314	0
2018-12-20	5054	5066	5030	5050	208552	169216	0
2018-12-21	5050	5056	5014	5032	274728	170746	0
2018-12-24	5032	5048	4954	4970	403546	205218	0
2018-12-25	4970	5020	4962	4984	390200	183896	0
2018-12-26	4988	4996	4904	4922	485218	198194	0
2018-12-27	4928	4980	4926	4934	250548	180002	0
2018-12-28	4926	5036	4920	5026	216820	159416	0
2019-01-02	5022	5102	4990	5066	329884	184466	0
2019-01-03	5060	5094	5050	5068	252736	176312	0
2019-01-04	5060	5216	5060	5124	613574	165526	0
2019-01-07	5134	5170	5100	5154	343138	156916	0
2019-01-08	5156	5174	5124	5140	228296	154806	0
2019-01-09	5150	5324	5146	5290	705516	168010	0
2019-01-10	5288	5350	5248	5260	704030	162110	0
2019-01-11	5262	5316	5242	5312	407878	161962	0
2019-01-14	5314	5358	5270	5282	513926	157924	0
2019-01-15	5280	5282	5202	5230	472108	156064	0
2019-01-16	5228	5308	5224	5306	402922	153854	0
2019-01-17	5300	5330	5272	5302	430046	161648	0
2019-01-18	5288	5402	5252	5368	727322	163262	0
2019-01-21	5378	5460	5360	5436	627036	163758	0
2019-01-22	5432	5520	5406	5418	691892	157512	0
2019-01-23	5418	5456	5390	5430	453732	160680	0
2019-01-24	5440	5468	5358	5384	537250	161806	0
2019-01-25	5378	5448	5352	5400	441022	150558	0
2019-01-28	5388	5420	5308	5318	463850	153416	0
2019-01-29	5326	5348	5300	5310	309582	148554	0
2019-01-30	5318	5360	5300	5306	269280	135808	0
2019-01-31	5314	5416	5270	5412	458558	126944	0
2019-02-01	5408	5522	5398	5456	557572	101246	0
2019-02-11	5450	5494	5380	5398	221510	109410	0
2019-02-12	5418	5500	5416	5492	350018	139054	0
2019-02-13	5504	5506	5422	5446	393152	132314	0
