SRL9 白糖指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2006-01-06	4726	4802	4720	4737	28522	0	0
2006-01-09	4737	4752	4703	4710	7452	0	0
2006-01-10	4681	4742	4643	4737	9258	0	0
2006-01-11	4737	4749	4676	4693	12614	0	0
2006-01-12	4683	4685	4648	4651	8072	0	0
2006-01-13	4650	4664	4616	4620	6876	0	0
2006-01-16	4691	4822	4685	4820	29874	0	0
2006-01-17	4825	4856	4809	4816	31148	0	0
2006-01-18	4851	4983	4837	4957	52556	0	0
2006-01-19	4970	5058	4961	4997	65504	0	0
2006-01-20	5085	5181	5082	5178	55076	0	0
2006-01-23	5334	5342	5334	5342	932	0	0
2006-01-24	5475	5666	5442	5665	67768	0	0
2006-01-25	5667	5795	5575	5697	70776	0	0
2006-01-26	5723	5923	5672	5920	84504	0	0
2006-01-27	6043	6047	5941	6016	61312	0	0
2006-02-06	6238	6239	6184	6238	17960	0	0
2006-02-07	6100	6100	5985	5985	8920	0	0
2006-02-08	5659	5661	5659	5659	3096	0	0
2006-02-09	5616	5872	5515	5667	79582	0	0
2006-02-10	5486	5596	5484	5484	50816	0	0
2006-02-13	5392	5443	5305	5343	80680	0	0
2006-02-14	5403	5478	5398	5471	65068	0	0
2006-02-15	5457	5532	5429	5498	71898	0	0
2006-02-16	5477	5534	5466	5469	79664	0	0
2006-02-17	5407	5443	5300	5385	59440	0	0
2006-02-20	5400	5474	5373	5449	47126	0	0
2006-02-21	5508	5556	5416	5553	61066	0	0
2006-02-22	5560	5681	5525	5636	117458	0	0
2006-02-23	5723	5740	5551	5561	121808	0	0
2006-02-24	5430	5501	5427	5438	83468	0	0
2006-02-27	5457	5473	5334	5338	84102	0	0
2006-02-28	5194	5228	5186	5186	51166	0	0
2006-03-01	5238	5272	5054	5057	112696	0	0
2006-03-02	5037	5176	5034	5156	116834	0	0
2006-03-03	5166	5209	5133	5197	115332	0	0
2006-03-06	5219	5270	5164	5214	111836	0	0
2006-03-07	5257	5307	5109	5122	151256	0	0
2006-03-08	5089	5107	5010	5026	123804	0	0
2006-03-09	4959	5070	4941	5048	143380	0	0
2006-03-10	5010	5063	4974	5003	159238	0	0
2006-03-13	5043	5046	4993	5000	88582	0	0
2006-03-14	5024	5027	4947	4954	82028	0	0
2006-03-15	4938	4989	4932	4946	97702	0	0
2006-03-16	4961	5025	4948	5022	140066	0	0
2006-03-17	5016	5097	4987	5079	149438	0	0
2006-03-20	5062	5102	4923	4931	196230	0	0
2006-03-21	4950	5006	4910	4965	176126	0	0
2006-03-22	5007	5092	5007	5073	203958	0	0
2006-03-23	5023	5057	5008	5022	183850	0	0
2006-03-24	5035	5087	5035	5073	158118	0	0
2006-03-27	5107	5151	5085	5106	152296	0	0
2006-03-28	5122	5153	5052	5059	170946	0	0
2006-03-29	5101	5152	5086	5097	182260	0	0
2006-03-30	5075	5112	5062	5068	174840	0	0
2006-03-31	5074	5092	5050	5079	123116	0	0
2006-04-03	5026	5043	4900	4915	157932	0	0
2006-04-04	4947	4976	4918	4960	157972	0	0
2006-04-05	4906	4913	4774	4812	169212	0	0
2006-04-06	4821	4849	4788	4835	169696	0	0
2006-04-07	4825	4842	4806	4813	96516	0	0
2006-04-10	4716	4733	4638	4647	117384	0	0
2006-04-11	4620	4680	4620	4679	114876	0	0
2006-04-12	4676	4742	4663	4731	128728	0	0
2006-04-13	4695	4695	4584	4594	144094	0	0
2006-04-14	4562	4564	4514	4516	137734	0	0
2006-04-17	4460	4577	4455	4564	202922	0	0
2006-04-18	4605	4696	4567	4696	148788	0	0
2006-04-19	4894	4894	4814	4855	145512	0	0
2006-04-20	4803	4809	4753	4754	140538	0	0
2006-04-21	4655	4674	4590	4604	133802	0	0
2006-04-24	4659	4825	4659	4738	263534	0	0
2006-04-25	4643	4735	4629	4678	257624	0	0
2006-04-26	4625	4723	4618	4713	224718	0	0
2006-04-27	4725	4758	4710	4739	151414	0	0
2006-04-28	4722	4744	4707	4743	103274	0	0
2006-05-08	4776	4806	4716	4739	149694	0	0
2006-05-09	4704	4763	4703	4732	124628	0	0
2006-05-10	4783	4795	4755	4762	95958	0	0
2006-05-11	4746	4968	4746	4960	157050	0	0
2006-05-12	4986	5145	4854	4914	221052	0	0
2006-05-15	4934	5162	4929	5119	279352	0	0
2006-05-16	4907	5003	4850	4851	215214	0	0
2006-05-17	4911	4939	4804	4886	216428	0	0
2006-05-18	4819	4835	4753	4757	153380	0	0
2006-05-19	4617	4688	4612	4658	120332	0	0
2006-05-22	4672	4740	4659	4699	174766	0	0
2006-05-23	4739	4853	4739	4808	169756	0	0
2006-05-24	4911	4928	4829	4834	268196	0	0
2006-05-25	4763	4782	4712	4751	114672	0	0
2006-05-26	4769	4818	4769	4811	170822	0	0
2006-05-29	4721	4803	4706	4794	152908	0	0
2006-05-30	4800	4845	4734	4740	176960	0	0
2006-05-31	4767	4793	4736	4737	187794	0	0
2006-06-01	4617	4647	4578	4581	116100	0	0
2006-06-02	4558	4608	4507	4605	194810	0	0
2006-06-05	4660	4661	4588	4619	150206	0	0
2006-06-06	4624	4626	4548	4552	164772	0	0
2006-06-07	4511	4547	4480	4525	191336	0	0
2006-06-08	4572	4580	4516	4519	133210	0	0
2006-06-09	4474	4493	4451	4462	172800	0	0
2006-06-12	4480	4486	4381	4390	157854	0	0
2006-06-13	4359	4360	4263	4263	141426	0	0
2006-06-14	4130	4214	4063	4207	327464	0	0
2006-06-15	4177	4236	4111	4152	240542	0	0
2006-06-16	4242	4272	4178	4210	249532	0	0
2006-06-19	4189	4190	4077	4083	203292	0	0
2006-06-20	4013	4147	4007	4141	282098	0	0
2006-06-21	4218	4222	4157	4188	298036	0	0
2006-06-22	4313	4329	4278	4310	244190	0	0
2006-06-23	4248	4258	4208	4209	220748	0	0
2006-06-26	4185	4313	4176	4300	372044	0	0
2006-06-27	4362	4370	4234	4262	414694	0	0
2006-06-28	4203	4257	4200	4208	265442	0	0
2006-06-29	4225	4238	4171	4178	223254	0	0
2006-06-30	4219	4280	4216	4277	352560	0	0
2006-07-03	4293	4298	4246	4258	292098	0	0
2006-07-04	4283	4302	4191	4201	346480	0	0
2006-07-05	4185	4211	4149	4178	252950	0	0
2006-07-06	4242	4300	4201	4273	456940	0	0
2006-07-07	4303	4312	4229	4230	315348	0	0
2006-07-10	4188	4192	4129	4137	260342	0	0
2006-07-11	4085	4166	4059	4154	396750	0	0
2006-07-12	4146	4153	4121	4141	263384	0	0
2006-07-13	4092	4131	4091	4126	179686	0	0
2006-07-14	4143	4154	4128	4153	151262	0	0
2006-07-17	4107	4127	4082	4093	179566	0	0
2006-07-18	4047	4053	4005	4021	264710	0	0
2006-07-19	4022	4044	3987	4004	250542	0	0
2006-07-20	3963	3980	3899	3901	264080	0	0
2006-07-21	3881	3928	3861	3921	341366	0	0
2006-07-24	3920	3924	3869	3871	248876	0	0
2006-07-25	3892	3900	3861	3872	303456	0	0
2006-07-26	3835	3906	3832	3880	310360	0	0
2006-07-27	3864	3903	3851	3881	188668	0	0
2006-07-28	3860	3900	3856	3900	155884	0	0
2006-07-31	3905	3980	3904	3974	300896	0	0
2006-08-01	3969	3973	3881	3884	225514	0	0
2006-08-02	3896	3926	3884	3901	175850	0	0
2006-08-03	3864	3881	3830	3841	222908	0	0
2006-08-04	3830	3862	3829	3842	128474	0	0
2006-08-07	3850	3851	3747	3749	201562	0	0
2006-08-08	3736	3854	3730	3839	392800	0	0
2006-08-09	3830	3870	3776	3813	499722	0	0
2006-08-10	3807	3835	3792	3811	236058	0	0
2006-08-11	3781	3810	3743	3744	229576	0	0
2006-08-14	3691	3691	3624	3624	165272	0	0
2006-08-15	3450	3568	3450	3503	413338	0	0
2006-08-16	3524	3548	3510	3513	260436	0	0
2006-08-17	3493	3538	3492	3529	221498	0	0
2006-08-18	3490	3582	3489	3581	315450	0	0
2006-08-21	3572	3573	3448	3453	382640	0	0
2006-08-22	3466	3482	3417	3442	345754	0	0
2006-08-23	3443	3461	3365	3381	398446	0	0
2006-08-24	3421	3424	3360	3405	569918	0	0
2006-08-25	3389	3411	3378	3408	298158	0	0
2006-08-28	3419	3441	3388	3394	274196	0	0
2006-08-29	3383	3386	3301	3304	307958	0	0
2006-08-30	3290	3308	3254	3280	433280	0	0
2006-08-31	3250	3310	3238	3300	467732	0	0
2006-09-01	3328	3405	3326	3405	237048	0	0
2006-09-04	3401	3469	3346	3385	747520	0	0
2006-09-05	3405	3465	3375	3423	539848	0	0
2006-09-06	3436	3451	3376	3410	447042	0	0
2006-09-07	3420	3435	3396	3416	337266	0	0
2006-09-08	3402	3510	3357	3509	622880	0	0
2006-09-11	3558	3565	3415	3442	541766	0	0
2006-09-12	3409	3442	3386	3393	373142	0	0
2006-09-13	3389	3415	3344	3379	433362	0	0
2006-09-14	3475	3486	3430	3468	440606	0	0
2006-09-15	3407	3472	3398	3458	299916	0	0
2006-09-18	3476	3541	3470	3541	368832	0	0
2006-09-19	3529	3604	3497	3596	656384	0	0
2006-09-20	3570	3593	3462	3462	696900	0	0
2006-09-21	3474	3524	3448	3496	545230	0	0
2006-09-22	3427	3473	3424	3451	387766	0	0
2006-09-25	3313	3382	3313	3355	346912	0	0
2006-09-26	3346	3406	3340	3406	488936	0	0
2006-09-27	3408	3411	3376	3390	338696	0	0
2006-09-28	3387	3391	3347	3362	306340	0	0
2006-09-29	3381	3388	3361	3368	195488	0	0
2006-10-09	3368	3450	3365	3446	255350	0	0
2006-10-10	3451	3494	3443	3457	279806	0	0
2006-10-11	3433	3462	3430	3439	220664	0	0
2006-10-12	3435	3459	3427	3453	195812	0	0
2006-10-13	3465	3525	3463	3512	299164	0	0
2006-10-16	3532	3628	3529	3628	521756	0	0
2006-10-17	3658	3760	3603	3709	843056	0	0
2006-10-18	3741	3781	3657	3676	777128	0	0
2006-10-19	3655	3740	3636	3727	808052	0	0
2006-10-20	3729	3764	3707	3762	494966	0	0
2006-10-23	3754	3886	3754	3886	590530	0	0
2006-10-24	3898	3908	3814	3824	747972	0	0
2006-10-25	3831	3840	3756	3759	625670	0	0
2006-10-26	3772	3834	3765	3792	714104	0	0
2006-10-27	3805	3823	3776	3809	522442	0	0
2006-10-30	3805	3808	3706	3737	384346	0	0
2006-10-31	3710	3771	3700	3741	520262	0	0
2006-11-01	3762	3870	3762	3849	609726	0	0
2006-11-02	3828	3855	3799	3823	484792	0	0
2006-11-03	3833	3862	3808	3829	350696	0	0
2006-11-06	3803	3829	3767	3771	380474	0	0
2006-11-07	3822	3823	3757	3789	446528	0	0
2006-11-08	3773	3795	3748	3780	322574	0	0
2006-11-09	3811	3894	3809	3883	509068	0	0
2006-11-10	3912	3946	3890	3915	550048	0	0
2006-11-13	3898	3979	3886	3977	580062	0	0
2006-11-14	3974	3980	3920	3928	449412	0	0
2006-11-15	3957	4017	3952	4012	422974	0	0
2006-11-16	3988	4009	3956	4007	344170	0	0
2006-11-17	3956	3973	3925	3940	282280	0	0
2006-11-20	3974	3977	3864	3868	358764	0	0
2006-11-21	3881	3886	3835	3862	280164	0	0
2006-11-22	3869	3882	3839	3872	225448	0	0
2006-11-23	3853	3917	3845	3905	274822	0	0
2006-11-24	3896	3920	3880	3894	203994	0	0
2006-11-27	3901	3916	3856	3897	229402	0	0
2006-11-28	3920	3997	3914	3940	311264	0	0
2006-11-29	3962	3984	3910	3932	239416	0	0
2006-11-30	3993	4011	3967	3977	205910	0	0
2006-12-01	3955	3957	3837	3856	331998	0	0
2006-12-04	3825	3842	3775	3796	267302	0	0
2006-12-05	3761	3820	3743	3804	257924	0	0
2006-12-06	3815	3826	3748	3759	235850	0	0
2006-12-07	3723	3775	3711	3766	245536	0	0
2006-12-08	3752	3782	3743	3776	172388	0	0
2006-12-11	3789	3815	3789	3807	125682	0	0
2006-12-12	3812	3831	3800	3810	174334	0	0
2006-12-13	3792	3797	3768	3769	147134	0	0
2006-12-14	3779	3810	3757	3805	146004	0	0
2006-12-15	3805	3805	3780	3797	99114	0	0
2006-12-18	3787	3794	3765	3782	95034	0	0
2006-12-19	3810	3819	3785	3789	100884	0	0
2006-12-20	3783	3808	3777	3794	102936	0	0
2006-12-21	3783	3801	3783	3793	97246	0	0
2006-12-22	3792	3795	3757	3766	127680	0	0
2006-12-25	3754	3766	3745	3757	107602	0	0
2006-12-26	3753	3775	3739	3765	99260	0	0
2006-12-27	3753	3770	3751	3757	80134	0	0
2006-12-28	3754	3769	3752	3765	49986	0	0
2006-12-29	3771	3802	3767	3799	93740	0	0
2007-01-04	3740	3762	3672	3673	155634	0	0
2007-01-05	3675	3692	3643	3680	183466	0	0
2007-01-08	3676	3705	3671	3683	126032	0	0
2007-01-09	3693	3693	3662	3686	113392	0	0
2007-01-10	3673	3691	3673	3682	72876	0	0
2007-01-11	3684	3708	3681	3693	109502	0	0
2007-01-12	3675	3683	3653	3668	125524	0	0
2007-01-15	3700	3715	3676	3698	148746	0	0
2007-01-16	3686	3690	3668	3690	58622	0	0
2007-01-17	3676	3698	3676	3684	48542	0	0
2007-01-18	3675	3679	3628	3647	145954	0	0
2007-01-19	3653	3656	3639	3653	65418	0	0
2007-01-22	3652	3659	3637	3648	65762	0	0
2007-01-23	3657	3671	3652	3665	61514	0	0
2007-01-24	3658	3685	3654	3671	82024	0	0
2007-01-25	3671	3699	3663	3669	70612	0	0
2007-01-26	3667	3668	3649	3660	57322	0	0
2007-01-29	3667	3681	3661	3681	55814	0	0
2007-01-30	3661	3709	3659	3687	103994	0	0
2007-01-31	3698	3759	3686	3755	214698	0	0
2007-02-01	3748	3777	3734	3736	235682	0	0
2007-02-02	3727	3754	3708	3746	151532	0	0
2007-02-05	3736	3778	3733	3769	139542	0	0
2007-02-06	3765	3789	3745	3753	127458	0	0
2007-02-07	3734	3735	3703	3708	111690	0	0
2007-02-08	3696	3714	3685	3713	63434	0	0
2007-02-09	3726	3731	3713	3715	48522	0	0
2007-02-12	3726	3733	3710	3712	43592	0	0
2007-02-13	3703	3720	3702	3715	29312	0	0
2007-02-14	3723	3748	3717	3748	59344	0	0
2007-02-15	3754	3783	3748	3779	88790	0	0
2007-02-16	3812	3849	3807	3847	105914	0	0
2007-02-26	3850	3850	3799	3828	92068	0	0
2007-02-27	3822	3843	3812	3818	99224	0	0
2007-02-28	3823	3863	3805	3856	225888	0	0
2007-03-01	3839	3852	3811	3815	159036	0	0
2007-03-02	3848	3876	3847	3865	124106	0	0
2007-03-05	3880	3893	3855	3860	136916	0	0
2007-03-06	3828	3870	3826	3868	103290	0	0
2007-03-07	3868	3875	3850	3865	98868	0	0
2007-03-08	3859	3909	3856	3907	133882	0	0
2007-03-09	3906	3941	3899	3937	197524	0	0
2007-03-12	3945	3974	3943	3969	153440	0	0
2007-03-13	3963	3964	3920	3935	159678	0	0
2007-03-14	3926	3949	3918	3936	127566	0	0
2007-03-15	3943	3955	3929	3935	106616	0	0
2007-03-16	3921	3921	3899	3903	107628	0	0
2007-03-19	3910	3958	3902	3958	96970	0	0
2007-03-20	3950	4012	3950	4006	192572	0	0
2007-03-21	4011	4041	4000	4005	253870	0	0
2007-03-22	4017	4038	3992	3998	271182	0	0
2007-03-23	4010	4033	3997	4029	212194	0	0
2007-03-26	4021	4056	4010	4020	203206	0	0
2007-03-27	3979	4004	3973	3980	187674	0	0
2007-03-28	4001	4008	3956	3964	161712	0	0
2007-03-29	3960	3970	3941	3950	136542	0	0
2007-03-30	3924	3925	3892	3894	219362	0	0
2007-04-02	3866	3908	3864	3906	117390	0	0
2007-04-03	3893	3917	3882	3908	133372	0	0
2007-04-04	3911	3936	3908	3928	135394	0	0
2007-04-05	3922	3935	3909	3910	94498	0	0
2007-04-06	3923	3937	3912	3916	109334	0	0
2007-04-09	3919	3923	3868	3874	131432	0	0
2007-04-10	3884	3900	3861	3892	136370	0	0
2007-04-11	3859	3866	3817	3822	144454	0	0
2007-04-12	3838	3845	3824	3827	81494	0	0
2007-04-13	3820	3878	3819	3876	130030	0	0
2007-04-16	3869	3874	3823	3835	113212	0	0
2007-04-17	3796	3806	3781	3786	98984	0	0
2007-04-18	3786	3786	3736	3745	106718	0	0
2007-04-19	3721	3742	3702	3726	91818	0	0
2007-04-20	3740	3760	3726	3741	81642	0	0
2007-04-23	3741	3741	3676	3696	119556	0	0
2007-04-24	3665	3705	3663	3699	100504	0	0
2007-04-25	3691	3715	3685	3711	102874	0	0
2007-04-26	3725	3754	3720	3737	111764	0	0
2007-04-27	3741	3746	3703	3704	103742	0	0
2007-04-30	3683	3718	3676	3707	100250	0	0
2007-05-08	3734	3764	3716	3761	144406	0	0
2007-05-09	3745	3770	3741	3765	152366	0	0
2007-05-10	3773	3789	3727	3729	205718	0	0
2007-05-11	3722	3768	3720	3742	210292	0	0
2007-05-14	3755	3778	3746	3777	203962	0	0
2007-05-15	3756	3772	3736	3755	235180	0	0
2007-05-16	3691	3713	3676	3683	228558	0	0
2007-05-17	3693	3695	3646	3649	158832	0	0
2007-05-18	3648	3660	3621	3644	183194	0	0
2007-05-21	3631	3652	3618	3638	168122	0	0
2007-05-22	3673	3683	3662	3670	135416	0	0
2007-05-23	3650	3664	3634	3650	161030	0	0
2007-05-24	3649	3662	3639	3647	134950	0	0
2007-05-25	3664	3673	3634	3637	154538	0	0
2007-05-28	3700	3700	3674	3678	204200	0	0
2007-05-29	3668	3681	3658	3668	129612	0	0
2007-05-30	3658	3663	3627	3628	120586	0	0
2007-05-31	3633	3653	3614	3651	179394	0	0
2007-06-01	3650	3669	3638	3658	189230	0	0
2007-06-04	3666	3685	3657	3661	168462	0	0
2007-06-05	3618	3648	3618	3647	127130	0	0
2007-06-06	3615	3642	3607	3641	140260	0	0
2007-06-07	3649	3653	3626	3629	105070	0	0
2007-06-08	3625	3631	3595	3597	117728	0	0
2007-06-11	3610	3624	3597	3610	99358	0	0
2007-06-12	3629	3633	3606	3610	91368	0	0
2007-06-13	3595	3602	3578	3580	129120	0	0
2007-06-14	3579	3581	3522	3528	164936	0	0
2007-06-15	3535	3535	3512	3516	122096	0	0
2007-06-18	3533	3549	3521	3549	135626	0	0
2007-06-19	3582	3589	3557	3558	144502	0	0
2007-06-20	3550	3566	3541	3542	103876	0	0
2007-06-21	3538	3552	3538	3548	79482	0	0
2007-06-22	3559	3608	3554	3604	272360	0	0
2007-06-25	3600	3620	3579	3583	267554	0	0
2007-06-26	3567	3578	3538	3556	186346	0	0
2007-06-27	3574	3580	3546	3550	175774	0	0
2007-06-28	3544	3548	3526	3530	145906	0	0
2007-06-29	3518	3521	3466	3476	266448	0	0
2007-07-02	3475	3491	3456	3485	197460	0	0
2007-07-03	3464	3496	3456	3491	168782	0	0
2007-07-04	3503	3506	3471	3473	170470	0	0
2007-07-05	3477	3483	3468	3482	141072	0	0
2007-07-06	3480	3493	3469	3477	152618	0	0
2007-07-09	3476	3482	3461	3469	134356	0	0
2007-07-10	3478	3487	3470	3473	162812	0	0
2007-07-11	3473	3474	3417	3420	254608	0	0
2007-07-12	3424	3433	3395	3405	241320	0	0
2007-07-13	3396	3431	3386	3415	242106	0	0
2007-07-16	3420	3447	3417	3443	170994	0	0
2007-07-17	3432	3437	3419	3432	150408	0	0
2007-07-18	3434	3442	3432	3434	100070	0	0
2007-07-19	3450	3464	3448	3453	171266	0	0
2007-07-20	3469	3494	3463	3489	231926	0	0
2007-07-23	3496	3507	3480	3486	214574	0	0
2007-07-24	3472	3532	3472	3526	326930	0	0
2007-07-25	3532	3559	3518	3538	442894	0	0
2007-07-26	3547	3555	3528	3540	251700	0	0
2007-07-27	3535	3548	3517	3523	228516	0	0
2007-07-30	3513	3596	3507	3591	374142	0	0
2007-07-31	3591	3704	3591	3704	709248	0	0
2007-08-01	3726	3748	3678	3694	641280	0	0
2007-08-02	3703	3811	3691	3768	959634	0	0
2007-08-03	3755	3796	3746	3781	560808	0	0
2007-08-06	3843	3920	3831	3920	364586	0	0
2007-08-07	3916	3933	3833	3839	685342	0	0
2007-08-08	3837	3857	3778	3803	687026	0	0
2007-08-09	3803	3928	3803	3914	994558	0	0
2007-08-10	3900	3911	3839	3876	710162	0	0
2007-08-13	3832	3839	3763	3788	626414	0	0
2007-08-14	3773	3802	3745	3777	587848	0	0
2007-08-15	3776	3814	3759	3761	493326	0	0
2007-08-16	3772	3772	3711	3728	436068	0	0
2007-08-17	3631	3706	3631	3681	550302	0	0
2007-08-20	3726	3811	3726	3807	498722	0	0
2007-08-21	3820	3829	3762	3791	714164	0	0
2007-08-22	3763	3817	3750	3804	696636	0	0
2007-08-23	3861	3862	3813	3820	599844	0	0
2007-08-24	3806	3817	3761	3763	453764	0	0
2007-08-27	3739	3780	3730	3752	571422	0	0
2007-08-28	3758	3758	3713	3721	526978	0	0
2007-08-29	3715	3757	3713	3740	434808	0	0
2007-08-30	3744	3804	3731	3795	537988	0	0
2007-08-31	3817	3844	3803	3804	580566	0	0
2007-09-03	3794	3830	3789	3807	471766	0	0
2007-09-04	3803	3827	3734	3736	712078	0	0
2007-09-05	3747	3757	3720	3749	557328	0	0
2007-09-06	3747	3774	3731	3757	458698	0	0
2007-09-07	3755	3769	3734	3737	415032	0	0
2007-09-10	3738	3739	3692	3694	407328	0	0
2007-09-11	3683	3719	3674	3701	435884	0	0
2007-09-12	3708	3759	3701	3758	553338	0	0
2007-09-13	3760	3785	3738	3742	532920	0	0
2007-09-14	3734	3759	3729	3754	309222	0	0
2007-09-17	3778	3864	3776	3862	702732	0	0
2007-09-18	3862	3887	3841	3886	671528	0	0
2007-09-19	3886	3905	3804	3813	672298	0	0
2007-09-20	3861	3911	3839	3899	1047406	0	0
2007-09-21	3916	3929	3859	3871	1103690	0	0
2007-09-24	3868	3893	3851	3865	615438	0	0
2007-09-25	3872	3877	3837	3846	499038	0	0
2007-09-26	3839	3880	3825	3873	550170	0	0
2007-09-27	3868	3890	3850	3854	501682	0	0
2007-09-28	3872	3897	3867	3897	412200	0	0
2007-10-08	3854	3908	3850	3906	509508	0	0
2007-10-09	3901	4037	3901	4027	1111472	0	0
2007-10-10	4037	4120	4017	4072	1425196	0	0
2007-10-11	4052	4107	4049	4099	1311414	0	0
2007-10-12	4114	4148	4072	4086	1131716	0	0
2007-10-15	4087	4134	4076	4132	957688	0	0
2007-10-16	4161	4220	4146	4199	1075776	0	0
2007-10-17	4222	4228	4155	4169	1033336	0	0
2007-10-18	4174	4202	4108	4152	1074836	0	0
2007-10-19	4179	4179	4137	4156	737806	0	0
2007-10-22	4141	4141	4058	4059	935620	0	0
2007-10-23	4075	4096	4017	4052	873944	0	0
2007-10-24	4051	4065	4033	4055	648000	0	0
2007-10-25	4056	4076	3947	3969	911184	0	0
2007-10-26	3993	4010	3961	4004	927876	0	0
2007-10-29	4000	4108	4000	4107	999452	0	0
2007-10-30	4088	4104	4043	4056	751850	0	0
2007-10-31	4036	4040	3955	3974	712824	0	0
