SSL9 不锈钢指数 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2019-09-26	15565	15885	15530	15675	109736	21454	0
2019-09-27	15695	15720	15550	15690	29974	17858	0
2019-09-30	15670	15755	15600	15665	16000	16490	0
2019-10-08	15600	15765	15515	15645	8166	16364	0
2019-10-09	15620	15665	15600	15645	5094	16216	0
2019-10-10	15685	15745	15580	15735	12114	17006	0
2019-10-11	15750	15770	15680	15715	8230	16380	0
2019-10-14	15715	15800	15705	15735	10110	16514	0
2019-10-15	15710	15790	15165	15415	23902	16616	0
2019-10-16	15440	15550	15410	15465	10036	15930	0
2019-10-17	15465	15480	15100	15165	22638	16748	0
2019-10-18	15160	15225	14790	15005	27382	18086	0
2019-10-21	15095	15100	14675	14835	25286	19562	0
2019-10-22	14835	14960	14760	14880	10480	20136	0
2019-10-23	14840	15135	14830	14960	17854	19218	0
2019-10-24	14945	15110	14940	14995	11922	18890	0
2019-10-25	15030	15045	14805	14945	13746	19038	0
2019-10-28	14860	15045	14850	14990	9664	18298	0
2019-10-29	15010	15205	14950	15000	14242	17768	0
2019-10-30	15025	15045	14950	15045	5548	17558	0
2019-10-31	15045	15060	14910	14965	6618	17802	0
2019-11-01	14925	14980	14840	14980	8414	18048	0
2019-11-04	14965	14980	14930	14960	4650	17980	0
2019-11-05	14930	14975	14865	14895	8336	18114	0
2019-11-06	14900	14955	14850	14915	8420	17798	0
2019-11-07	14915	14945	14835	14905	8288	17254	0
2019-11-08	14890	14920	14765	14770	8038	16936	0
2019-11-11	14750	14765	14195	14205	40230	21460	0
2019-11-12	14200	14405	14165	14365	22786	21592	0
2019-11-13	14335	14440	14240	14340	12002	22100	0
2019-11-14	14315	14410	14260	14355	9402	21404	0
2019-11-15	14385	14420	14190	14360	15078	21122	0
2019-11-18	14340	14345	14110	14290	18310	21728	0
2019-11-19	14345	14450	14310	14370	17588	20458	0
2019-11-20	14345	14475	14330	14405	11470	19350	0
2019-11-21	14365	14385	14255	14365	12456	18436	0
2019-11-22	14415	14565	14305	14515	18402	18500	0
2019-11-25	14520	14580	14445	14510	8486	18386	0
2019-11-26	14540	14550	14345	14360	10248	17112	0
2019-11-27	14360	14370	14175	14210	14530	17812	0
2019-11-28	14225	14250	14090	14100	11274	19466	0
2019-11-29	14075	14120	13990	13995	10864	20934	0
2019-12-02	13960	14060	13895	13920	11840	21926	0
2019-12-03	13925	14050	13915	14010	6708	21156	0
2019-12-04	14020	14060	13830	13840	14708	23234	0
2019-12-05	13825	13960	13760	13870	18504	24370	0
2019-12-06	13860	14005	13850	13945	18364	24164	0
2019-12-09	13830	14095	13825	13935	19316	23668	0
2019-12-10	13870	14025	13865	13980	8322	23682	0
2019-12-11	13965	14270	13965	14195	25488	22784	0
2019-12-12	14225	14385	14215	14235	26404	23730	0
2019-12-13	14140	14285	14140	14265	11018	23074	0
