T001 大宗商品 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2000-01-04	96.80	97.23	96.70	96.97	48790	0	0.00
2000-01-05	96.83	97.25	96.57	96.79	75370	0	0.00
2000-01-06	97.10	97.27	96.87	97.08	65890	0	0.00
2000-01-07	96.96	97.58	96.83	97.39	80200	0	0.00
2000-01-11	97.26	97.98	97.10	97.75	146442	0	0.00
2000-01-12	97.84	97.99	97.52	97.58	131768	0	0.00
2000-01-13	97.90	98.43	97.56	98.13	130442	0	0.00
2000-01-14	98.25	98.80	98.10	98.62	144486	0	0.00
2000-01-17	98.92	99.24	98.42	98.69	100864	0	0.00
2000-01-18	99.08	99.62	98.86	99.26	146158	0	0.00
2000-01-19	99.63	100.54	99.41	100.11	180736	0	0.00
2000-01-20	100.26	100.51	99.69	100.03	130330	0	0.00
2000-01-21	100.03	100.47	99.84	100.26	172188	0	0.00
2000-01-24	100.12	100.93	99.61	100.50	230896	0	0.00
2000-01-25	100.31	100.51	99.68	99.91	135772	0	0.00
2000-01-26	99.98	100.42	99.57	99.95	195038	0	0.00
2000-01-27	99.82	100.56	99.70	100.38	82964	0	0.00
2000-01-28	100.86	101.53	100.66	101.23	179764	0	0.00
2000-01-31	101.01	101.25	100.06	100.71	147640	0	0.00
2000-02-01	100.67	101.22	100.42	101.09	85436	0	0.00
2000-02-02	101.19	101.86	100.97	101.56	140028	0	0.00
2000-02-14	101.59	102.83	101.41	102.60	169052	0	0.00
2000-02-15	102.52	102.76	102.01	102.24	152926	0	0.00
2000-02-16	101.81	102.10	100.99	101.12	190202	0	0.00
2000-02-17	100.96	101.75	100.74	101.39	119020	0	0.00
2000-02-18	101.61	101.91	101.24	101.39	125658	0	0.00
2000-02-21	101.45	102.13	101.32	101.87	210036	0	0.00
2000-02-22	101.65	101.99	101.27	101.43	157996	0	0.00
2000-02-23	101.71	101.91	101.22	101.50	155352	0	0.00
2000-02-24	101.26	101.70	100.98	101.14	196196	0	0.00
2000-02-25	101.31	101.46	100.53	100.75	170562	0	0.00
2000-02-28	100.25	100.68	99.99	100.50	172892	0	0.00
2000-02-29	99.33	99.72	98.35	99.01	212490	0	0.00
2000-03-01	99.37	99.64	98.95	99.16	114330	0	0.00
2000-03-02	99.17	99.60	98.99	99.37	118008	0	0.00
2000-03-03	99.39	99.59	99.15	99.42	116020	0	0.00
2000-03-06	99.42	99.54	98.89	99.05	122004	0	0.00
2000-03-07	99.27	99.53	98.97	99.27	142788	0	0.00
2000-03-08	98.75	99.11	98.11	98.34	115624	0	0.00
2000-03-09	98.46	98.64	98.10	98.31	69048	0	0.00
2000-03-10	98.65	99.09	98.23	98.61	54706	0	0.00
2000-03-13	98.21	98.64	97.83	98.46	110572	0	0.00
2000-03-14	98.76	98.92	98.35	98.64	192400	0	0.00
2000-03-15	99.04	99.37	98.71	98.89	176982	0	0.00
2000-03-16	99.27	99.88	99.19	99.77	189964	0	0.00
2000-03-17	99.96	100.27	99.42	99.81	261978	0	0.00
2000-03-20	99.89	100.03	98.78	99.27	253432	0	0.00
2000-03-21	99.70	99.87	98.90	99.11	147908	0	0.00
2000-03-22	99.34	99.52	98.83	98.98	77436	0	0.00
2000-03-23	98.74	98.85	97.92	98.11	99146	0	0.00
2000-03-24	97.92	98.32	97.65	97.99	158404	0	0.00
2000-03-27	97.82	98.21	97.68	98.10	119354	0	0.00
2000-03-28	97.81	98.12	97.39	97.70	76228	0	0.00
2000-03-29	97.62	97.95	97.45	97.73	79230	0	0.00
2000-03-30	97.63	97.75	97.30	97.37	95594	0	0.00
2000-03-31	97.36	97.63	97.11	97.37	108654	0	0.00
2000-04-03	97.26	97.96	96.79	97.54	286410	0	0.00
2000-04-04	97.23	97.67	96.90	97.25	204610	0	0.00
2000-04-05	96.51	96.91	95.90	96.47	204838	0	0.00
2000-04-06	96.46	97.02	96.03	96.47	135404	0	0.00
2000-04-07	95.72	95.99	94.91	95.40	288840	0	0.00
2000-04-10	95.60	96.13	95.05	95.57	232120	0	0.00
2000-04-11	95.58	95.81	95.18	95.51	137456	0	0.00
2000-04-12	95.62	95.89	95.02	95.45	170118	0	0.00
2000-04-13	95.54	95.74	95.28	95.49	152464	0	0.00
2000-04-14	95.15	95.96	95.02	95.35	182344	0	0.00
2000-04-17	94.74	95.30	94.38	94.73	139464	0	0.00
2000-04-18	94.88	95.39	94.78	95.19	100240	0	0.00
2000-04-19	95.39	95.61	95.08	95.26	123588	0	0.00
2000-04-20	95.27	95.34	94.89	95.08	86778	0	0.00
2000-04-21	95.24	95.47	95.03	95.33	55610	0	0.00
2000-04-24	95.19	95.57	95.11	95.43	47574	0	0.00
2000-04-25	95.67	96.11	95.34	95.63	69656	0	0.00
2000-04-26	96.11	96.78	96.02	96.65	129132	0	0.00
2000-04-27	96.45	96.74	96.17	96.40	65902	0	0.00
2000-04-28	96.41	96.65	96.11	96.41	85636	0	0.00
2000-05-08	97.36	97.66	96.71	97.26	256488	0	0.00
2000-05-09	97.09	97.22	96.60	96.75	65590	0	0.00
2000-05-10	96.93	97.12	96.53	96.73	89826	0	0.00
2000-05-11	96.57	96.79	95.98	96.28	136028	0	0.00
2000-05-12	96.51	96.77	96.31	96.60	62208	0	0.00
2000-05-15	96.93	97.10	96.28	96.39	129202	0	0.00
2000-05-16	96.33	96.66	96.04	96.49	144124	0	0.00
2000-05-17	96.84	97.09	96.45	96.62	110582	0	0.00
2000-05-18	96.58	96.86	96.27	96.47	124126	0	0.00
2000-05-19	96.51	96.79	96.08	96.50	207152	0	0.00
2000-05-22	96.59	97.02	96.33	96.64	114590	0	0.00
2000-05-23	96.53	96.72	96.24	96.40	90202	0	0.00
2000-05-24	96.38	97.01	96.12	96.91	164326	0	0.00
2000-05-25	96.70	96.89	96.28	96.46	152698	0	0.00
2000-05-26	96.09	96.37	95.71	95.93	180808	0	0.00
2000-05-29	95.70	95.98	95.02	95.11	305494	0	0.00
2000-05-30	94.78	95.00	94.17	94.41	451326	0	0.00
2000-05-31	94.00	94.60	93.72	94.24	86712	0	0.00
2000-06-01	94.54	94.77	94.22	94.53	118286	0	0.00
2000-06-02	94.48	94.95	94.21	94.86	191958	0	0.00
2000-06-05	94.60	94.82	94.15	94.43	157118	0	0.00
2000-06-06	94.67	94.93	94.36	94.55	113894	0	0.00
2000-06-07	94.52	94.72	94.15	94.49	128420	0	0.00
2000-06-08	94.28	94.43	93.86	94.16	188822	0	0.00
2000-06-09	94.38	94.56	94.15	94.30	112468	0	0.00
2000-06-12	94.17	94.31	93.62	93.73	268368	0	0.00
2000-06-13	93.57	93.94	93.30	93.59	286638	0	0.00
2000-06-14	93.79	94.20	93.51	93.90	246406	0	0.00
2000-06-15	94.05	94.28	93.77	94.11	187324	0	0.00
2000-06-16	94.33	94.56	94.00	94.21	182998	0	0.00
2000-06-19	94.42	94.72	94.01	94.18	148868	0	0.00
2000-06-20	94.35	94.68	94.22	94.44	78834	0	0.00
2000-06-21	94.16	94.43	93.95	94.14	108548	0	0.00
2000-06-22	94.35	94.72	94.21	94.55	198766	0	0.00
2000-06-23	94.31	94.58	94.09	94.32	216762	0	0.00
2000-06-26	94.12	94.32	93.87	94.04	186500	0	0.00
2000-06-27	94.41	94.65	94.26	94.39	126898	0	0.00
2000-06-28	94.27	94.44	93.93	94.14	279578	0	0.00
2000-06-29	94.26	94.47	94.16	94.34	149306	0	0.00
2000-06-30	94.25	94.53	94.05	94.33	186726	0	0.00
2000-07-03	94.17	94.35	93.61	93.76	309466	0	0.00
2000-07-04	93.70	94.07	93.06	93.67	629296	0	0.00
2000-07-05	93.64	94.04	93.22	93.77	340814	0	0.00
2000-07-06	93.72	94.05	93.57	93.81	213940	0	0.00
2000-07-07	93.36	93.67	93.06	93.32	480014	0	0.00
2000-07-10	93.41	93.70	93.31	93.52	175422	0	0.00
2000-07-11	93.66	94.02	93.58	93.92	116390	0	0.00
2000-07-12	93.86	94.19	93.74	93.93	149054	0	0.00
