T003 工业品 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2000-01-04	95.69	95.95	95.56	95.73	20192	0	0.00
2000-01-05	95.42	95.96	95.21	95.46	33096	0	0.00
2000-01-06	95.75	95.93	95.58	95.82	18546	0	0.00
2000-01-07	95.68	96.32	95.59	96.08	11760	0	0.00
2000-01-11	95.78	96.31	95.63	96.04	17816	0	0.00
2000-01-12	96.10	96.24	95.95	96.01	12362	0	0.00
2000-01-13	96.31	96.88	95.93	96.60	36718	0	0.00
2000-01-14	96.52	97.13	96.39	96.97	20382	0	0.00
2000-01-17	97.22	97.58	96.71	97.06	25446	0	0.00
2000-01-18	97.61	98.10	97.45	97.84	31606	0	0.00
2000-01-19	98.07	99.09	97.83	98.59	35824	0	0.00
2000-01-20	98.83	99.03	98.20	98.58	40016	0	0.00
2000-01-21	98.46	98.75	98.21	98.51	19108	0	0.00
2000-01-24	98.16	98.57	97.59	98.09	17246	0	0.00
2000-01-25	97.72	97.96	97.20	97.47	29490	0	0.00
2000-01-26	97.36	97.66	97.04	97.43	23570	0	0.00
2000-01-27	97.32	98.17	97.22	98.05	19166	0	0.00
2000-01-28	98.18	98.62	97.91	98.21	16982	0	0.00
2000-01-31	98.06	98.32	97.38	97.98	24740	0	0.00
2000-02-01	98.18	98.75	98.06	98.64	17260	0	0.00
2000-02-02	98.63	98.97	98.37	98.66	20166	0	0.00
2000-02-14	98.69	99.78	98.51	99.51	32614	0	0.00
2000-02-15	99.54	99.80	99.18	99.36	27190	0	0.00
2000-02-16	98.58	98.90	98.03	98.11	38036	0	0.00
2000-02-17	97.98	98.65	97.71	98.18	18966	0	0.00
2000-02-18	98.47	98.79	98.33	98.52	10676	0	0.00
2000-02-21	98.44	98.76	98.31	98.60	14878	0	0.00
2000-02-22	98.31	98.48	97.86	97.95	24150	0	0.00
2000-02-23	98.45	98.70	98.11	98.37	13206	0	0.00
2000-02-24	98.74	99.15	98.59	98.79	17828	0	0.00
2000-02-25	98.72	98.82	98.19	98.46	15704	0	0.00
2000-02-28	98.07	98.39	97.86	98.21	28638	0	0.00
2000-02-29	96.67	97.15	95.79	96.45	66706	0	0.00
2000-03-01	96.69	97.03	96.28	96.52	33362	0	0.00
2000-03-02	96.79	96.93	96.58	96.75	16660	0	0.00
2000-03-03	96.58	96.67	96.37	96.47	13832	0	0.00
2000-03-06	96.36	96.52	96.13	96.32	16374	0	0.00
2000-03-07	96.46	96.60	96.21	96.48	16424	0	0.00
2000-03-08	96.09	96.34	95.26	95.38	49864	0	0.00
2000-03-09	95.41	95.58	95.00	95.20	19334	0	0.00
2000-03-10	95.64	96.23	95.20	95.64	27506	0	0.00
2000-03-13	95.30	95.60	94.90	95.39	19242	0	0.00
2000-03-14	95.41	95.52	94.99	95.22	19468	0	0.00
2000-03-15	95.58	95.82	95.31	95.47	26458	0	0.00
2000-03-16	96.04	96.38	95.94	96.24	18604	0	0.00
2000-03-17	96.61	96.72	96.26	96.34	22192	0	0.00
2000-03-20	96.09	96.22	95.86	96.01	12804	0	0.00
2000-03-21	96.25	96.33	95.61	95.82	16938	0	0.00
2000-03-22	96.03	96.16	95.41	95.50	20348	0	0.00
2000-03-23	95.11	95.21	94.24	94.45	24208	0	0.00
2000-03-24	94.42	94.71	94.10	94.40	12530	0	0.00
2000-03-27	93.97	94.39	93.88	94.32	13798	0	0.00
2000-03-28	94.00	94.39	93.56	93.93	20650	0	0.00
2000-03-29	93.91	94.26	93.81	94.03	13204	0	0.00
2000-03-30	93.92	94.05	93.72	93.79	11506	0	0.00
2000-03-31	93.56	93.79	93.28	93.55	13564	0	0.00
2000-04-03	93.16	93.60	92.58	93.11	18328	0	0.00
2000-04-04	92.89	93.34	92.64	93.02	21372	0	0.00
2000-04-05	92.24	92.56	91.54	92.01	48156	0	0.00
2000-04-06	91.95	92.65	91.67	92.22	19524	0	0.00
2000-04-07	91.52	91.78	90.88	91.33	53042	0	0.00
2000-04-10	91.43	92.07	91.11	91.65	24210	0	0.00
2000-04-11	91.63	91.89	91.31	91.71	19394	0	0.00
2000-04-12	91.95	92.15	91.23	91.62	21546	0	0.00
2000-04-13	91.53	91.72	91.32	91.55	23998	0	0.00
2000-04-14	91.07	91.62	90.93	91.20	24708	0	0.00
2000-04-17	90.67	91.30	90.34	90.59	46250	0	0.00
2000-04-18	90.78	91.34	90.66	91.10	62438	0	0.00
2000-04-19	91.39	91.64	91.23	91.43	28784	0	0.00
2000-04-20	91.36	91.45	90.98	91.16	35028	0	0.00
2000-04-21	91.31	91.56	91.11	91.39	10046	0	0.00
2000-04-24	91.23	91.59	91.17	91.48	8960	0	0.00
2000-04-25	91.61	92.17	91.29	91.62	15572	0	0.00
2000-04-26	92.29	92.99	92.20	92.88	50802	0	0.00
2000-04-27	92.69	93.00	92.35	92.58	26080	0	0.00
2000-04-28	92.77	92.92	92.40	92.63	37790	0	0.00
2000-05-08	93.50	93.77	92.99	93.48	59908	0	0.00
2000-05-09	93.27	93.36	92.69	92.74	22496	0	0.00
2000-05-10	92.95	93.14	92.52	92.75	19742	0	0.00
2000-05-11	92.36	92.63	91.94	92.22	43314	0	0.00
2000-05-12	92.53	92.82	92.31	92.61	27580	0	0.00
2000-05-15	92.97	93.19	92.35	92.48	52066	0	0.00
2000-05-16	92.54	92.92	92.30	92.79	32214	0	0.00
2000-05-17	93.35	93.53	92.84	92.94	45518	0	0.00
2000-05-18	92.93	93.16	92.57	92.74	33934	0	0.00
2000-05-19	92.78	93.15	92.54	92.99	43838	0	0.00
2000-05-22	93.02	93.48	92.83	93.09	29696	0	0.00
2000-05-23	92.94	93.10	92.58	92.76	37902	0	0.00
2000-05-24	92.77	93.45	92.55	93.35	37628	0	0.00
2000-05-25	93.13	93.22	92.62	92.73	35770	0	0.00
2000-05-26	92.45	92.72	92.07	92.28	41382	0	0.00
2000-05-29	92.65	92.77	92.16	92.27	34462	0	0.00
2000-05-30	92.40	92.59	91.95	92.26	48590	0	0.00
2000-05-31	91.64	91.98	91.27	91.50	74656	0	0.00
2000-06-01	92.05	92.32	91.72	92.09	43458	0	0.00
2000-06-02	92.13	92.61	91.92	92.55	34642	0	0.00
2000-06-05	92.05	92.19	91.51	91.79	66526	0	0.00
2000-06-06	92.17	92.38	91.78	91.96	43762	0	0.00
2000-06-07	91.88	92.06	91.59	91.84	32840	0	0.00
2000-06-08	91.63	91.80	91.25	91.49	67160	0	0.00
2000-06-09	91.75	91.93	91.57	91.76	35860	0	0.00
2000-06-12	91.67	91.84	91.49	91.62	29480	0	0.00
2000-06-13	91.46	91.80	91.39	91.58	37994	0	0.00
2000-06-14	91.90	92.14	91.63	91.89	45246	0	0.00
2000-06-15	92.26	92.48	92.05	92.29	53046	0	0.00
2000-06-16	92.58	92.81	92.28	92.43	63842	0	0.00
2000-06-19	92.67	92.94	92.16	92.32	53356	0	0.00
2000-06-20	92.37	92.75	92.24	92.46	41232	0	0.00
2000-06-21	92.31	92.60	92.08	92.24	42232	0	0.00
2000-06-22	92.49	92.62	92.34	92.44	39716	0	0.00
2000-06-23	92.16	92.36	91.97	92.15	48442	0	0.00
2000-06-26	92.00	92.23	91.86	92.04	37842	0	0.00
2000-06-27	92.49	92.67	92.30	92.37	47916	0	0.00
2000-06-28	92.18	92.35	92.02	92.19	40098	0	0.00
2000-06-29	92.41	92.52	92.29	92.40	42508	0	0.00
2000-06-30	92.20	92.53	92.09	92.45	47042	0	0.00
2000-07-03	92.49	92.60	92.08	92.19	30622	0	0.00
2000-07-04	92.13	92.37	91.99	92.21	32288	0	0.00
2000-07-05	92.13	92.57	92.04	92.46	37228	0	0.00
2000-07-06	92.48	92.72	92.38	92.59	41818	0	0.00
2000-07-07	92.28	92.46	92.16	92.28	52974	0	0.00
2000-07-10	92.31	92.51	92.21	92.34	25812	0	0.00
2000-07-11	92.47	92.77	92.42	92.66	33228	0	0.00
2000-07-12	92.71	92.95	92.60	92.79	25700	0	0.00
2000-07-13	92.86	93.06	92.79	92.94	39082	0	0.00
2000-07-14	92.77	93.11	92.72	93.07	24324	0	0.00
2000-07-17	93.00	93.48	92.96	93.40	22104	0	0.00
2000-07-18	93.96	94.84	93.81	94.29	77174	0	0.00
2000-07-19	94.13	94.32	93.91	94.18	36654	0	0.00
2000-07-20	94.04	94.28	93.89	94.17	33988	0	0.00
2000-07-21	94.31	94.51	94.19	94.31	38634	0	0.00
2000-07-24	94.74	95.01	94.32	94.48	87528	0	0.00
2000-07-25	94.48	94.72	94.21	94.37	41700	0	0.00
2000-07-26	94.45	94.82	94.34	94.74	42664	0	0.00
2000-07-27	94.43	94.60	94.20	94.36	47562	0	0.00
2000-07-28	94.83	95.17	94.65	94.90	54868	0	0.00
2000-07-31	94.74	94.89	94.55	94.70	41020	0	0.00
2000-08-01	94.89	95.13	94.49	94.84	30500	0	0.00
2000-08-02	94.97	95.19	94.84	95.05	24956	0	0.00
2000-08-03	95.05	95.29	94.88	95.04	30114	0	0.00
2000-08-04	94.98	95.41	94.82	95.20	22298	0	0.00
2000-08-07	95.40	95.60	95.09	95.53	20360	0	0.00
2000-08-08	95.58	95.97	95.42	95.74	20304	0	0.00
2000-08-09	95.49	95.65	94.62	94.96	33804	0	0.00
2000-08-10	94.96	95.23	94.75	95.03	28226	0	0.00
2000-08-11	94.83	95.38	94.69	95.28	26554	0	0.00
2000-08-14	95.27	95.58	94.99	95.25	33506	0	0.00
2000-08-15	95.53	95.61	95.21	95.48	31134	0	0.00
2000-08-16	95.60	95.82	95.40	95.62	21578	0	0.00
2000-08-17	95.35	95.58	95.14	95.41	25370	0	0.00
2000-08-18	95.55	95.80	95.43	95.55	30386	0	0.00
2000-08-21	95.43	95.60	95.28	95.42	16500	0	0.00
2000-08-22	95.07	95.25	94.65	94.78	44300	0	0.00
2000-08-23	94.88	95.14	94.68	94.91	25206	0	0.00
2000-08-24	94.77	95.07	94.61	94.80	30266	0	0.00
2000-08-25	94.90	95.16	94.75	94.99	28044	0	0.00
2000-08-28	94.89	95.39	94.68	94.84	28524	0	0.00
2000-08-29	94.83	95.12	94.49	94.73	23664	0	0.00
2000-08-30	95.62	95.98	95.31	95.72	81842	0	0.00
2000-08-31	95.88	96.01	95.48	95.57	56170	0	0.00
2000-09-01	95.71	95.99	95.41	95.71	31458	0	0.00
2000-09-04	95.62	95.78	95.38	95.59	20260	0	0.00
2000-09-05	95.92	96.38	95.78	96.27	56550	0	0.00
2000-09-06	96.51	96.57	95.92	96.16	53920	0	0.00
2000-09-07	96.25	96.43	96.02	96.19	34158	0	0.00
