T004 谷物综合 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2000-01-04	100.13	101.07	100.11	100.69	28598	0	0.00
2000-01-05	101.05	101.14	100.65	100.80	42274	0	0.00
2000-01-06	101.15	101.27	100.76	100.85	47344	0	0.00
2000-01-07	100.81	101.36	100.53	101.32	68440	0	0.00
2000-01-11	101.72	103.02	101.50	102.87	128626	0	0.00
2000-01-12	103.06	103.23	102.23	102.27	119406	0	0.00
2000-01-13	102.69	103.10	102.46	102.72	93724	0	0.00
2000-01-14	103.44	103.81	103.25	103.56	124104	0	0.00
2000-01-17	104.03	104.24	103.54	103.59	75418	0	0.00
2000-01-18	103.49	104.17	103.12	103.53	114552	0	0.00
2000-01-19	104.32	104.89	104.14	104.68	144912	0	0.00
2000-01-20	104.58	104.97	104.16	104.39	90314	0	0.00
2000-01-21	104.76	105.62	104.73	105.53	153080	0	0.00
2000-01-24	106.02	108.01	105.67	107.74	213650	0	0.00
2000-01-25	108.10	108.15	107.14	107.22	106282	0	0.00
2000-01-26	107.86	108.69	107.16	107.50	171468	0	0.00
2000-01-27	107.31	107.72	107.17	107.40	63798	0	0.00
2000-01-28	108.92	110.29	108.92	110.29	162782	0	0.00
2000-01-31	109.87	110.04	108.10	108.92	122900	0	0.00
2000-02-01	108.14	108.61	107.50	108.46	68176	0	0.00
2000-02-02	108.88	110.54	108.78	110.26	119862	0	0.00
2000-02-14	110.32	112.01	110.09	111.89	136438	0	0.00
2000-02-15	111.46	111.64	110.51	110.91	125736	0	0.00
2000-02-16	111.50	111.71	109.88	110.17	152166	0	0.00
2000-02-17	109.91	111.05	109.84	111.03	100054	0	0.00
2000-02-18	111.04	111.27	109.96	110.02	114982	0	0.00
2000-02-21	110.48	112.21	110.36	111.69	195158	0	0.00
2000-02-22	111.66	112.53	111.50	111.85	133846	0	0.00
2000-02-23	111.48	111.54	110.55	110.90	142146	0	0.00
2000-02-24	108.84	109.36	108.17	108.19	178368	0	0.00
2000-02-25	109.07	109.41	107.56	107.63	154858	0	0.00
2000-02-28	106.79	107.55	106.41	107.36	144254	0	0.00
2000-02-29	107.30	107.41	106.03	106.70	145784	0	0.00
2000-03-01	107.41	107.46	106.95	107.08	80968	0	0.00
2000-03-02	106.30	107.60	106.21	107.26	101348	0	0.00
2000-03-03	107.81	108.35	107.50	108.28	102188	0	0.00
2000-03-06	108.61	108.62	107.17	107.25	105630	0	0.00
2000-03-07	107.70	108.32	107.26	107.65	126364	0	0.00
2000-03-08	106.72	107.42	106.68	107.23	65760	0	0.00
2000-03-09	107.64	107.82	107.42	107.64	49714	0	0.00
2000-03-10	107.65	107.69	107.33	107.49	27200	0	0.00
2000-03-13	106.94	107.75	106.61	107.65	91330	0	0.00
2000-03-14	108.79	109.14	108.41	108.89	172932	0	0.00
2000-03-15	109.43	110.02	108.94	109.15	150524	0	0.00
2000-03-16	108.95	110.36	108.94	110.36	171360	0	0.00
2000-03-17	110.02	110.93	108.89	110.22	239786	0	0.00
2000-03-20	111.27	111.46	107.54	109.05	240628	0	0.00
2000-03-21	110.05	110.47	108.78	108.99	130970	0	0.00
2000-03-22	109.28	109.61	109.08	109.41	57088	0	0.00
