T005 油脂综合 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2000-07-17	98.95	98.97	92.92	94.39	1164	0	0.00
2000-07-18	95.67	99.69	95.36	96.23	1302	0	0.00
2000-07-19	98.60	98.60	97.27	97.32	156	0	0.00
2000-07-20	94.89	95.04	94.42	94.73	76	0	0.00
2000-07-21	94.31	94.68	92.59	92.60	718	0	0.00
2000-07-24	92.43	92.64	91.22	92.61	136	0	0.00
2000-07-25	90.48	93.39	90.20	92.72	300	0	0.00
2000-07-26	92.86	93.39	91.24	91.84	146	0	0.00
2000-07-27	92.39	92.58	90.70	91.31	176	0	0.00
2000-07-28	90.28	91.85	89.56	90.14	522	0	0.00
2000-07-31	90.39	90.94	89.97	90.50	5876	0	0.00
2000-08-01	84.85	84.97	84.85	84.85	50	0	0.00
2000-08-02	89.09	89.28	86.58	86.71	1656	0	0.00
2000-08-03	89.28	89.54	87.10	88.61	1570	0	0.00
2000-08-04	85.46	86.86	83.57	86.20	12826	0	0.00
2000-08-07	85.89	86.27	83.89	85.17	15646	0	0.00
2000-08-08	85.24	86.95	83.86	85.02	15390	0	0.00
2000-08-09	86.16	86.97	83.50	86.02	24236	0	0.00
2000-08-10	85.05	85.99	83.96	84.47	13908	0	0.00
2000-08-11	84.49	85.81	83.97	84.81	11922	0	0.00
2000-08-14	84.74	85.25	84.44	84.73	12598	0	0.00
2000-08-15	85.29	86.12	84.11	85.38	5466	0	0.00
2000-08-16	83.81	84.20	83.44	83.60	8442	0	0.00
2000-08-17	82.42	84.36	81.91	83.59	13854	0	0.00
2000-08-18	83.48	84.66	82.64	83.64	12566	0	0.00
2000-08-21	83.84	84.29	82.79	83.95	11732	0	0.00
2000-08-22	82.74	84.77	82.53	84.03	11710	0	0.00
2000-08-23	84.15	84.62	83.11	84.22	14276	0	0.00
2000-08-24	84.20	84.58	83.72	83.98	11998	0	0.00
2000-08-25	83.70	84.40	83.24	83.82	11624	0	0.00
2000-08-28	84.41	87.23	84.40	87.14	27884	0	0.00
2000-08-29	86.86	87.13	86.15	86.90	22258	0	0.00
2000-08-30	86.99	88.07	86.37	87.82	26630	0	0.00
2000-08-31	82.71	85.12	82.70	84.16	6846	0	0.00
2000-09-01	87.51	88.61	87.51	88.61	6826	0	0.00
2000-09-04	90.36	91.49	88.48	90.10	16454	0	0.00
2000-09-05	90.02	90.27	88.53	89.16	14106	0	0.00
2000-09-06	90.79	91.06	87.91	88.80	25802	0	0.00
2000-09-07	89.73	90.31	87.88	88.59	18080	0	0.00
2000-09-08	88.99	89.28	87.81	88.73	17462	0	0.00
2000-09-11	88.90	90.45	88.30	88.89	20230	0	0.00
2000-09-12	89.02	89.69	88.66	88.76	19100	0	0.00
2000-09-13	88.41	89.39	88.35	89.12	21696	0	0.00
2000-09-14	89.70	90.23	87.60	88.40	16102	0	0.00
2000-09-15	88.23	88.77	86.57	87.62	31304	0	0.00
2000-09-18	87.78	88.14	86.65	87.42	30674	0	0.00
2000-09-19	86.23	86.82	85.62	86.44	39564	0	0.00
2000-09-20	86.23	87.08	85.94	86.93	24114	0	0.00
2000-09-21	87.23	88.53	86.32	87.67	28386	0	0.00
2000-09-22	86.26	86.93	85.75	86.36	24524	0	0.00
2000-09-25	85.62	86.43	84.06	84.58	26506	0	0.00
2000-09-26	85.10	87.76	84.89	87.22	17070	0	0.00
2000-09-27	85.15	86.14	84.33	85.22	31278	0	0.00
2000-09-28	84.15	84.83	82.11	83.36	28726	0	0.00
2000-09-29	87.24	87.50	86.21	87.09	32648	0	0.00
2000-10-09	91.34	91.42	90.46	90.46	486	0	0.00
2000-10-10	86.41	87.06	86.34	86.57	36	0	0.00
2000-10-11	87.06	87.31	86.94	87.22	1966	0	0.00
2000-10-12	89.40	89.83	89.39	89.83	3808	0	0.00
2000-10-13	90.19	90.69	90.14	90.33	2014	0	0.00
2000-10-16	88.48	89.06	88.08	88.34	876	0	0.00
2000-10-17	89.12	89.51	88.82	89.14	2732	0	0.00
2000-10-18	88.49	88.64	87.33	87.48	4424	0	0.00
2000-10-19	88.57	89.26	88.06	88.57	4924	0	0.00
2000-10-20	89.08	89.97	88.98	89.34	5010	0	0.00
2000-10-23	89.25	89.36	88.78	89.01	2450	0	0.00
2000-10-24	88.93	89.21	88.72	88.88	1824	0	0.00
2000-10-25	87.79	88.56	87.15	88.01	1310	0	0.00
2000-10-26	89.94	90.72	89.90	90.66	2238	0	0.00
