T006 石化综合 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2000-01-04	95.64	95.97	95.50	95.71	1104	0	0.00
2000-01-05	95.87	96.97	95.78	96.33	1306	0	0.00
2000-01-06	96.46	96.75	96.06	96.63	896	0	0.00
2000-01-07	96.24	97.63	96.09	97.04	1818	0	0.00
2000-01-11	96.98	98.17	96.67	97.51	2482	0	0.00
2000-01-12	97.73	97.98	97.52	97.57	1330	0	0.00
2000-01-13	97.39	98.72	96.82	98.55	2546	0	0.00
2000-01-14	98.67	99.85	98.34	99.53	3332	0	0.00
2000-01-17	99.93	100.37	98.69	99.11	3484	0	0.00
2000-01-18	99.27	99.87	99.11	99.42	1692	0	0.00
2000-01-19	99.07	101.56	99.07	101.03	4362	0	0.00
2000-01-20	101.02	101.45	100.35	100.92	3188	0	0.00
2000-01-21	101.08	101.25	100.49	100.70	1700	0	0.00
2000-01-24	100.19	100.51	98.51	99.25	5666	0	0.00
2000-01-25	98.99	99.29	97.74	98.03	3102	0	0.00
2000-01-26	97.66	98.18	97.08	97.64	2918	0	0.00
2000-01-27	97.48	98.62	97.24	98.46	2526	0	0.00
2000-01-28	98.74	99.31	98.28	98.62	1782	0	0.00
2000-01-31	98.66	99.16	97.51	98.90	1176	0	0.00
2000-02-01	98.66	99.80	98.63	99.61	1762	0	0.00
2000-02-02	99.22	99.49	98.49	98.83	1718	0	0.00
2000-02-14	98.73	101.27	98.58	101.05	2012	0	0.00
2000-02-15	100.60	101.02	100.12	100.56	1634	0	0.00
2000-02-16	100.02	100.43	99.48	99.62	2302	0	0.00
2000-02-17	98.98	100.33	98.53	99.81	1400	0	0.00
2000-02-18	99.81	100.36	99.51	99.65	900	0	0.00
2000-02-21	99.45	99.71	99.16	99.58	670	0	0.00
2000-02-22	99.51	99.88	98.83	99.03	802	0	0.00
2000-02-23	98.94	99.60	98.59	99.21	1382	0	0.00
2000-02-24	99.30	100.28	99.13	99.59	1258	0	0.00
2000-02-25	99.62	99.62	98.28	98.69	3956	0	0.00
2000-02-28	98.63	99.27	98.54	98.99	740	0	0.00
2000-02-29	98.77	98.86	96.35	97.19	3300	0	0.00
2000-03-01	97.24	97.97	96.82	97.31	1326	0	0.00
2000-03-02	97.77	97.92	97.38	97.61	866	0	0.00
2000-03-03	97.38	97.49	96.93	97.05	486	0	0.00
2000-03-06	96.45	96.89	96.17	96.67	1058	0	0.00
2000-03-07	96.81	97.11	96.47	97.06	644	0	0.00
2000-03-08	96.90	97.56	96.78	97.10	836	0	0.00
2000-03-09	97.32	97.40	96.56	96.87	346	0	0.00
2000-03-10	96.39	96.81	96.13	96.43	638	0	0.00
2000-03-13	96.28	96.74	95.50	96.65	940	0	0.00
2000-03-14	96.82	96.92	96.20	96.48	536	0	0.00
2000-03-15	96.15	96.36	95.60	95.83	742	0	0.00
2000-03-16	96.24	96.92	96.07	96.71	556	0	0.00
2000-03-17	96.87	97.02	96.73	96.92	370	0	0.00
2000-03-20	96.44	96.53	96.09	96.36	266	0	0.00
2000-03-21	97.53	97.64	96.14	96.49	192	0	0.00
2000-03-22	96.21	96.36	94.71	94.80	984	0	0.00
2000-03-23	94.56	94.83	93.13	93.34	1152	0	0.00
2000-03-24	92.92	93.51	92.21	92.82	972	0	0.00
2000-03-27	92.41	93.05	92.28	93.00	524	0	0.00
2000-03-28	92.87	92.95	92.35	92.37	330	0	0.00
2000-03-29	92.14	92.66	91.86	92.06	402	0	0.00
2000-03-30	91.74	91.96	91.50	91.71	550	0	0.00
2000-03-31	91.60	91.77	91.19	91.39	740	0	0.00
2000-04-03	90.82	91.62	90.10	90.86	252	0	0.00
2000-04-04	90.93	92.10	90.88	92.01	588	0	0.00
2000-04-05	91.40	92.03	91.26	91.65	312	0	0.00
2000-04-06	91.05	92.38	90.82	92.33	536	0	0.00
2000-04-07	91.93	92.07	91.44	91.83	524	0	0.00
2000-04-10	91.63	92.31	90.84	91.06	650	0	0.00
2000-04-11	90.72	91.28	90.09	91.01	796	0	0.00
2000-04-12	91.17	91.44	90.48	91.31	334	0	0.00
2000-04-13	90.83	91.25	90.65	91.05	154	0	0.00
2000-04-14	90.87	91.75	90.69	90.84	504	0	0.00
2000-04-17	91.08	92.45	90.65	90.91	674	0	0.00
2000-04-18	91.00	91.06	90.84	90.84	182	0	0.00
