T007 能源综合 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2013-12-27	153.81	154.34	152.18	153.57	848956	0	0.00
2013-12-30	153.57	153.80	151.52	151.66	697856	0	0.00
2013-12-31	151.66	151.66	149.40	149.90	1288626	0	0.00
2014-01-02	149.90	150.39	146.83	149.47	706844	0	0.00
2014-01-03	149.47	149.47	146.07	147.46	775632	0	0.00
2014-01-06	147.46	147.74	143.77	146.64	838992	0	0.00
2014-01-07	146.64	148.00	144.01	147.21	999242	0	0.00
2014-01-08	147.21	147.53	146.37	146.75	585956	0	0.00
2014-01-09	147.03	147.16	144.35	144.55	1224896	0	0.00
2014-01-10	144.09	145.71	143.88	145.52	1007886	0	0.00
2014-01-13	144.98	145.04	144.61	144.83	858258	0	0.00
2014-01-14	145.75	146.32	145.51	146.12	837698	0	0.00
2014-01-15	146.12	146.30	145.21	146.00	686656	0	0.00
2014-01-16	146.00	146.61	144.78	145.04	870588	0	0.00
2014-01-17	149.95	150.92	149.67	150.47	900222	0	0.00
2014-01-20	150.47	150.57	146.48	147.08	1419266	0	0.00
2014-01-21	147.08	147.53	146.28	146.48	755028	0	0.00
2014-01-22	146.48	148.11	145.71	146.38	1032116	0	0.00
2014-01-23	146.38	147.59	145.87	147.55	894666	0	0.00
2014-01-24	147.25	149.19	146.44	148.91	1327584	0	0.00
2014-01-27	148.91	148.91	147.28	147.63	519478	0	0.00
2014-01-28	147.63	147.63	144.53	145.26	725078	0	0.00
2014-01-29	145.26	147.08	144.93	146.51	636652	0	0.00
2014-01-30	146.51	147.11	146.21	146.72	284210	0	0.00
2014-02-07	146.72	147.09	144.00	144.18	500812	0	0.00
2014-02-10	144.18	145.54	143.48	145.22	902434	0	0.00
2014-02-11	145.22	145.67	143.77	143.86	729430	0	0.00
2014-02-12	143.86	144.82	143.55	144.56	634734	0	0.00
2014-02-13	144.56	144.84	143.46	143.61	733084	0	0.00
2014-02-14	143.61	144.44	143.43	143.89	549682	0	0.00
2014-02-17	143.89	147.76	143.88	147.37	1500546	0	0.00
2014-02-18	147.37	147.37	145.67	145.92	659818	0	0.00
2014-02-19	145.92	147.84	145.92	146.79	1002070	0	0.00
2014-02-20	146.79	146.84	145.28	145.62	743552	0	0.00
2014-02-21	145.62	146.33	145.06	145.63	595036	0	0.00
2014-02-24	145.63	145.63	141.38	141.92	1303728	0	0.00
2014-02-25	141.92	143.72	141.80	142.80	1023340	0	0.00
2014-02-26	142.80	143.91	142.35	143.68	955168	0	0.00
2014-02-27	143.68	144.03	143.02	143.70	609120	0	0.00
2014-02-28	143.70	144.21	142.14	143.04	973530	0	0.00
2014-03-03	143.04	143.04	139.53	140.06	1020052	0	0.00
2014-03-04	140.06	140.06	136.73	138.21	1519830	0	0.00
2014-03-05	138.21	139.85	137.59	138.65	1715700	0	0.00
2014-03-06	138.65	138.65	137.07	137.16	1165140	0	0.00
2014-03-07	137.16	137.50	133.57	133.93	1932630	0	0.00
2014-03-10	132.56	132.90	130.09	130.79	723264	0	0.00
2014-03-11	130.79	133.00	127.15	131.38	2644570	0	0.00
2014-03-12	131.38	134.12	128.89	132.93	2727122	0	0.00
2014-03-13	132.93	133.54	132.18	133.28	1547152	0	0.00
2014-03-14	133.28	133.28	130.45	132.66	1825402	0	0.00
2014-03-17	132.66	133.88	132.55	132.88	1358562	0	0.00
2014-03-18	132.88	134.61	132.36	133.90	1612982	0	0.00
2014-03-19	133.90	134.36	133.09	133.62	1019840	0	0.00
2014-03-20	133.62	134.57	131.71	131.78	1923638	0	0.00
2014-03-21	131.78	132.59	130.26	130.38	2198636	0	0.00
2014-03-24	130.09	130.71	129.09	130.59	1903410	0	0.00
2014-03-25	130.59	134.38	130.15	134.20	1548846	0	0.00
2014-03-26	134.20	135.06	133.06	133.51	1820412	0	0.00
2014-03-27	133.51	135.01	132.46	133.27	2136382	0	0.00
2014-03-28	133.27	135.32	133.27	135.00	1656818	0	0.00
