T008 钢铁综合 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2015-07-30	103.99	104.23	103.06	103.41	9075238	4652854	0.00
2015-07-31	103.41	105.03	102.84	104.37	8424168	4747410	0.00
2015-08-03	104.37	105.11	104.11	104.85	2954900	4833432	0.00
2015-08-05	104.65	106.06	104.65	105.97	8562254	4857494	0.00
2015-08-06	105.97	105.99	104.53	104.87	7236514	4989742	0.00
2015-08-07	104.87	105.04	103.12	104.11	7836776	5079648	0.00
2015-08-10	104.11	104.28	103.42	104.01	1394674	5072798	0.00
2015-08-11	103.32	105.39	103.24	103.64	8898800	5129172	0.00
2015-08-12	103.64	104.76	102.91	104.69	7116222	4998280	0.00
2015-08-13	104.69	106.68	104.69	106.49	9785190	5018828	0.00
2015-08-14	106.49	106.49	105.52	105.90	4824318	4982588	0.00
2015-08-17	105.90	106.68	105.73	105.84	2719740	5091664	0.00
2015-08-18	104.65	105.62	104.60	104.82	5013264	5041236	0.00
2015-08-19	104.82	104.99	102.36	103.56	7927842	4921348	0.00
2015-08-20	103.56	103.94	102.18	102.91	6185642	5017600	0.00
2015-08-21	102.91	103.64	102.68	103.09	4969586	5016996	0.00
2015-08-24	102.69	102.69	102.69	102.69	1849178	5092852	0.00
2015-08-25	98.50	99.73	97.38	98.15	10906782	4612110	0.00
2015-08-26	98.15	100.83	98.15	98.39	7207114	4662600	0.00
2015-08-27	98.39	100.75	98.09	100.43	6536658	4528032	0.00
2015-08-28	100.43	102.45	100.15	101.78	8629120	4813260	0.00
2015-08-31	101.78	102.56	100.58	101.93	4647488	4835506	0.00
2015-09-01	102.09	103.20	101.20	102.20	7824328	5016054	0.00
2015-09-02	102.20	102.83	101.51	102.35	4569566	4811378	0.00
2015-09-07	102.56	102.60	100.18	100.47	6212434	5034850	0.00
2015-09-08	100.47	101.81	99.75	101.79	6349674	5014026	0.00
2015-09-09	101.79	104.38	101.79	103.13	13306018	5113418	0.00
2015-09-10	103.13	105.68	102.58	104.92	10130472	5176808	0.00
