T009 有色综合 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2000-01-04	95.72	95.93	95.60	95.73	19088	0	0.00
2000-01-05	95.19	95.45	94.93	95.02	31790	0	0.00
2000-01-06	95.40	95.53	95.34	95.42	17650	0	0.00
2000-01-07	95.40	95.66	95.34	95.61	9942	0	0.00
2000-01-11	95.18	95.37	95.11	95.31	15334	0	0.00
2000-01-12	95.29	95.38	95.17	95.24	11032	0	0.00
2000-01-13	95.77	95.96	95.48	95.63	34172	0	0.00
2000-01-14	95.45	95.77	95.41	95.69	17050	0	0.00
2000-01-17	95.86	96.18	95.72	96.04	21962	0	0.00
2000-01-18	96.78	97.21	96.61	97.05	29914	0	0.00
2000-01-19	97.57	97.86	97.21	97.37	31462	0	0.00
2000-01-20	97.73	97.82	97.12	97.41	36828	0	0.00
2000-01-21	97.15	97.50	97.07	97.42	17408	0	0.00
2000-01-24	97.14	97.60	97.13	97.51	11580	0	0.00
2000-01-25	97.08	97.30	96.93	97.19	26388	0	0.00
2000-01-26	97.20	97.40	97.03	97.33	20652	0	0.00
2000-01-27	97.24	97.95	97.20	97.84	16640	0	0.00
2000-01-28	97.89	98.27	97.73	98.01	15200	0	0.00
2000-01-31	97.77	97.89	97.31	97.51	23564	0	0.00
2000-02-01	97.95	98.23	97.77	98.15	15498	0	0.00
2000-02-02	98.34	98.71	98.31	98.57	18448	0	0.00
2000-02-14	98.67	99.03	98.48	98.74	30602	0	0.00
2000-02-15	99.01	99.19	98.71	98.76	25556	0	0.00
2000-02-16	97.86	98.14	97.30	97.36	35734	0	0.00
2000-02-17	97.48	97.81	97.30	97.36	17566	0	0.00
2000-02-18	97.79	98.01	97.74	97.95	9776	0	0.00
2000-02-21	97.94	98.29	97.89	98.12	14208	0	0.00
2000-02-22	97.72	97.79	97.38	97.42	23348	0	0.00
2000-02-23	98.21	98.26	97.88	97.95	11824	0	0.00
2000-02-24	98.46	98.58	98.32	98.39	16570	0	0.00
2000-02-25	98.28	98.42	98.15	98.35	11748	0	0.00
2000-02-28	97.79	97.94	97.51	97.82	27898	0	0.00
2000-02-29	95.62	96.29	95.51	96.08	63406	0	0.00
2000-03-01	96.41	96.56	96.01	96.12	32036	0	0.00
2000-03-02	96.30	96.44	96.18	96.32	15794	0	0.00
2000-03-03	96.18	96.26	96.09	96.18	13346	0	0.00
2000-03-06	96.31	96.34	96.10	96.15	15316	0	0.00
