T010 软商综合 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2004-06-03	119.20	121.87	118.02	118.94	3044	0	0.00
2004-06-04	117.74	120.57	117.66	119.52	2660	0	0.00
2004-06-07	120.40	121.34	119.07	120.31	3098	0	0.00
2004-06-08	119.61	120.50	117.85	118.67	3914	0	0.00
2004-06-09	119.06	119.62	117.98	118.31	2866	0	0.00
2004-06-10	118.57	119.06	118.21	118.57	1574	0	0.00
2004-06-11	118.74	119.26	118.31	118.57	2098	0	0.00
2004-06-14	118.59	118.72	117.94	118.27	2612	0	0.00
2004-06-15	117.93	118.13	114.11	115.20	6054	0	0.00
2004-06-16	113.70	114.11	113.13	113.80	3980	0	0.00
2004-06-17	112.71	115.59	112.08	114.41	4408	0	0.00
2004-06-18	114.19	114.43	113.27	113.62	3984	0	0.00
2004-06-21	113.93	113.93	112.35	112.43	4958	0	0.00
2004-06-22	111.47	111.91	109.62	109.84	6000	0	0.00
2004-06-23	108.55	112.33	108.40	111.52	9620	0	0.00
2004-06-24	112.19	114.55	111.84	114.30	9604	0	0.00
2004-06-25	114.86	115.74	113.12	113.93	11770	0	0.00
2004-06-28	114.35	114.40	112.43	112.77	7898	0	0.00
2004-06-29	112.11	115.62	111.67	115.29	21512	0	0.00
2004-06-30	115.11	116.28	114.41	115.45	23404	0	0.00
2004-07-01	115.08	115.86	114.27	115.37	20148	0	0.00
2004-07-02	115.15	115.70	114.54	114.68	18112	0	0.00
2004-07-05	114.10	114.47	110.50	110.50	26642	0	0.00
2004-07-06	109.65	111.70	109.46	111.09	28824	0	0.00
2004-07-07	111.26	112.33	110.55	111.16	23960	0	0.00
2004-07-08	111.65	111.74	109.75	110.94	21694	0	0.00
2004-07-09	110.74	112.38	110.68	112.17	20996	0	0.00
2004-07-12	112.50	116.35	112.40	116.33	35948	0	0.00
2004-07-13	115.98	116.39	113.43	114.25	44820	0	0.00
2004-07-14	114.19	114.29	112.75	113.67	34882	0	0.00
2004-07-15	114.09	115.19	113.91	114.84	31318	0	0.00
2004-07-16	115.68	115.71	114.24	114.44	32204	0	0.00
2004-07-19	114.69	115.75	114.37	115.54	36696	0	0.00
2004-07-20	115.68	116.22	115.37	115.80	30814	0	0.00
2004-07-21	116.37	119.16	115.08	115.63	43928	0	0.00
2004-07-22	114.81	116.35	114.77	115.61	37004	0	0.00
2004-07-23	115.25	115.61	113.77	114.16	40322	0	0.00
2004-07-26	113.83	113.95	112.81	113.22	31250	0	0.00
2004-07-27	112.42	113.16	112.09	112.55	31076	0	0.00
2004-07-28	112.37	113.05	112.20	112.67	26316	0	0.00
2004-07-29	113.02	114.02	112.68	113.94	43316	0	0.00
2004-07-30	113.32	113.80	112.70	113.15	26902	0	0.00
2004-08-02	113.06	113.41	112.22	112.45	26804	0	0.00
2004-08-03	112.60	112.69	110.67	111.05	37536	0	0.00
2004-08-04	111.92	112.07	109.88	110.57	35108	0	0.00
2004-08-05	110.56	112.22	110.13	111.72	37230	0	0.00
2004-08-06	111.81	112.34	110.97	111.17	32786	0	0.00
2004-08-09	110.91	111.27	109.51	109.84	36500	0	0.00
2004-08-10	109.63	109.86	108.30	108.91	42020	0	0.00
2004-08-11	109.06	109.92	108.86	109.03	37932	0	0.00
2004-08-12	108.77	108.88	107.19	107.38	38916	0	0.00
2004-08-13	107.10	107.57	106.23	107.27	49894	0	0.00
2004-08-16	107.72	108.62	107.40	107.65	48394	0	0.00
2004-08-17	107.84	108.35	107.39	107.69	39000	0	0.00
2004-08-18	109.36	109.65	108.50	108.61	40154	0	0.00
2004-08-19	108.93	109.27	108.21	108.31	33066	0	0.00
2004-08-20	108.53	108.76	108.23	108.54	26324	0	0.00
2004-08-23	108.93	109.86	108.68	109.45	42422	0	0.00
2004-08-24	109.80	110.00	109.23	109.41	27366	0	0.00
2004-08-25	109.39	109.61	108.45	108.62	23394	0	0.00
2004-08-26	108.38	108.64	107.37	107.68	27706	0	0.00
2004-08-27	106.68	107.60	106.57	107.33	27980	0	0.00
2004-08-30	107.11	107.88	106.77	107.75	24106	0	0.00
2004-08-31	108.43	109.65	108.24	109.60	40032	0	0.00
2004-09-01	110.43	110.63	109.31	109.42	42682	0	0.00
2004-09-02	109.30	110.16	109.22	109.89	39924	0	0.00
2004-09-03	110.09	111.00	109.75	110.84	50018	0	0.00
2004-09-06	110.08	110.60	109.57	110.16	36770	0	0.00
2004-09-07	109.81	110.26	109.53	109.82	25294	0	0.00
2004-09-08	110.18	111.45	109.91	111.44	49120	0	0.00
2004-09-09	111.35	112.26	111.07	111.24	64430	0	0.00
2004-09-10	111.09	111.91	110.95	111.63	53804	0	0.00
2004-09-13	111.30	111.97	111.20	111.75	48010	0	0.00
2004-09-14	111.98	112.76	111.92	112.51	54346	0	0.00
2004-09-15	111.82	112.21	111.37	111.41	44196	0	0.00
2004-09-16	111.39	112.11	111.26	111.79	44454	0	0.00
2004-09-17	111.03	111.26	110.41	110.95	37728	0	0.00
2004-09-20	111.22	113.52	111.18	113.20	57166	0	0.00
2004-09-21	113.08	113.64	112.53	113.51	58724	0	0.00
2004-09-22	114.27	115.86	113.78	115.61	57720	0	0.00
2004-09-23	116.29	117.06	114.58	115.30	73848	0	0.00
2004-09-24	115.27	116.68	114.86	116.43	67252	0	0.00
2004-09-27	115.81	117.52	115.55	116.30	68330	0	0.00
2004-09-28	116.55	117.07	115.74	115.94	56540	0	0.00
2004-09-29	115.69	115.99	114.62	114.93	50698	0	0.00
2004-09-30	114.64	116.66	114.49	115.42	49848	0	0.00
2004-10-08	114.91	115.13	113.45	113.62	40430	0	0.00
2004-10-11	112.63	113.13	109.87	111.10	44696	0	0.00
2004-10-12	110.76	111.31	110.36	110.62	37414	0	0.00
2004-10-13	109.54	111.51	109.24	111.03	44440	0	0.00
2004-10-14	110.97	111.67	110.58	110.87	35414	0	0.00
2004-10-15	111.03	111.23	109.28	109.51	37720	0	0.00
2004-10-18	109.21	109.29	107.54	107.68	44258	0	0.00
2004-10-19	107.77	108.75	107.27	108.10	73566	0	0.00
2004-10-20	108.43	108.76	107.94	108.35	50488	0	0.00
2004-10-21	108.41	108.73	107.64	107.81	38806	0	0.00
2004-10-22	106.73	106.78	104.76	105.11	64470	0	0.00
2004-10-25	105.06	105.10	104.09	104.68	49530	0	0.00
2004-10-26	105.12	106.21	104.90	105.81	56170	0	0.00
2004-10-27	105.79	107.97	105.31	107.93	84122	0	0.00
