T011 材料综合 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2015-07-30	92.63	92.68	92.52	92.57	164722	187560	0.00
2015-07-31	92.57	92.98	92.30	92.82	184094	171670	0.00
2015-08-03	92.82	93.19	92.82	93.03	50276	168790	0.00
2015-08-05	93.59	94.65	93.38	94.39	143526	153772	0.00
2015-08-06	94.39	94.51	93.75	94.35	109634	155782	0.00
2015-08-07	94.35	94.69	93.89	94.63	206630	164292	0.00
2015-08-10	94.63	94.90	94.47	94.74	99470	176862	0.00
2015-08-11	91.32	91.89	91.11	91.35	228288	187098	0.00
2015-08-12	91.35	92.64	90.98	92.20	300086	202486	0.00
2015-08-13	92.20	92.47	91.86	92.46	273404	194756	0.00
2015-08-14	92.46	92.51	91.83	91.83	158770	186060	0.00
2015-08-17	91.83	92.10	91.83	91.99	37356	184064	0.00
2015-08-18	90.82	91.20	90.14	90.19	175546	149874	0.00
2015-08-19	90.19	90.61	89.37	90.56	248698	176990	0.00
2015-08-20	90.56	90.77	89.70	89.78	304118	179672	0.00
2015-08-21	89.78	90.39	88.91	89.89	242940	179914	0.00
2015-08-24	89.19	89.19	89.19	89.19	104418	173152	0.00
2015-08-25	86.99	89.30	86.45	88.97	301276	142556	0.00
2015-08-26	88.97	90.78	88.97	89.96	224462	146990	0.00
2015-08-27	89.96	90.47	89.13	90.17	199738	140548	0.00
2015-08-28	90.17	91.47	89.33	89.82	338018	142842	0.00
2015-08-31	89.82	89.82	89.28	89.50	95452	137716	0.00
2015-09-01	86.41	86.78	85.00	85.51	397108	180922	0.00
2015-09-02	85.51	85.99	85.29	85.46	210130	162066	0.00
2015-09-07	85.30	86.24	84.93	85.27	278128	200104	0.00
2015-09-08	85.27	85.65	84.41	84.78	208212	190094	0.00
2015-09-09	84.78	85.69	83.14	83.20	393794	170900	0.00
2015-09-10	83.20	83.63	82.94	83.55	223762	175552	0.00
2015-09-11	83.55	83.82	82.83	82.94	262198	188644	0.00
2015-09-14	82.94	83.26	82.89	83.10	75942	181768	0.00
2015-09-15	84.60	84.92	82.43	82.54	184090	191308	0.00
2015-09-16	82.54	87.58	81.38	87.58	248780	181006	0.00
2015-09-17	87.58	89.25	87.42	88.36	293624	187802	0.00
2015-09-18	88.36	89.91	88.14	89.59	175442	188692	0.00
2015-09-21	89.48	89.48	89.48	89.48	57828	191796	0.00
2015-09-22	90.12	90.35	89.73	89.88	199212	200350	0.00
2015-09-23	89.88	90.80	89.45	90.24	232784	212850	0.00
2015-09-24	90.24	90.35	89.59	89.81	512714	328376	0.00
2015-09-25	89.81	91.20	89.71	91.20	337574	291952	0.00
2015-09-28	91.20	91.31	89.96	90.01	190410	293330	0.00
2015-09-29	90.01	90.28	87.47	89.77	300262	278978	0.00
